4r3/4P3/p4RP1/8/5K1k/5b2/5P2/8 b - -,e8e7
r2qrbk1/5p1p/bppp2p1/p2P4/P2nPP2/2N1R2P/1P1N1BP1/R2Q2K1 b - -,c6d5
r2q1rk1/2nnppbp/p3b1p1/1pp3N1/3PP3/5N1P/PP2BPP1/R1BQK2R w KQ -,d4d5
5B2/7p/2k4P/3n4/2p5/1p6/1P1K4/8 w - -,f8g7
5rk1/3r2p1/pp1NR2p/4Bn1P/P7/3R4/1P3bP1/6K1 w - -,g1h2
rnb2rk1/2q1bppp/pp1ppn2/8/P2NPP2/2N1B3/1PP1B1PP/R2Q1R1K b - -,c8b7
r4rk1/1p2b1pp/1qn1b1n1/p2pPp2/1P6/P2B1N2/1B2NPPP/R2QR1K1 w - a6,e2d4
8/4kpp1/pR3n2/P3p3/1P2PP2/6PK/5rB1/8 b - -,e5f4
2kr2r1/pq3p2/1p2p2N/2pbQ1p1/5P2/P2P3P/1PP3P1/1R3RK1 b - -,d5g2
2n5/p1P5/2N5/Pr1k3p/4n1p1/3bP1P1/1B4BP/2K5 w - -,c6d4
8/3b3p/q2p1k1P/1p1Pp3/p4p2/P4PPN/1P4K1/2Q5 w - -,g3f4
3r1r1k/1b4Pp/p3p1p1/2b5/1p1NnB2/7R/PPP1N1PP/5R1K b - -,h8g7
4rrk1/2q3p1/p1bb1np1/1p1pp1N1/7N/P1P1B2P/1P3PP1/2RQ1RK1 b - -,f6h7
5nk1/1p2Qpb1/p2p2pp/3P4/P4qP1/2PB3P/r7/1K1R3R b - -,f4a4
rnbqk2r/pp2ppbp/3p1np1/8/2PP4/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1e2
4kb1r/1p1b1ppp/4p1qn/1N1pP3/8/4B3/rP2QPPP/2RR2K1 w k -,b5c7
5rk1/8/4q2p/3N2p1/3pP3/6RP/2Bn1P2/2b1Q1K1 b - -,d2f3
3R2k1/p5np/1p6/2p1BpPq/2P1r3/1P3Q2/P6P/7K b - -,g8f7
r2q1rk1/p2n1pp1/1p1bp1np/2pp4/P2P4/1QPN2P1/1P2PPNP/R1B2RK1 w - -,d3f4
2b3k1/3p2p1/p1q1p1p1/2b1PpBr/Prp4P/2N3Q1/2PR1PPK/3R4 w - -,h2g1
3r1rk1/1pq1ppb1/p1p3pp/2P5/3Pb3/1Q2PN1P/PP2B1P1/R4RK1 w - -,e2c4
r1r3k1/3b1pbp/6p1/PP1p4/2p1P2q/2NQ3P/4BPP1/R4RK1 w - -,d3c2
6k1/p1b3pp/4p3/2p5/8/P5PP/1P3P2/4BK2 w - -,f1e2
r1b2rk1/1pq2pbp/p2ppnp1/4n3/2PBP3/1NN2P2/PP1QB1PP/2R1K2R b K -,c8d7
8/4qk2/Q6p/2p3pP/5p2/P7/1PPr4/1K3R2 b - -,e7d6
r3k2r/pbqn1p2/4pP2/1ppP2Q1/2p5/2N3P1/PP3PBP/R3K2R b KQkq -,b5b4
8/3r4/3B2p1/5p2/4kP2/6KP/8/8 w - -,d6b8
r1bqk1nr/pp3pb1/2npp1p1/2p4p/2B1P2P/P1NP1N2/1PP2PP1/R1BQK2R w KQkq -,c1f4
8/b4pk1/4n1p1/3NP2p/4NP2/3K2PP/8/8 w - -,d3c4
6k1/6p1/4p2p/q2pPp2/2pP1Q1P/p1n3P1/P2R1P2/1r2N1K1 w - -,f4e3
1R6/6pk/P2p2p1/3Pp3/2p1Pp2/2N2q2/2KB4/8 b - -,f3d3
r3k2r/1bpnqp2/1p1ppn1p/p5p1/2PP3B/2PBP3/P2N1PPP/R2Q1RK1 w kq g6,h4g3
2k1rr2/pp1n1pp1/1npqp2p/3pN2P/P2P1PP1/1PN2PK1/2P5/R1Q4R b - a3,d7e5
r4rk1/1p2qpp1/2p1b2p/p2pP3/3P2n1/2NBP3/PP2Q1PP/R4RK1 b - -,h6h5
rnb2rk1/1p3ppp/pb2p3/3pP3/3N4/3P2B1/PP2NPPP/1R3RK1 w - -,f2f4
r3q1k1/p2n2pp/1p3r2/4Pp2/1QP1P3/7R/P2N2PP/5RK1 b - -,e8e5
2k4r/1p3pbr/1qp1pnp1/p3N3/P1PP1PP1/4BQ2/1P4K1/R6R w - -,e5f7
2r1kqr1/pb1n1p1p/1p2pn2/2p5/P1PPp1P1/B1P1Q2P/5P2/R3KBNR w KQ -,g4g5
3rkbnr/1bp2ppp/p2q4/1p6/3NP3/8/PPN2PPP/R1BQ1RK1 w k -,d1e2
1qr3rk/1bbn1ppp/pp2pn2/3p4/1PP1P3/1NN1BP2/P3B1PP/2RRQ2K w - -,e4d5
8/4R3/8/p1p5/2P3p1/1P2Ppk1/5r2/4K3 b - -,f2b2
2kn2R1/pp6/4p3/2ppNr2/3P3p/P1P5/1PK5/8 w - c6,g8h8
rr4k1/2q2pp1/3np2p/p3N3/2pPP2P/1pP2P2/4Q1P1/1RR3K1 b - -,a5a4
6k1/2q2p1p/1r1pr1p1/2pR3P/8/2Q1P1P1/P4P2/3R2K1 b - -,c7b7
r5r1/p6k/1p2pp2/3b1p2/2p2B2/2PR2P1/PP3P1P/R5K1 w - -,d3d2
1nrr2k1/p1q2pbp/1pbp2p1/4pP2/2P1P1N1/1P4P1/PB1R2BP/3RQ1K1 b - -,b6b5
3r2k1/p5b1/2Q5/3Nq3/1p6/8/PPP3P1/1K1R4 w - -,d5c3
r3k2r/5ppp/2pb4/q2p4/P1nP4/2N5/4BPPP/R2QK2R w KQkq -,d1c2
8/8/1R4p1/3P2k1/1p2K1P1/1r2P3/8/8 w - -,e4d4
5r2/4kP2/5R2/2p1K3/p1Pp4/P7/2P5/8 b - -,e7d7
4r3/bp3p1k/2Pp2p1/5q1p/5P1Q/1P3BP1/8/B2R3K b - -,b7c6
3rr1k1/pp3ppp/2p2n2/4N3/8/8/PP3PPP/RN2R1K1 w - -,b1c3
6k1/7p/4p1p1/3p4/p1r2P2/R7/P5PP/6K1 w - -,g2g3
8/8/2p2p2/npb1pNkp/pN2P3/P1P2PP1/1P6/3K4 b - -,g5g6
1k1r3r/pppq1ppp/4pn2/8/1b2N1P1/3PBQ1P/PPP2P2/2KR3R b - -,f6e4
2R5/r3pp2/p2p1kpp/1p1Pn3/5N1P/1P3PP1/P3PK2/8 w - -,f2e3
r2r2k1/1p2q2p/p1pNbpp1/1nP1pn2/1P2N3/6P1/PQ2PPBP/R4RK1 w - -,d6b7
r1b2rk1/p3ppb1/1p3qpp/8/3Nn3/Q3B3/PPP2PPP/2KR1B1R w - -,f1b5
rn1q2k1/5pbp/pp1p4/6p1/3Pr3/4B2P/PP1QB2P/R3K2R w KQ -,e2f3
8/8/8/1p1k2Kp/p6P/P7/8/8 w - -,g5h5
r7/8/2pp1p1k/p4Prp/K1P1P3/3P4/2P4R/1R6 b - -,a8a7:g5g4
r2Qr1k1/p4p2/bp3n1p/3p2p1/3P4/4P1PN/PP4BP/2R1R1K1 b - -,a8d8
r2qk2r/p3ppbp/2p3pn/3pP3/3P1Bb1/5N2/PP1N1PPP/R2QK2R b KQkq -,e8g8
r3r1k1/pp2qppp/2p1b1n1/3p4/3P2n1/2NBPN2/PPQ2PPP/R3R1K1 w - -,h2h3
1r6/1r1n1pk1/1qn1p1pp/p2pP3/2pP1P2/P1B4P/1P2R1P1/R2QN1K1 w - -,e1f3
3rq1k1/2p1nbbp/1p1r1pp1/pPpNp3/P1P1P1PB/3P1P1P/2Q1K1N1/R2R4 b - -,f7d5
r1b2rk1/1pp1qp1p/n2p2p1/p2Pp2n/2P1P3/PP1B1NP1/3N1P1P/R2Q1RK1 w - -,f1e1
bq4k1/p3Bp2/1p2p1p1/3rb2p/1Q6/1P2P2P/P3NPP1/2r2RK1 w - -,f1c1
r7/2p2p2/2brk1pp/3p4/1P1R2PP/2P2PK1/3R2N1/8 b - -,a8a3
8/7p/5k2/1p1r4/4R3/6KP/5P2/8 b - -,d5e5
8/6p1/5p1p/5P2/1KP2kPP/3b1B2/8/8 w - -,f3d1
r1bqkb1r/1ppp1ppp/p1n2n2/8/B2pP3/5N2/PPP2PPP/RNBQK2R w KQkq -,e1g1:e4e5
8/4kp1p/1pB1p1p1/p1n5/2P2P2/1P2K1P1/P2R3P/4r3 w - -,d2e2
r2r1k2/1p2bp2/p1n3pp/3Np3/8/6P1/PP2PPBP/R4RK1 w - -,f1c1
1b1rr1k1/p2q1pp1/1pp1p2p/8/2QP4/P3PPP1/1P1N1K1P/2R2R2 b - -,c6c5
2rqk2r/1b1n1pbp/pp1p1np1/4p3/P2BPP2/1NN2B2/1PP3PP/R2QK2R w KQk e6,d4f2
r2qr1k1/ppp2ppp/1nB5/2b1p3/6b1/2PP1N2/PP1N1PPP/R1B1QRK1 b - -,b7c6
5rk1/2n1qrbp/1p2p3/nP2P3/P2Q1PPP/N4B2/6K1/R1R5 b - -,f7f4
3r2k1/pq3pp1/Q3p2p/4P3/8/2N2nP1/RP3P1P/7K b - -,b7b3
rnbqkb1r/ppp3pp/3p1n2/5p2/2PPp3/2N2NP1/PP2PP1P/R1BQKB1R w KQkq -,f3g5
rnbq1rk1/ppp1p2p/5p1b/3p2pn/2PP3B/4PN2/PP2BPPP/RN1Q1RK1 w - -,h4g3
r1b3k1/pp3ppp/1qp2n2/8/4B3/1P4P1/PQ1NrP1P/R4RK1 b - -,f6e4
1rr4k/1q2b1pp/5n2/p3p3/B3b3/2P1B3/PP2QR1P/K1NR4 b - -,c8c3
8/3k1p2/1p2p3/1P2P3/P3RK1P/5P2/6r1/8 w - -,e4d4
