6r1/3P4/2B4p/2p4P/2P2P2/P1k5/K7/8 b - -,c3c4
1k6/p1pq3p/Q2p4/2pPrp2/1b6/1P4P1/P4P1P/3R1BK1 b - -,e5e4
r3r1k1/ppn5/2p4p/3pR1p1/3P4/P1P2NPP/1PR3K1/8 w - -,c2e2
8/2b1r3/1p2kpp1/p1p1p3/3r2PP/1P1P2BK/1PP1R3/4R3 b - -,e6f7
nrb2rk1/7p/pN1p2n1/P1pP1p2/3b1P1q/2NB1Q1P/1P4PB/R3R2K w - -,b6c8
r2qk2r/pb2bppp/2n1pn2/3p4/Pp3B2/3Q1NP1/1PPNPPBP/R4RK1 w kq -,c2c4
1r4k1/qn3ppp/8/3R4/r1RQP3/P4P2/4NKPP/8 b - -,a4a3
3r1rk1/p2n1p1p/1bp3p1/4qP2/2B1Qn2/P1N5/1P3BPP/3R1RK1 w - -,d1d7
3r4/rp3pk1/2p2q2/2P1n1pp/PR1pP3/1B5P/3Q1PP1/2R3K1 w - -,c1f1
5rk1/pp3pp1/4n2p/3pP3/3B2P1/1P4qP/P1r2PK1/3RR3 w - -,g2g3
3r3k/pp3r1p/8/6p1/3p4/P4P2/1P1N2K1/2R5 w - -,g2g3
8/5R2/2b5/p7/1P6/Pk3p2/6r1/2B2K2 b - -,a5a4
2R5/1p1k4/1r3np1/Np1p1p1p/1P1PpP2/P3P1P1/3K2P1/8 w - -,c8b8
8/3Q1rk1/5ppp/8/4B3/P7/1P3K1b/8 w - -,d7e6
rn1q1b2/2kb1B1R/1pn1p1r1/p2pP1p1/P2P1pP1/1N3N2/1PQB1PK1/8 w - -,c2g6
r4rk1/1p1b2p1/4p2p/p1qpQ3/P7/2PBR3/1P3PPP/R5K1 w - -,a1d1
2rqr1k1/pb1nb1pp/1p2pp2/3pP3/3N1B2/2PB3P/PP3PP1/2RQR1K1 b - -,d7f8
3r4/2p3rk/1p2B3/pPbPp3/2R3p1/6P1/P4PK1/2R5 b - -,g7g5
6k1/p4p2/1pP5/3n1Npp/1P6/1KpB4/7P/8 b - -,a7a5
r5k1/p4pp1/1P2pn1p/1R2N3/2Pr4/7P/5PP1/4R1K1 b - -,a7b6
r1b2r2/ppp1qppk/5nnp/4p3/2B1P3/1NP3QP/PP3PP1/R1B1R1K1 b - -,a7a5
2rqr1k1/3n1p2/p2P2p1/bpp3Pp/3pN2Q/PB1P2P1/1PP2P2/R4RK1 w - -,b3d5
r1bqkb1r/ppp1pppp/2np1n2/3P4/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq -,c6b8:c6e5
2nb4/n1p2k2/NpPp4/3Pp2p/P3Pp2/2N2P2/3K1B2/8 w - -,d2e2
5rk1/p3qp1p/1p6/2pr4/Q2n1BK1/P2P2P1/1P3P1P/R2R4 b - -,e7e6
r7/2p4p/2n1k1p1/pr2p3/2N1P3/3PKP2/R5PP/R7 w - -,g2g3
3rr1k1/1p1q1ppp/p4n2/2PNn3/P7/BQP1P3/5PPP/3R1RK1 b - -,f6d5
r4rk1/1p1nb1pp/p1b2p2/3pp3/N2P4/1P2B1PP/1PR1PPB1/2R3K1 b - -,e5e4
5k2/R7/4K3/8/8/p7/Pb6/8 w - -,a7b7
4r1k1/1p1q1pbp/2pp2p1/pN1Pn3/Pn1N1B2/1P4Pb/2PQ1P1P/2R3KB w - -,b5c3
Q4bk1/5p2/6pp/2n5/3r4/3p2P1/5PKP/3N4 w - -,h2h4
r7/2k5/1p6/2pPp3/p1P1P2p/5R1P/4K3/8 w - -,f3a3
5rk1/5pp1/4p1p1/qn1p4/p1rP2P1/P1P4P/1B3PK1/2RQR3 b - -,f8c8
3r1r2/1b2ppk1/pp1q1npp/2pPp3/P3P2P/1PN1Q1P1/2P1BP2/3RR1K1 b - -,d6d7
5r1k/3q2bp/8/8/2P1Qp2/5N1P/5PPK/8 w - -,c4c5
1RQ5/4bpkb/4r2p/pp2P1p1/8/P5Pq/1B3P2/4R1K1 w - -,c8h8
8/6p1/8/3qbQ2/1k5P/6P1/5P2/6K1 b - -,b4c5
3r1rk1/p3qp2/2pp1n1p/2b1p1p1/2B1P1b1/2NQ2B1/PPP2PPP/4RRK1 w - -,g1h1
1r3rk1/4ppbp/p1qp1np1/2p5/2P1PP2/5RP1/PPQ1N2P/1RB3K1 w - -,e2c3
r4r1k/7p/1pp5/4Ppp1/1P3P2/P1P1K3/7P/R6R b - -,g5g4
r3kbnr/pp3ppp/2q1p3/3pP3/1PnP4/P1N2N2/3B1PPP/2RQ1RK1 b kq -,c4a3
r3kbnr/pp1qpp1p/2np2p1/2p5/2P1P3/2N2N2/PP1P1PPP/R1BQK2R w KQkq -,d2d4
2r3k1/5ppp/pp6/8/P3B3/1P4P1/6PP/3K4 b - -,c8c7
1r3nk1/2q3pp/3bpr2/p2p4/R2P1p2/2P2Q1P/1P3PP1/3BR1BK w - -,a4a2
2r5/4k2p/p2p3b/1p1Pp3/5r2/3Bp3/PP2K1PP/3R1R2 b - -,c8f8
rn1q1rk1/pp2ppbp/2pp2p1/3nP3/3P1Pb1/3B1N2/PPP3PP/RNB1QRK1 w - -,c2c3
r3r1k1/1pp2ppp/p4b2/2n5/5Bb1/2P2N2/PP3PPP/RN1R2K1 w - -,f4c7
6r1/5p2/3k4/3P1KP1/8/7R/8/8 b - -,g8g7
3rr3/1p1n2kp/2bp1pp1/p1q5/1pP1PP2/1P4PP/PR3NBK/3QR3 w - -,b2d2
8/4kpp1/7p/1p2p3/4P3/1nP1BP1P/1P1pK1P1/8 b - -,e7e6
1Q5k/p2q2rp/1p4r1/3B4/2P2p2/3P4/P6P/6RK b - -,g7g8
r3k2r/ppq2ppp/3bpn2/2p5/2PP4/3B3P/PP1BQPP1/R3K2R w KQkq -,d4c5
2r1kb1r/pp3pp1/1q5p/3pP3/b1p5/2Pn2B1/PP1NBPPP/RQ2K2R w KQk -,e2d3
r3r3/ppp4p/2p2kp1/8/4NP2/P4BP1/1PP4P/2K4R b - -,f6f5
8/5p2/p2p1p2/1p2bP1P/1P2PkB1/P7/6R1/5K1r w - -,f1e2
R7/1n6/7p/3kp3/3p2P1/5P2/pr1NK2P/8 b - -,b7c5
r2qkb1r/pp3ppp/2n1bn2/3pp3/2P5/1N4P1/PP2PPBP/RNBQ1RK1 w kq -,c4d5
r1b4r/ppBnk1p1/2p1pp2/P4np1/2PP4/5N2/2P1BPPP/R3K2R w KQ -,g2g4
r2qkb1r/1p2np1p/2n1p1p1/pBPpP3/1P6/2P2N1P/P4PP1/R1BQK2R b KQkq -,f8g7
r3k2r/1bqnbppp/p2p1n2/1p2p3/4PP2/PNN2B2/1PP3PP/R1BQ1R1K b kq -,a8c8
r2q1rk1/pb3pbp/1pn1p1p1/3pPn2/3P4/4BNP1/PP1N1PBP/R2Q1RK1 w - -,e3g5
1r6/p2b1ppp/3k4/R1b1p3/3p4/1P4P1/1P1BPP1P/4K1R1 w - -,b3b4
6k1/2q2pp1/p6p/1pnRp3/4P3/1P3PPB/PB5P/4K3 b - -,c5e6
4k1r1/1r3p2/2n5/3pPpPR/p1pP1P2/BpP5/3K4/1R6 b - -,c6a7
1k1r3r/1b2qppp/p2p1n2/2p1p3/QPPnP3/P1N1BP2/6PP/2KR1B1R w - -,b4b5
8/1pnR1pk1/6p1/1rp4p/1p2PK1P/1P3PP1/P7/2N5 b - -,c7e6
rn1qkb1r/pb2pp1p/1p1p1np1/8/2Pp4/2N2NP1/PP2PPBP/R1BQ1RK1 w kq -,d1d4
r4rk1/1p6/5pb1/pNP4p/P7/4bR2/1P4BP/R6K b - -,e3c5
r1bqr1k1/ppp2pb1/2n2npp/8/3Pp2N/1BP1P3/PP1N2PP/R1BQ1RK1 b - -,c6a5
r4rk1/2qnppbp/3p2p1/3P4/5P2/2P1BB1P/3Q2P1/R4RK1 w - -,e3d4
r1b2r1k/ppp2Np1/2nb1q1p/4p2Q/2B1Pp2/2PP4/P4PPP/R1B2RK1 b - -,h8h7
r3br2/3n1pkp/pq4p1/2pPN3/1p2P3/1P2Q2P/4BPP1/2RR2K1 w - -,e5c4
r3k2r/p2qbp2/bp2p1p1/n1ppPn1p/3P1P2/PPP2NPB/3BNK1P/R2QR3 b kq -,a5c6
2br4/r1k1p2p/2p1npp1/8/2P1N3/4B3/PP3PPP/R5K1 w - -,e3a7
4r2k/pp6/4B3/2p2r1p/4Q1n1/2P4R/PP3qP1/6RK b - -,f2f4
1r6/p1p1kp2/8/4P1Np/3b3P/P3R1P1/4K3/8 w - -,e3f3
r3rnk1/ppq1bpp1/2pp1n1p/4pN2/3PP3/1PP3N1/1P3PPP/R1BQR1K1 b - -,f8g6
4rrk1/ppp2pbp/3p1qp1/3P4/2n1P3/5PPb/PPB1NR1P/1RBQ2K1 b - -,c4e5
8/3k4/5p2/3q3p/4Q2P/5KP1/5P2/8 b - -,d5c5
1q4k1/6pp/5p2/Bp1P1N2/2r1P3/P2n1P1P/3Q2PK/2n2R2 w - -,d5d6
2kr4/1pp1qRp1/p1b5/8/2Q4P/2N5/PKP5/8 b - -,e7e5
6nr/pbNk1p1p/6p1/2pp3P/5B2/5N2/Pbn1BPP1/3R1K1R b - -,c2d4
r1bq1rk1/ppp2ppp/2nb4/8/2P1n3/4PN2/PP1NBPPP/R1BQK2R b KQ -,c8f5
