8/2P5/8/1PK5/8/8/6kp/1R3r2 w - -,c7c8q
2rr2k1/1p1b1pbp/1q1pp1p1/p6n/Pn1PP3/1BN2N1P/1P1Q1PPB/2R1R1K1 b - -,d7e8
6k1/1pp2rp1/pb2qn1p/8/1P1NP3/2Q5/1B4PP/4R2K b - -,b6d4
rn1q1rk1/pbp1bppp/1p2p3/3n4/8/2NP2P1/PP1NPPBP/R1BQ1RK1 b - -,c7c5
r2q1rk1/pp2ppbp/2pp2pB/3N1b2/1PN5/6P1/P3PPBP/3Q1RK1 w - -,h6g7
2rq1rk1/1b3ppp/p1nbpn2/1ppp4/5P2/1P1NPNP1/PBPP2BP/R2Q1RK1 b - -,f6d7
r2qr1k1/3n1ppp/p1p2n2/Ppb1p2b/2P1P3/1N3NPP/1P2QPB1/R1B2RK1 b - -,c5f8
r1bq1rk1/ppp2pB1/3ppnp1/3Pn3/4P1P1/2N2P2/PPPQB2P/R3K1NR b KQ -,g8g7
1rbq1rk1/3n1pbp/p1N3p1/1p1Np3/5Q2/1B6/PP1P1PPP/R1B2RK1 b - -,e5f4
4nbk1/5p2/3np1p1/p2pN3/1q1P4/2RBP1P1/1PQ2PK1/8 b - -,e8f6
3R4/8/8/8/3p4/3K4/6k1/r7 w - -,d8d4
r2rn1k1/p3q1p1/bp5p/n1pP1p2/2P1pB2/P1P2P2/Q1N1B1PP/R3R1K1 b - -,g7g5
8/5k2/5R2/4Kp2/3PP2p/8/8/7r b - -,f7e7
2r2rk1/p4p1p/3b2p1/1B2q3/N1R1n3/4PQ2/P2P1PPP/3R2K1 b - -,e4g5
8/8/8/6k1/4R3/5KP1/r4P2/8 b - -,a2a3
4r1k1/1R3p2/5P2/4PK2/4N3/8/8/b7 w - -,b7e7
r1bq1rk1/pppnppbp/3p1np1/8/2PPP3/2N1B3/PP1N1PPP/R2QKB1R b KQ -,e7e5
r1bq1rk1/1ppn1ppp/1b1p2n1/p2P4/2P1PN2/1PN3PP/P1Q3BK/R1B2R2 w - -,c3e2
rnbq1rk1/pp3pbp/3p1np1/2p1p3/4P3/2P2N1P/PPBP1PP1/RNBQ1RK1 w - e6,d2d4
6k1/ppr3p1/4p2n/2P1P2p/3B4/P2KP2P/6P1/1R6 w - -,d3c4
8/2n2pk1/1qpQn1p1/3pPpPp/3P1P2/1PPBB2P/1K6/8 w - -,d6a3
rn1q1rk1/pp3ppp/2p5/3p3n/1b1P4/P1NB1P2/1PP3PP/R1BQ1RK1 b - -,b4d6
3r2k1/p2P2pp/1p6/2p5/3q4/4Q1N1/PP4KP/4R3 b - -,d4d7
r5k1/ppp2q2/1b1pbpN1/n3p1BQ/4P1p1/2PP4/PP4PP/RN2KR2 b Q -,f7h7
5r2/1pq1r1k1/2p1Q1p1/p3Pn2/1P6/P1P3P1/2Bb1PKP/3R1R2 w - -,e6c4
5r2/1kp3pp/1p2R3/p1p1b3/P1P3Pn/1P2B2P/4NP2/5K2 b - -,h4g6
rnb1k2r/ppp2pp1/4pq1p/b2p4/3PP3/P1NQ4/1PP1NPPP/R3KB1R b KQkq -,e8g8
2kr4/1p1r1pp1/p1qbpn1p/7P/2P4R/1NB3P1/PP2QP2/1K1R4 w - -,d1c1
8/3RRpkp/p2p4/1p4p1/6PK/1r5P/5r2/8 w - -,h4g5
1n1q1rk1/rBp1bppp/1p1pp3/p7/N1PP1B2/6P1/PP1QPP1P/R4RK1 b - -,a7b7
4k3/R7/8/4K3/4P3/7r/8/8 w - -,e5d5
1r2rbk1/1pp2p1p/p1n1q1p1/P1p1p3/2N1P3/1QBP3P/1PP2PP1/R4R1K w - -,f2f4
r2q1rk1/p2n1pp1/1p5p/n1pPp1N1/2P1P3/2PQ4/P5PP/R1B2RK1 w - -,g5f3
8/5b1R/5kp1/8/4BK1P/5P2/6r1/8 w - -,h7h8
6nk/2q1n2r/bp1p1p2/p2PpN2/P1p1P3/2P1N1P1/1PBQ4/5RK1 w - -,f5h4
r3k2r/p1qbppbp/2np1np1/1pp5/4P3/P1PP1N1P/1PB2PP1/R1BQRNK1 b kq -,e8g8
r4bk1/5pp1/4rn1p/1p2p3/3pP3/P2P1NP1/1BR2PKP/4R3 w - -,e1c1
r4rk1/2q2ppp/p1b1pb2/1p2p3/4P3/1BN4R/PPP1QPPP/5RK1 b - -,f8d8
8/3k3p/pp4r1/8/bPP2R1K/5pB1/7P/8 b - -,a4c6
2b4r/1p2kppp/1bp5/4p3/1PP5/2B1P1P1/5PBP/R5K1 b - -,f7f6
r3k2r/pp1nbppb/1qn4p/2pQP3/P1p2P2/6P1/1P3NBP/RNB2RK1 w kq -,b1c3
2rq1rk1/1b2bp2/p1npp2p/6pN/2p3P1/4PN2/PPQ1B1PP/3R1R1K b - -,d8c7
r1b1r1k1/ppq2pbp/2pp1np1/2n5/2PN4/1PN1P1P1/PB3PBP/2RQ1RK1 w - -,d1c2
r7/3k1p2/1rp1p1p1/p2n1q1p/P2P1P1P/bP3QP1/2RB2K1/1R1B4 b - -,a3b4
2r4k/6p1/R6p/1p2p3/1P6/P2qPQP1/5P1P/6K1 w - -,a6a8
8/1kp2p2/1pq1p3/p1p1Pr2/P2R1Ppp/1P1PQ3/2PR2PP/6K1 b - -,c5d4
1r4k1/pB3pp1/7p/2N3b1/1Rb5/6P1/1B2rP1P/R5K1 b - -,c4d5
r3r1k1/2pb1ppp/pbp3n1/1p3N2/P3P3/1PB3N1/2P2PPP/R3R1K1 b - -,f7f6
r1bqk2r/pp3ppp/1bnBp1n1/1N2P3/3p2Q1/P2B4/1P3PPP/R3K1NR w KQkq -,d3e4
2rq1rk1/pp2ppbp/6p1/2nN1n2/2P3b1/P4N2/1P2BPPP/R1BQ1RK1 w - -,a1b1
r1b1k2r/1pqp1pp1/p1n1p1n1/7p/3PP3/2PBB2Q/P3NPPP/R4RK1 b kq -,e6e5
r1bqk2r/pp1nnpb1/2p1p1p1/3pP2p/3P1P2/1BN1B1N1/PPP3PP/R2Q1RK1 w kq h6,d1d2
3r4/8/8/5pk1/2K5/8/8/5R2 w - -,f1g1
8/8/2r5/4p3/4PkB1/2KR1P2/8/8 w - -,c3b4
8/5pp1/7p/2K1k3/B3b2P/P3P1P1/8/8 w - -,a4b3
3r4/1q4k1/3p1p1b/1p1PpBp1/nPp1P1Qp/2P1B2P/6P1/R6K b - -,g7f8
8/1p5k/p1p4P/P2p1PK1/3P1BP1/8/4b3/8 w - -,f4e5
r4k1r/pp3pbp/3N2p1/2pP1b2/1n6/2N1P2P/PP3PP1/2KR1B1R b - -,f5d7
6k1/1R5p/p3r1p1/3p4/1p6/1P1PP1bP/P5P1/5RK1 w - -,f1f3
3r2k1/5qpp/p3p3/2b1Q3/2p1P1N1/2r4P/P5P1/R3R2K b - -,c3h3
3r1rk1/p4p1p/1p1npbp1/2Np4/3P4/1P2PBP1/P4P1P/2RR2K1 w - -,c5a6
rnb1kb1r/1pqp1ppp/p3pn2/8/2PN4/P1N1P3/1P3PPP/R1BQKB1R b KQkq -,b7b6
8/1p6/8/P3k3/1pP5/1P1K4/8/8 b - -,e5d6
8/5pkp/1q1p1p2/4p3/p1B1P1r1/P1Q3P1/KP5P/2R5 w - -,c4d5
r1b1kb1r/pp3p1p/1np3p1/2Q1p3/4PPn1/N2p1NPP/PP4B1/R1B1R1K1 b kq -,f8c5
r4rk1/1p3pb1/p1bPp1p1/q3P2p/4QB2/2N4P/PP3PP1/R4RK1 w - -,e4e3
6k1/5p2/2r3p1/4p3/4P2P/5P2/r1bBN1P1/2R1K3 b - -,c6c4
r4rk1/pppqb1pp/3p1n2/4p3/3nP3/2N2P1N/PPPBQ1PP/2KR3R w - -,e2c4
8/6k1/4N1p1/P4r1p/3pp2P/2n3P1/3R1P2/6K1 b - -,g7f6
3B4/8/5p2/6p1/2n1Pk2/5r2/R7/6K1 b - -,f4e4
8/5pB1/4kP2/6K1/8/7b/7P/8 w - -,g5f4
1r2rk2/3n1pbB/p2p4/2pP3p/P5pP/6P1/3BPP2/1R3RK1 w - -,h7d3
r2r4/p1pnkp2/1p1bp2p/6p1/3PN3/4PNPP/PPR2P2/2R3K1 b - -,f7f5
8/3k1K2/2R5/2PP4/8/8/8/2r5 b - -,c1h1
3q1rk1/4bpp1/r7/p1ppPb1P/1pnP3P/2PQBN2/P4PK1/R6R w - -,d3f5
2r1r1k1/1p3ppp/1p1N1b2/3P4/P4P2/1P6/3R1PBP/5bK1 w - -,g2f1
3r2k1/1pnr1pp1/p1p3bp/2B5/PP2P3/5PP1/6BP/2RR2K1 w - -,d1d7
8/p2r4/Rb4k1/1Pp1p1p1/2P1Pp1p/2KP1P1P/8/6R1 w - -,c3d2
6k1/3r1p2/pN4p1/1b2P3/6P1/2R4P/1PP5/1K6 b - -,d7d1
1r6/5p1k/3P1p2/p2r1N1p/4P3/P6P/5PP1/2R3K1 b - -,d5d3
2krRb2/pp5p/5pp1/2pn4/3P4/2P5/PPNB2PP/3R2K1 b - -,d8e8
2r5/5knQ/p2p1q2/n1pP4/2P1p3/4P3/P2N3P/6RK w - -,g1f1
2r2rk1/pp3pb1/3pb3/q3n2p/6pP/1PN1P1B1/P3BPP1/2RQ1RK1 w - -,d1d2
1r2qrk1/1pp3b1/p1np3p/4p1pP/2P1Ppb1/PQBP1P2/1P1N2P1/R3K1NR b KQ -,g4h5
