8/7K/1p4p1/8/P1p4P/2k5/8/8 w - -,h7g6
r3k1nr/pp1qbppp/2npp3/8/2PNP3/2N5/PP3PPP/R1BQ1RK1 b kq -,g8f6
2r5/3k4/p7/1p2p2R/4n1PP/1N6/2P5/6K1 b - -,e4f6
1r1q1rk1/2pb1pbp/3p1np1/1p1Pp3/1PB1P1P1/2N1BPN1/P2Q3P/2KR3R b - -,b5c4
1rb2r1k/2nnqp1p/pp4p1/2pPp2Q/P1P2B2/3B3P/2P3PN/R3R1K1 w - -,e1e5
3r3r/pk3pB1/1p2p2p/2b5/6PP/2R5/PPP2P2/2KR4 b - -,d8d1
8/7k/pp1R3b/2p5/8/3Nr3/PP2K3/8 w - -,e2d1
r4rk1/1R3p1p/p3p1nb/2ppP3/8/2PP2B1/P2N1P1P/4K2R w K -,e1e2
5bk1/5p1p/4nBp1/p3N3/Pp6/1BrR2P1/5PKP/8 b - -,e6d4
3rr1k1/p4ppp/2n2n2/q2p4/N1p1p3/PP2P3/2PRQPPP/3R1NK1 w - -,d1c1
8/p3r1p1/1pb1Bp1p/2k2K2/2P5/P3P3/5RPP/8 b - -,c6e4
r6r/2R2ppp/p3pk2/8/Pp6/3n2P1/1P3PKP/RN6 w - -,b1d2
8/8/8/6k1/6b1/4r3/5RK1/8 w - -,f2b2
6k1/5pp1/4p2p/1p1p3P/pP1P1BP1/5PK1/8/8 w - -,f4c1
r1b2rk1/pp1nq1b1/4pn1p/2pp1pp1/2PP4/3BPP2/PPQNNBPP/R4RK1 b - -,b7b5
2rq1rk1/5pbp/3p4/p2Qp3/1pP5/6P1/PP3PBP/R4RK1 w - -,b2b3
2b1k2r/r1p1npp1/p6p/Pp1QN3/8/2P4P/1P3PP1/RN3RK1 b k -,e7d5
8/6k1/1R6/5p2/4p2p/8/r5PK/8 b - -,a2a3
r3r1k1/pbq2pp1/1ppbpn1p/4N3/3P4/3B4/PPPBQPPP/3R1RK1 w - -,f1e1
r1bqr1k1/ppn2ppp/2pb1n2/3p4/2PN4/2N2QP1/PP2PPBP/R1BR2K1 b - -,c8g4
rnb1qr1k/1pp1npbp/6p1/p3p1B1/4P2P/2N2NP1/PPPQ1PB1/R3K2R b KQ h3,f7f6
rnbqkb1r/pp3p1p/2p3p1/3p1p2/3P4/4P1P1/PPPN1PBP/R2QK1NR b KQkq -,b8d7
r4r1k/pp2bpp1/4b1qp/nP2p3/2PpNP2/P2P2P1/2N3BP/R2Q1RK1 b - -,f7f5
6k1/2p2pp1/5n1p/R7/8/2PN4/3K1PPP/1r6 w - -,a5a8
r2q1rk1/pp2ppbp/1np2np1/8/3PPBb1/2N2NP1/PP2QPBP/R4RK1 w - -,f1d1
6k1/1p5p/pB3pp1/P7/8/6P1/6KP/2r5 b - -,g8f7
r3k2r/1p1bbp1p/p3pp2/n7/P7/2P3P1/3NPPBP/R1BR2K1 w kq -,c1a3
8/2q2pkp/1R3np1/3B3r/2PQ4/6P1/5PK1/8 b - -,h5e5
r3r1k1/3b1p1p/p1p3pb/2Pp3n/8/2N2P2/PP2NBPP/3RR1K1 b - -,h5g7
r1bq1rk1/1p1pppbp/2n3p1/p7/P2NP1Q1/1BN1B3/1PP2PPP/R3K2R b KQ -,c6d4
r1r3k1/5pb1/8/3p4/3Pb1P1/2B3Q1/pP3K2/R7 w - -,g3d6
2r3k1/p1q5/3R1b2/2p1p1pp/P1P1Pp2/5N1P/5PP1/3Q2K1 b - -,c7g7
r1bqk2r/p1p2ppp/2pp1n2/2b5/4P3/2NB4/PPP2PPP/R1BQK2R w KQkq -,e1g1:c3a4
3r2k1/p5bp/1q2p3/1p3p2/8/1N4P1/PP2QPKP/4R3 b - -,e6e5
3r4/kpqr1p2/pn2p2p/2b1P1p1/3NR3/PBP3P1/1P2QP2/1K1R4 w - -,d4f3
8/2n2p1p/2Np1kp1/2pP4/2P5/1P1B3P/5PP1/2b2K2 w - -,f1e2
r1b1rbk1/1pqn1p1p/2p2np1/p3p3/4P3/PP3NP1/1BPNQPBP/R3R1K1 w - a6,h2h3
8/1Q3pk1/6p1/1P5p/8/4KP2/8/4q3 w - -,e3d3
2krrb2/p1n4p/2p2p2/N1P1pb2/1PP5/N4P2/P2B1K1P/3R3R b - -,d8d3
2r3k1/p2rRppn/1p6/3P2p1/q7/5Q2/1B3PKP/3R4 w - -,f3f7
r1b1kb1r/2qp1ppp/p1p1pn2/8/4P3/2N3P1/PPP2PBP/R1BQK2R w KQkq -,c1e3
5rk1/p1pq2pp/b1p5/1rRpPp2/3P1P2/1P2B3/P2Q2PP/R5K1 w - -,a1c1
8/8/6k1/p5Pp/5P2/3RK2P/r7/8 w - -,d3d6
6k1/r6p/6p1/p7/2p1NP2/2B5/PPP3PP/2KR4 w - -,e4g5
r1b1r1k1/2qn1pbp/1ppp2p1/p1n5/2PNPP2/1PN1B1PP/P1QR2B1/3R2K1 w - -,e3f2
8/3k3p/1p1bp1p1/1r6/R2P1P2/6P1/P1KB3P/8 b - -,d7c6
2rqr1k1/pb4pp/1pp1pn2/5p2/1bPP4/PP3NP1/1B2R1BP/2RQ2K1 b - -,b4d6
1rr3k1/pp2ppb1/1q1pbnp1/7p/P1Pn1P2/1PN1N1PP/4P1BK/2RQBR2 w - -,c1b1
r1b1kbnr/pp4pp/2n1pq2/3p4/3P4/3B4/PP1NNPPP/R1BQK2R w KQkq -,d2f3
rnbqk2r/ppp1p1bp/3p1np1/5p2/2PP4/1P3NP1/PB2PP1P/RN1QKB1R b KQkq -,e8g8
6r1/1p4r1/p1b1pk2/Pp1p1p1p/3P1P1P/3NR1P1/1P1R1K2/8 b - -,g7e7
8/1pb1kp2/2p1r1pp/p3p3/P1N1P3/1PP2P2/4KP1P/2Rr4 w - -,c1d1
2brr1k1/2q2p2/2p1pbpp/1pPnN3/pP1PQ2P/P5P1/1B1R1P2/3R1BK1 w - -,h4h5
4b3/1B6/p2k2p1/1p5p/1P1K1P2/P5P1/7P/8 w - -,b7e4:b7a6
1rbqr1k1/5pbp/3p2p1/4n2n/2pNP3/6PP/PPNBQPB1/R3R1K1 b - -,c8b7
8/p3qrk1/1p3pp1/2pPn2p/5Q1P/8/P4RP1/3R2K1 b - -,e7d6
8/3k4/3p1p2/2pP2p1/1pP2P1p/1P2K2P/2bN2P1/8 b - -,d7e7
2b3k1/4Bpp1/pq2p2p/1p2P3/PP2p3/4P3/4BPPP/R5K1 w - -,a4b5
3rr1k1/2q1p3/1pp2Npp/p2nRb2/P2P1n1B/1BP2Q2/1P3PPP/R5K1 b - -,e7f6
2q3k1/1p2p2p/pQ1p1pp1/3P4/6P1/1P2P1P1/P4P2/6K1 w - -,a2a4
8/p2k1n1r/1p1P2R1/2p1pR2/P3P3/2P1K3/6p1/5b2 w - -,f5f6
3r1k2/pq3ppp/R7/8/4pn2/1P2Q3/2P2PPP/R5K1 w - -,e3c5
6k1/p4ppp/1p2p3/4P3/r3b1P1/2B4P/1P2NK2/8 b - -,e4d5
6k1/ppr2ppp/3n1n2/3p1N2/bB6/P3P3/4BPPP/4K2R w K -,f5e7
r2q1rk1/p1pb1pbp/2pp1np1/8/2B1P3/2N5/PPP2PPP/R1BQ1RK1 w - -,c1g5
1r4k1/2rb2p1/1b1q1p1p/1p1Pp2P/pP2P1P1/R1PB3K/3BQ3/2R5 b - -,b6a7
2r1k3/6bp/2p1p1p1/2B2bP1/3PpP2/1B2P1KP/P7/2R5 w - -,c1c4
8/1p5p/3k1pp1/PP2p3/3K1P1P/3B2P1/6b1/8 w - -,f4e5
5rk1/p1p3pp/1R1p4/2pPpq2/P1P1R3/3Q1P1P/6P1/6K1 b - -,c7b6
r1br2k1/p1q2ppp/1p2pn2/n1P5/P1B5/2P1PN2/2Q2PPP/R1B2RK1 w - -,c4e2
3r4/3rb1pp/p1p1k1n1/5p2/2p5/1PNR2PP/PB2KP2/3R4 w - -,d3e3
2r1r1k1/q4p1p/3p1bp1/p2B4/P2nP1Q1/1p2N2P/1P1R1PP1/3R3K b - -,f6g7
8/3bk2p/1B6/1pKN2p1/8/3r3n/8/5R2 b - -,e7e6
r5k1/2pq1r1p/pp1p2pb/3Pp3/2P1N3/1P1Q1PP1/P1R3KP/5R2 b - -,a6a5
5k2/5b1p/5p2/R7/1p1KP3/1P1N3P/P5r1/8 b - -,g2h2
6k1/pp4np/2pbqp2/8/3P1B2/2P2QN1/PP4PK/8 w - -,g3e4
r4r2/5pkp/1nN3p1/1P6/2p5/6P1/2K2P1P/R3R3 b - -,f8e8
r1bqkb1r/ppn2ppp/2p2n2/3p2B1/3P4/2N1P3/PPQ2PPP/R3KBNR w KQkq -,f1d3
r3n3/p1pqQr1k/2p2p2/5bp1/2PB4/N2P2P1/PP3P2/R3R1K1 w - -,e7d7
8/8/4Kpkp/6b1/1R6/8/6P1/8 w - -,b4b8
8/3r4/pb2k1p1/1p2Pp1p/1P1p1P1P/PK1R1NP1/8/8 w - -,b3c2
r7/1r4p1/3pkpn1/1ppN2p1/p3P1P1/P2P3P/1PPR2K1/R7 w - -,c2c3
8/5p2/3p1p2/4pP1P/2B1P3/2p2k2/2K1R3/6q1 b - -,g1a1
r1bq1rk1/ppp3bp/2n1p1p1/3p1p2/2PPn3/1P3NP1/PB2PPBP/RNQR2K1 b - c3,c8d7
r1b2rk1/1pp3pp/4np1q/4p3/2P4P/P1Q3P1/1B3P2/1K2RB1R w - -,f1g2
