5r2/6k1/pp5p/P1b1R2P/6P1/8/1P4K1/8 b - -,f8f2
8/pp1r4/2pN1k2/8/3R2P1/P5K1/1PP5/8 b - -,f6e5
rn2kb1r/1p2pppp/1p3n2/3p1b2/2pP1B2/2P2N1P/PP1NPPP1/R3KB1R b KQkq -,b8c6
8/Q4pkp/6p1/4q3/8/P1n1PB1P/1r1r2P1/2R1R1K1 w - -,a7a8
r2r2k1/pp2bppp/2p1p3/2PqB3/3PQ3/8/1P3PPP/R3R1K1 w - -,e4g4
8/2B2k2/8/PP1R1p2/6p1/7p/2r2b2/5K2 w - -,d5f5
rn2kbnr/pp3ppp/2p1p3/q7/3P1B2/2N3N1/PPPQ1PPP/R3K2R w KQkq -,g3e4
b5rk/p1Q2p1p/1p2pq2/5p2/3P3r/2PB1P1P/P1R3P1/5R1K w - -,c7a7
8/8/pBK1k3/P3p1p1/4Pr1b/8/4RP2/8 b - -,f4f7
r1q3k1/2r2pb1/4b1pp/2Npp3/1P6/1Q1P2P1/5PBP/1R3RK1 b - -,a8b8
r1b1kb1r/1p3ppp/p1p2n2/4p1B1/2B1P3/P1N5/1PP2PPP/2KR3R b - -,f8e7
8/p5p1/1pk1pp1p/4P3/1PP3PP/P3K3/8/8 w - -,e3d4
r1bq1rk1/ppp1n2p/3p1np1/2PPp3/1PN1Pp2/2N2P2/P3B1PP/2RQ1RK1 w - -,a2a4
r4rk1/pp1nbpp1/1qp1pn1p/3p1b2/3P1B2/1QP2NPP/PP1NPPB1/R3R1K1 b - -,f8e8
2kr3r/pp2b2p/2n2np1/3p1p2/5P2/P1NB1P2/1PPB3P/2K1R2R b - -,d5d4
4r1k1/p4q2/3Qbpp1/n6p/1p1B4/8/1P3PPP/3RR1K1 b - -,b4b3
r1bqr1k1/ppbn1ppp/2p2n2/3Pp3/P1N5/1PN1P3/4BPPP/R1BQ1RK1 b - -,c6d5
8/5r2/2pkbp1R/1p2p3/1P2P3/2KN1P2/2P5/8 b - -,e6c4
r1r3k1/pp2bppp/3p4/2P4P/3P4/4B3/P1P2PP1/1K1R3R b - -,d6c5
rn1qkb1r/ppp3pp/3pbn2/5p2/1PPPp3/4PN2/PB3PPP/RN1QKB1R w KQkq -,f3g5
3r3k/1p1q2p1/7p/P4p2/1P2p2P/4P1P1/1Q3P2/2R3K1 b - -,d7d6
r1b1kb1r/pp1npp2/1qp4p/3pB1pn/3P4/1P1BPN2/P1P2PPP/RN1QK2R b KQkq -,d7e5
8/4r2p/2R5/p2p2p1/5k2/PP3P1P/K4P2/8 b - -,f4f3
r1bqkb1r/pp2pppp/2n5/2pn4/8/3P1NP1/PPP2PBP/RNBQK2R b KQkq -,g7g6
2kr4/5p2/1pb1p2p/p1P5/3PN3/4KPP1/7P/R7 b - -,c6e4
r1bq1rk1/pppnppbp/3p1np1/8/3PP3/2N2N1P/PPP1BPP1/R1BQ1RK1 b - -,c7c6:e7e5
r4bk1/5pp1/qpp5/3p2pP/1p1P3B/1Q3P2/PPP5/1K2R3 w - -,h4g5
1k1qrn1r/1p3p2/p1pb1p2/P2p2pp/1P1P2bP/1NPBP1P1/3KNPQ1/R6R b - -,f8g6
2rqkb1r/pb1n1ppp/4pn2/1P6/3p4/5NP1/1PQ1PPBP/RNB2RK1 w k -,c2d1
2r2rk1/5p1p/p5p1/2q1p3/3b4/NR3Q2/PP3PPP/1K1R4 w - -,d1f1
1r5r/1Qpk1ppp/2nbq3/8/3P4/3BBN2/PP3PPP/R4K2 w - -,b7a6
2rr4/p3knpp/P1p2p2/1p3b2/1P3P2/2N3P1/4P1BP/R1R3K1 w - -,c3a2
r1r3k1/3n2pp/2q1pp2/1p6/2pBPP2/2QP4/2P3PP/R4R1K w - -,h2h3
r4rk1/1p2pp1p/p1n1b1p1/2Pp4/3P3N/PPKB2P1/5P1P/R1R5 b - -,e6d7
5k2/6bp/p2N2p1/2n5/8/1P5P/P2N1PP1/5K2 b - -,f8e7
6k1/q2np2p/p5p1/1rp2rN1/1pR2P2/1P1P3P/1Q2P2K/2R5 b - -,h7h6
r1bqkb1r/p2n1ppp/1pp1pn2/3p4/2PP4/2N1PN2/PPQ1BPPP/R1B1K2R b KQkq -,c8b7
5k2/1b2qp1p/2p3pN/1p1n4/8/3P1NP1/3Q1P1P/6K1 b - -,e7f6
bq1r2k1/3nbppp/pprppn2/8/NPP1P3/PN2BP2/5QPP/2RR1BK1 w - -,b3d4:g1h1
3r1rk1/pp3ppp/2n1pb2/3q1n2/Q2P4/P3BN2/1P2BPPP/2RR2K1 w - -,e2c4
1rbq1r2/p1p1n1k1/1p1p3p/1P2nNp1/2P1P3/2NP2P1/P5BP/1R1Q1RK1 b - -,e7f5
2r3k1/5pp1/p3pn2/1pB1N2p/nP2P3/P4KP1/7P/2R5 w - h6,h2h3
r6r/pp1bkppp/1bp5/8/PPB1P3/2N1BP2/6PP/1R3R1K b - -,b6e3
r1bqr1k1/1p1n1pbp/2pp2p1/p1n5/2PNP3/2N1B1PP/PPQ2PB1/3R1RK1 w - -,b2b3:d1d2
r2qkb1r/pp1n1ppp/2p1pn2/3p3b/3P4/1P3NPP/P1PNPPB1/R1BQ1RK1 b kq -,f8d6
r2q4/pp3pk1/1n5p/1B1r2p1/5n2/1Q3RP1/PP5P/R3B2K b - -,f4e6
8/7p/2R3k1/p2KPpn1/8/P5P1/7n/8 b - -,g6g7
1r2r1k1/2p2pp1/p2q1n1p/8/4p1P1/2P1B2P/PPQ3P1/R3R1K1 b - -,f6d5
2kr1b1r/ppp2ppp/2n2n2/3q1b2/2Bp1P2/5N1P/PPPN2P1/R1BQ1RK1 b - -,d5c5
8/3Rp1k1/1p2p1p1/2b1P2p/2P4P/2r3P1/4B3/5K2 w - -,e2d3
3r2k1/1q1bbppp/n2p4/N2Pp3/pP2Pn2/5N1P/1B1Q1PP1/4RBK1 b - -,b7b6
2r1nrk1/1q3pbp/p3p1p1/3nP1P1/1ppRN3/2P2N1P/PP2QP1B/2R3K1 b - -,b4c3
r4rk1/p3q3/1p5P/2ppnbN1/4pB2/1P4P1/P1Q1P2P/2R2RK1 w - -,c1d1
8/2RPk3/p3b3/4Np2/3K4/7r/8/8 b - -,e6d7
8/2n5/1p2p3/3pP3/1PpP1k2/2Pb4/1K5N/3B4 b - -,d3f5
r3kb1r/pp1n1pp1/2p1p2p/8/3P3q/P1N1PP2/1PPQB2P/R3K2R w KQkq -,e1d1
7k/1R6/3p2np/3P4/4npK1/1P6/8/8 w - -,g4f5
r3k2r/p3pp2/1pnp2pp/8/2P2P2/3P2PB/Pb1B1K1P/4RR2 b kq -,b2f6
2r5/4kp2/1p4pp/p7/Pn1RB1P1/3P4/5PKP/8 b - -,c8c3
8/5k2/4p3/6P1/4RP2/8/5K2/r7 b - -,a1a2
8/1k3p2/p2RpP1b/Bp2P1pP/1P2r3/3K4/8/8 b - -,e4e5
r1b2rk1/ppq2pp1/2pbpn1p/8/2PP4/1P3N2/PBB2PPP/R2Q1RK1 b - -,f8d8
3b4/4rkp1/2p4p/pp1pB3/P2P1P2/2P4P/1R3KP1/8 w - b6,a4b5
r1r3k1/3qbppp/p1n1p3/1p1pP3/3P4/P2Q1N2/1PRB1PPP/2R3K1 b - -,c6a7
3r2k1/rp2R1pp/1Np4b/2P5/P2P1P2/2B3P1/P7/6K1 b - -,g7g5
5k2/r7/3K4/3P4/4P3/8/p7/R7 w - -,e4e5
rnbq1rk1/pppp1ppp/8/3Pp3/1b6/6P1/PP1PPPBP/R1BQK1NR b KQ -,c7c5:d7d6
2b1r1k1/pp2rp1n/2p3q1/6P1/2BP1R2/2N5/PP4Q1/5RK1 w - -,c4f7
5rk1/2p3pp/1p2rn2/pPn1Npq1/2P1b3/P3PB2/1B1Q2PP/3R1R1K w - -,b2d4
r3r1k1/pp3pbp/2p1b1p1/3qn3/8/1P2P3/PBQNBPPP/R4RK1 w - -,f2f4
2k5/R4R2/6p1/p7/4q3/1P4PP/5PK1/8 w - -,g2h2
r1bq1rk1/pp2ppbp/n1p3p1/3p4/2PP3N/1P4P1/PB1QPPBP/R3R1K1 b - -,f7f5
4r1k1/1p3pp1/p1b5/2b3p1/2p5/P1P2NBP/1P3PP1/3R2K1 w - -,g1f1
5rk1/2Rb1pp1/qr2pn1p/1pRp4/pP1P1QPP/N2BP3/P4P2/6K1 b - -,d7e8
4r2k/p4Qp1/1pP4p/3B1b2/1P6/P5P1/4qp1P/6RK w - -,f7f5
r4rk1/5ppp/1p1Rp3/p1n1P3/8/P3NPP1/1P4KP/R7 b - -,b6b5
r3k2r/ppp1qppp/3p4/4nb2/2Pn1B2/2Q1P3/PP2BPPP/R4RK1 w kq -,e3d4
4r3/1p5p/2p2B1k/4p3/8/1BPq3P/PP3RP1/7K w - -,g2g4
rnb2rk1/1p2ppb1/p5p1/q1pQP1Np/5P1P/2N1B3/PPP3P1/R3K2R b KQ -,b8d7
6r1/pb6/1p5p/5k2/2P1pP2/1Pbp4/P4BPP/1K1R1R2 w - -,g2g3
2rq1rk1/1b2npbp/p1Npp1p1/8/P3P3/2N1B3/1PB1QPPP/R2R2K1 b - -,e7c6
1rbq1rk1/2p3pp/1p1p4/pP3pb1/2PPn3/B3P1PP/P2NRQB1/R5K1 w - -,g2e4
1b6/8/4k3/p1P1P3/P6K/1P6/8/8 b - -,b8e5
r1b1rbk1/1ppn1p2/4q1pp/pPP1p3/P3PP1N/B5P1/2Q3BP/R4RK1 b - f3,e5f4
1k6/6p1/KP1nB3/3P1P2/8/8/8/8 w - -,b6b7
