7R/3k4/8/p5N1/PpP3b1/8/1r6/5K2 w - -,h8a8
4r1k1/p5pp/1qp5/1p1p4/8/1PP2BPb/P1Q4P/2R3bK w - -,c1g1
8/7p/1K6/1PQ3p1/5p2/8/4p2P/5k2 w - -,c5g5
3rr1k1/pp3p1p/2p1b1p1/8/4PP2/2NRK3/PP2B1P1/8 b - -,h7h5
r1bq1rk1/pp2ppbp/2np1np1/2pP4/4P3/2PB1N1P/PP3PP1/RNBQ1RK1 b - -,c6b8
8/8/3pk3/p3p3/PpP1b3/8/1P1K1P2/8 b - c3,e6f5
4q1k1/Q2nr1p1/2p1p2p/2Pp4/1P6/3bP1P1/1B3PBP/R5K1 b - -,e8h5
3r4/3r1pkp/pp1n2p1/2pP4/8/P1R2B1P/1P3PP1/4R1K1 b - -,h7h5
r1bq1rk1/1p2ppbp/p4np1/3pn3/3P4/3B4/PPPN1PPP/R1BQR1K1 w - -,d4e5
2rrb1k1/1p5p/4p1p1/1P1p1p2/pb1Pn3/3BPPP1/PB5P/1NRR2K1 b - -,e4d6
8/8/8/4B2p/1k2P1b1/2p4p/8/4K3 w - -,e5f4
r1bqkb1r/pp2nppp/2n1p3/2pp4/5P2/3P1NP1/PPP1P1BP/RNBQ1RK1 b kq -,g7g6
2k1r3/1p1q1p1p/2n3p1/1Nb2n2/p2p1BB1/P5P1/1P3P1P/2R1Q1K1 w - -,e1d1
r1bq1rk1/1p1pnpbp/p3p1p1/8/B2pPB2/3P4/PPPN1PPP/R2QR1K1 w - -,a4b3
bn1qk2r/4bppp/3p1n2/1pp1p3/4P3/1N1P2P1/1PP2PBP/1NBQ1RK1 w k -,d1e2
rn1qk2r/ppp1bppp/5n2/3Pp3/2P1P1b1/P1N5/1P2B1PP/R1BQK1NR b KQkq -,g4e2
r1b2rk1/pp2b1pp/1np3q1/3p1p2/3P4/3B2NQ/PPP2PPP/R1B1R1K1 b - -,e7d6
8/5k2/R7/4rp2/3p4/3K4/6P1/8 b - -,e5e4
r1b1k2r/pp4pp/1qnbpn2/3p2B1/3P4/1N1B1N2/PP3PPP/R2Q1RK1 b kq -,e8g8
r3k3/pq2pp2/1p1p3r/6Np/4P1pP/2RQ4/5KP1/4R3 w q -,f2g1
5rk1/p1p1r1pp/3pN3/3P4/1P2Bp2/P4Pbq/3Q4/2R2R1K w - -,h1g1
rnb1kb1r/ppp3pp/3p1nq1/8/2NPp3/2N1B3/PPP2PPP/R2QKB1R w KQkq -,h2h3
2r2rk1/p4p1p/1p1pb1p1/4p3/3qP3/P1RP2P1/1P1Q1PBP/5RK1 b - -,c8c3
r2q1rk1/pbpnBpp1/1p2p2p/3p4/2PPn3/2N1PN2/PP2BPPP/2RQ1RK1 b - -,d8e7
2kr3r/1b1n3p/pqn1p1p1/1p1pp3/1P1N1P2/2PB1N2/P4RPP/R3Q1K1 w - -,f4e5
5k2/4q3/p1B1p1QP/1p4p1/3b4/6P1/P4P2/6K1 w - -,h6h7
r5k1/3n1ppb/2pBP2p/1p1p4/6P1/1BP2P2/1P3KP1/4R3 b - -,f7e6
r1q1k2r/1p1n1pp1/p3n1p1/2bNP3/4PB2/6P1/PP2Q1BP/R4R1K b kq -,g6g5
r3kb1r/pp2pppp/1np1bn2/8/2NP1B2/2N2P2/PPP3PP/2KR1B1R w kq -,c4b6
8/2p3pk/7p/1r1BN3/n3Pp2/2P1bP1P/P5PK/5R2 w - -,d5c6
3q1rk1/4np1p/3P1Q2/2b2b2/2N5/5N2/2P2PPP/5RK1 b - -,f5c2
3q2k1/5p1p/ppb1pnp1/4Q3/1PP5/PN3P2/6PP/5BK1 b - -,c6a4
r3kb1r/1pp2pp1/p1p1b1n1/4P2p/3N4/2N3B1/PPP2PPP/R4RK1 w kq h6,h2h3
rn2r1k1/p1q2ppp/2bR4/1p2P3/2B2PP1/B6P/P3Q3/R5K1 w - b6,c4d3
2r5/pp6/b2pR3/3P2p1/P3P1k1/2B3n1/1P6/4K3 b - a3,g4f3
3b1rk1/1R5n/B2p4/4n1p1/3BP1P1/8/P1r5/5RK1 w - -,d4e5
2r1r1k1/p2qp1b1/1p3p2/1P1P2p1/8/2B2RQ1/5PPP/4R1K1 b - -,d7d5
5r2/p6k/1p1p3p/2pP1P2/Pn2Pbq1/1P6/3Q1B2/2R2K1R w - -,d2d1
5k2/4pp2/1p1p4/1Pn2P1p/2PR3K/r5P1/4R3/8 b - -,c5d7
r1bqk2r/pp2npbp/2n3p1/2p1p3/2B2P2/N1PP1N2/PP2Q1PP/R1B1K2R b KQkq -,e8g8
3B4/8/5kp1/4p3/4B1K1/3P1P2/8/4r3 b - -,f6g7
2n3K1/4k3/4r1p1/1P1Qp2p/7P/5PP1/8/8 b - -,c8d6
r1bqkb1r/pp1p1p1p/2n1p1p1/3nP3/2P1Q3/5N2/PP3PPP/RNB1KB1R b KQkq c3,f8b4
2r3k1/5p2/R2pr1p1/R2qn2p/1P2p3/2P1B1QP/5PPK/8 b - -,d5d3
8/p5r1/1p1p1k2/4pr2/1PP4P/4Pp1Q/5P2/7K b - -,a7a5
r1bq3r/1p2kpb1/p3p1pp/2p5/7P/P3PQ2/BPPP2P1/R1B2RK1 b - -,f7f5
r4rk1/ppp2ppp/3pb3/4n3/1BP1q3/1P2PB2/P4PPP/R2Q1RK1 b - -,e5f3
5Q2/7r/p1p1n3/1p2kb1p/1P5P/P5P1/8/2K5 w - -,f8b8
8/8/8/1pK5/8/1k3n2/8/4B3 b - -,b3a4
8/6r1/3kp3/5p2/2BPn3/2P5/1P2K3/4R3 w - -,e2d3
r1b1kb1r/pp3ppp/2n1p3/q2pPn2/N2P4/5N2/PP2BPPP/R1BQ1K1R b kq -,c8d7
r1b1kb1r/ppq1pppp/2p2n2/2p5/4P3/3P1N2/PPPN1PPP/R1BQK2R b KQkq -,e7e5
5k2/1qb2p1p/4p2p/2P1P3/1p3P2/1N1Q3P/6P1/6K1 b - -,f8g7
r3rq1k/3b4/p2p3p/2pPp1pP/PpP1N1P1/4RP2/1PQ5/1K2R3 b - -,a6a5
2rq1rk1/3bbppp/3ppn2/1p6/3NP3/1P4P1/PB3PBP/R2Q1RK1 w - -,a2a4
r2qk2r/pp3ppp/2pbpn2/8/3P4/2PB3P/PP1BQPP1/R3K2R b KQkq -,d8c7
1r1r4/p5k1/2pq1ppp/P3n3/2BBP1N1/1P4QP/5PP1/3R2K1 w - -,g4e5
r1b5/pp1k2r1/2n1p1n1/3p2N1/3Q3P/P1p5/2P2PP1/R1BK1B1R b - -,c6d4
r1bqk2r/pp2bppp/2n2n2/2p5/2Pp4/1P1P1NP1/P4PBP/RNBQ1RK1 w kq -,b1a3
8/p4pk1/B4n1p/4N1p1/3n4/7P/PPr3P1/5RK1 w - -,f1f2
1k1rr3/pp3ppp/5n2/4pn2/3B4/PP1P2P1/5PKP/2RBR1N1 b - -,f5d4
r1b1kb1r/1pqn1ppp/p2ppn2/8/3NP3/2N3P1/PPP2PBP/R1BQ1RK1 w kq -,f1e1
7R/1p1R1p2/4p3/1P1bk1p1/6P1/2K4P/8/5r2 w - -,h8h5
r1qb1rk1/ppp2pp1/3p1n1p/3N4/2PQ4/1P4Pb/PB2PPBP/3R1RK1 w - -,d1d2
8/R7/3ppkp1/P2P3p/4P2P/5PP1/r7/6K1 w - -,a7d7
r1b1r1k1/5ppp/p7/Np2n3/P2p4/3P3P/1PP1N1P1/4RRK1 b - -,b5a4
2r5/p2k1ppp/1p1b4/n2Pp3/r7/P1P1N3/5PPP/RRB3K1 w - -,g1f1
2b3nk/pp4rp/2p5/3p4/3PPN1R/2N2K2/Pr6/3R4 b - -,g8f6
3q1rk1/R4pnp/2Q1pnpb/3pB3/1N1P4/1P2PB1P/P4PP1/6K1 b - -,f6e4
5rk1/p2b2bp/4p1p1/6P1/2q1P2P/3p1N1Q/P5K1/4R3 w - -,e1h1
6k1/1Q3pp1/4pn1p/8/N7/1P4P1/P4PKP/4q3 b - -,f6e4
3brrk1/1bpqnppp/3p1n2/1p2p3/4P3/1B1P1NN1/1PPB1PPP/R2QR1K1 b - -,c7c6
r1b1k2r/pp1nqppp/2p2n2/3p4/3P4/2NBP2P/PPQ1NPP1/R3K2R b KQkq -,d7b6
1R1k4/3n1p2/5q1r/1QP1p1pp/3rP3/2N3PP/5PBK/5R2 b - -,d7b8
2r3k1/pN3p1p/6p1/3P4/4B3/3p1N2/Pb3PPP/5K2 w - -,e4d3
2r3k1/1b3pp1/1B2p2p/R5P1/8/3P4/PP5P/1K6 w - -,g5h6
8/5k2/P1R3p1/2pK4/3bN1P1/8/r7/8 b - -,d4g1
4r1k1/pp3p2/6p1/P2pP1Q1/5B2/6P1/1Pq2P2/6K1 w - -,e5e6
3q1rk1/3b1p1p/p2p1pp1/n2P4/1pP5/3Q1NP1/P3PPBP/5RK1 b - -,a5b7
1r2qr2/1pp4k/p3p1pp/4Pn2/3nBN2/1Q4P1/PP3P1P/3R1RK1 w - -,b3c4
6k1/5pb1/7p/2R3p1/3pN1P1/P2P2r1/r3P1n1/2B1RK2 b - -,g3g4
r1bqr1k1/pp1nbppp/3p1n2/2pPP3/2P5/2NBPN2/PP4PP/R1BQK2R b KQ -,d7e5
7r/p1p2kp1/1pn2p2/6p1/2PP1pP1/P1P2K1P/3N1P2/3R4 w - -,d1h1
4qQ2/1bpkP3/p1p3p1/P1Bp1p1p/3P1P1P/1P6/5KP1/8 b - -,b7c8
