8/1b6/4R3/5p1k/pB5p/P6P/1r3P2/6K1 b - -,b7e4
2rb1rk1/2q2ppp/p3p3/1p6/2nB1P2/2P5/PP3QPP/1B1R1R1K b - -,e6e5
4r3/p5R1/1p6/8/2p5/2PK2pk/PP3p2/5N2 w - -,d3c4
3r2k1/p2q1ppp/1p2p3/8/2PbN3/1P4P1/P1Q1RP1P/6K1 b - -,d4f6
7r/5k1P/8/5P2/5K2/7R/8/8 w - -,f4g5
r2q1rk1/1b1pbppp/p3p3/2p1P3/4NB2/8/PPP1QPPP/R4RK1 b - -,b7c6
3r3k/pp2qppn/2p2r1p/4p3/4P3/1BP1bR2/PP2QPPP/R5K1 w - -,e2e3
8/4k3/1p2p3/p1b5/P1P1P1r1/1P1R1N2/8/5K2 w - -,e4e5
r3r1k1/p4pp1/b1pb1q1p/8/1NnN4/2P5/P1Q1BPPP/R1B2RK1 b - -,d6b4
8/8/5nk1/4R1p1/6P1/5K2/8/8 w - -,e5a5
5rk1/1q4pp/p2b3N/1pp2p1Q/n1P5/3P1P2/PP1B2PP/4R1K1 b - -,g7h6
r1bq1rk1/pp1nbpp1/2p2n1p/3p4/3P3B/1QNBPN2/PP3PPP/R3K2R b KQ -,f6e4
r5k1/ppq3p1/2pb2Np/3n4/3PQ3/1B2P3/PP1B1rP1/R6K w - -,e4e6
r1b1rbk1/1pq2pp1/2pp1nnp/pP6/2PNP3/P1N1BP2/2Q3PP/2RR1BK1 b - -,d6d5
rnr3k1/1b1p3p/3Np1p1/3PRp2/2p2Q2/8/Pq3PPP/1B1R2K1 b - -,c8f8
r6r/b3kpp1/2Bp1q1p/3Pp3/QP6/5n2/P2N1PPP/R4RK1 w - -,d2f3
8/4r3/6p1/4k3/6R1/6P1/6P1/5K2 w - -,g4g6
3qb3/kp3p2/p3p3/3n2pp/2N5/1BPQ3P/PP3PP1/6K1 w - h6,c4e3
3r3k/4q2p/p4p2/4pR2/2prP3/6QP/PPP3P1/2K2R2 w - -,g3h4
r1b1k1nr/pppp1ppp/6q1/2b5/4P3/2pP4/PP1N1PPP/R1BQKB1R w KQkq -,b2c3
rn2k2r/pp2ppbp/2p3p1/2Pp1b1n/3P1B2/1P2PN2/1P3PPP/RN2KB1R w KQkq -,f4e5
r2q1rk1/pp2b1pp/4p3/P1p2p2/1n1P4/2N1P3/1P2QPPP/R1BR2K1 b - -,d8c8
r1b1r1k1/ppq2ppp/2nbpn2/2ppN3/3P4/1P2P3/PBPNBPPP/R2Q1RK1 w - -,f2f4
q4bk1/4rpp1/p6p/1p1P4/6Q1/P5P1/5P1P/2BR2K1 b - -,a8e8
r3r1k1/p1pq3p/2pB1p2/3p1bp1/N2P4/P6P/1P1Q1PP1/R3R1K1 b - -,c7d6
6k1/1p3p1p/8/8/4p1PP/1P2Pp2/P2R1P1K/2r5 b - -,g8g7
1r1q1rk1/2n1ppbp/pp1p1np1/2pP4/P1P1P3/2N1B2P/1P1QBPP1/3R1R1K b - -,d8e8
rnbq1rk1/p3ppbp/3p1np1/2pP4/2N1P3/2N5/PP3PPP/R1BQKB1R w KQ -,f1e2
r4rk1/ppq2ppp/2n1pn2/7b/2PP4/1Q3N1P/P3BPP1/R1BR2K1 w - -,c1e3
r4rk1/1p3bpp/2pR4/p1n5/2P5/P4NP1/1P3PBP/5RK1 b - -,f8d8
1kr5/p4pp1/p7/P1RPpnPp/1P6/2N5/5P2/5K2 w - -,c3e4
r2q1rk1/1p1n1ppp/3p4/p2Pp3/PnP2B2/1N6/1P2B1PP/R2Q1RK1 b - -,e5f4
r2qkb1r/ppp2ppp/2n1p3/3n3b/3P4/5N1P/PPP1BPP1/RNBQ1RK1 w kq -,f1e1
8/4p3/6k1/5r1p/2R2N1K/8/5P2/8 b - -,g6f7
r2qk2r/p1n1b1pp/2p1bp2/2p1p3/Q1N5/2NP2P1/PP2PP1P/R1B2RK1 b kq -,d8d7
1k4r1/1b3p2/pp6/2q1PP2/P3p1p1/2N1R3/1PP3K1/4Q3 b - -,c5e5
8/7R/3k4/1p6/3pp3/1b5P/4K1P1/8 b - -,b3c4
1n1r1rk1/R4pbp/4p1p1/3nN3/1p1P4/1B4P1/1B3P1P/4R1K1 w - -,a7b7
3r1rk1/pp3pbp/1qn1b1p1/2p1P1P1/5P2/2NBQP2/PPP4P/2KR2NR b - -,c6d4
r1b1k2r/ppp1qppp/1b3n2/4p3/1PB1PB2/2PP4/P3Q1PP/RN2K2R w KQkq -,f4g5
8/6r1/6p1/p2P2Rp/P3pPb1/4Pk2/3K4/8 w - -,d5d6
rn1qkb1r/1bp2ppp/p3pn2/1p6/3P4/3BPN2/PP2QPPP/RNB1K2R b KQkq -,b8d7
rnbqk2r/pp3ppp/3bpn2/2pp4/3P1P2/2PBPN2/PP4PP/RNBQK2R b KQkq -,b8c6:e8g8
2b5/R3ppk1/5b2/6r1/3PB3/3NP3/4KP2/8 b - -,c8e6
7k/1p3rp1/2p1Bn1p/2P2P1q/1P1P4/6Q1/7P/4R1K1 w - -,e6f7
8/pp1k4/2p2r2/2P5/5K2/P5pP/1P4R1/8 w - -,f4g3
rq6/pp1k1p1r/2p1p1p1/2RnP1B1/3P3P/Q4RP1/PP3P2/1K6 b - -,b8f8
5rk1/1pr1p1b1/p2qb2p/5pp1/2NP1PP1/1B1QP3/P1R4P/5RK1 b - -,d6d8
8/1p1nrk2/p1pRP3/2P3p1/2N4p/5K1P/1P6/8 b - -,e7e6
2rq1rk1/pb2bppp/1pn1pn2/6B1/3P4/PBN2N2/1P3PPP/R2QR1K1 b - -,f6d5
3r4/pB2npk1/1p5p/2r3p1/1P6/P3N1B1/5PP1/R5K1 b - b3,c5f5
r1q2rk1/4p1bp/2np2p1/2p2p2/1pP1P3/pP1PB2P/P1BQ1PP1/1R3RK1 w - f6,c2d1
rnbqkb1r/pp2p2p/2p2np1/3p2B1/3Pp3/2NQ1P2/PPP3PP/R3KBNR w KQkq -,f3e4
8/3R1pk1/6pp/2r5/1p6/rP3N1P/2n2PP1/1R3K2 w - -,f3d4
8/R4kp1/4b2p/3p1p1P/2pP1P2/2P1N1P1/5K2/2r5 b - -,f7f6
r4rk1/p1p1qppp/np2p3/3bP3/3P4/P7/1P2NPPP/RB1Q1RK1 w - -,d1d3
1r6/r5bk/p2pq1pp/2p5/P3RP2/5B1P/1P1Q2P1/3R2K1 b - -,e6d7
r5k1/ppq1rppp/1nb1p3/3n3N/3P4/1BN5/PP1Q1PPP/3R1RK1 b - -,h7h6
5rk1/qr2bppp/p7/1P2nP2/P1p3P1/2P1P2P/4Q3/1RB2RK1 w - -,g1g2
r7/1pP1n2R/1P6/3k4/8/5K1P/8/8 b - -,e7c8
r1bq1rk1/ppp1bppp/2n2n2/2PpP3/8/5NP1/PP1BPPBP/RN1Q1RK1 b - -,f6g4
r2qk1nr/ppbb1ppp/3p4/3Pp3/2N5/2P5/PP2BPPP/R1BQ1RK1 w kq -,f1e1
r3kb1r/1p1qpppp/p3b3/3n4/3P2P1/2N1B2P/PP3PB1/R2QK2R w KQkq -,d1f3
r1b1qrk1/1p4b1/1Pp1pn2/p1Pp1pp1/P2P3p/1Q1BP3/1B1N1PPP/3R1RK1 w - -,d1c1
2kr3r/pppbq3/1n1p3p/3Pp1pP/2P1N1P1/1P2Q3/P3BP2/2KR3R b - -,e7f8
r5rk/pp1q2Rp/2p1bB1Q/5p2/3P4/P6P/1PP5/2KR4 b - -,g8g7
4r1k1/6p1/2p5/2Pp2n1/1P1P1Bq1/5P2/4r2P/1R3R1K w - -,f3g4
8/8/1kp4p/p1p1p1pP/2PbP1P1/KP1N4/P7/8 w - -,d3c1
8/5n2/2R2k2/8/4K3/8/8/8 b - -,f6g5
rnq2rk1/pp2ppbp/2pp1np1/8/2PPP3/1P3NPb/PB1N1PBP/R2Q1RK1 b - e3,h3g2
r1bqk1nr/ppp1ppbp/2np2p1/8/2PP4/2N2N1P/PP2PPP1/R1BQKB1R b KQkq -,e7e5
r4rk1/6pp/np2p3/p2pP3/P2Bp3/1q2P3/4QPPP/1R3RK1 b - -,b3a4
r1bqrbk1/1p1n1ppp/2pp1n2/p3p3/P1PPP3/2N1BNPP/1P3PB1/R2Q1RK1 w - -,d1c2
4r1k1/5pb1/6pp/3Pq3/6P1/4P3/P2Q2BP/3R2K1 w - -,d5d6
2b2b2/1pBn1k1p/1pp2pp1/8/4r1P1/PNP4P/1PN2K2/R7 w - -,b3d2
8/8/5nk1/7p/5R1K/6P1/8/8 w - -,f4f6
8/8/3bp1kp/p2p1pp1/1p1P1P2/PKPqP1PP/8/1N2Q3 w - -,b3b2
rbb1qr1k/3p2pp/2p5/p1QnPpB1/1n1P3N/6P1/P2N2BP/1R3RK1 w - -,g2d5
3R2k1/pp4pp/2p5/6r1/8/1PP4P/P4rP1/R6K b - -,g8f7
3r1r1k/2p3np/3b1pp1/1p2p3/p3P3/P1P2PP1/1PN2B1P/3RR2K w - -,d1d5
r1bq1rk1/pp2np2/1bpp3p/4p1p1/B1NPP3/2P2NP1/PP3PP1/R2Q1RK1 b - -,c8e6
1r3rk1/pp1qppbp/6p1/2Pn4/P7/1QRN2P1/P3PPBP/5RK1 w - -,c3c2
3k4/p2P3p/1p5r/2pR4/6p1/P5P1/1P1R1PNK/2q5 w - -,g2h4
1r3rk1/1p4bp/pN1p4/P1pPnpp1/4n2q/4P2P/1PQ1BPPB/R4RK1 b - -,g5g4
2r2rk1/pbq1bp1p/1p2p1p1/2npP3/5QPP/PP3N2/1BPN1P2/1KR4R b - -,c5e4
3rr3/1pqb1p1k/2pp2pb/p6p/2PQRP2/1P3NPP/PB4BK/3R4 b - -,c6c5
2r2r2/6k1/4q3/3pN1p1/1p1P1p2/b3P2P/5RP1/1Q3RK1 w - -,e3f4
rnbq1rk1/p1p1ppbp/1p3np1/3p4/3P4/1P1BPN2/P1P2PPP/RNBQ1RK1 w - -,b1d2
r4rk1/5pbp/2pq2p1/4p3/P2P4/2pNPQP1/5PKP/2R2R2 w - e6,c1c3
