8/8/8/2R1p3/k3KPrp/8/8/8 w - -,c5e5
6k1/2pq2pn/rp1p1p2/3P1N1Q/P1P2r2/R6p/R7/6K1 w - -,a3h3
r4rk1/1b1nq1pp/1pp1p3/p2p1p2/2PPn3/1PNBPN2/PQ3PPP/R4RK1 w - -,a1c1
rn1q1rk1/pp2ppbp/1np3p1/8/3PP1b1/1QN1BN1P/PP3PP1/2KR1B1R b - -,g4e6
r6r/4k3/p1pp3p/2q1pb2/6pP/1B4Q1/PPP3P1/2KR3R w - -,h1f1
3rr1k1/pppbqp1p/3p2p1/3P4/3b4/3B1Q1P/PP2R1P1/R1B2NK1 w - -,c1e3
8/8/6kp/5p2/P4P2/5PK1/6Q1/4q3 w - -,g2f2
r1b2r1k/pp1nq3/4p2P/2pp2R1/5BP1/1PNB4/P1PQ4/2K3R1 w - -,g5g7
r2r2k1/1p1bqp1p/p3p1p1/4QP2/3N2n1/5B2/PPP3PP/2KR3R w - -,f3g4
rnbqkbnr/pppp1ppp/8/8/4P3/2p5/PP3PPP/RNBQKBNR w KQkq -,b1c3:f1c4
8/pBR2pkp/1p4p1/2p5/2P5/2q5/P4PPP/3R2K1 b - -,c3c4
4n1r1/1p3k2/1pn1pb2/1b1p2p1/r2P2P1/1NB2P2/PP6/RB1R1NK1 b - -,b5e2
2r2r2/1p3p1k/p4nnp/2p5/3p4/PB1P1PBq/NPPQ1P2/R4K2 w - -,f1g1
7k/ppp3p1/1bb3Bp/5r2/5B1P/2P5/PP4P1/2KR4 b - -,f5f8
1r1q1rk1/pp3ppp/2npbb2/2p4Q/2P2N2/4P3/PP1B1PPP/2R1KB1R w K -,f1d3
8/3b1p1k/1bBr2pp/1P6/7R/3p2P1/3B1P1P/6K1 w - -,h4h6
8/7k/b1pNpPp1/p3P2p/2pP3R/P1r5/5K2/5B2 w - -,f6f7
3R4/r7/4pkp1/3n4/2NP4/4PK2/5P2/8 b - -,a7h7
5rk1/p1p1qppp/1r6/2NpPb2/2pP1P2/P7/1P1Q1RPP/R5K1 b - -,f8b8
r2q1rk1/pp1bb1pp/2n1pp2/3pPn2/1P1P4/P4N2/1B1NBPPP/R2Q1RK1 b - -,f5h6
6k1/p3qpbp/1p2b1p1/2p1P3/5P2/2N1B1P1/PP1Q3P/6K1 b - -,h7h6
rnbq1rk1/p4ppp/1p2p3/2Pp4/3P4/P1P1B3/5PPP/R2QKB1R w KQ -,f1d3
2r5/rN2k1p1/1R2p3/P4p2/3p4/2nP1PP1/4PK1P/1R6 w - -,b1a1
2r2r2/5pkp/2bppqP1/1p6/nP2P3/2N2P2/3QB1P1/2R1K2R b K -,f6g6
r2q1rk1/pp1n1pbp/5np1/3ppP2/4P3/1P1P1N2/PB1NQ1PP/R4RK1 b - -,a8c8
8/5pp1/8/7K/5k1P/3R2r1/8/8 w - -,d3d4
r1q3k1/2p2r1p/1p2n1p1/3RN2n/1P2P3/pQ6/P1P2PPP/4R1K1 b - -,f7g7:f7e7
r1q2rk1/pp3ppp/2pb1n2/3p4/1P1P4/2NQPN2/P4PPP/1R3RK1 b - b3,b7b5
8/8/R7/p2r1kpp/Pb6/1P2B2P/4KP2/8 w - -,a6h6
3r3k/2q1b2p/2b2p2/n1pnp1pP/1p1PN3/2P2N2/BP2QPP1/2B1R1K1 b - -,e5d4
r1b1kb1r/pp1ppp1p/n7/1N4p1/3Pn3/P7/1qPB1PPP/R2QKBNR w KQkq -,f1c4
2r5/1b2kpp1/p3p2p/1p2P3/2r3P1/PnN4P/1PR1KB2/3R4 b - -,a6a5
5k2/3b1n1p/2pr2p1/pp3pP1/P1B2N1P/1PK5/2P2P2/4R3 w - b6,c4f7
r3k2r/p1p1np2/2pp1qp1/7p/4P2P/2N5/PPPQ1PP1/2KR3R w kq h6,f2f4
4r2r/1p1b1pk1/3p2p1/p1p3n1/2P1P1Pp/P1NP3P/1P3RB1/2R3K1 w - a6,g1h2
3r2k1/Bb2bpp1/p4n1p/1q2pP2/Np2P3/4QB2/1PP3PP/R6K b - -,d8c8
r2qk2r/pp1nbpp1/2p1p3/5b1p/2QPn3/4PNP1/PP3PBP/RNBR2K1 w kq h6,f3d2
r6k/pb1R1p2/7p/1pp1P1rB/8/5NP1/PP4K1/R7 b - -,b7c6
r4rk1/1bqn1ppp/p2bpn2/1pp5/3P4/1PNBPN2/PB2QPPP/3R1RK1 w - -,h2h3
rn1q1rk1/pb3p2/1p3bp1/2pp2p1/3P3P/2N1PN2/PP1Q1P2/2KR1B1R w - -,f3g5
4r3/pp5k/2p4N/3p3p/3Pb2P/1P4K1/P4R2/8 b - -,h7h6
4k2r/3R1p1p/pq4pb/1N2p3/2r5/P4Q2/1PP2PPP/2K4R w k -,c1b1
1r1r2k1/5pp1/pp1ppqnp/8/1PP5/P3QbP1/3RPPBP/3R2K1 w - -,e2f3
3q2k1/p6p/Bp1P1rp1/n1P1pp2/4Pb2/5P2/P3QP1P/1R1R2K1 w - -,d6d7
8/8/5k1p/8/1r2R1P1/4K3/5P2/8 b - -,b4b1
3r3k/p1q2pb1/2P3pp/1PN1p3/2Qn4/5P1P/5BP1/3R3K b - -,c7e7
4q1k1/1p2b2p/4N3/3pB2n/3PP1p1/6P1/1p3P2/r3RQKB b - -,e8a4
1rb1r2k/5np1/2Pp2Qp/3Pp3/5P1q/4BP2/6BP/3RR1K1 b - -,h8g8
4R3/1r4pp/4Qbk1/p1r2p2/P1q1pPP1/8/6BP/5R1K w - -,g4f5
8/8/7R/p3rk1P/P1K5/8/8/8 w - -,h6h8
4r1k1/2b2pp1/pq3n2/1pp1p2p/4P3/1P2PPP1/PBQ2K1P/3R1B2 b - -,c7b8
rn1qkb1r/ppp1pppp/5n2/5b2/3P4/5N2/PP1NPPPP/R1BQKB1R w KQkq -,d1b3
5r2/p1k5/1pp4p/4p1b1/P3P1b1/1NNR4/1PP3P1/1K3R2 b - -,f8f1
r1b1k2r/pp1n2pp/2np2q1/8/3P4/2P2N2/PPQ2PPP/R1B1R1K1 b kq -,c6e7
r2q1rk1/p3ppbp/1nppbnp1/1p6/3PP1P1/4BPN1/PPPQ3P/1K1R1BNR b - -,b6c4
4k3/p2br3/8/1pr2PpN/1p1b3p/8/PP1R2KP/3R4 w - -,d2d4
rnbq1rk1/1pp1ppbp/p2p1np1/8/2PPP3/2NBBP2/PP4PP/R2QK1NR b KQ -,b8c6:c7c5:f6d7:b8d7
r1q2rk1/pp3pb1/2p1bn1p/2P1pBp1/1P6/2N1PNP1/P1Q2PP1/3R1RK1 w - -,f5e6
8/1N2nppk/p1n1p2p/3pP3/3P2P1/1Pr5/P4P1P/3RN1K1 b - -,e7g6
n1kr4/5R1p/Ppp3p1/6P1/2Pp2P1/3Br3/1PK5/R7 b - -,d8d7
r4k2/5pb1/p2rp1pp/1p2P3/4KPP1/PB1R3P/1P6/3R4 b - -,d6d3
8/1pkbq3/2p1p3/P1PpPp1Q/1K1P2p1/4P1P1/4B3/8 w - -,e2d3
1r4k1/5p1p/1r1npqp1/1PRp4/Q7/3B4/5PPP/1R4K1 b - -,g8g7
r1br2k1/1pq1bppp/p1nppn2/6B1/3NPP2/1BNQ4/PPP3PP/2KR3R w - -,f4f5
3r2k1/pp1r1pp1/2p1pn1p/8/2PP4/1P3P1P/P2RNP2/3R2K1 b - -,c6c5
r2q1rk1/1b1nbpp1/p3pn1p/1p4N1/P2P4/2NBB3/1P3PPP/2RQ1RK1 w - -,g5e4
2r5/k1P2R2/8/5P1p/7p/8/6PK/8 w - -,f5f6
1rbrn1k1/1q2bppp/p2pp3/P3P1P1/pP1N1PB1/2P1B3/7P/R3QRK1 b - -,d6e5
r3k2r/pp2nppp/1qn1p3/3pP3/1P1p1P2/P2b1N2/1BP2QPP/R4RK1 w kq -,c2d3
r2qr1k1/pp1bbppp/4p3/3n3Q/3PN3/6P1/PP1B1PBP/R2R2K1 b - -,d7c6
4r1k1/p2q1p1p/6pb/p2P4/4PP2/3QB2P/B4KP1/8 b - -,e8b8
r4rk1/p3b1n1/4b2p/qp1pPp2/2p2P2/1PNB1N2/P1Q3PP/3R1RK1 w - -,d3e2
8/8/8/pN1p3p/Pkp2R2/3q2NK/8/8 w - -,f4d4
2rr4/8/1P2K3/2k5/P7/8/1Q6/8 b - -,d8e8
r2qk1nr/5ppp/1n2p3/pp1pP2b/2pP3b/2P4P/PP2BPPN/R1BQR1K1 w kq -,e2h5
8/1pk2p2/4b1p1/2P4p/1P2p2P/3BN1P1/r4P2/1R1K4 b - -,e4d3
3r2k1/5p2/p2qp1p1/Pp4Q1/4PP2/8/7P/6RK b - -,d6d4
4r1k1/5p2/p1bP2p1/P6p/2P4P/2Q2PP1/4q2K/5R2 w - -,h2g1
r2q1rk1/2pb2bp/3p2p1/p1pPpp2/P1P1PN2/2N4P/1PQ1BPP1/R4RK1 b - -,e5f4
8/p5k1/2b4p/3pr1P1/2p5/2P2B1P/P5R1/6K1 w - -,g5h6
8/5pk1/4pp2/r1p4p/P1Q4P/4P1P1/3q1P2/2R3K1 w - -,c4c3
6k1/5pp1/2p3b1/1pPp2P1/pP1P3p/P1N3r1/1K3R2/3B4 w - -,c3d5
3qk1nr/r2bb1p1/p1npp3/2p2p1p/1p2PP2/3P1NPP/PPP1NQB1/R1B2RK1 w k f6,e4f5
