8/7p/4kpp1/ppr5/3KP1PP/PR6/8/8 b - -,e6d6
4r1r1/1p3k2/p2p4/Pb1P1ppP/2p5/2Pn1BR1/3R1BP1/6K1 w - -,f3e2
4r1k1/2b3p1/3q1p1p/3P4/1p4P1/1P5P/P3BRQ1/7K w - -,e2f1
rnbqk1nr/ppp2ppp/8/8/1bBP4/2N5/PP3PPP/R1BQK1NR b KQkq -,d8e7:g8f6
2rqr1k1/1b3pbp/1pn1pnp1/p2p4/2PP4/PP1BNN2/1B2QPPP/2RR2K1 w - -,c4c5
8/1pp4p/p2k4/2Nb4/1P1K4/6PP/8/8 b - -,d5g2
8/5pk1/2N2b2/p2r2P1/1pR2P1p/1P5P/P3K3/8 b - -,f6c3
3r1n2/p1p2k1p/1p2prp1/8/8/1P1BR3/P1P2PPP/4R1K1 b - -,d8d6
6rr/1p1k1p2/p1pnp3/3p1pp1/2PP4/PP2P1PP/2R1KPB1/7R w - -,e2d3
r1bq1rk1/1pp1nppp/2n1p3/p2p4/2PPP3/P4N2/1P1NBPPP/R2QK2R w KQ -,e1g1
r4qk1/p2bbp1p/1pp1p1p1/1B2P3/6Q1/2P5/P4PPP/1R2R1K1 w - -,b5d3
r3r1k1/ppqn1pp1/2p1pn1p/3p1b2/1PPP4/3NP3/PQ1NBPPP/R4RK1 w - -,f1c1
4rr1k/1ppbn1pp/3p2q1/Pp6/2PBP3/1Q6/3N2PP/R4R1K w - -,c4b5
8/p1B2kpp/4pp2/3p4/3P4/3bP3/P4PPP/6K1 w - -,c7d6
8/p3kp2/bp4pp/4P3/3K1P2/1B4P1/P6P/8 b - f3,f7f6
8/5k2/3B4/3K1p1p/p6P/P4PP1/3r4/8 w - -,d5c5
8/5pk1/6p1/2nPP2p/3p3P/6P1/6B1/5K2 b - -,f7f6
r2qr1k1/3b1nbp/p2p1np1/2pP1p2/1pP2B2/1PNB2NP/P2Q1PP1/4RRK1 w - -,c3e2
r1b1qr1k/1p2b1pp/2npNn2/p3pp2/8/1QNP2P1/P3PPBP/R1B2RK1 b - -,c8e6
r1b1kb1r/2qn1p1p/p2pp1p1/6P1/pP1NPP2/4BQ2/P1P1B2P/R4RK1 b kq -,f8g7
r7/P3p2p/R1pk1pp1/8/3B1P2/2K3P1/4P2P/1r6 w - -,e2e4
r1q2k1r/1b2npb1/pp1p1np1/2pP3p/4P3/3BBP1P/PP1QN1PN/R4RK1 w - -,f3f4
2r1k2r/2qb1pbp/4p1p1/p1p5/2BP4/2P2N2/P3QPPP/R4RK1 w k -,d4d5
r3r1kb/pp1b1q1p/4n1p1/3R2B1/4P2Q/6P1/PP2NPB1/4K2R b K -,d7c6
3r1k2/pq2npbp/2p1p1p1/Q7/1P1P2N1/P5P1/5P1P/2RR2K1 b - -,d8d6
r2qkbnr/pp2pppp/2n5/3p4/3P2b1/2P2N2/PP2BPPP/RNBQK2R b KQkq -,e7e6:d8c7
5rk1/3p3p/p2bpp2/1p1b4/3B1PP1/3B4/P1P4P/1K2R3 w - -,d4e3
r1bqk2r/bppp1pp1/p1n2n1p/4p3/4P3/1BPP1N2/PP1N1PPP/R1BQ1RK1 b kq -,d7d6
r7/4kpp1/1prp4/p3n3/P3P1p1/BP2R1PP/3R1P2/6K1 w - -,h3g4
8/8/pk6/8/1NP5/1P2K2r/8/8 w - -,e3d4
r3k2r/3qbppp/p2p1n1n/1ppPpP2/4P3/N1P2N2/PP1BQ1PP/R4RK1 w kq -,a3c2
8/6k1/pR4p1/7p/5PP1/1P4KP/2r5/8 w - -,g3h4
4n1k1/1r5p/p2p2p1/n1pP1p2/q1P1pP2/4P1P1/P4R1P/1NQ2BK1 w - -,f2c2
8/R7/5kpp/5p2/3K4/4r2P/P7/8 b - -,e3h3
r3b1k1/1p5p/p2pN3/Pr1Pn3/1P2P1BP/5P2/3B4/2R3K1 w - -,e6d4
3r1r1k/1bq2ppp/3p4/p1n1pP2/1pP1P3/1P2QB2/P2R2PP/3N1R1K w - -,d1f2
r3r1k1/p2q1pbp/bpn3p1/2pnp3/P1N5/2PP1NP1/1PQ2PBP/R1B1R1K1 w - -,f3d2
rnb1r1k1/2q2pbp/pp1p1np1/2pP4/P4B2/2N1P2P/1P1NBPP1/R2QK2R w KQ -,d2c4
8/5p2/8/P1Rk4/1B3p2/1K1pr3/6r1/8 b - -,d5e4
rn1qnrk1/pp2b1pp/3p4/2pPpb2/2P1N3/2N3P1/PP3PBP/R1BQ1RK1 b - -,h7h6
r5k1/pp4pp/2p2rn1/3p4/1B4Q1/P2P2PP/1qP2bBK/R4R2 w - -,g4e2
2r2rk1/1p2pp1p/1N2bnpb/1P1p4/3BP3/1Q1B1PqP/P1R3P1/3R2K1 w - -,b6c8
4r2k/1p2q2p/6p1/2pnr3/P2Q1R2/1N4PP/4P1K1/R7 w - -,d4b2
rn1q1rk1/4ppbp/b2p2p1/1BpP4/P7/2N1P2P/1P1N1PP1/R2Q1RK1 b - -,a6b5
r1bq1rk1/p4ppp/2p2n2/n1b1p1N1/8/3B4/PPPP1PPP/RNBQ1RK1 w - -,b1c3
r4rk1/1p2n1p1/p2qb2p/3p1p2/P2Q4/1BP2N1P/1P3PP1/R3R1K1 w - -,d4e5
5k2/p3n1pp/5p2/3q3P/P3QP2/4RKP1/3r4/8 w - -,e3b3
5r2/2pnr1kp/1p4p1/3B1p2/1PP5/6P1/3RPK1P/2R5 w - -,h2h3
8/2R2p2/1p2bkp1/7p/1N1r1P1P/P5P1/1P2K3/8 w - -,e2e3
r1qr2k1/1b1nbppp/pp1ppn2/8/2PNPP2/2N1B1P1/PP4BP/2RQR1K1 w - -,d1e2
8/1pk5/p3b3/4p2p/5p2/1P3P2/P1PrNK1P/6R1 w - -,g1g7
r1bq1rk1/pp1pnpbp/2n1p1p1/2p5/2B1PP2/2N2N2/PPPP2PP/R1B1QRK1 w - -,d2d3
r1b1qrk1/pppnppbp/6p1/8/8/2P1BNP1/PP2PPBP/R2Q1RK1 w - -,d1d2
r3kb1r/p1pn2pp/2pq1p2/3ppQ2/5P2/1P2P2P/PBPP2P1/RN2K2R w KQkq -,f4e5
r1br2k1/1ppn2p1/p4b1p/4Np1q/2P2P2/P1Q1B1P1/1P4BP/3R1RK1 b - -,d7e5
2r3k1/5pp1/1p3n2/1P2pP1p/2P5/1q2N1P1/4Q2P/3R2K1 w - -,e2d3
r1q2rk1/1b1nbppp/pp1ppn2/8/2P1P3/1PN1QNP1/PB3PBP/R2R2K1 b - -,f8e8
r5k1/pp3p1p/2pb2p1/6q1/3NB3/2P3Pb/PPQ2P2/R5K1 b - -,d6c5
r4rk1/pp3pbp/nqpp2p1/6B1/2PNP1b1/2N4P/PP3PP1/R2QR1K1 w - -,h3g4
5rk1/pp1R1p2/q1p1p1p1/7P/2P5/1P3QP1/P4P2/6K1 b - -,a6a2
r2qnrk1/1b2ppbp/1n1p2p1/2pP4/7N/1PN3P1/PB2PPBP/1R1QK2R w K -,e1g1
r1bq1rk1/1p3p1p/p2p2pb/8/3QP3/2N5/PP3PPP/R3RBK1 w - -,a1d1
3r2k1/1p6/p6p/2Rrppp1/1P6/3PP3/1PK4P/3R4 w - g6,c5c4
6k1/5pb1/6p1/6p1/2R5/1N3P2/r5PP/6K1 w - -,b3c5
2r2b1r/5ppp/p1B1bk2/qpB1p3/8/2P2Q2/PP3PPP/R3K2R b KQ -,f6g6
6k1/p4p2/p5pp/3P4/b2Br3/5N2/Pb3PPP/3R2K1 w - -,d1d2
B7/2k5/3n1p1p/p2P1P1P/P4K2/8/8/6b1 w - -,a8c6
r2r2k1/pp3p1p/2p2np1/5B2/1b3PP1/4B2Q/qP5P/2R2R1K w - -,h3h4
8/p2R2np/1p2k3/2p1BpPq/2P1r3/1P3Q2/P6P/7K w - -,f3h5
r1bq1rk1/bpp2ppp/p7/2P1N2n/1n2N3/3P3P/P3BPP1/R1BQ1RK1 b - -,d8d4
1r1q1rk1/7p/p2pp1p1/npp5/2P4P/1PQ3P1/P2NPPK1/R4R2 w - -,a1d1
8/8/8/5p2/5Pk1/1R5p/2r5/6K1 b - -,c2g2
r1bq1rk1/pp2ppbp/5np1/8/3BP3/2N5/PPPQ2PP/2KR1B1R b - -,d8a5
8/8/5k2/8/1R6/r6P/4K1P1/8 b - -,f6g5
8/2k2r2/8/8/7P/3pR1K1/6P1/8 b - -,d3d2
1r1b1rk1/5ppp/3p1n2/ppqBp3/4P3/P2R1N2/1PP1QPPP/1K5R w - -,h1d1
8/1r1r1pkp/1pn3p1/p7/P2PP3/B1P2NPP/6K1/1R6 b - -,f7f6
8/1R6/p3k3/4p3/2R5/1P4P1/P3KP2/2rr4 b - -,c1a1
r1bqkb1r/1p1n1ppp/p1p1pn2/3p4/2PP4/1P1BPN2/P4PPP/RNBQ1RK1 b kq -,f8e7
3q1rk1/1r1n1ppp/4p3/p2p4/2bbPP2/P1N3P1/1P1Q2BP/2R1R1K1 w - -,d2d4
1r1q1rk1/3b1pbp/3p1np1/1npP4/1pN1PB2/5B2/1P1Q1PPP/R2N1RK1 b - -,d7g4
8/2N2kp1/4Bp1p/1p5P/1P1P4/n3PKP1/1r3P2/8 b - -,f7f8
r5k1/4n1p1/3q2p1/3p4/1ppPp1Q1/2P1N2P/1P3PP1/5RK1 b - -,b4c3
Q7/5pk1/p1p5/1p1pq2p/1P2B3/P5P1/5P1K/8 b - -,d5e4
