8/3N4/R5p1/3r1pkp/8/b6P/6P1/5K2 b - -,d5d7
1k5r/1p1rnqpp/p2p1p2/1R1p4/2PP4/P2B1Q2/2P2PPP/1R4K1 w - -,b5b6
8/1p3pp1/p1nkp2p/3p4/3P1N2/1P2P3/P2K1PPP/8 w - -,f4d3
r2r2k1/1p2nppp/2pp1q2/p2P4/PnB5/1N2QP2/1PP3PP/1K1R3R w - -,d5c6
3k4/R7/2B1p3/7p/3K4/6r1/8/8 w - -,d4e5
2b5/p1p3kp/2p2r2/5pp1/2P2P2/1P1N2P1/P3r2P/2RR2K1 w - -,f4g5
rn2r1k1/p4B1p/3b1p2/8/1p6/3P1QPq/PPP5/R1B2RK1 b - -,g8f8
r1bq1rk1/p1p1p1bp/1p1p1np1/n2P1p2/2P5/2N3P1/PPQNPPBP/R1B2RK1 b - -,a5b7
1rQ5/1P5k/3q2p1/5pr1/4p3/8/5PB1/2R3K1 w - -,c1c7
3r1rk1/1p4bp/p5p1/2pp1P2/P6q/2PnB2P/1P4P1/R2QR1K1 w - -,d1d3
1n6/6k1/5pp1/NqPQ1p1p/3P3P/8/5KP1/8 b - -,b5a5
r2q1rk1/pp1bbpp1/1n2p2p/3pP3/3P2P1/2NB1N2/PPQ2P1P/1K1R3R b - -,a8c8
8/8/1bB3pk/4p2p/1P2K2P/4P1P1/8/8 b - -,g6g5
2Nb2k1/6pp/4p3/2P1P3/b7/2B3P1/2KR3P/3r4 w - -,c2b2
3r2k1/1p3ppp/p5n1/b2Pp3/3nP3/2N1B1PB/5PKP/2R5 w - -,c3a4
2R2R2/6pp/5p2/4p1k1/1P6/5q2/PKP4P/8 b - -,f3f4
4r1k1/7p/3p1Qp1/3Pq3/Pr2p3/8/1PR1N3/1KR5 w - -,f6e5
1q4k1/1p3bp1/p3p2p/4Pp2/4pP2/PQr1P3/1P2N1PP/6K1 w - -,b3c3
5rk1/5ppp/4p3/3b4/2rN4/2q5/P4RPP/Q2R2K1 w - -,a1c3
8/3k4/1p1b3R/8/6r1/3K4/8/4B3 b - -,d7c6
8/1r4k1/1P6/1R4P1/5PK1/7P/8/8 w - -,f4f5
r1bqk1nr/pp1p1ppp/2n1p3/2b5/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq -,d8b6
r2qkb1r/pp3ppp/2p1pn2/5b2/2BP3N/2P5/PP3PPP/R1BQK2R b KQkq -,f5g4
8/p4p1p/b3p3/2k5/2p2P2/PrR2P2/5K1P/3N4 w - -,f2e3
r3qrk1/1b2n1b1/p2p4/np3pN1/3P4/2N4P/PPB2PP1/R2Q1RK1 w - -,f1e1
8/R5p1/1p2P1k1/5p1p/3Pp3/4P2P/1r4P1/6K1 w - -,d4d5
8/6pk/2qRn1rn/4Br1p/p4P2/7P/P4QB1/5R1K b - -,c6c4
r1bkr3/pp1pnp1p/5Qp1/q2PN3/2P2p2/2K5/1P3PPP/3R1B1R w - -,c3d3
r1b1k2r/pp2ppbp/1qnp1np1/2p5/4P3/2PPB1PP/PP2NPB1/R2QK1NR w KQkq -,d1d2
r3nk2/pp1b1rb1/nq1p1p2/2pPp1p1/2P1P1P1/1PN2PN1/P2B3Q/2R1KB1R b K -,a6b4
rn3rk1/pp3pbp/1q1pbnp1/3pp3/2P4N/2N1P1PP/PPQ2PB1/R1B2RK1 w - -,c4d5
r1b2rk1/1pb2ppp/4p3/5n2/1PP2P2/5Q2/P5PP/R4RK1 b - b3,a8b8
3R4/1r3p2/8/4RP2/1p1b2K1/3k2P1/8/8 b - -,b4b3
rn1q1rk1/pp1n1ppp/4p3/2ppPb2/8/1P2P3/PBP1BPPP/RN1Q1RK1 w - -,b1d2
3k4/pp1p1p1p/4r1p1/3R1p2/5P2/P1B5/1PP4n/2K5 w - -,d5d3
R3b1k1/2B3pp/8/1pb2N2/6P1/2P4P/4r3/7K w - -,c7d6
r1br2k1/1p3ppp/4q3/pBBp4/P3R3/2P2N1P/1P3PPK/R2Q4 b - -,e6e4
8/R7/2B1bk2/2P3p1/1P3b2/7p/8/7K b - -,g5g4
r1b3k1/5pb1/p6p/1p4p1/2nPB3/3K1PP1/P5P1/1R5R b - -,a8a7
8/8/4kp2/7p/r6P/4NKP1/5P2/8 w - -,e3g2
1nkr3r/R6p/1q3ppB/2p1p3/1pP1Q3/1P5P/5PP1/R5K1 w - -,h6e3
1kr4r/pp1b1pb1/1q2p3/7p/3N1P2/NB2P3/Pn2Q1P1/1K1R1R2 b - -,b2d1
1r4k1/2pq1pp1/1b2n2p/4Q3/3P4/1P2BN1P/2R2PP1/6K1 b - -,b8a8
2rq3k/p2r2b1/1p1P2p1/3R2Pp/P3N3/7Q/7P/4R2K w - -,e4f6
5k2/p2n1ppp/3P4/3R4/8/2Pb3P/P4PP1/6K1 b - -,d3c4
1rbr2k1/b4ppp/p1p2q2/N3p3/pP2P3/2P5/4QPPP/R1B2RK1 b - -,c6c5
8/2B2kp1/p5p1/1p1bK2p/3P2PP/P4P2/1P6/8 b - -,d5f3
rnbq1rk1/pppn2bp/3p2p1/3Ppp2/2P1P3/2N1B3/PP2BPPP/R2QNRK1 w - f6,f2f3
2r1r1k1/pbq2ppp/1pnbp3/3nN3/3P4/1P1B4/PB1N1PPP/2RQR1K1 w - -,d2f3
1q1r2k1/p4p2/1pbr1ppp/8/8/2P2N1P/PP2QPP1/R2R2K1 w - -,f3d4
r4bk1/5q2/p4r2/1pN1Rp2/2pB1np1/2P5/PPQ3PP/R5K1 b - -,f4g6
2k4r/1pp2p1p/1pn2p2/3rp3/1P3P2/2PP3P/P1B3P1/R4RK1 b - f3,c6d8
6k1/6pp/3b4/5b2/3Bp2P/2N1P1P1/8/6K1 w - -,g1f2
3r1rk1/1pp1qppp/4p3/p3P3/PnQ1NP2/4P3/1P3PKP/3R1R2 w - -,c4c5
r4N2/pb2pk2/5ppp/q2n4/8/6P1/P3PPBP/Q2R2K1 w - -,f8g6
7q/kp6/p1p1p3/P1Pp1p2/1P1P1R1p/4P2P/6R1/7K b - -,e6e5
3rr1k1/pbp3pp/1p1b1p2/2p1p1q1/4Pn2/2PPNQNP/PP3PP1/2BRR1K1 b - -,g7g6
r3r1k1/5p1p/pp3P2/1pp1n1P1/4q3/3RB3/PPPQ1K1P/R7 b - -,e4f3
2r2rk1/4p1b1/3p1np1/1p2p3/p3P3/P1B2P2/1PPKN1P1/R6R b - -,f8d8
4r2r/1k4pp/2pb4/3pPb2/B2B4/8/PP2K1PP/R6R w - -,a1c1
2r5/p2k1p1r/1p2pBp1/3pP2p/3P1N2/1P2Q1PP/nbqR1P2/R4K2 b - -,b2a1
r2q1rk1/1bpnbppp/p3p3/Bp1n4/3P4/5NP1/PPQ1PPBP/RN3RK1 b - -,d5b6
5r1k/p2p2p1/1b1P1pqp/4P3/P4Q2/3B1RP1/5PKP/8 b - -,g6f7
8/7p/1n2p1p1/1Bpk1p2/5P2/2b4P/4KP2/1R6 w - -,e2f3
8/1q4pk/7p/QbPp4/p2B4/2P4P/6P1/6K1 w - -,a5b4
k4Q2/1pp5/p5p1/5n2/5P1q/5P1P/PP1r2B1/2R3K1 b - -,d2d8
r4rk1/ppqn1pp1/2p2np1/4p3/PbBP4/2N1P2P/1P2QPP1/R1BR2K1 w - -,e2c2
r2r2k1/pbqnbppp/1p2p3/2p5/P2PP3/2PB1N2/4QPPP/R1B2RK1 w - -,c1b2
r5k1/5ppp/8/8/p4P2/R5P1/5K1P/8 b - -,g8f8
r1bq1rk1/pp2b2p/5p2/3pp1n1/N2p4/P4PN1/3B1KPP/R2Q1B1R w - -,h2h4
r5k1/rnpbq2p/1p1p2p1/p2Ppp2/1PP5/P1Q1P2P/2BN1PP1/R4RK1 b - -,e7g7
6k1/6p1/4p2p/3q4/8/4QrP1/7P/4R1K1 w - -,e3e6
4k3/5p1p/4pnp1/4p3/1R2P3/pP3P2/Pr1R1KPP/8 w - -,f2e3
2R5/8/8/3r4/8/8/1p2K3/1k6 w - -,e2e1
3q1rk1/4bp2/rp2n1p1/3pPp2/3P1P1p/1PN2Q2/5BPP/2R2RK1 b - -,e6c7
5rk1/pp3ppp/1br1pn2/8/5B2/1NP5/PP3PPP/R4RK1 w - -,a1d1
r4rk1/5pb1/3pP1p1/1qp3Np/5B1P/3P2P1/4PP2/3Q1RK1 b - -,f7e6
r2q1rk1/pb2bppp/np3n2/2ppN3/3P4/2N1B1P1/PP2PPBP/R2Q1RK1 w - c6,a1c1
3q2k1/6pp/1p2Q1n1/1P2PpP1/5P2/4P3/7P/7K b - -,g8h8
r1q2r2/1p2ppbk/p2p2np/3P1Np1/6Q1/2P3BP/PP3PP1/R2R2K1 w - -,d1e1
r1b2r2/pp2ppkp/6p1/3P4/8/1P3NP1/1n3PBP/R4RK1 w - -,f3e5
R7/5p2/P4kp1/6n1/3N3p/r3p3/6KP/8 b - -,h4h3
8/ppp5/3b1Np1/3p1kB1/5P1P/2P2n2/PP6/1K6 b - -,c7c6
4rbk1/3R3p/pN4p1/2p1Bp2/4nP2/1P5P/P5P1/6K1 w - -,b6d5
r4rk1/p2bbppp/1qp1pn2/3p4/2P5/2N3P1/PPQ1PPBP/R1B2RK1 w - -,c3a4
b2r2k1/5pb1/1p1qp1p1/p3Nn1p/3P3P/PBB3Q1/1P3PP1/2R3K1 w - -,g3h3
2r1r1k1/3q1p1p/1pp3pb/p2nP3/3PQPN1/P6P/1P1B2P1/2RR3K b - -,h6g7
5rk1/4bppp/q3p3/2pnN3/3P1B2/5QP1/4PPKP/5R2 w - -,d4c5
rnbqkb1r/pp1ppppp/5n2/2p5/2P5/5NP1/PP1PPP1P/RNBQKB1R b KQkq -,b8c6:b7b6:e7e6:d7d5:g7g6
