8/1p6/p1k5/P5R1/2r5/4K3/2P2P2/8 w - -,e3d3
r4rk1/bp2npp1/p2q1n1p/3p4/3N1Bb1/1NP3P1/PPQ2PBP/R3K2R b KQ -,d6d7
8/8/8/N1K3k1/1p6/3r4/2Pn4/8 b - -,d3c3
4r1k1/pp6/3p4/3P2P1/1R6/4nNq1/P7/1b1KR2Q w - -,e1e3
8/5k1p/p3p1p1/r2pP3/2pN2P1/2P1Q3/5K1R/1q1b3R w - -,h2h7
3r3k/1pr4p/p7/3p1R1R/6PP/3pp3/PP6/5K2 b - -,e3e2
r2qr1k1/1b1nbp1p/p1pp1np1/1p2p1B1/3PP3/2PB1NN1/PP3PPP/R2QR1K1 w - -,a2a4
3k4/3n4/2p4p/2Pp2pn/3Pp3/4P2P/N2KN1P1/8 w - g6,a2b4
rnb1r1k1/1pq2pbp/p2p2p1/2pP2B1/P7/3B1N1P/1PP2PP1/R2Q1RK1 w - -,f1e1
6k1/6p1/8/1p5R/1P6/P2r2P1/5P1P/6K1 w - -,h5b5
7k/8/6p1/7p/3P4/p3pK2/Pr2R1PP/8 b - -,h8g7
2rq4/1p1brpk1/1P1b1npp/3Pp3/5n2/1QN2N1P/2BB1PP1/R3R1K1 b - -,d8e8
r4rk1/ppp2ppp/2np1q2/2b1nb2/2P5/1P2PN2/P2NBPPP/1RBQ1RK1 w - -,e3e4
1r4k1/1b4pp/pQnq4/1p1p4/8/P1N2B2/1PP3PP/4R2K b - -,d5d4
r4k2/3bq1b1/p2p1np1/Pp1Pp3/1Pp1P3/2P1BP2/3Q1N1N/R3K3 b Q -,f6h5
6k1/p4pbp/3p1np1/P1pP4/1r6/2N1q2P/1PQ3P1/R2R3K b - -,f6g4
8/5pk1/p5p1/6p1/3NPK1P/P1R2P2/8/1r3b2 w - -,h4g5
r2q1rk1/4bppp/2bpp3/ppn5/1P2PP2/P1N1Q3/B1P3PP/R1B2R1K b - b3,a5b4
1rb2bk1/p1q2p1p/2p3p1/3Np3/2B5/5P2/PPPQ2PP/2KR3R b - -,c6d5
3r3k/1p3r1p/2bpq3/p3p3/2P1Np2/1P3P2/P2RQ1PP/3R2K1 b - -,f7d7
1k3r2/ppp2qp1/7p/Q2r4/P2p4/6P1/1P2PP1P/2R2RK1 w - -,a5d2
2R5/p6k/1p3bp1/n4pQ1/3q4/6PP/P4PB1/6K1 w - -,c8c7
4k3/3R3p/1p2rBp1/p3P3/2p4P/2P1P3/1n6/6K1 w - -,d7d8
rnbqk2r/p3bppp/2p1pn2/8/PpBP4/4PN2/NP3PPP/R1BQ1RK1 b kq -,e8g8
rnb1k2r/1p2ppbp/p5p1/q1p5/3PP3/2P1B3/P2Q1PPP/1R2KBNR w Kkq -,b1c1
8/5k2/1p1p1br1/pPp4p/P1P1Pp2/3P1P2/5B1K/3R4 b - -,f7e6
8/1b4kp/p5p1/rp2n3/3R4/2P1K2P/3NB3/8 w - -,e3f4
8/5p2/1K3k2/1P2p2R/8/8/2r4P/8 w - -,b6a7
8/8/1n4k1/1PK5/p7/8/8/8 b - -,a4a3
r1b2rk1/pp1nppbp/6p1/qBp5/3PP3/1QP1B3/P3NPPP/R4RK1 b - -,a7a6
b1r1qrk1/5ppp/pQ2p3/1p4P1/4PP1P/1N6/PpP5/1K1RR3 w - -,b3a5
8/8/8/7k/4NK2/8/8/6B1 b - -,h5g6
8/4b3/5kN1/3b1p1p/2pp4/5P2/2PBK1P1/8 w - -,g6e7
4rk1r/1bqn1pp1/p2p1b2/1p1P3p/5BP1/1N5P/PPP1Q1B1/1K1R3R w - -,e2f2
2rr2k1/pp1b1pbp/1q2p1p1/3p4/1n1P1N2/BP2P1PP/P4PB1/R2Q1RK1 b - -,b6a5
8/5k2/3p4/2pPpP2/2P5/R2B2n1/3r4/4K3 b - -,d2g2
r4rk1/1p1nppbp/pq1pb1p1/8/PnP1P3/1PN2PP1/4N1BP/1RBQ1R1K w - -,c1g5
8/8/p6R/p1kP1p2/4rp2/4N3/4K3/8 w - -,h6a6
r4rk1/3q1p2/3p1p1p/p1pPnPp1/4P3/2B5/PPQ3PP/R4RK1 w - -,c3e5
8/8/5p2/4k1p1/7p/5P1P/4K1P1/8 w - -,e2e3
2nq2k1/rp3pp1/p2np2p/2NpNb2/1Q1P4/P3P2P/1P2BPP1/2R3K1 b - -,d8e7
1r3k1r/5pp1/p3p3/P7/2pNp1P1/2R4P/5P2/6K1 b - -,b8c8
r1qr2k1/6p1/pb2pnnp/1pp1p3/P3P3/2P1BNNP/1PQ2PP1/R3R1K1 b - a3,c8c6
5r2/1p3rkp/pq1p4/3Pp3/2R2pP1/P2Q1P2/1P5P/2R4K w - -,d3e2
3r4/pp3r1k/2q1n1pp/3p3n/P1PP2BP/1P2p1p1/1BQ2PK1/2R2R2 w - -,f2e3
2R2n2/pp4bk/3p2rp/1q1Pp1BQ/1P2P3/2R2pP1/P4P1P/6K1 w - -,g5e7
r1b2rk1/p1q3b1/6pp/n1pnpp2/8/NP1B2N1/PBPP1PPP/R2QR1K1 w - -,a3c4
r4rk1/1p1nqppp/p1pbpn2/3p1b2/2P5/PPNP1NP1/1B2PPBP/R2Q1RK1 w - -,f1e1
4r1k1/p1nq2pp/1p2p3/3P4/8/1P4PQ/PR3P2/4R1K1 b - -,d7d5
r3r1k1/7p/2p3pB/1p5n/PpP5/5P2/1P1R3P/R6K w - b6,c4b5
r1bqrbk1/1p3ppp/pnpp1n2/8/3NPBP1/2NQ1B1P/PPP2P2/R3R1K1 b - -,f6d7
r2q1rk1/pp1n1pbp/3p2p1/2p1p2n/2P1P3/1PN2N2/PB1PQPPP/R4RK1 w - -,e2d3
3rr1k1/pp3ppp/6b1/8/1n6/P3PPP1/1P4BP/2R4K w - -,a3b4
2r3k1/1rp3pb/3qpp1p/2R4P/1PRPp1P1/8/1B2PP2/2Q1K3 w - -,c1c3
r1bqr1k1/pp3ppp/3p1n2/2p1n3/1b2P3/2NB1P2/PP1BN1PP/R2Q1RK1 w - -,d2f4
2rr1bk1/p3nppn/b3p2p/qp2P2P/2ppBB1N/2PP2P1/PPQ2P1N/2R1R1K1 b - -,h7g5
1rr3k1/4pp1p/2pp2p1/p1Q5/2P1PP2/1P2n1PP/P5B1/3R1RK1 b - -,d6c5
2r3k1/ppr2pp1/4p2p/1q1pP3/3P1P2/4Q2P/PP3RP1/5RK1 w - -,f4f5
r3r1k1/pbpq1pb1/3p1npp/2p5/4PP1B/2PB4/PP1QR1PP/R4NK1 w - -,a1e1
r3k2r/1ppb1ppp/1p4q1/3Ppn2/1PP1p2P/P3BnP1/4NPB1/R1Q2K1R b kq h3,h7h5
2r2bk1/3Q1p1p/3p2p1/2r5/4PP2/2P3P1/6KP/8 b - f3,c5c3
3r4/6k1/1pqp4/p1p2rPp/2P4P/PP1P1nQ1/6R1/3R3K w - -,b3b4
r7/1b2pk1p/3p2p1/4n3/1p1BP2P/1P6/PKR1B1P1/8 w - -,d4e5
8/1Rk5/6B1/8/3K4/5r2/7p/6n1 b - -,c7b7
r2q1b1r/1b3kp1/p2p1n1p/4pP2/P1p1P3/2N1B3/1PPQN2P/R3K2R w KQ -,e2g3
1k1r3r/1b1n3p/pq2p1p1/1p1pP3/PP1N4/2PB4/5RPP/R3Q1K1 b - -,b5a4
rq2nrk1/1p1b1p2/3p1bpP/p1nPp3/P3P2P/2N1B3/1P1NBP2/R2QK2R w KQ -,e3c5
r3r1k1/1bqn2bp/p1p2pp1/1p2P3/5PP1/2NB3P/PPQB4/2KR3R w - -,e5f6
2r1k3/1p2pp1p/p2pb3/4b1P1/P3P3/2P1N3/1P1B2PP/4R2K w - -,g2g3
r4rk1/1p3ppp/2pb4/1q1n1p2/pP1P4/P3P1P1/2Q1NPBP/R4RK1 w - -,f1c1
r5k1/1p2q1b1/5n1p/2p1pQpP/2PpP3/pB1P2P1/P2B2K1/5R2 w - -,f5f3
1nq1r1k1/3r1p1p/1p4p1/1N1bP3/1b4Q1/3B4/1B4PP/3R1RK1 b - -,b4c5
r1q1r1k1/ppp2pp1/3p3p/8/4n1n1/P2B1P1Q/1PP3R1/2K4R w - -,d3e4
rnbqk2r/ppp1npb1/3pp1pp/8/2BPP3/4BN2/PPP2PPP/RN1Q1RK1 b kq -,a7a6
r2q1rk1/ppp1B1pp/2p1b3/2Pn1p2/3Pp3/2N1P3/PP2BPPP/R2QK2R b KQ -,d8e7
r3r1k1/pp1bqppp/1np2n2/3p4/3P1N2/2NBP3/PPQ2PPP/1R2R1K1 w - -,g2g3
8/7p/4kpp1/2n1p3/2N1P3/1p3PPP/1Nn2K2/8 w - -,c4d2
5rk1/5pb1/6pp/2P5/4Q3/q3P2N/2R3PP/6K1 b - -,g6g5
2b2qk1/2Qp1rpp/p1n5/1rNN1p2/4p3/1P6/P4PPP/2R2RK1 w - -,f1d1
8/6p1/1R1pk1P1/5p2/2r5/5KP1/PP5P/8 w - -,h2h4
r1b4r/ppp1k1b1/8/3p4/8/2PB3Q/PP3PPP/3R2K1 w - -,d1e1
2r1rbk1/1bqn1ppp/pp1ppn2/8/2PP4/BP1BNN1P/P4PP1/2RQR1K1 b - -,c7b8
3r2k1/6pp/5p2/8/4p3/R3P3/2rpKPPP/3R4 w - -,f2f3
1rb1r1k1/3n1p1p/p2p2p1/3P4/1qpQPP2/2N4P/1PB3PK/1R2R3 w - -,c2a4
r1b2rk1/5p2/1Rpb1qpp/3p4/3P4/2NBP1P1/2Q2P1P/5RK1 b - -,d6c7
6k1/4bppp/4b3/N3p3/8/P4P2/1PPr2PP/1K2R3 w - -,a5c6
