8/R4pk1/P3b1p1/7p/5R1P/r4PK1/8/8 b - -,e6d5
1r2r1k1/3b1ppp/np1P1q2/p1p5/2Pp2P1/PQ4BP/1P3PB1/R4RK1 w - -,f1e1
r2r1k2/pb3ppp/1p1ppnn1/8/3NP3/2N2PP1/PPPR3P/2K1RB2 b - -,f8e7
r4rk1/p1qn1ppp/1p3n2/2P5/2B5/4Pb2/PB3PPP/2RQ1RK1 w - -,d1f3
rnbq1rk1/pp2p1bp/2pp2p1/7n/1PPP1p2/2N2NP1/P3PPBP/1RBQ1RK1 w - -,b4b5
r4rk1/pp3pp1/2pn1n1p/q4p1P/3P3N/3Q1P2/PPP1R1P1/1KBR4 w - -,e2e5
8/6p1/3bpp1p/p2n4/kPpPp3/P3P1PP/1BK2P2/N7 w - -,b4a5
r2q1rk1/pp3pbp/2npbnp1/2p1p3/2P5/P1NP2P1/1P1NPPBP/R1BQ1RK1 w - -,c3d5
8/7R/2k5/1pp5/3r4/2K5/8/8 b - -,b5b4
5r2/6k1/2pR4/7P/7P/P3K3/1P6/8 b - -,c6c5
r1bq1rk1/pppBnpbp/3p2p1/3P2B1/4N3/5N2/PPP2PPP/R2Q1RK1 b - -,c8d7
6k1/1bp1rrb1/1p2p3/1B1pP1p1/PP1P2N1/5pPP/1PR2P2/2R3K1 b - -,g7f8
r1b1k2r/pp1nbp2/1qn1p2p/3pP1p1/3P4/3B1N2/PP2NPPP/R1BQR1K1 w kq g6,h2h3
r4rk1/1bp1p1bp/p2qpnp1/P7/1nBP4/Q1N1BN2/1P3PPP/2R1K2R b K -,b7f3
r6k/p5pp/8/6B1/8/5b2/PP3P2/2R3K1 w - -,c1c7
r1bqk1nr/2pnppbp/p2p2p1/1p6/3PP3/P1N1BN2/1PPQ1PPP/R3KB1R b KQkq -,c8b7
8/5k2/2p2p2/npb1pN1p/pN2P3/P1P2PP1/1P2K3/8 w - -,b4a6
rq2rb2/1p1n1pnk/2p1p1pp/p7/P2PP1P1/2QNBP2/1P2N2P/2RR2K1 w - -,c3d2
2b2rk1/p1q2rp1/2pbp2p/1p3p2/2NPP3/2P3P1/P1B1QPP1/3RR1K1 w - b6,c4d6
b2r2k1/6bp/3qp1p1/p3N3/2P3P1/4Q2P/P4R2/4R1K1 w - -,e3g5
7r/4kp2/pr1b1p2/1p1PpP2/2p1Q2p/P1P2B1P/1P3qP1/R2R3K w - -,f3e2
r3r1k1/1pqbnppp/p1n5/3pb3/8/1NP2B1P/PPN2PP1/R1BQR1K1 b - -,d7f5
r2r2k1/5p2/pq2p2p/nPp2p2/Q7/P3P3/2RNKPPP/1R6 w - -,b5a6
Q7/2p3pk/3p1q2/2p3p1/2P5/1P4PP/P4K2/8 w - -,a8f3
r1b1rbk1/1pqn1p1p/p2pp1p1/P1N5/4P1P1/2N5/1PP1QPBP/R1BR2K1 b - -,c7c5
1r5k/6np/3pB3/p2Pb1p1/5p2/1P6/q1PQ1BPP/4R1K1 w - -,d2d3
4b3/1p1r1k2/pBn1pp2/3r2pp/1P1P4/P4N1P/5PP1/2R1R1K1 w - h6,g2g4
3r2k1/p6p/3P2p1/q3p3/6P1/4Q2P/P5B1/2R3K1 w - -,c1d1
r1bqr1k1/ppp2pp1/3p1nnp/8/4PP2/1NPB2B1/P1P3PP/R2Q1RK1 w - -,e4e5
2r5/3b3p/1R1Ppkp1/5p2/2BK1P2/6P1/P6P/8 w - -,b6b7
1r5k/1P3pp1/7p/8/8/1RnQpPPB/3qP2P/5K2 b - -,d2c1
r2q1rk1/pp2ppbp/n1p3p1/5b2/3Pn3/1P3NP1/PB1NPPBP/R2Q1RK1 w - -,f3h4
r3n1k1/1p2rppb/2pq3p/3p2P1/p2P1N1P/PQ2PP2/1P3KB1/4RR2 w - -,b3c3
5R2/8/8/7p/8/2K1k3/1P4r1/8 b - -,h5h4
r2q1rk1/1b2npbp/p1np2p1/1p6/3NP3/5N2/PPB2PPP/R1BQR1K1 b - -,c6d4
2b2rk1/1pq3r1/3b1p2/2p3pp/2PpPPnP/1R3QP1/6B1/1RB2NK1 w - -,b3b6
r2q1rk1/4b1pp/1p1p4/p2Pp2n/PnP2p2/1N3P2/1P1QBBPP/3R1RK1 b - -,e7h4
5rk1/3q1ppp/3bp3/pb4P1/1p2PP2/4B1N1/PP4RP/3R2K1 w - -,g2d2
2r2rk1/4p2p/q2p2p1/nbpP1p2/1p5P/1P2NBP1/P1Q1PP1K/1RR5 w - -,e3g2
6k1/5p1p/2q1p1p1/bp1rP3/3B1P2/1QP5/3R1KPP/8 b - -,a5b6
r2qk2r/1b3pp1/p3p3/2p1Nn2/P1BP1P2/3P4/1P3QpP/R1B1R1K1 b kq -,d8f6
r1b2rnk/ppp1qpbn/3p2p1/3Pp2p/1P2P2P/2PBN1P1/P1QB1P1N/R3R1K1 b - -,g7h6
5r2/1p4k1/p2p4/3P1p1p/1P1p4/4r1nP/P4KP1/3RR3 b - -,g3e4
r2k3r/1ppn2p1/4bp1p/p1b1p3/2P5/PP1BP1P1/1B1N1PP1/R3K2R w KQ -,e1c1
8/2k5/5K2/5P2/5r2/8/8/7R w - -,h1d1
r2q1rk1/pp2ppbp/3pbnp1/6B1/2P5/1PN2PP1/P2Q1PBP/R4RK1 b - -,f8e8
rnbqkb1r/p4p1p/1pp1pp2/8/3P4/4BQ2/PPP2PPP/2KR1BNR b kq -,c8b7
4k3/2R5/3p2p1/p2P1r1p/2P1p3/2b1B1P1/4K2P/8 w - -,c7c8
r2qr1k1/pb1nbpp1/1p2pN1p/2p5/3P3B/2PB1N2/PP2QPPP/R4RK1 b - -,e7f6
4r3/p3r1k1/1p3qpp/1Pp1P3/2Pb4/5QBP/P3R1K1/4R3 b - -,f6f3
1k6/2p4Q/pp2r2p/3r2p1/1P1p2P1/P2N2KP/2P1nP2/8 w - -,g3g2
2kr2n1/pp1bnpr1/4p2p/3pP1p1/q1pP4/P1P3QP/R1PBBPPN/5RK1 b - -,e7f5
r1b1r1k1/ppp1ppbp/2nq1np1/3pN3/5P2/3PP3/PPP3PP/RNBBQRK1 w - -,e1g3
6r1/p3kp1p/2Bb4/P3p3/5p2/2P2P2/1P4PP/1K1R4 w - -,d1d2
2r1kB1r/ppq2ppp/2n1p3/3pP3/8/2PQ1N2/P1P2PPP/R3K2R b KQk -,h8f8
r3k2r/pppqbppp/3pbn2/8/4P3/P1NPQN2/1P3PPP/R1B2RK1 w kq -,b2b4
5r2/pp1R1Pkp/b1p3p1/3n4/8/1P2R2P/P4P2/5BK1 w - -,e3e8
1r6/5pk1/r5pp/3n2q1/P2Pb3/R3P3/P2Q2PP/3R2K1 w - -,d1f1
5rb1/1N4kp/p1n4q/4n3/1P6/P1Q2P2/4B1PP/3R2K1 w - -,b7d6
r1bq1rk1/1ppnn2p/3p2pb/3Ppp2/PBP1P3/2N5/4BPPP/R2QNRK1 w - f6,e2f3
r2q1rk1/5ppp/bp1p1n2/p2Pp3/1nP1PP2/R5P1/1P1N2BP/1Q2NRK1 b - f3,a8c8
q3r1k1/4ppbp/6p1/1Qp1r3/P7/2P1N2P/5PP1/R2R2K1 b - a3,e8b8
rn1qkb1r/pp3ppp/2pppn2/7b/2PP4/2N1PN1P/PP3PP1/R1BQKB1R w KQkq -,d1b3
rnbq1rk1/pp1nppbp/6p1/8/2BP4/2N1PN2/PB3PPP/R2Q1RK1 w - -,d1e2
q2rrbk1/1b1n1p1n/p2R2p1/1pp3P1/2P1PP2/2N1BB2/PP2N1Q1/4R1K1 w - -,d6d2
r2nk2r/ppq1bppp/2b1n3/4P3/3p4/P2B1NQ1/1P1N2PP/R1B2RK1 w kq -,d2e4
3r2k1/ppqn1pp1/2n1p1p1/2bpP3/8/P1PB1N2/1PQ2PPP/R1R3K1 w - -,c1e1
r1b2rk1/ppp1q1pp/3p4/3Pp3/2P1Nb2/3B4/PPQ2PPP/R3R1K1 b - -,b7b6
r1b1r1k1/pp3pbp/2pp2p1/q1n1n3/2P1P3/1PN3PP/P2BNPB1/R2QR1K1 w - -,d1c2
r2qk2r/1pp1ppbp/p2p1np1/3P4/P3P3/2N1BQ2/1PP2PPP/R4RK1 b kq -,e8g8
5nnr/p3k2p/1p2b1p1/1Bp1R3/4P3/1NP1B2P/P5P1/6K1 w - -,b3c5
3Q4/5k2/5npp/BBpp1p2/3b1P2/4q1P1/7P/5K2 w - -,d8c7
6k1/1p1np3/p2p2p1/3P1pP1/5P2/1Pb1BB2/P3KP2/8 w - -,e2d3
2R5/5pkp/4p3/p2p2p1/1r6/4P2P/PP3PP1/6K1 w - -,c8c2
2r1r1k1/1p1n1qbp/p2pppp1/P3n3/R3PN2/2P1B1PP/QP3PB1/3R2K1 b - -,g7f8
8/6k1/3qpp2/6pp/8/2Q2KPP/8/8 b - -,h5h4
2r2r1k/5p1p/p4q2/1p3b2/5P2/1B4R1/P4QPP/5RK1 w - -,g3e3
1r1q1rk1/1ppb1pbp/p1nppnp1/8/2PP1B2/2N2NP1/PP1QPPBP/2R2RK1 w - -,c4c5
4r1k1/3q3p/p1pp1Bp1/1p1n4/3P4/1P3N1P/P1Q1RPPK/8 b - -,d5f6
8/1B6/8/8/1R6/P2Pr2P/2Pk2PK/8 w - -,b7e4
6k1/R4p2/4p2p/p5p1/8/r4P1P/6PK/8 w - -,h2g3
8/3k4/p4p1p/2P2p2/1P5P/5K2/8/8 b - -,h6h5
3r4/2qk1p1p/Q3p1p1/7n/3r4/1R6/PPP5/1K2R3 w - -,b3b7
