8/8/2p2k1p/2R2p1P/5P2/6P1/1r6/3K4 b - -,b2b6
rnb1k2r/pp3ppp/2p1pb2/4N3/2Bq4/8/P1PBQPPP/1R3RK1 w kq -,e5f7
6k1/1p1R3p/4p1p1/1r6/4P3/5P2/5PKP/8 w - -,d7e7
r1bqkbnr/1p3ppp/p1p5/4p3/2N1P3/3B4/PPP2PPP/R1BQK2R b KQkq -,c8e6
4r2k/6p1/2Q2bpp/3n4/8/5RBP/4q1P1/5R1K b - -,e2e6
8/8/4p1pp/3kPp2/8/5N1P/5PP1/5K2 w - -,f1e2
3b1rk1/5p2/p5p1/1pq1p2p/3nP2P/3QN1P1/4r1B1/RR5K b - -,a6a5
1Q6/2P1ppkp/5bp1/3q4/5P2/8/6K1/8 w - -,g2g3
5N1k/3P2pp/1rn2p2/8/4P3/6P1/1p4P1/1R4K1 b - -,c6d8
rnbr2k1/pp3ppp/4pn2/2b1N3/2p5/6P1/PP2PPBP/RNB2RK1 w - -,b1c3
8/7k/pQK3p1/4P2p/P3q3/2p2r1P/7B/8 w - -,c6d7
8/p5p1/4B2p/1p3K2/5PP1/2k5/3b2P1/8 w - -,g4g5
r2n2k1/3n1p2/2pB1b2/p1P1pP2/Nq2P2P/2N5/P3Q1K1/1R6 b - -,b4a3
7k/8/3P2pp/2RB4/b2r1P1P/1p4P1/8/6K1 w - -,c5c8
r1q2rk1/p1pP1pp1/1p3n1p/8/3P3B/P1N1P3/1PQ2PbP/R3K2R b KQ -,f6d7
5rk1/2p2pp1/2P4p/P7/2B1n3/5QnP/1PPq2PK/R7 b - -,d2c2
r1bq1rk1/p1pn1ppp/1p2pn2/8/1bBP4/2N1PN2/PP2QPPP/R1B2RK1 b - -,c8b7
r5k1/3qrnpp/1pp1pb2/2Pp4/pP1P1P2/P5PB/1B2Q2P/3RR1K1 b - -,a8e8
b7/P1n5/2k5/8/3K4/8/8/8 b - -,c6d6
r2r3k/1p1n1pp1/2p1qn1p/p6b/4PPNB/2P4P/PPQ3B1/R3R2K w - -,f4f5
r2qkb1r/pp1n1pp1/2p1pnp1/8/2pP2P1/P1N1P2P/1P3P2/R1BQKB1R w KQkq -,f1c4
8/7p/3n4/pBrPk1p1/P1P1rp1P/3Rp1P1/6K1/4R3 b - h3,g5h4
q3r1k1/1r1bppbp/p2p2p1/Nn1P4/1R2P3/4B3/4BPPP/3Q1RK1 w - -,a5b7
r1bqk2r/ppp2pp1/3b1n1p/3pn3/3P3B/3BP3/PPPN1PPP/R2QK2R w KQkq -,d4e5
r1q2rk1/5p1p/4p3/p2bP1P1/1R1N1P2/P3Q3/2P4P/1R4K1 w - -,b4b6
6rk/p7/7P/3P4/2P5/2q5/PP3n2/K3R3 w - -,b2c3
r3k3/3R2b1/4pB2/4P2p/1p2P3/2p2K2/P1R5/8 b - -,e8d7
4r1k1/5pp1/ppQ5/2pPq3/P1P4P/6R1/6PK/8 w - -,c6b6
4k3/1p1rn1q1/p2p1p2/B2Pp3/8/7Q/PPP2PP1/2KR4 b - -,f6f5
r1b2b1r/1pkn1ppp/2p2n2/p3p1B1/2P1P3/2NB1P2/PP4PP/2KR2NR b - -,d7c5
1r2kb2/Rp1n4/2p1ppp1/1PPpPn1r/3P1P1p/3B3P/4NBP1/1R4K1 b - -,f8e7
r1b1r1k1/2pn1pp1/2pp3p/p5q1/4P3/1PN1Q3/P1P2PPP/3RRBK1 b - -,g5e3
6k1/8/6p1/p3P3/3P1b2/3R3K/P4n2/5B2 w - -,h3g2
B6r/4bpkp/4p1p1/n3P3/5PP1/P7/1PP4P/2KR4 w - -,a8e4
r4rk1/pp3ppp/2n1bq2/2bp4/8/2N2NP1/PP2PPBP/R2Q1RK1 w - -,c3d5
5r2/5r1k/p5p1/P1pP1n2/4QRNq/4P2P/6R1/6K1 w - -,g4f2
r1b1qrk1/pppnppbp/2np2p1/6B1/2BP4/2P1PN2/PP1N1PPP/R2Q1RK1 w - -,a2a4
8/5pkp/1p4p1/2bBr3/P1P5/3R2P1/5PKP/8 w - -,g2f1
1r2k2r/4bp2/1qbpp3/pp4p1/2nRP3/P5B1/NPPQB1PP/1K3R2 w k -,e2c4
4q1k1/p5b1/1p1nr1pp/3Qp3/2p1P3/2P3N1/P5PP/2B2RK1 b - -,g8h7
2rk3r/p5pp/1p2bp2/n7/3B4/P1P1P1P1/5PBP/R4RK1 b - -,a5b3
4qrk1/1n1bppbp/1B1p1np1/1p1P4/1Pr5/2NQ2PP/P3NPB1/R4RK1 w - -,a2a3
8/p1RB2kp/1p4p1/2b5/2P5/P5PK/5r1P/8 b - -,a7a5
r3n1k1/2b2pp1/r1q1pn1p/4N3/3P4/1B1Q1PP1/3B3P/1R1R2K1 b - -,c6d6
1R6/6pB/3p4/1PbK3P/1r4k1/5p2/8/8 w - -,b8g8
7r/pp3ppk/q1p1pn1p/2Pr3P/8/4B1Q1/PPP2PP1/1K1R3R w - -,d1d5
r1qr2k1/4bpp1/p1p1B3/2n1p3/Pp2P1Pp/1P2BQ1P/2PN1P2/R2R2K1 b - -,c8e6
r1bq1r1k/p1Bnbp1p/2p2npP/3p4/1p1P4/2NB2Q1/PPP1NPP1/R3K2R b KQ -,d8e8
1r4k1/3r1p1p/p1bpp3/P1p1b1P1/1q2P1P1/2N2B2/RPPQ2KP/4R3 w - -,d2d3
1r3k2/2q3pp/1n2Q3/p2P4/P1pP1b2/1pP2P2/1P5P/R3R2K w - -,e6f5
r4Bk1/p6p/6q1/3N4/2Qp4/PP1n3P/5RP1/7K b - -,d3f2
3r4/2r2p2/3pp1kp/pp2b1p1/P3P1P1/2PR2P1/1P1N1PK1/7R b - -,c7c4
5k2/pp5p/2p3p1/4p3/1PP2q2/P1n5/4QPPP/5B1K w - -,e2c2
8/1p6/2bkpBQ1/p2p1n2/3P1P2/8/P4q1P/6RK w - -,f6e5
1Q6/3k1p1p/6p1/pp1q2P1/7P/2P1P3/5P2/6K1 b - -,a5a4
2b5/6k1/p6p/1p1p1P2/1P1n1K1B/P6P/B7/8 w - -,f5f6
8/6k1/R4nb1/p3p1p1/1p4P1/4KB1P/P7/8 b - -,e5e4
r5r1/2pk3p/1p6/p2P4/N1n1PN2/4P3/2K3PP/4R3 w - -,c2c3
r1b2qk1/p4p2/2p2PpQ/2ppr3/8/2NP4/PPP3NP/R4R1K w - -,h6f8
r3r1k1/3b1pnp/p1p3pb/2Pp4/N7/5P2/PP2NBPP/3RR1K1 b - -,g7f5
b2rk2r/3q1p2/p1nNp1p1/1ppnP1bp/3p1P1P/P2P2P1/1PPBQ1BK/R4R2 b k -,e8f8
8/8/1P5k/R7/P6n/7p/r7/6K1 w - -,a5a8
6k1/5p2/7P/8/5P2/4PKbP/6r1/8 w - -,f3g2
r4rk1/pp2bppp/q1bppn2/6B1/4P3/2N2N2/PPPQ1PPP/1K1RR3 w - -,f3d4
2k4r/ppp3pp/1n1rbp2/1B2p3/4P3/2P2P2/PPKN2PP/R2R4 b - -,h8d8
r1b2rk1/p5n1/1ppq1p2/2p1p1pp/4P2P/1P1P1NN1/P1PQ1PP1/R4RK1 b - -,c8g4
r3k2r/1bpnqpb1/pp1pp2p/6p1/3PP3/2PBNNP1/PP2QPP1/R3K2R w KQkq -,a2a4
8/8/1p6/1P4p1/R6p/1r2k2P/1b4K1/5B2 w - -,a4a6
r1bqkb1r/pp3ppp/2n1pn2/2pP4/4P3/2N3P1/PP1P1PBP/R1BQK1NR b KQkq -,e6d5
r2q1rk1/1bpn1ppp/pp1b4/3p4/3Pn3/1P1BPN2/PB2NPPP/2RQ1RK1 b - -,d8e7
2k2r1r/1bq1bQ1p/p2pPp2/1p2p3/4P3/2NB4/PPP3PP/2KRR3 w - -,f7h5
7r/1ppq1kp1/p2p1p2/3Pp3/PPP1PnP1/R4P2/5K2/1R1Q1N1r b - -,d7d8
2kr3r/pp2qp1p/1np1b1p1/3p3n/3P4/2NBP3/PPQ2PPP/1KNR3R w - -,c1b3
r1b1rn2/1p1q2bk/5ppp/pPpB4/2PpPP2/6NP/P2QR1P1/2B2RK1 w - -,c1a3
8/6p1/3kpp2/1p1nb1pP/1P2B1P1/4P3/4K3/4B3 w - -,e2d3
4r3/3k2P1/1p6/2b2p1p/1pP5/8/KP3prB/3R3R b - -,d7c6
4k1r1/2n3P1/3R4/3P1N1K/8/8/8/8 b - -,c7a8
r2qnr2/1b3pk1/4p1pp/2npP3/pp1N3P/3B1N1R/PPPQ1PP1/1K1R4 w - -,d2b4
r1b1n3/4qpk1/2p1n1p1/p1P1p1Pp/PpB1P3/1Q1RB3/1P3PPN/6K1 b - -,e6c5
3rr1k1/pp3pb1/2p3p1/4n2p/4P3/4PP2/PP4BP/1N1RR1K1 w - -,d1d8
8/6pp/2pk1p2/1r2p3/n3P3/2PKB1P1/5P1P/1R6 w - -,b1a1
r1b1n1k1/p4r2/3p2n1/2PPp2p/4P3/RQN1bP2/2KNB1q1/R3B3 w - -,e2b5
2R5/6pk/7p/5p1P/P1pr1P2/1n1p2P1/6K1/3R4 b - -,d4e4
1qr3k1/3b2bp/pn1p1np1/Np1Pp1P1/1P2P3/3BB1NP/P2Q2K1/2R5 b - -,f6e8
