8/4r1k1/3N2p1/7p/1R4n1/4P3/5PK1/8 w - h6,b4b7
5k2/p2b2p1/1p1rpb1p/7q/3PQ3/P2BB3/5PPP/2R3K1 w - -,e4a8
3rr2k/pp4p1/5pPp/2qb1P2/2p5/P4N2/2B2Q1P/R4RK1 b - -,c5a5
r4r1k/1pP3q1/p6p/2P1p3/1PQ2np1/P7/2B1RPPP/3R2K1 w - -,e2d2
2r2k2/4b1p1/N4n1p/P2p1b2/3Q4/2P2P2/1q4PP/R3R2K w - -,d4e5
8/2k1bP2/2B5/1P6/1PK5/8/6P1/8 b - -,c7b6
rq1r2k1/pb3pp1/1p2p2p/1N2P3/1bP5/1PBR3Q/P4PPP/3R2K1 b - -,d8d3
2k5/2p1ppbp/8/1p1r1p2/1P6/5N2/2P1KPPP/1R6 b - -,h7h6
1r3rk1/5qp1/1p1pQb1p/p1n5/2Pp1PP1/6N1/PP1B3P/4RRK1 w - -,e6f7
rnb1k1nr/ppp2ppp/8/3q4/1b2p3/5NP1/PP1PPPBP/RNBQK2R w KQkq -,d1a4
2r2rk1/5pp1/QP2p1qp/2PbP3/8/P5n1/5PPP/3RR1K1 w - -,h2g3
r1b2r1k/pppnq1bp/3p4/3P1p2/2P2Q2/2N4P/PP2BP2/R1B1K1R1 w Q -,f4g3
8/8/8/Npk5/2p5/P1K5/1P6/8 b - -,b5b4
2n2k2/8/P1K3P1/2p1N3/5p2/1P6/8/8 w - -,c6c5
3r1r2/4nkp1/b3p2p/p1p1Pp1P/1p5B/1BP3R1/PP3PP1/2K4R b - -,d8d7
8/5p2/p1nk2p1/1p3P1p/2P1K3/P3N3/1P4PP/8 w - -,b2b4
3rr1k1/2qnbppp/pp1ppn2/2p5/2P2P2/1PNPP1P1/PB2Q1bP/R2RN1K1 w - -,e1g2
4rrk1/pb2q2p/1p2pnp1/2pp4/3P3Q/P1PBPN2/1P4PP/R4RK1 w - -,f3e5
8/5q2/8/5N2/8/4P1R1/4BK1k/8 w - -,g3g2
4r1k1/3p1ppp/8/3Pn3/P1B2P2/q1P5/P1K3PP/4R2R b - -,a3a4
2rq1rk1/5pbp/p2p2p1/1p1PN3/1P4Q1/4R3/P4PPP/1RB3K1 b - -,g7e5
3r2rk/1p2q1pp/p1p1pn2/4Pp2/1PP1pP2/P3P2P/1BR3P1/2R1Q1K1 b - -,f6e8
r2r4/1pk2p1p/2p2p2/2b1p3/p1P1n3/P3N3/1PR2P1P/1B1R3K w - -,c2e2
3r4/5k2/2p3pp/p2bRpP1/Pp5P/1P1NKP2/2P5/8 w - -,d3f4
r5k1/3rbp1p/4q1p1/P1pp4/7P/3QPN2/5PP1/R2R1K2 b - -,e7f6
r1b1k2r/1pppnppp/p1n2q2/8/4PP2/1NN1Q3/PPP3PP/R3KB1R b KQkq f3,d7d6
8/p7/1p6/4KP2/P5p1/2P4k/8/8 b - -,g4g3
6k1/4R3/4pR2/8/4r3/5KP1/5P2/4r3 b - -,e1e2
r1bqk2r/1p1nbppp/p3pn2/8/3N4/6P1/PPQ1PPBP/RNB2RK1 b kq -,e8g8
8/8/4p3/1r2Pkpp/1P6/2K5/4R1PP/8 b - b3,g5g4
7r/3k4/N1p1p3/P4p2/1p1P4/1P4K1/8/R7 w - -,a6c5
3N4/7k/5p2/5P1K/6P1/5n2/8/8 w - -,d8e6
r4rk1/1p1nppbp/2p3p1/q1nP1P2/2P1p3/2N3PP/PpRBQ1BK/5R2 b - -,a5a6
r3rnk1/pbp1qpp1/5B1p/2p1p3/1P6/P3PN2/2Q1BPPP/3R1RK1 b - -,g7f6
6k1/2r1pp2/6p1/P1p4p/2NbP2P/6P1/R4PK1/8 b - -,c7a7
2r2rk1/pp3ppp/5q2/8/Q7/1P1p4/P4PPP/R4RK1 w - -,a4a7
r1bq1rk1/ppp1np1p/3p2p1/8/2P1n3/1NP1B3/P3BPPP/R2Q1RK1 w - -,d1d4
r4rk1/pb1nqppp/1p1b4/3p3Q/3B1P2/1P1BP3/P2N2PP/R4RK1 b - -,g7g6
rnr3k1/p3qpp1/1p2p2p/2pb4/3P4/4PN2/PPQ1BPPP/2R2RK1 b - -,b8c6
8/p3q3/P4p1k/6rb/4p3/6RQ/1R4B1/3r2K1 w - -,g2f1
r4rk1/pp2qnbp/2n3p1/2p1p3/P1NpP3/2P2NBP/1P3PP1/R2QR1K1 b - -,e7e6
3r2k1/p5pp/1pp2b2/5b2/N1P1p2P/1P1rB1P1/P4P2/2R1R1K1 b - h3,h7h6
1r4k1/5pp1/5np1/3P2Q1/4P3/1PR2B2/1q4PP/r1R3K1 b - -,b2c3
1r6/Q2nk1pp/1r2b3/3p2q1/3Pp3/1BP1N3/P4PPP/R3K2R w KQ -,a7a5
1nbqk2r/2r1bppp/p2ppn2/PN6/4P3/2N1BB2/1PP2PPP/R2Q1RK1 b k -,a6b5
2rr2k1/p5p1/1p2p2p/3q4/3bR3/P2Q4/1P1B2PP/5R1K w - -,e4g4
2rr2k1/pb1qnpbp/6p1/2pp4/P7/B1NP1nP1/4PPBP/2RQ1RK1 w - -,g2f3
r3r3/1p3nkp/2p1bpp1/p7/2P5/1P2B2P/P2RBPP1/2K4R w - a6,a2a4
2Rr2k1/pb4b1/1p2p1Bp/4P2Q/1B3q2/P7/1P3PP1/5RK1 b - -,d8c8
r2r2k1/p4p1p/b2p2p1/n1pR4/2P5/5N2/P1P2PPP/2K2B1R w - -,f3d2
r1bqkb1r/pp1p1p2/2n1pn1p/2p1N3/3P2p1/2P3B1/PP2PPPP/RN1QKB1R w KQkq -,e2e3
5r2/2P3k1/8/2r1P3/p7/6PK/1P2R3/8 w - -,e2e4
8/8/4p3/4kp1B/8/3r2P1/4nK2/8 w - -,h5e2
r3k2r/1b1nbp2/pp1p1n1p/2q1p1p1/P1B1P3/2N3B1/1PPNQPPP/R4RK1 b kq -,h6h5
6k1/3q1rpp/2N1p1b1/4B3/r4P2/5R1P/5QPK/4R3 b - -,d7c6
r5k1/p1qrppb1/2b3pp/R7/2p1Pn2/Q1P1BP1P/P2N2P1/1R3BK1 b - -,a8d8
2r1rb2/1bp2npk/1p3pNp/pP2p2P/P2PP1P1/4BP2/4B3/2R2RK1 b - -,f8d6
r3r3/6kp/2p1p1p1/1p1q1p2/pPnPbP2/2P3P1/1P2QR1P/2B1RBK1 b - -,g7f7
8/8/1k4pb/1p2N3/r4P2/P5P1/1PR3K1/8 b - -,h6f4
r4rk1/pbp2ppp/1b1p4/4p3/2B4q/BNR5/P4PPP/3Q1RK1 w - -,c4d5
2r4k/5P1n/1N2p1n1/p5pq/P2p4/6Q1/3B4/5RK1 b - -,c8d8
4r1q1/pQ4k1/n4pp1/1p2B1N1/1PpP2p1/2n5/7P/R5K1 b - -,g7h6
8/p7/1p1k4/3P1p1p/1P1K2pP/P7/5P2/3b3B b - -,d1c2
rq6/2n1ppbk/3p3p/PbpP1PpN/1rB1P3/1P2B3/R2Q2PP/5RK1 b - -,b5c4
4k2r/p2p1ppp/2n5/3q4/8/1P3P2/1PQ3PP/R1B3K1 b - -,d5d4
1q1r2k1/p3bppp/1pn1p3/3r4/N2P2P1/PbQ1PR1P/1P4B1/R5K1 w - -,c3b3
r7/pq2n1bk/2b1Q1pp/2p1n3/3ppN1N/3PB1P1/PP4BP/5RK1 b - -,d4e3
r4nk1/pb2q1p1/1p1pp2p/8/3QP3/2N5/PPP1B1PP/3R3K b - -,a8d8
1rbqk2r/1p1nbppp/p3pn2/2p5/8/5NP1/PPQPPPBP/RNBR2K1 w k -,d2d4
r4k2/5p1p/p1Rpp2r/1p1p1q2/3P1Pp1/6Q1/PPP2P2/1K1R4 w - -,g3a3
2rqrnk1/1b3p2/pp1b1n1p/3p2p1/3P4/P4BB1/1PRNNPPP/3Q1RK1 w - g6,h2h3
2b2rk1/5pp1/6q1/1Pp5/3pPP1p/1Q1B2P1/3R2KP/8 b - -,c8e6
r4rk1/ppq2pp1/1b5p/3p4/3N1P1Q/1NPn3P/PP4P1/R4RK1 w - -,g1h1
3rk2r/1B1bnppp/Q7/2P1p2q/8/2P3P1/PP1N1P1n/R1B1K2R b KQk -,e8g8
r3r1k1/1bqnbppp/pp1ppn2/8/2PNP3/1PN5/PB3PPP/1BRQ1R1K w - -,f2f4
r1bq1rk1/p3n1b1/2p5/2Ppp2p/R3Ppp1/3P1P2/P2NN1PP/2BQR1K1 w - -,d3d4
r1bq1rk1/ppp1ppbp/1nn3p1/8/3P4/2N1PN2/PP2BPPP/R1BQK2R w KQ -,e1g1
2kr1b1r/pp1npp1b/2p4p/qN4pn/3PP3/3B1NB1/PPPQ2PP/R4RK1 b - -,a5b6
1kr5/pp3pp1/8/2bp2p1/2n3P1/P1NRPPq1/1P5r/K1BQ1R2 b - -,g3g2
6k1/3r1pp1/2b5/p6p/P6P/1P1p1P2/3RNKP1/8 w - -,e2f4
r2qk2r/pppbbppp/2np1n2/8/3NP3/2PB4/PP2QPPP/RNB1K2R b KQkq -,a7a6
rnbqk2r/pp2b1pp/2pp1n2/5p2/2PPpN1P/2N5/PP2PPP1/R1BQKB1R b KQkq h3,a7a5
rn1qkb1r/pp2npp1/2p1p3/3pP1Pp/3P3P/3Q1P2/PPP5/RNB1K1NR w KQkq -,g1e2
r2qrbk1/1b3ppp/p2p1n2/npp1p3/P2PP3/2P2N1P/1PBN1PP1/R1BQR1K1 w - c6,d4d5
r2q1rk1/pp2p1bp/2bpn1p1/3N1pNn/2P5/4B1PP/PPQ1PPB1/2R2RK1 b - -,e6g5
