1K6/8/1P6/8/2q5/7Q/8/6k1 w - -,h3g3
rnbqkbnr/pp3ppp/8/3pp3/8/2N3P1/PP1PPPBP/R1BQK1NR b KQkq -,g8f6
3k4/7p/3K4/5P2/2p1P3/2rp4/8/R7 b - -,d8e8
1r3bk1/3bpp1p/3p2p1/1NpP2B1/4P3/3B1P2/1P1K2PP/R7 b - -,d7b5
r3k2r/1b1pn1p1/1ppq1p2/p2Pp2p/2P1P2P/3BQ1PN/PP3P1K/R3R3 b kq -,d6c5
r1bqk2r/pp2ppbp/1n1p1np1/3P4/2PB4/2N2N2/PP3PPP/R2QKB1R b KQkq -,e8g8
r3r3/pqk2p1p/1p1p1Pp1/PRpPn3/2P5/2P5/2Q1B1PP/R5K1 w - -,a1b1
3qrrk1/1p3nbp/p2p2p1/2p1nb2/5N2/1BP1B2P/PP1N1PP1/R2QR1K1 w - -,d2c4
3rr1k1/bP3pp1/8/6q1/3Rp3/P1N1PbPQ/1P3P2/R1B3K1 w - -,a3a4
8/5kp1/4b3/4P3/pB4P1/P3QPK1/8/3q4 b - -,f7g8
1r1r4/4k1p1/2bpp2p/p1p4P/2P1pPP1/P1R1P3/1PB5/2K3R1 b - -,e7f6
2Rr2k1/1p1rqpp1/p3n2p/3pQ3/6B1/P3P2P/1P3PP1/2R3K1 b - -,g8f8
1r4k1/1p1rbpp1/2n1p2p/pN6/3PB3/P5P1/1PR2P1P/3R2K1 b - -,e7f6
8/3k1p2/Q3p3/P2q4/3P4/1p6/1P6/K7 w - -,a6a7
8/5k2/p5pp/3r1p2/8/1PNn1P1P/P5P1/5K2 w - -,c3d5
1r4k1/4ppbp/3p2p1/2pP4/5BQ1/3P2PP/2q3BK/2N5 w - -,g4e2
8/5r2/6R1/k4r2/2P1p3/8/1R3PK1/8 w - -,g6e6
4R3/5pk1/3p1bp1/1PnP3p/4NP2/4B2P/1r4K1/5B2 w - -,g2f3
rn1qr1k1/pp3pbp/3p1np1/2pP2B1/2P3b1/2N2N2/PP1QBPPP/R4RK1 b - -,b8d7
r1b4Q/8/5r2/2Nnkp2/p3p3/2P5/PP3PP1/2K5 b - -,e5d6
8/p1kq2p1/1pn2p2/2p1p3/4Q1PP/P1P1B3/1PP2P2/2K5 w - -,h4h5
3q3k/5pp1/p1pb1n1p/Pp1p1P2/1P1B4/2P2PPP/2B3K1/4Q3 b - -,h8g8
2rRk3/4b1p1/4p2p/p1p1P2P/PpP3P1/1P2B3/4K3/3R4 b - -,c8d8
8/kp2R1p1/1ppN1pr1/8/6p1/6P1/P7/6K1 w - -,d6e8
r5k1/pppqp1bp/2n2rp1/3n4/3PB1b1/2P2N2/PP2N1PP/R1BQ1RK1 b - -,g8h8
8/p6p/2rn1rk1/5pp1/P1B3P1/1P5P/1Q2RPK1/3q4 w - -,b2e5
1r6/3bk3/1p4p1/2p2p2/p1P2P2/P4BKP/1P1R4/8 b - -,d7e6
R4bk1/p7/2p2pp1/1r5p/8/4PNPP/P4P2/6K1 b - -,b5a5
5bk1/p4ppp/2p1p3/4PP2/2R1P3/6P1/3r1N1P/1r3BK1 b - -,c6c5
r4bk1/2q1rpp1/p1bp1n1p/n3p1N1/P3P3/2P4P/2BN1PP1/R1BQR1K1 w - -,g5f3
r1b1k2r/p3b1pp/1np2p2/2p5/5B2/1Bp2N2/PP3PPP/2KRR3 b kq -,c5c4
4k2r/p3b3/2p1bp2/4p3/1rN1p1Pp/PPN5/2P5/2K3RR b k -,b4c4
1r2n1k1/p3Bp2/1p4pp/1bp1P3/3bBP2/1P3NPP/P2R3K/8 b - -,d4e3
6rk/5p1p/pq3p1Q/3bpP2/2pp3P/P7/1PPR2P1/3R3K b - -,d5b7
r6r/p2k1ppp/2pb4/1p1p4/3P4/2P1B3/PP3PPP/R4RK1 w - -,a2a3
1qrnnrk1/p2b2bp/3p1pp1/1p1Pp3/1P2P3/3B1NNP/P3QPP1/R1B1R1K1 w - -,h3h4
r4rk1/1bq1ppbp/p1pp1np1/8/N1P1P3/BP4P1/P4PBP/2RQ1RK1 b - e3,a8d8
4r3/4qpr1/5b1k/1p1ppQpP/p2P4/P1P2R2/1P3PK1/2B4R b - -,e5d4
1r2k3/pp1n2p1/2p4q/3n1pp1/2NPpP2/1Q2P1Pr/PP2BR1P/R5K1 b - -,g5f4
5R2/2p1rn2/1pB2kp1/1P3p1p/5K1P/6P1/8/8 b - -,f6g7
8/8/6k1/8/6P1/6K1/6RP/r7 w - -,h2h4
8/2kr4/5K2/8/4Q3/8/8/8 w - -,e4c4
r1b1k1nr/pp1pp1qp/n5p1/1N2B3/2B5/5N2/P2Q1PPP/4K2R b Kkq -,g8f6
2r3k1/1p2Bpbp/1q4p1/p2p4/P2P4/1P2P1P1/5P1P/3Q1RK1 b - -,c8c3
2b5/rp3k2/2p2p2/r1q1p1p1/P1PnP2p/2N2P1P/1Q4P1/RR3B1K b - -,c8e6
3r4/R7/5kp1/2n2p2/8/P1p3N1/1r3R1K/6B1 w - -,a7c7
k2r4/pp6/3P1ppp/4p2n/6P1/P1B5/1P3P2/1K5R b - -,h5f4
8/2k3p1/4p1Bp/2Pbp3/7P/4K1P1/2P5/8 w - -,e3d3
3rr1k1/4b2p/q3p1p1/2p5/4N3/1N1n2P1/PP2QP1P/1R1R2K1 w - -,b3c1
8/p3k2p/1p2n1p1/2rR1p2/P1P2P2/3BK2P/6P1/8 b - -,c5d5
r4rk1/ppq1ppbp/3p1np1/3Pn3/4P3/1N2BP2/PP1QB1PP/R4RK1 b - -,f8c8
3r1rk1/p3n1pp/q1b1p3/4N3/p1pPPP2/2Q5/1P3RBP/R5K1 b - -,e7g6
8/6r1/1p5k/1PbR4/6KP/3B4/8/8 w - -,g4f5
8/p4p1p/3kp3/2n2p2/1KP5/5P2/P3N1PP/8 w - -,e2d4
1b2B3/7k/2p4p/2K5/3B4/5b2/8/8 w - -,c5b6
1r1rbbk1/3nqppp/pp1pp3/5P2/P1P1P1B1/BPN5/4Q1PP/1R1R3K b - -,d7e5
r4rk1/1p3p1p/p1nqbnp1/2Pp4/8/2N1PP2/PP1QN1PP/1B1R1R1K b - -,d6c5
r5k1/1pr1ppbp/3p2p1/p1n5/P1P1PP2/1P2RNPB/5K1P/3R4 b - -,c7c6
7k/pp2q3/8/2p3Q1/2P2P2/2P1P3/P4K1r/6R1 w - -,g1g2
r5k1/p4rb1/1q1p2pp/2p2p2/8/Q1P1PN2/PP3PPP/R4NK1 w - -,a1d1
1r1r1k2/7R/5NB1/4P3/p1b5/2P5/1P5P/2K5 w - -,f6d7
5rk1/pp5p/6p1/1PR2r2/4N3/P2PKN2/6nP/R7 w - -,e3f2
r3k1nr/2p2ppp/bp6/3p4/8/2P3P1/PP3PBP/RN2K2R w KQkq -,g2d5
3k1b1r/pB4pp/1n2pp2/1p2B3/8/7P/PPP2PP1/3R2K1 b - -,d8e7
3r1r2/1kp3p1/1p6/B3P2p/8/P2nP1P1/2K4P/1R5R b - -,f8f2
r3kb1r/p1p2p1p/b1pP2p1/3n4/2P5/BP6/P3BPPP/RN2K2R b KQkq -,f8g7
8/1p2rkpp/p2Rb3/2n1p3/2P2p2/5PP1/4N2P/2R3K1 b - -,g7g5
r1b2rk1/2q1ppbp/pn1p2p1/2nP4/p1QNPP2/2P2N2/1PB3PP/R1B1R2K w - -,c4e2
r2r2k1/1Rp1qppp/8/p7/3P1P2/4PQ2/P4P1P/5RK1 w - a6,f1c1
8/2b1kppp/1p6/pPp1pP2/P1N3P1/1Pn1B2P/6K1/8 w - -,e3g5
r2q1rk1/pp1bbppp/2nppn2/1Bp5/3PP3/2P2N1P/PP3PP1/RNBQR1K1 b - -,d8b6
8/3k4/8/1pn5/2p1p2R/2P1P3/2K5/8 w - -,c2b2
1qrrb1k1/1p3pbp/p2p1np1/n2p2B1/1NP5/1P4PP/P2QPPB1/2RR2K1 w - -,g5f6
r5k1/1p2rqp1/2p4p/p2p1p2/2nP1N2/4P2P/PPQ2PP1/2RR2K1 w - -,f4d3
r1bqkbnr/p2ppp1p/2p3p1/2p5/4PP2/2N5/PPPP2PP/R1BQK1NR b KQkq f3,f8g7:d7d5
r1bqk2r/p2pnppp/2p1p3/2b5/4P3/2PB4/PP3PPP/RNBQ1RK1 w kq -,b1d2
2r3k1/q2rpp1p/p1bp1np1/1p6/4P3/P1NQ1B1P/1PP2PP1/3RR1K1 w - -,c3d5
8/1k5p/p5p1/P1p2p2/1pQ5/5P1P/6PK/3q4 b - -,d1d6
1b2r1k1/3q4/pPn1r1pp/2R2pn1/2Np4/BQPP1N2/4PR1P/5K2 w - -,c4d2
r4rk1/1bqpbppp/p3pn2/1p6/P2B4/NP4P1/2P1PPBP/R2Q1RK1 w - -,d4e5
6r1/8/3k4/4nK2/7R/P7/8/8 b - -,e5c6
1r1q1rk1/3nppbp/p2p2p1/n1pP4/2P1PPbN/2NQ2P1/P2B2BP/R4RK1 b - f3,d7b6
rnbq1rk1/ppp2pbp/3ppnp1/8/3PP3/2N2N1P/PPP1BPP1/R1BQ1RK1 b - -,b8c6
r1bq1rk1/1p2ppbp/p4np1/1N1Pn3/8/2P1BB1P/PP1N1PP1/R2Q1RK1 w - -,b5d4
br3rk1/3n1p1p/B2P2p1/2p3b1/P3p3/1N3P2/5BPP/1R3R1K w - -,f3e4
6k1/1pr1qp2/p2Q1b2/P1P1nPp1/B6p/7P/3B2P1/5R1K w - -,d6e7
r1b2rk1/p3bppp/2p2n2/q2p4/N7/6P1/PP2PPBP/R1BQ1RK1 w - -,c1d2
