8/8/3k4/6R1/3b4/7r/4K3/8 w - -,g5a5
2k5/2p1n1p1/p3qb1p/1pP1p3/1P6/2NQBP2/P3K1PP/8 w - -,d3e4
r1bq1rk1/pp2bppp/2n1pn2/2p5/2PP4/5NP1/PB2PPBP/RN1Q1RK1 b - -,d8c7
3r3k/p5p1/P6p/R2p4/1pp1r1P1/2P2R1P/8/6K1 w - -,c3b4
2r5/1n2k3/1r3pb1/pp1Pp1p1/2p1P1Pp/P1P1K2P/1PNR2B1/4R3 w - -,g2f1
3r2k1/5pbp/p1p1p1p1/2B1p3/1PP1P3/7P/P4PP1/R5K1 w - -,a2a4
r4rk1/1bqnbppp/p2ppn2/2p5/P2PP3/2P2N2/2BN1PPP/R1BQR1K1 w - -,c1a3
4r1k1/1p3pp1/2p5/2Pp4/pP1P3p/P1Q3P1/4qP1P/2R3K1 w - -,g3h4
r2q1rk1/3n1pbp/b1n1p1p1/1p1pP3/p2P1P2/2N1BB1P/PP3QP1/R1N2RK1 w - -,f1d1
8/4p1k1/1p3p2/p1pPpP2/P1P1P1Qp/1P4qP/8/7K b - -,g7f8
1Q6/3k4/p7/8/p1P5/5q2/KP6/8 b - -,f3d1
6k1/8/5B1P/4N2P/4p3/p4pK1/r7/8 w - -,e5g6
6k1/5p2/3p2p1/p1rBb2p/7P/3R2PK/8/8 w - -,g3g4
2rr2k1/1bq1bppp/p4n2/1p2p3/4P3/PNN2B2/1PP1R1PP/3R2QK b - -,d8d1
8/3k1p1p/N2b2p1/8/1pr5/1R3KPP/P4P2/8 w - -,b3d3
6k1/2r5/p3bppb/1p2p3/4P2P/1NP2P2/Pn1BnK2/1N3R2 w - -,d2h6
8/8/3r4/4b3/4Bpp1/6k1/4K3/2R5 b - -,f4f3
rnbqk2r/pp1p1ppp/4pn2/2p5/2PP4/4PN2/PP1b1PPP/RN1QKB1R w KQkq -,b1d2
rn2kb1r/1pq2ppp/p7/3bp2Q/8/1N2B2P/PPP2PP1/R3KB1R w KQkq -,e1c1
4rr2/1bp1qpk1/1p1p2pp/pB1Pp3/P3Pn2/2P1Q3/1P1N1PPP/R4RK1 b - -,e7g5
2rq1rk1/1p3p1p/p2pb1p1/3Np1b1/3nP3/1B2N3/PPP2PPP/R2Q1R1K b - -,d4b3
8/8/1k6/1P4p1/3K2B1/8/8/8 b - -,b6b5
5rk1/1pbr1ppp/p1p1q3/2P2RP1/1P1Pp3/2B1P2P/P5Q1/5RK1 b - -,e6c4
6n1/5p1k/4b1pp/1B6/1p6/1P3N1P/P4PP1/6K1 w - -,f3e5
3rr1k1/ppqn1bpp/2p2p2/3ppP2/8/P1PBBP2/1PP2QPP/3R2RK b - -,c6c5
1r3rk1/q3bppp/b1nppn2/1pp5/4P3/1PNP1NP1/PB2QPBP/2RR2K1 w - -,e2e3
r3r1k1/2nb1p2/3p1P1p/p1pPq1p1/1pP1P1PP/1P2N3/P2Q2B1/4RRK1 b - -,g8h7
3r2k1/1R4p1/ppp4p/3p4/1PnP4/8/6PK/2B5 w - -,c1f4
2r2k2/5pp1/1R1pb2p/3Pp3/8/4P3/4B1PP/6K1 b - -,e6d5
2r1n1k1/p4pN1/1p1RpP1Q/2q5/2P4P/6P1/P4P2/R5K1 b - -,e8d6
r4rk1/bp1q2pp/p1p1bp2/3n3N/1Pp5/P5PP/1B3PBK/2RQR3 w - -,d1d2
8/8/3K1pk1/8/8/4Br2/R7/8 w - -,e3d4
r3kb1r/1bqn1ppp/p3p3/3p2PP/1p1NP3/4nP1B/PPP2Q2/1NKR3R w kq -,f2e3
8/4kp1p/p1r1p1p1/3nP3/Pr2N3/R4P2/5PKP/3R4 w - -,g2g3
2rq1rk1/1b3pp1/B3pn1p/p1b5/Qp2P3/5N2/PP2NPPP/R2R2K1 b - -,d8b6
1B4k1/pp4pp/2p5/8/8/P3nr2/1PPR3P/7K w - -,h2h4
2rq1rk1/p2nbppp/b3p3/P1Pn4/4N3/5NP1/1B2PPBP/R2Q1RK1 b - -,d7c5
R6R/2r1kp1p/p3pn1r/8/8/5K2/P3N3/8 w - -,a8a6
6k1/2r1qpbp/p1r1p1p1/1p1pP1P1/3P4/1P3N2/P2Q1R1P/5RK1 w - -,f3e1
2r2rk1/pR3p1p/3p2p1/3Pb3/2p1PB2/3bRBP1/P6P/7K w - -,f4e5
8/1r1nkp2/1p2n1p1/p1p1P2p/P3R2P/1P2KNP1/8/3R4 w - -,d1f1
3r3r/7p/ppk5/2p5/2P2P2/1P6/P5KP/3R1R2 b - -,h8e8
r3r1k1/1pqn1pbb/p2p1n1p/P1pPp1pP/2P1P3/2N5/RP1NBPPB/3Q1RK1 b - -,a8b8
8/6p1/3R1p1k/4p3/2np1P1P/5KP1/8/8 w - -,d6c6
r1b1k2r/pp2qpp1/1n1b1B1p/3p4/3Pp3/2N3PN/PP2PPBP/R2Q1RK1 b kq -,e7f6
5r1k/ppp5/3p4/4b2q/1PP1NrP1/3PQpR1/P4P2/1R4K1 b - -,f4g4
8/2R1bk1K/7P/8/8/8/8/7r w - -,c7a7
2kb2rr/2q5/1n2p3/1p1pPp1p/pnpP4/P1P2N2/1P2Q1PP/2B2RRK w - -,a3b4
4r1k1/p3qpb1/2Q3pp/2N1r3/1P6/2P1p3/P3R1PP/R6K b - -,e5f5
2rq1rk1/1b2bppp/p2ppn2/1pp5/4P1P1/1PN4P/PBP1NPB1/R2Q1RK1 w - -,g4g5
8/8/7p/2npk3/p5PP/8/3K2B1/8 b - -,c5b3
4Bb2/2k2P2/2P5/8/R7/p7/K2r4/8 w - -,a2b3
5k2/p1r2ppp/2p1p3/R2pPn2/1r1P4/1N3P2/PP2KP1P/3R4 w - -,d1d2
3k4/K4R2/2P5/3B4/8/8/2r2p2/8 b - -,d8e8
3r1b1r/1bk3pp/1n1p1p2/2p5/p1P1N3/1PB3PB/P4P1P/2KRR3 w - -,e4c5
r2r2k1/pp3pbp/2p1pnp1/3n3P/3P2P1/1B3PN1/PP1B1P2/1K1R3R w - -,d2g5
r1bqrnk1/ppp1bppp/3p1n2/3P4/3NPB2/2PB3P/PP1N2P1/R2Q1RK1 b - -,f8g6
rn3rk1/pp2bppp/4pnb1/8/1q1P2P1/1QN1BN1P/PP2BP2/R4RK1 w - -,f3e5
2Q5/8/8/4K3/8/4k3/5p2/8 b - -,f2f1q
rn1q1rk1/pbppb1pp/1p2pn2/5p2/2PP1B2/P1N1PN1P/1P3PP1/R2QKB1R b KQ -,f6e4
2b5/6p1/p1p1q1k1/P1B1Qp2/1P3K2/4P3/6P1/8 w - -,c5f8
8/p1r5/7p/R5pk/2P2P2/1P4K1/P7/8 b - -,c7d7
8/1p3kpp/p1p2p2/7P/1P1N1PP1/P5K1/1n6/8 w - -,g3f3
3rrbk1/ppq2b2/2n3pp/P1pnpp2/2N5/2PP2PP/1PNBQPB1/R2R2K1 w - -,e2f1
8/8/R5k1/8/5K2/5PP1/5r2/8 b - -,g6f7
r1b2rk1/pp1pq2p/2n4Q/3p1p2/2P5/2R5/P2N1PPP/3K1B1R w - f6,c3g3
r4rk1/1bqnbppp/pp1ppn2/8/2PR4/BPN2NP1/P1Q1PPBP/R5K1 w - -,a1d1
r4rk1/pp1b1p1p/3p4/4n3/3QPp2/1P1B3P/P1PP2P1/5K2 b - -,f8e8
r2qr1k1/ppb2p2/6p1/1P1nNp2/3Pn2p/1Q2P1P1/1B3PBP/R4RK1 w - -,f1c1
8/4k3/1K1n1p2/P1p4p/8/BB1n4/7P/8 b - -,f6f5
q1r2bk1/pb3p1p/1p2p1p1/1P1nNn2/P2P4/1Q2BN2/4BPPP/2R3K1 b - -,f5e3
6k1/1b3rbp/p7/1pB1pp2/1P2p3/P1Nr3P/1P2R1P1/5RK1 w - -,g2g4
r4rk1/pp1np1bp/3pbPp1/8/3BPP2/2N5/PPP1B1P1/2KR3R b - -,d7f6
8/5k2/p7/5P2/2p1N2p/P6K/8/8 b - -,c4c3
r3k2r/ppp2ppp/2n5/2q1p3/1b3Pb1/2NP1N2/PPPB2PP/R2QK2R w KQkq -,c3e4
3k4/pp6/7p/P4P2/5p2/5K2/3b2PP/3B4 w - -,h2h3
r2q1rk1/pbpn1ppp/1p6/3p4/3Pn3/P1N1PN2/1P2BPPP/2RQ1RK1 w - -,f3e1
rqbr2k1/3nbppp/ppnpp3/6P1/2P1PP2/1NN1B3/PP4BP/2RQ1RK1 w - -,d1e2
2r3k1/prqn3p/1pp1bpp1/4p3/1PN1P3/RNQP3P/2P2PP1/R5K1 w - -,d3d4
r1b1k2r/pp2ppb1/2n3pp/2pq4/3P1B2/2P1PN2/P2Q1PPP/2R1KB1R b Kkq -,c8f5
rnbq1rk1/pp2ppbp/6p1/3p4/2PNnB2/2N1P3/PP2BPPP/R2QK2R w KQ -,c3e4
1r3bk1/1q3ppp/5r2/p2pp3/2p5/P1PnQ1NP/BP2RPPK/R7 b - -,f8c5
