4b3/7p/4N3/6P1/p5k1/2P5/1P1K4/8 w - -,c3c4
3r1n2/1p3k1p/4ppp1/2pP4/2B1R3/1P2RPK1/1r4PP/8 w - -,d5e6
rnb2rk1/pp2qppp/2pbpn2/3p4/2PP4/1PN1PN2/PBQ2PPP/R3KB1R b KQ d3,b8d7
rnb1k2r/pp3pp1/2pB3p/4p3/n1P1P3/8/PP1N1PPP/R3KB1R b KQkq -,b8d7
3r1r2/pp2q1k1/n5pp/3pPP2/P7/1P6/4Q1NP/4RRK1 b - -,f8f5
5r2/2R1b1p1/1r1p1k2/p2Bp2p/6PP/P2R1P2/1P6/1K6 b - -,h5g4
2r3r1/1N2kp2/1bp4p/pp1p4/3PpNbP/PP2P1P1/2RK1P2/6R1 b - -,c8c7
r1b1r1k1/1p2qppp/p2np3/6P1/3N1P1P/1R6/PPP1Q1B1/2KR4 w - -,c1b1
r1n1r3/pp3qpk/2p2p1p/2Pp1PnN/1P1Pb1Pb/P1N3BP/3QB2K/2R2R2 b - -,h4g3
r5k1/2Q3pp/p2N4/1p1q1r2/8/P2P2bP/6P1/1R5K w - -,d6f5
8/2P1R3/2rP4/7p/4k3/1P3p2/3K4/8 b - -,e4f4
2r2rk1/1q2p2p/2p5/2Qp1n2/2PBpP2/1P6/P5PP/1R3RK1 b - -,f5d4
5bk1/3b4/3p4/1p1npP1p/2p3P1/2P1B3/1P3P2/1N1B2K1 w - h6,g4h5
r3q1k1/1p3pp1/p1r1p2p/3pP3/1P6/P1RP4/3Q1PPP/2R3K1 w - -,c3c6
4r1k1/B2b1pbp/2p3p1/4p3/4P3/6P1/PP2RP1P/4N1K1 b - -,e8a8
2rbr1k1/q2n1ppp/P1bp1n2/4p3/3NP3/1P3P1Q/PB2N1PP/3RRBK1 b - -,d8a5
2r2rk1/p2q1pbp/1p2p1p1/n3P3/3Pp3/2NQ1N2/PP4PP/2R1R1K1 w - -,d3e4
6k1/8/8/8/pR6/P1PK1p2/4r1p1/8 w - -,b4g4
r4rk1/1p3p2/2p2Rp1/p7/P3P3/1Pq5/5QPP/5RK1 b - -,c3b3
5bk1/5p2/p1r5/2PQ3p/q3P1pP/3NB1P1/4PPK1/8 b - -,c6e6
4k3/8/3P1P2/3K4/4N3/8/8/4r3 w - -,d5d4
r1bqk2r/pp1nbppp/2p5/3p3n/3P4/2NBPNB1/PP3PPP/R2QK2R b KQkq -,g7g6
1q2r1k1/2b2ppp/2p1pn2/1pPp4/1P1P4/1NN1P2P/Q4PP1/R5K1 w - -,a2a6
8/1p4rp/8/1p1k4/1P5R/8/P5pP/6K1 w - -,a2a3
r1bqk2r/ppp1nppp/2np4/b5B1/2B1P3/2P2N2/P4PPP/RN1Q1RK1 w kq -,c4b5
3r3k/1p4p1/p6p/2Pp1r2/1P1Qp2P/P3P3/2R2P2/4KBq1 b - b3,d8f8
4rqk1/5p1p/pp3Pp1/3b4/3PpQP1/P1r1P3/4BP2/3RK2R w K -,e1f1
1rr3k1/3nbp1p/bqn1p1pP/1p1pP3/p2P1BN1/5NP1/PP3PB1/R2QR1K1 b - -,b8a8
r2qkb1r/1p1npppp/p4n2/8/2Np4/3BPP2/PPQB1P1P/R3K2R w KQkq -,d2a5
r4b1k/p1p3p1/7n/1p1b1B2/q4P1Q/2B5/1P4PP/2R4K w - -,h4h6
r3r1k1/2p2pp1/3p2np/ppbPp3/2R1P3/PP1P1NPq/1B3P1P/3Q1RK1 w - b6,c4c2
2r2rk1/1bq2pbp/pp2p1p1/2nnN3/2NQ3B/2P5/PP3PPP/R3RBK1 w - -,h4g3
8/8/5p2/6k1/R7/1r6/5K2/8 w - -,a4a5
1rb2rk1/2q2pbp/1ppp1np1/4n3/3NPB2/2N4P/1PP2PP1/R2QRBK1 w - -,b2b4
6k1/6p1/p6p/P1r2p2/3np2P/2pBR1P1/R1Pr1P2/6K1 w - -,d3a6
3r1b2/2k2p2/B1p1p3/p1npPP2/3P4/Q1P5/1P1q4/1K5R w - -,d4c5
8/p4rk1/2R4p/4r3/8/5B1P/P5P1/6K1 w - -,c6a6
r4rk1/4ppbp/nq1p1np1/2pP4/4P3/2N3P1/PP2NPKP/1RBQ3R w - -,b2b3
r3k2r/1p2bppp/2p1pn2/1p3b2/n2P1B2/P3PN2/1P1NBPPP/R4RK1 w kq -,a1a2
8/4b1p1/4k2p/3rp3/1p4R1/4B1PP/1P1K4/8 w - -,d2e2
1nb1r1k1/Q4p1p/p2b1q2/3P4/4P3/6P1/P4PBP/2R2RK1 b - e3,c8d7
1r1r4/p4q1k/2n1bp1p/2R1p1p1/4P3/P3B1NP/4QPP1/3R2K1 b - -,c6d4
r1bqk1nr/3n1pbp/p1ppp1p1/1p4B1/3PP2P/1BN2Q2/PPP1NPP1/R3K2R b KQkq -,d8c7
r2qk2r/4pp1p/2p1b1p1/1p1nP3/p3Q1P1/P6P/BPPB1P2/2KR3R b kq -,d8b6
r2qk2r/pb1pbppp/1pn1pn2/8/2PN4/2N3P1/PP2PPBP/R1BQ1RK1 w kq -,d4c6:d4b5
5b2/p4qkp/6p1/1p6/1Pp1Br2/P6P/6P1/3Q1RK1 b - -,f4f1
r1b2rk1/2q1bpp1/pp1p3p/2nBp3/P3P3/4B3/1PPNQPPP/R2R2K1 b - -,c8b7
5rk1/p4pp1/1qp1p2p/2bpP1P1/7P/1NP3Q1/PP3r2/1K1R3R b - -,h6h5
5k2/3R4/5b2/8/3PK1P1/4N1P1/3r4/8 b - -,d2e2
6k1/p4pb1/2p1rqp1/8/3p4/B4rPP/PP3P2/2RQ1RK1 b - -,d4d3
2r3k1/2r1q1pp/bpn1pn2/p2pNp2/3P1P2/1P2PB2/PB1Q2PP/2R1R1K1 w - -,c1c6
4r3/8/8/3p4/2k5/5K2/8/2R5 b - -,c4d4
8/5k2/3p1b2/r1p2pp1/8/1P1N2P1/P1R2P2/5K2 b - -,f7e7
8/P4R1p/3kp3/3b4/1P3b1P/K7/5p2/5N2 b - -,e6e5
8/5pk1/7p/pr6/8/4P3/R1K2PPP/8 w - -,a2a4
2k5/7p/P1bB4/5p2/1PK4P/8/5b2/8 w - -,b4b5
6k1/1b3ppp/4n3/1P2p1P1/p3r2P/2B4B/2P5/2K3R1 w - -,g1g4
rr2q1k1/2R2p2/3p2p1/3Pp1Pp/p1QnP2P/Pp1N1P2/1P6/K1R5 b - -,d4f3
r1b1kb1r/pp5p/1qn1pp2/3p4/1P1P4/P2BPN2/6PP/RN1QK2R b KQkq -,f8h6
2r2rk1/1q3ppp/4p3/ppPp4/1Pn5/P2QP1BP/5PP1/R1R3K1 w - -,a1a2
4k2r/1p3pp1/4b2p/pPbpPp2/8/2B2N2/1Pr2PPP/R4RK1 w k -,a1a5
r4rk1/3qbpp1/2n2n1p/2p2b2/2Ppp3/3P2P1/2N1PPBP/1RBQNRK1 w - -,d3e4
3rr1k1/1p1nb1pp/2p1p3/p1p1P3/P4P2/2N2NPP/1PP5/R3R1K1 w - -,c3e4
r4rk1/4p2p/2ppb1p1/p7/PP2PP2/4bBP1/4N1KP/1R3R2 w - a6,e4e5
r3r1k1/p1pq1ppp/bp1p1n2/n3p3/2PPP3/2PB1P2/P2NQ1PP/R1B1R1K1 w - -,d2f1
r5k1/3bP2p/q2p2p1/3P4/1p1N1Q2/1p3P2/PP5P/1K1R4 w - -,a2b3
rn1q1rk1/pb2ppbp/3p1np1/2pP4/2N1P3/6P1/PP2NPBP/R1BQK2R w KQ -,e1g1
3R4/8/8/p2b3B/Pp1k1p1P/1Pr5/3K4/8 b - -,c3d3
2kr3r/1pp5/p1n1qpp1/3p1n1p/3P1b1P/2PQ1BP1/PP1B1P2/2KR3R w - -,d2f4
8/3k1p2/2p2rp1/1p1p3p/rP1P3P/1K2P1P1/1RR2P2/8 w - -,b2a2
3r2k1/2p2qpp/p2b1p2/2n1p2n/4P2N/2BPN1P1/P3QP1P/5R1K w - -,f1d1
4Q3/8/4kp2/2n2b2/5P1K/7p/7P/8 b - -,e6d5
4b3/5nk1/1p1qp2p/p2p1pp1/P2P3P/1P1BPNP1/5PK1/4Q3 w - -,e1d1
b4rk1/4qpb1/1Qp4p/4p1p1/1p2Pn2/1BN3BP/1PP2PP1/R5K1 w - -,c3a4
r1b1r1k1/1p3p1p/pq2n1p1/2pRb3/2P5/P4N1P/1PQ1BPP1/3R2K1 w - -,d5e5
8/6k1/2p3P1/p1p1r2p/P2p1P1b/1P1P3P/2P4N/6RK b - -,e5e2
8/8/1P6/6p1/6k1/6b1/2pB2K1/8 b - -,g3e5
5rk1/pb2b1pp/2q2p2/1p1np3/8/1P1N2P1/PB2PPBP/Q4RK1 w - -,f1c1
r1bq1rk1/ppp1n1bp/3p1np1/3PppN1/1PP1P3/2N5/P3BPPP/R1BQR1K1 w - -,e2f3:f2f3
r2qkbnr/1p2pppp/p1bp4/8/4P3/3Q1N2/PPP2PPP/RNB1K2R w KQkq -,c2c4
1rb1k1nr/2qnppbp/p2p2p1/8/PpPpP3/3BBNN1/1P1Q1PPP/R3K2R w KQk -,e3d4
8/8/5kp1/8/4K2P/8/8/8 w - -,e4f4
3q2k1/pp1n1p1p/2p2np1/N7/1PP5/6PP/P3QPB1/6K1 b - -,d8c8
r1b1k1n1/pp3pB1/n1p3p1/4p3/2P4r/6N1/PP3PPP/R3KB1R w KQq -,g7e5
2rr1b2/pp1bpk2/5pn1/7p/3N1P1P/4N1B1/PPP3P1/2KRR3 b - -,f8h6
