3N4/p7/b6p/5R2/P2b4/3k1p2/6PP/6K1 w - -,g1h1
2r1r1k1/pb3ppp/1p1bp3/2p5/2PPp2q/PP2P2P/1BQN1PP1/2R2RK1 w - -,c2c3
r1b2rk1/1ppnqpbp/p4np1/4p3/2P5/1QN1BNPP/PP2PPB1/3RK2R b K -,c7c6
6k1/R5p1/2p1p2p/3bn3/1r3PP1/7P/8/4NRK1 b - -,e5g6
2rqrbk1/1p1n1ppb/2p1p2p/p7/P2PP3/3N1P1P/BP2QBP1/2RR3K w - -,g2g4
5rk1/1p4pp/pB4b1/P3bp2/8/1N3PP1/1P1R1K1P/8 b - -,f5f4
r3k2r/pp2bp2/2b1p3/4Pnpp/1P2N1Q1/PqN5/1R3PPP/2B2RK1 w kq h6,g4e2
r1bqk1nr/ppp2ppp/1bnp4/8/NP2PP2/2P2N2/P5PP/R1BQKB1R w KQkq -,a4b6
8/1p4k1/p2p2p1/4b1Q1/2P5/1P3q2/P4B2/5K2 w - -,f1g1
rnbq1rk1/pp2ppbp/3p1np1/2pP4/2P1P3/2N2N2/PP2BPPP/R1BQ1RK1 b - -,b8d7
4b3/pp6/2n1Pk1p/5PP1/5KP1/1P6/P7/5R2 b - -,h6g5
r4rk1/p2bqpb1/3p1np1/2pP4/2p1PP1p/2N1B2P/PP1N2P1/R2Q1RK1 w - -,d1f3
rnbq1rk1/ppp2ppp/5n2/3p4/1b1P4/2N1P3/PP2NPPP/R1BQKB1R w KQ -,a2a3:e2f4:g2g3
3R4/1q4pk/5p2/p7/2P3p1/3nQPP1/4R1KP/3r4 b - -,g4f3
2kr1b2/1b3pp1/p3p3/1p2P2N/3q1PP1/3p4/PPnB2BP/2RQ3K w - -,h5g3
8/3p1k1p/3P4/1bN1pPp1/p2K4/P5P1/7P/8 w - -,d4e5
1rbq1rk1/1p1p1pp1/p4n1p/2p1R3/3p3B/3B4/PPPN1PPP/R2Q2K1 b - -,d7d5
r2r2k1/pp1qbppp/2n1bn2/3p4/Q7/2N1BNP1/PP2PPBP/R2R2K1 w - -,a1c1
6k1/1b2b1p1/2qpp2p/Pp5P/1P2p3/2BQ1PP1/8/5BK1 w - -,f3e4
r4bk1/7p/5pp1/1p6/2P5/5NBP/P2R1PP1/6K1 b - -,b5c4
5r1k/p5b1/1p4q1/4p1B1/7Q/8/P2R1PP1/6K1 b - -,g6h7
r6r/3b1kpp/2p2p2/2Pq4/1BN5/P7/5PPP/3Q1RK1 b - -,d5d1
4k3/8/5R2/5NP1/1p2K2P/4P3/3b4/6r1 w - -,g5g6
r1bq1r1k/pp2npbp/3p1np1/2pPp1B1/2P1P3/2N5/PP1NBPPP/1R1Q1RK1 b - -,f6e8
5r1k/5p2/r2q1Np1/3P2Pp/1p5Q/1np4P/1b3P2/1B2RRK1 w - h6,f6h5
1n3r2/p5kp/1p4p1/8/B1b5/P1N3P1/1P5P/4R1K1 w - -,e1e4
r4rk1/4bppp/n1p1p3/q1Pp4/3P1B2/2n1PP2/4N1PP/1QR1K2R w K -,c1c3
8/8/3Q3p/2Pp1ppk/q7/5n1P/4Q3/1K6 b - -,a4b3:a4b4
r4rk1/p1q2ppp/2pbp3/3n4/1PQP4/P4B1P/5PP1/1RB2RK1 b - -,f8c8
1r2r1k1/p2n1ppp/3n4/2pP4/8/2N3P1/P5BP/1R1R1K2 w - -,b1b8
r1b1r1k1/1p3pbp/1qpp2p1/2n1n3/2PNP3/1PB2PP1/2Q1N1BP/1R2R2K b - -,e5d3
1r4k1/Rp3pp1/3Nb2p/1PPnp1q1/1nQp4/3P2P1/5PBP/4N1K1 w - -,e1f3
2rr2k1/3nbpp1/3p3p/p7/Pp3PPq/1B1R3P/1P3B2/4RQK1 b - -,h4f6
1k6/1p4p1/5pn1/1B5p/4NP2/P5Pb/3r3P/4R1K1 b - -,d2g2
5rk1/1p6/3P2n1/p3pN2/1P2P1PR/P5B1/2r1BK2/8 b - -,g6h4
3r4/7R/2k5/4K3/5B1P/5bP1/8/8 w - -,e5f6
3r1r2/p3npkp/2p1q1p1/3p4/N1p1P3/3P2P1/PPPQ1R1P/5R1K w - -,d2c3
4k2r/3bn1b1/q1pBppp1/1p5p/2pPP2P/2P2P1N/PQ4P1/KR5R b k -,e7c8
2r1r1k1/4bppp/p3p3/1p3q2/5P2/PP2R1PP/1BP1Q2K/2R5 b - -,e7f6
7k/1q3p2/2r2b1p/4BQ1P/8/4P3/P5P1/5NK1 b - -,b7e7
r2r2k1/3qbppp/2p1p1b1/p7/pn1PP3/1N2B1P1/1P2QPBP/R1R3K1 w - -,b3c5
r4rk1/p1p1qpbp/3pn1p1/4p3/1PP5/2N1P1PP/P1Q2PK1/R1B2R2 b - -,c7c6
rnbqk2r/pp2bppp/3ppn2/2p5/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 b kq -,e8g8
r1bq1rk1/1pp1ppbp/p1np2pB/7n/3PP3/2NB1N1P/PPPQ1PP1/R3K2R b KQ -,c6d4
r2q1rk1/5p2/p1pp3p/4b3/3pPNpP/4N1B1/bP1Q1PP1/3RR1K1 w - -,e3g4
3r2k1/2p2pp1/2p5/p3p1q1/P2PP3/3N1PPb/3BQ3/2R3K1 b - -,g5g3
3r1k2/p6p/1p3p2/2n5/4qP2/1PB5/PKR5/7Q w - -,h1h6
5rqk/7r/8/1B2P3/P2Q4/6P1/b4PP1/4R1K1 w - -,e5e6
q6k/1b3pbp/3Q3p/1p6/3N4/1P5P/6PK/5R2 b - -,a8e8
2r1b1k1/2r1q1p1/p3p1Pp/1pppNp2/3PnP1P/P1PBP3/1P4RK/4QR2 w - -,h4h5
rnbq1rk1/ppp2ppp/3pp3/8/1BPPn3/P4N2/1P2PPPP/R2QKB1R w KQ -,d1c2
8/1p6/1Pk4p/P4R2/2P1pp2/8/7r/5K2 b - -,f4f3
r3kn1r/1b2bpp1/pp2p3/3q2Np/3N1P2/2B2Q2/PPP3PP/4RR1K b kq -,d5f3
8/5k2/4p3/1N1b1p2/5r2/PPK1R3/8/8 b - -,f4f1
2r2rk1/1b2q1bp/p1p1Pp2/3n2p1/3P4/3QB2P/PP2BNP1/2R2RK1 w - -,f2d1
r5k1/2p2qr1/1p1p2pb/p1nPp1Np/2P4Q/1PR4P/P3NPP1/5RK1 b - -,h6g5
6k1/p4pp1/2Q3p1/q1np4/4n3/4PNPP/P4PBK/8 b - -,a5a2
r2qr1k1/2p2pp1/p2p3p/2p1nP2/2Pb4/1PN3Q1/P2B1PPP/4RRK1 b - -,d4c3
1rbr2kb/p1q1pp1p/2np1npB/6Q1/4P3/P1NB1N1P/1P3PP1/R3R1K1 b - -,b8b2
8/8/p6p/1P1p4/5k2/7b/3r3P/1R4K1 b - -,a6b5
2rq1rk1/1p1b3p/p2npbp1/3pN3/5PP1/3PBN2/PP2Q2P/R4RK1 w - -,f1f2
4k3/3N3R/4p2p/3bP1p1/8/4KP1P/2r3P1/8 w - -,d7f6
3r1rk1/5p2/pn2pPp1/1pnq4/3N1B1p/2P5/PP2Q1PP/R4R1K w - -,e2g4
4rk2/p7/3p4/2pP2Pp/2b1P2P/8/2BK4/R7 w - -,a1a7
r1br3k/2q1b1pp/p2pppn1/2p5/2B1P3/N1P2NP1/PP1RQP1P/3R2K1 b - -,g6f8
5k2/8/2n1p1Pp/p2pP2P/P7/1NbN4/4K3/8 b - -,f8e7
4r1k1/5pp1/3p3p/B2P4/2p1nPq1/1r5P/6P1/2R1R1K1 w - -,h3g4
r1b2rk1/pp1n1pbp/1qpp1np1/3Pp3/2P1P3/2N2NPP/PP3PB1/R1BQ1RK1 b - -,c6d5:d7c5
8/3K4/p2P4/P4pRp/3r3P/5kP1/8/8 w - f6,g5f5
r4rk1/ppqnbppb/2p1pn1p/8/PP2P3/1QP2NP1/3N1PBP/R1B1R1K1 b - -,c6c5
1k5q/1pr1pp2/p2p3r/3P1BQn/2P4P/1P6/P7/1K2R2R w - -,h1g1
3k3r/p4n2/2p2P2/3N4/1P3bB1/2P3Pp/P6P/4R1K1 b - -,c6d5
8/p2R1pk1/6p1/bP1B1r1p/P7/5PK1/8/8 w - -,g3f2
r3kbnr/1b1p1ppp/p1q1p3/1p6/4PP2/2N2B2/PPP3PP/R1BQK2R w KQkq -,c1e3
r1bq1r1k/pppn2bp/2np2p1/4pp2/3P4/1QP1PN1P/PP1NBPPB/2KR3R b - -,d8e7
8/7k/7R/2K3PP/8/8/8/7r b - -,h7g7
8/p3r3/3R3p/2PKp3/5kP1/8/P7/8 w - -,d6h6
r4rk1/pppq2pp/1b1p2n1/n2N1b2/3P3P/5NB1/P3BPP1/R2Q1RK1 w - -,h4h5
2r5/P4pk1/4p1pp/8/K7/8/1R6/8 w - -,b2b8
3rrbk1/p4ppp/1p1p1n2/3P1q2/8/1Q3B1P/PPP3P1/R1B2RK1 w - -,c2c4
6k1/2q2pb1/3pb1p1/p3p2p/R3P3/5P2/2r2QPP/3N1R1K w - -,f2e3
6nR/k1qb1rr1/1p1p2p1/p1pP1pP1/P1P1pP2/1PN1P3/5KB1/Q6R w - -,f2e2
5k2/6p1/4p3/p4P1p/2r5/7P/6P1/4R2K w - -,f5e6
r1bq1rk1/2p1ppbn/3p2pB/nB2P2p/3P3P/2N2P2/PP1Q2P1/2KR2NR b - -,c8f5
r1b1nrk1/2q2pbp/p1pP1np1/8/1p1PBB2/2N2N1P/PP3PP1/2RQ1RK1 b - -,c7a7
2r2rk1/q3b1p1/p1p1pp1p/1pPpPbn1/3B1N2/PP2PPP1/6BP/2RQ1RK1 w - -,b3b4
r4rk1/3n1pbp/6p1/pqpPn3/4PN2/B5P1/5RBP/2RQ3K b - -,f8b8
