4B3/2k3p1/8/p4K2/P7/2n5/8/8 b - -,c7d6
3r2k1/2q3bp/3r2p1/3ppp2/PPp1n3/4PB2/2Q2PPP/B1RR2K1 b - a3,c7b7
1r2r1k1/1b3pb1/Pp1q2pp/3p4/3P4/1Q3NP1/1P3PBP/2RR2K1 b - -,b7a6
5rk1/1b1nqpp1/npr1p2p/p2pP3/3P3P/P4NP1/1P3PB1/R2QRNK1 w - -,d1d2
8/2b5/4b1k1/5pp1/8/3P2P1/3NPPK1/8 b - -,c7a5
5r1r/2qnbppk/p1n1p2p/1pp1P3/2PpNB1P/1B1P3R/PP2QPP1/4R1K1 b - -,c6e5
1r6/p6k/5p2/2n1pNr1/2P1P3/2Pn2PB/P2R3K/4R3 w - -,e1e3
r4rk1/pb1n1ppp/1p2pq2/1B1n4/3N4/2P2N2/PP2QPPP/R2R2K1 b - -,e6e5
4r1k1/2p3p1/r1bp2qp/P1n2p2/2P5/R3PP2/3BBQPP/1R4K1 w - -,e2f1
2r5/5pk1/p2Pp1p1/Pb2P1Pp/7P/R7/3B1P2/6K1 w - -,d2b4
3R4/1P5k/K5p1/7p/1r3P1P/5P2/3p4/8 b - -,b4a4
r7/3k1p2/2q1p3/2BpPp1p/p1bP1P2/QR3N1P/6P1/1N1K4 b - -,a4b3
3b4/1p3rkp/p1p1b1p1/2PpP3/1P1P1p2/5P1r/1P1BB1RP/R6K w - -,a1a3
r2r2k1/pp3pq1/2p3p1/2nP3p/4PR2/2N2QP1/P6P/2R4K w - -,c3e2
1qrr1nk1/1bn1bpp1/1pp1p2p/p2pP1N1/2PP3P/1P2N1P1/PB3PB1/1QRR2K1 w - -,g5h3
8/5p1p/2N2kp1/4p3/p1p5/5PP1/n1K4P/8 b - -,f6e6
4rrk1/1p2p1bp/2b2pp1/1p1p2Pn/3P3P/2PN1N2/PP2BP2/R3K1R1 b Q -,e7e5
4r1k1/p4p2/1p1p1Ppp/2p4q/3b4/5R2/P2Q2PP/5R1K w - -,f1e1
8/Rp1rnpk1/1Bp1r1p1/6p1/1P6/5B1P/6PK/8 w - -,b6c5
8/1p6/1p2p3/1n1k2p1/3p1PP1/1P1K3r/P3B3/4R3 w - -,d3c2
r1b1k2r/3p1ppp/p3pn2/1p6/1bqNPP2/2N1B3/PPP1Q1PP/R4RK1 w kq b6,e4e5
8/2Pk3p/1p1Pp3/3r4/P1K5/7P/8/8 w - -,h3h4
r3kr2/1p1b1p1p/pqn1pQ2/3pP1p1/1P6/P1N5/3RBPPP/5K1R b q -,b6c7
3rk2r/p3ppbp/2p3p1/1p1qPb2/2pP1P2/4BN2/PP3RPP/R3Q1K1 b k -,e8g8
r1b2rk1/pp3qpp/4p3/2bpn3/7B/2N5/PPP1BPPP/R2Q1RK1 b - -,c8d7
1r4k1/p2bpq1p/1rp2b2/2Rp4/1P1P1Pp1/P2BQ1P1/5B1P/2R3K1 w - -,c5a5
1r3bk1/r4pnp/p2q1R2/2pPp1P1/2P1Q1B1/4B3/P6P/5RK1 b - -,d6e7
2b2rk1/4pp1p/1q2n1pb/rp2P3/8/2P2NB1/1Q3PPP/R3RBK1 b - -,c8d7
r2q1rk1/pb2bpp1/1pnpp2p/8/3PPBn1/3B1N2/PP1N1PPP/R2QR1K1 b - -,e6e5
2r2rk1/1bq2ppp/pp1ppn2/4n3/1PPNP3/P3BP2/3Q2PP/R1R2BK1 b - -,c7e7
3r2k1/pppQ2pp/1b3p2/3p4/3P4/P1PN2nP/1P3PP1/R3r1K1 w - -,a1e1
5r1k/8/1b3q2/7p/6p1/6N1/3QRPPP/6K1 b - -,h5h4
6k1/3b1pp1/2p2n2/q2p3p/3Pn1P1/1P1Q3P/5PB1/5RK1 w - h6,f2f3
r2qr1k1/p1p1bppp/2p2n2/2Pp4/3P4/2N2Q1P/PP3PP1/R1B2RK1 w - -,c1f4
8/4R2p/8/P5p1/3k1p2/1P5P/2r3P1/6K1 w - g6,a5a6
rnbq1rk1/pp3ppp/2pbpn2/3p4/2PP4/P1N2NP1/1P2PPBP/R1BQK2R w KQ -,e1g1
r3k2r/1ppqn1pp/2n1bp2/p1p1p3/2P5/3P1NPP/PP2PPBK/R1BQ1R2 b kq -,e8g8
2r4k/pb1r1pq1/1pp1pbp1/2P4p/1P1P1Q1P/4B1P1/P2R1PBK/3R4 w - -,a2a4
8/5p1p/3kn3/3p2p1/1P4P1/2p1K3/P1B2P1P/8 b - -,h7h6
2kr2nr/pb1q2b1/1p1p2p1/P3pp1p/3pPP2/3P2PP/1PPQN1B1/R2NK2R w KQ e6,a5b6
r1bq1rk1/ppp2pp1/2np1n1p/2b1p3/N1P5/3P1NP1/PP2PPBP/R1BQ1RK1 b - -,c5b6
8/7p/p1k1p1p1/1p6/1B1PPbP1/3K3P/P7/8 w - -,b4f8
4B3/2k5/2PbRP2/8/3p4/pK6/4Pr2/8 b - -,f2h2
r5rk/1p4pp/2p1b2q/1P6/2P1pBp1/6nP/4PP1K/1BR3R1 w - -,f4h6
2b3R1/2k4r/p1p2p2/q2pbN2/4P2P/1Q6/P1P1B1P1/5K2 b - h3,a5c3
2rr1k2/5ppp/1p1p4/n2Pp3/2P5/P2B1P2/5bPP/1RR2K2 w - -,f1f2
8/8/3k4/1p1Pp2P/pK1np3/P7/1P1N4/8 w - -,h5h6
r1bqr1k1/pp1n1ppp/2pb1n2/3pp3/4P3/3P1NP1/PPP2PBP/R1BQRNK1 b - -,a7a5
r4rk1/1p4p1/p2q3p/3Ppp2/P5n1/3QB3/1P3PPP/R2R2K1 w - -,d3a3
2r5/1p4P1/p4k2/8/1P2pK1N/P2b2R1/8/8 b - -,c8g8
r1b1kb1r/1p1q2pp/1pp1pp2/3n4/2BP4/2N2QB1/PPP2PPP/2KR3R b kq -,b6b5
r2q1rk1/5ppp/p1npb3/4p3/R3P3/2P1N3/1P3PPP/3QKB1R b K -,a6a5
r5k1/pp1bP1b1/3q2p1/2p1pp2/7Q/2NP3P/PP4P1/R4R1K b - -,a8e8
2br2k1/1pR1n1pp/4P3/rB1p1p2/P2N4/8/5PPP/4R1K1 b - -,g8f8
r3rb1k/1bqn1p1p/pp5p/3P1Q2/1PP1R3/8/P2B2PP/1B3R1K b - -,e8e4
r1b2rk1/1pp1qppp/p1np1n2/4b3/3N4/1PN1P3/PBP1BPPP/R2Q1RK1 w - -,e2f3:d4f3
2r3k1/4bppp/b3pn2/3p4/2rP4/2P2B1P/4NPPB/Rq2R1K1 w - -,e1b1
r1bq1rk1/p3ppbp/2p3p1/3N4/2BP4/8/PP3PPP/R1BQ1RK1 b - -,c6d5
8/p6p/1p4p1/1PpP1b2/2Bk1p2/P4P1P/1P2K1P1/8 w - -,b2b3
3r2k1/2p4p/3b4/R2P1p2/1r2p3/1P6/P3BPPP/2R3K1 b - -,b4d4
1r1q1rk1/ppp1bpp1/2b1p2p/3nP3/4N3/1P1P2P1/PBP1Q1BP/R4RK1 w - -,a1e1
5bk1/5p2/R7/3p2PP/3PrP2/p3P3/5B2/6K1 w - -,a6a8
r2qrbk1/pppb1ppp/2n2n2/1B1p4/3NP3/2N4P/PPP2PPB/R2QR1K1 w - -,e4e5
3b4/8/1prpk2p/p2Nppp1/P7/5P1P/3RK1PB/8 w - -,h2g1
3r4/4kp2/p5pp/2p1p3/P2rP1Pb/1P1B4/3RK2P/3R4 w - -,d2c2
8/5k2/pp2p3/2b1P2p/2P2r2/1P4N1/P5R1/5K2 w - -,f1e1
r4rk1/pp2bpp1/4p1p1/q2pN3/3P3P/2P5/PP1Q1PP1/4RRK1 w - -,e1e3
2kr2r1/pp1n1p2/2pPbp2/7q/1Q6/2P1B3/PP3PPP/R3KB1R w KQ -,b4a3
4r3/5k1p/p1pB1p2/2P2p2/1P3P2/2b1NK2/P5PP/8 b - -,f7e6
5rk1/3npp1p/1rNp2p1/1RpP3n/2P1P3/7P/2P2PPB/4R1K1 b - -,f8e8
r2r2k1/ppq2pbp/1np1p1p1/8/2BPP3/4BQ1P/PP3PP1/2RR2K1 w - -,c4b3
r3b1k1/1p4p1/4p2p/p1PpPp2/3n1P2/1NP5/1P4PP/R5K1 w - -,b3d4
6k1/p4r1p/3qp1p1/PP1p1r2/3R3P/1P6/4QPP1/3R2K1 w - -,f2f3
r1bq1rk1/p3nppp/2p5/8/3Q1b2/5N2/PP3PPP/RN2R1K1 w - -,d4f4
3q1r1k/1p1n1pbp/2p3p1/1nP1p3/1PNPB3/1Q5P/1B1P1PP1/5RK1 b - -,e5d4
r1b2rk1/1pp1q2p/4NppQ/p1pP4/2Pb4/7P/PP2BPP1/R3K2R b KQ -,c8e6
5k2/5ppp/1p1r4/b1pPpP2/2P1B3/3P1K1P/P7/1R6 w - -,f3g4
3rq1k1/pb3r1p/1np1p1p1/3pP3/2P2P2/1P1NQ2P/P3N1P1/2R2RK1 w - -,d3c5
5bk1/8/p5R1/1pp2p2/2P5/1P1n1P2/P5PP/6K1 b - -,g8f7
2r4k/7p/p5p1/6q1/4R3/PQ1p1PPn/7P/1R5K w - -,b3b2
2rr2k1/1p2qppp/p7/4PP2/3p2PP/PP6/1KP1Q1B1/3R4 b - -,c8c3
8/R5p1/2r3kp/8/8/6KP/8/8 b - -,g6f6
