8/8/p3k3/2p1Bp2/2P2P1b/P5Pp/4K2P/8 b - -,h4g3
r2r2k1/p4p2/3p2pp/2p5/8/1P3Q2/P3B1Pq/2RR1K2 w - -,c1c4
rnb2rk1/5ppp/p2qpn2/1p1p4/3P1P2/2NBPN2/PP4PP/R2QK2R w KQ b6,e1g1
4k3/8/2p4p/2P5/7R/7P/2r2PP1/5K2 b - -,c2c5
3n4/p6R/r2pk2p/4p3/5P2/3NP1P1/6P1/3K4 b - -,d8f7
8/2N5/8/7p/4k3/6KP/pr6/R7 w - -,g3h4
1r3k2/p4ppp/1p2pn2/3p4/2b5/2P3P1/P2KPPBP/1R2R3 b - -,b8c8
2q3k1/1rp1nrb1/p2p1n1p/3Pp1p1/4Pp2/1QNN1P2/PP1B2PP/R4RK1 w - -,b3c4
8/1pR5/rP2rkp1/pR2p1p1/8/6P1/P4P1P/6K1 b - -,a6b6
8/5pk1/8/1p4R1/pr5P/6PK/8/8 b - -,g7h6
4n3/8/1k6/3K4/p7/P2B4/3N4/8 b - -,e8f6
3r1rk1/2b1nqpp/1p2bp2/1Pp1p3/2N1P3/3PBN2/2Q2PPP/R2R2K1 w - -,f3d2
3r1r1k/1b2q2p/3pP1p1/2p1p3/PpB5/1P2R2P/2R2PP1/3Q2K1 b - -,d6d5
1r2k2r/1b1nqpbp/1pBp1np1/pNpPp3/Q1P1P3/5N2/PP3PPP/R1B2RK1 w k a6,c1g5
8/3r2R1/p1k1pP2/6Nb/1p6/8/P1P5/2K5 w - -,f6f7
1r1q1rk1/p1n1p1b1/3p2pp/2pP1p2/2b1N3/5PPN/PP4BP/1RBQR1K1 b - -,f5e4
1rq5/p4rk1/1p1n1pp1/2pPp2p/P1P1P2P/5NP1/2Q2PK1/1R2R3 w - -,b1c1
r4rk1/pp3ppp/2nbbn2/1Q5q/8/P1N2N2/1P1BBPPP/R4RK1 b - -,c6d4
r1bq1rk1/pp3pb1/1nn1p1pp/3p4/P4B2/1QNP1NP1/1P2PPBP/R1R3K1 b - a3,e6e5
r2qr1k1/1bpn1pbp/1p1p1np1/p3P3/P7/2P1PN1P/1P1NBPPB/R2Q1RK1 b - -,d6e5
rn2kb1r/pp3p1p/2p2pb1/3p4/3P4/2N1PN2/PP3PPP/R3KB1R b KQkq -,b8d7
8/1Q6/p5kp/P2pP3/4pP2/1P2P3/7q/5K2 w - -,b7a6
8/5p1R/p7/6P1/5k1P/2r5/5K2/8 b - -,f4g4
5k2/R7/1p6/2p5/2P1q3/1P6/P4P2/5K2 b - -,f8e8
1r4k1/p2nnp2/4p1p1/q1p1P1Np/2PpBP1P/3P2P1/P3Q3/2R3K1 b - -,a5a3
3rr2k/pbq2pp1/1ppPp2p/8/2P2B2/6Q1/PPB2PPP/4R1K1 b - -,c7d7
r1bqk2r/pp2nppp/2nb4/4p3/2Pp4/3P1NP1/PP3PBP/RNBQ1RK1 w kq -,b1a3
1n3bk1/5q2/p1p1p1p1/3p1pP1/1P1P1P2/P1BBP3/2K5/7Q w - -,c3d2
r1bq1rk1/p3b1pp/2p3n1/2pppp2/N3P3/1P1PBN2/P1P1QPPP/R4RK1 w - f6,e4d5
r2q1rk1/4bppp/2n1bn2/1pppp1N1/p3P3/2PP2NP/PPQ1BPP1/R1B1R1K1 b - -,h7h6
3B4/8/4p1k1/4K1P1/p3PP2/P7/8/1b6 b - -,b1c2
2rqkb1r/1p1n1pp1/p2pbn2/4p2p/4P3/1NN1BP2/PPPQ2PP/1K1R1B1R b k -,f8e7:b7b5
3r2k1/1p2q1b1/8/Q1p1p1p1/2P1NnP1/5P2/PPB5/1K5R b - -,f4e6
8/1p6/4k2p/pPBr4/P4R2/7P/5KP1/8 b - -,d5c5
Q7/6bk/1p3pp1/1Pp1p2p/2b1P2P/2PqBBP1/5P2/6K1 w - -,a8b8
r4rk1/4bppp/2R5/8/3B4/1P1n1B2/P5PP/5RK1 b - -,a8a2
2kr1bnr/pp4p1/2q2pQ1/4P3/3p2P1/2N4P/PPP2P2/R1B1K2R w KQ -,g6f5
5rk1/R7/3Nn1pb/3pPp1p/4pP1P/2r3P1/8/3R1B1K w - -,a7e7
4b1k1/6pp/4p3/p2p1p2/Pp1Pn3/1B2P1P1/1P3PP1/2N3K1 b - -,e4d2
5r2/1p2k1p1/p2p4/2p1pPrp/2P1P3/1P4P1/P2R2K1/7R w - -,h1h4
2r3k1/r4pp1/pp2p2p/n7/2PP4/PP2P1P1/2KNBPP1/7R b - -,g8f8
3q2k1/p2r1p1N/3pr3/3N1Q2/3bPR1p/1P6/P1P3P1/6K1 w - -,g1h1
r1b1k2r/1pq2ppp/p2bpn2/8/2BN4/2P5/PP2QPPP/R1B2RK1 w kq -,h2h3
r1bk1r2/pp6/5nQ1/3pp3/5q2/2P2PB1/P3B2P/R2K2R1 b - -,f4e3
rn1qk2r/pp2bppp/2p1pn2/5b2/2QP4/2N2NP1/PP2PPBP/R1B1K2R b KQkq -,b8d7:e8g8:h7h6
2r3k1/5pp1/3b1n1p/1prp1P2/1q2p3/1BN3RP/1PPQ1PP1/R5K1 w - -,g3g4
8/pBr2pk1/5n1p/4Nnp1/3q4/3Q3P/PP4P1/5RK1 w - -,d3d4
2r5/p2bkp2/1p5p/6p1/PR6/3BP1P1/2PK3P/8 b - -,c8c5
r4rk1/5pp1/pp2p1np/1P1n4/1N1P4/8/P2B1PPP/2R1R1K1 b - -,d5b4
5k2/2NR4/2r5/4Kp2/8/6P1/2b5/8 b - -,f8g8
r4rk1/1ppbqp2/p3pP1p/P6P/2pP4/5N2/1PQ2PP1/R3K2R b KQ -,e7f6
r2q1rk1/3nbppp/p1p1pnb1/1p6/3P1B2/2N2NP1/PP2PPBP/R1QR2K1 b - -,a8c8
rn1qkb1r/5ppp/p1p1pn2/1p1p3b/2PP4/1PN1P3/P1QBNPPP/R3KB1R w KQkq -,e2f4
1r4k1/p1r2p1p/q3p1p1/3pP3/B2P1Q1P/P1N5/1P3RP1/6K1 w - -,h4h5
3k4/3nbp1p/p3p1p1/4P3/8/2B1KN1P/5PP1/8 b - -,d8c7
br3rk1/5pbp/p2N2p1/2p1p2n/P3P3/2P4P/RP3PPB/4RBK1 w - -,a4a5
r1bq1rk1/pp2n1b1/3p3p/2p1n1p1/1PP5/P1NQpPPN/1B4BP/1R3RK1 w - -,d3e3
2k1r3/7p/p1p1n1p1/1p2p3/1P2P2P/1N3RP1/2P5/6K1 w - -,f3f7
8/5p1p/p4kp1/2pB4/6b1/1P2K1P1/7P/8 w - -,e3d3
1r3k2/8/4Rpp1/2pp1n1r/5P2/1P1R2P1/1N6/6K1 b - -,f8f7
r2qr1k1/pbpnNppp/1p1p1n2/4p3/2PPP3/3BBN1P/PPQ2PP1/R4RK1 b - -,d8e7
r4b1r/1b2pk1p/1p3p1n/2pP2pP/6q1/1Q1P1N2/PP3PBR/R3K3 b Q -,g4a4
r7/7p/3p4/1K1Pk1p1/p3P3/R7/6PP/8 w - -,b5c6
2rq1rk1/p1p1bppp/b1n1p3/3n4/P1NP4/1p2P1P1/1PQN1PBP/R1BR2K1 w - -,c2b3
8/p4p1k/3q2p1/7p/2K1R3/2PN4/8/8 b - -,g6g5
rnb1k2r/1pqpbppp/p3pn2/8/2PN4/1P4P1/P3PPBP/RNBQ1RK1 b kq c3,e8g8
r1b2r1k/ppp1q1pp/2nb4/8/4Pp2/PPQPnN2/1B1N1P1P/R3KB1R b KQ -,c8g4
r3r1k1/p1ppq1pp/1pn2p2/5p2/3P4/2P1P1P1/P1P2PNP/R2Q1RK1 w - -,d1d3
rnbqk2r/pp2ppbp/3p1np1/4P3/3N1P2/2N5/PPP3PP/R1BQKB1R b KQkq -,d6e5:f6h5
1r4k1/5pbp/2bNp1p1/qpR1P3/5P2/1P2P2P/1B2BKP1/7R b - -,c6g2
8/5npk/1n2N2p/8/3R2P1/r1P4P/4R1K1/8 w - -,c3c4
r2q1rk1/1b2npb1/p1Pp2pp/1p6/4P3/1PN1BN2/1P3PPP/R2QR1K1 b - -,e7c6
1qrr2k1/3n1ppp/p1bpp3/2p5/2PbPP2/2N3N1/PPQ3PP/1B1RR2K b - -,d7f8
6k1/ppq2p1p/2n3pP/3Rr3/8/1BQ1P3/P4PP1/6K1 b - -,g8f8
r1q1r3/pp1bppkp/1n4p1/4N3/2pPP3/2P4P/3QBPP1/2R1R1K1 b - -,f7f6
2r2r1k/3nqpb1/2p1pnp1/1pPp3p/pP1P1P2/3BPN2/PBQ2P1P/1K1R3R w - -,h1g1
8/8/1p6/pKp2pkp/P3rR2/1P4P1/8/8 w - -,f4f3
2bq1rk1/r4pbp/1N4p1/2Pp4/1p1pB3/4B3/P4PPP/R2Q1RK1 w - -,e3d4
1rb2r2/2p3bk/p5np/5pp1/3q4/5P2/PPBN1BPP/1R1Q1RK1 b - -,d4f6
2b2rk1/2q2pp1/2p2n2/2Pp2bp/Q2Pp1n1/2B1P1P1/P4PBP/1RN1N1K1 w - -,c3d2
rnbqkbnr/pp1p2pp/2p1p3/5p2/2P5/1P3N2/PB1PPPPP/RN1QKB1R b KQkq -,g8f6
b1rrq1k1/p4ppp/5n2/PPpn4/2B1pP2/BN2P3/3Q2PP/2RR2K1 w - -,d2e2
5k2/5p2/4p1pp/1pPpP3/p5P1/P3P2P/1P2K3/8 b - -,f8e7
2r1k1nr/1p1n1pb1/p1p1p2p/2Pp1bp1/1P1P4/1NN1P1B1/1P3PPP/R3KB1R b KQk -,e6e5
rq3rk1/1p2bp1p/pBbppnp1/P7/4PP2/1NNQ4/1PP3PP/R4RK1 w - -,a1e1
6r1/k4p2/1p3K2/2pPN1P1/2P5/1P6/8/8 w - -,e5f7
