8/8/8/8/3k4/R3p3/6r1/4K3 w - -,a3a8
8/4ppkp/2P2bp1/2qP4/2p2P2/r4B1P/6P1/1Q2R2K w - -,b1b8
8/6k1/6p1/p1b5/4PB1p/1B3K1P/5P2/8 w - -,f4g5
r1bqk2r/pp1nbppp/2p1pn2/3p4/2PP4/5NP1/PPQBPPBP/RN2K2R w KQkq -,e1g1
r3r1k1/1p3b1p/pnP2pp1/5p2/2BR1P2/P1N1P1P1/P6P/4RK2 b - -,b6c4
rq3rk1/3bbppp/p2ppn2/1P6/3BP3/2N2P2/PP2BQPP/R4RK1 b - -,a6b5
3b4/3k2pQ/3p1p2/3qpPP1/8/1R6/1PP5/1K6 b - -,d5f7
3Rrk1Q/1p6/p3q3/5p2/2P5/P4P2/KP6/8 b - -,f8f7
1qr1r1k1/1b1nbpp1/pp1ppn1p/8/2P1P1P1/N1N1BP2/PP1QB2P/2RR2K1 w - -,a3c2
r1b2rk1/1p2bppp/p2qpn2/2n3B1/2PN4/2N5/PP1QBPPP/R4RK1 w - -,f1d1
1r2r1k1/p1p2ppp/1b3q2/5b2/1P1P1P2/P1P2B2/3B2PP/R4RK1 b - -,b6d4
2r1r2k/pb3ppp/1qp2n2/1p2n1B1/4P3/2N3Q1/PP2BPPP/2RR2K1 w - -,g5e3
3rrn2/pp3kpp/bq6/5P2/1b1p3N/5RPP/PB4BK/2RQ4 w - -,f3f4
2n2k2/p4pp1/1p2p2p/1N2P3/8/4K3/PPP3PP/8 b - -,f8e7
5k2/r4pbp/r1qp2p1/2pN4/p1P1P3/Rp1P3P/1P1Q1PP1/5R1K b - -,c6e8
5k2/4Np1p/B5p1/8/2P1p3/7P/5rPK/8 w - -,e7d5
3rk2r/ppq2pbp/2n1p1p1/6NP/3p2b1/1QPBP3/P4PP1/1RB1K2R w Kk -,e3d4
5rk1/ppp2b1p/3p2p1/4n3/2P5/2R1P1qP/PP2N1P1/3Q1B1K b - -,g3f2
1r3rk1/2n1p3/1q1p3p/2pPb3/4Pp2/2N2P1P/PPQBR1K1/R7 w - -,a1b1
r1bqrbk1/1p1n1ppp/p2p1n2/3P4/3N1BP1/2N2B1P/PP3P2/R2Q1RK1 b - g3,d7e5
r1bq1b1r/pp1nk3/4ppQ1/3pP3/3n1P2/2P5/PP1N2PP/R1B1K2R w KQ -,c3d4
2r1r1k1/1p4p1/pB1Rb2p/4bp2/PnP1N1P1/1P5P/4BP2/1R3K2 w - f6,d6e6
r4rk1/1q2bp2/ppbp1npp/4p3/P1B1P3/1PN2N1P/2P1QPP1/3RR1K1 w - -,c3d5
3r2k1/p1p1qppp/2b1pn2/1p1r2B1/1P6/2P2PQ1/P1B3PP/R3R2K w - b6,h2h4
8/4k3/1r1pb3/2p1p2p/2P1Pp1P/1P1R1P2/4NK2/8 b - -,b6a6
4r1k1/1p3pp1/q1p2b1p/1n6/1P1p3P/1QnP2P1/3BPPB1/2R2KN1 w - -,g2f3
r1b2rk1/pp3ppp/1n6/2pPP2q/2p5/2Q2NP1/PP2P1BP/3RK2R w K -,h2h3
r4bk1/1bq3p1/rn1p1n1p/1p1PpB2/1Bp5/P1P1NN1P/3Q1PP1/R3R1K1 b - -,b7c8
3b4/8/8/p1KN4/P1P1p3/1P1k3P/8/8 b - -,d3c2
2q2k2/Q3p2p/1p6/3p1b2/3P2N1/5R1P/5PPK/4r3 b - -,c8e6
r4rk1/5pqp/bp2p1p1/p1n1P3/2p2P2/6P1/PPQN1RKP/4R3 b - -,c5d3
rnbk3r/1p3pbp/p1p2np1/4p3/2P1P3/2N1BP2/PP2N1PP/R3KB1R w KQ -,c3a4
1r4k1/p2R1p1p/4p3/5p2/8/1P1QP1P1/Pb3P1P/2r1qBK1 w - -,d7d8
rn1q1rk1/1bpp1ppp/1p2pn2/6B1/PbPP4/5NP1/P3PPBP/RN1Q1RK1 b - -,d7d6
r1b1r1k1/bp4p1/p5q1/3pPP1p/2pN2p1/2P1B1Q1/PP4P1/R2B1RK1 b - -,g6b6
2r1r1k1/2p2pp1/p2nbq1p/1p1p4/3P4/1PPB1N2/P2Q1PPP/2R1R1K1 w - -,e1e2
5k2/1bpn1ppp/1p1p4/3Pp3/1PP1P3/8/3N1PPP/B4K2 w - -,f1e2
8/6k1/p1R4r/4p3/1P2n1KB/5p2/P7/8 w - -,c6h6
6k1/pp4p1/2p5/3p2b1/P2P2r1/1P1QPq2/2KBR2P/8 w - -,d2e1
r3qrk1/2n2ppp/1p1bpn2/p1ppN3/P2P1P2/2P1P3/1P1NQ1PP/R1B2RK1 w - -,g2g4
6r1/p3qr1k/1p1p2b1/PPpPbp1p/2P1pB1P/1R4P1/3QBP2/1R5K b - -,b6a5
r1bqkb1r/pp1ppp1p/2n3p1/4P2n/5Q2/5N2/PPP2PPP/RNB1KB1R w KQkq -,f4e4
r1bq1rk1/pp3pbp/2n1p1p1/4P1N1/2pP4/4B3/PPB2PPP/2RQ1RK1 b - -,f7f6
5b1r/3k1p1p/p1p2p2/4p3/R2pP3/8/PPP1NPPP/6K1 w - -,a4a6
2r1r1k1/1b3pp1/pq1Rp2p/4n3/2p1P3/P1N2P1P/1P3QP1/2NR2K1 b - -,b6f2
r6r/pbq3kp/3p1pp1/2pP4/1PBpPP2/P7/5QPP/4RRK1 w - -,b4c5
2r3k1/1prbp1bp/3pNnp1/p2Pnp2/1q6/1PN3PP/PBRQPPB1/R5K1 b - -,d7e6
4r1k1/1p2b1pp/p2pb3/4pp2/PqP1n3/R2QN3/4NPPP/5RK1 w - -,e3d5
5b1r/5Bpp/1pk5/P7/3pb3/2P1P3/P4PpP/R3K1R1 b Q -,d4c3
r3k2r/1bqnbp2/p1npp3/1pp3N1/4P1P1/P1NP3P/1PPB2B1/1R1Q1R1K b kq -,d7e5
6k1/3nbppp/2qpp3/8/P3P3/3NBPP1/P3Q2P/6K1 b - -,c6a4
3kr3/p2P2p1/2p3p1/1pP1p1P1/1bb1P2P/5N1B/1P6/1KR5 b - -,e8e7
rnb1kb1r/pp2pp1p/5p2/2Pq4/3pN3/3Q4/PPP1PPPP/R3KBNR b KQkq -,f6f5
r2q1rk1/4bppp/p2p4/1ppB4/3pP3/P2P1b1P/1PP2PP1/R2Q1RK1 w - -,d1f3
1r1r2k1/1bq2p2/pp3bp1/4p3/P3P3/1NN4P/1PP1Q1P1/4RRK1 b - -,f6g7
8/1Q3pkp/4P1p1/8/1b3P1P/6P1/3q2BK/4q3 w - -,b7f7
r1bqk2r/pp1n1pp1/3p1n1b/2pPp1Np/2P1P2P/6PB/PP1N1P2/R1BQK2R b KQkq -,g7g6
3r3k/5P1n/4p1n1/p5p1/P1Np3q/6Q1/3B4/5RK1 w - -,g3h4
3r2k1/2r2ppp/pqn2n2/1p1p1B2/3pP3/P1P2P2/1B3QPP/3R1RK1 w - -,c3d4
5rk1/2q3b1/p3p2p/4Pp2/2p2Q2/2N1RP1P/PP6/2K5 b - -,f8d8
8/4kp2/1r6/5p2/1p5p/5P1P/1R3P2/5K2 b - -,e7e6
1k2r3/5qr1/b1nbp2p/p2p1p1P/PppP1P2/2P2QP1/1P1N2BN/2R1R1K1 b - -,b4b3
5rk1/1p1b1ppp/1p6/r3qP2/Pp1pP3/1B1P4/5QPP/R4RK1 w - -,f2d2
1r3r2/1pp1qppk/p1np1n1p/4p3/P3P2N/1QPPB2P/1P3PP1/R3R1K1 w - -,b3c2
8/5pk1/N1n1p1p1/3p1n1p/3P1P2/2N2P2/5KPP/8 b - -,c6d4
r1r3k1/3bpp1p/3p1bp1/pp6/3NP1P1/1P2BP2/PP1R3P/1K5R w - a6,h1c1
3r1rk1/1b2bpp1/pq1ppn2/6B1/RP1NPP2/2P3N1/1P2QR1P/6K1 w - -,g3h5
r1bq1rk1/p4nb1/np1p2p1/2pPp2p/1PP1Pp2/P1NN1P1P/3BB1PK/1R1Q3R b - -,g7f6
r2r2k1/2q1bpp1/p1npp2p/2p5/N1P1QN1P/1P4P1/P3PP2/2RR2K1 b - -,a8b8
7n/2bk2p1/2p1bp1p/1pP1p3/pP2P1P1/P2KBP2/3NB2P/8 b - -,h8g6
8/6b1/3p4/3P1p1k/p1P2q1p/5P1P/2K1Q3/1N6 b - -,g7e5
r1bqr1k1/ppp1bppp/2np1n2/4p3/2B1P3/2P2N1P/PP1PQPP1/RNB2RK1 w - -,d2d3
4q1rk/p5b1/1p2p1Qp/4P2N/5P2/2R5/PP4PK/8 w - -,g6e8
3r2k1/p1R2pp1/4p3/3r1n1p/P2P4/3RB1PP/5P2/6K1 b - -,d8d7
4k2r/pr4pp/2p1p3/3n1pN1/1bP5/1P2BP2/P1PK1P1P/3R3R w k -,d2c1
r1bq1rk1/ppp1p1bp/2np1np1/5p2/1P1P4/5NP1/PBP1PPBP/RN1Q1RK1 w - -,a2a3
r4nk1/b3n1pp/4bp2/Np2p3/4P3/1N2B1P1/1PP2P1P/3R1BK1 b - -,a7e3
rn6/1qb2kp1/2p1ppp1/1pPpPn2/1N1P1P1P/RQ4P1/1P2BB2/6K1 b - -,a8a5
r1bqk1nr/ppp1n1bp/3p2p1/3Ppp2/2P1P3/2N2NP1/PP3PBP/R1BQK2R b KQkq -,g8f6
r2r2k1/1b1nqpb1/p1p1p1pp/1p2P3/3PB3/5N2/PP2QPPP/1NR1R1K1 b - -,a8c8
8/4q1k1/pBQ2bp1/Pn3b2/1p6/8/1P1R1PPP/6K1 w - -,b6e3
4k3/1p1rp3/pBp1bppQ/7q/2PP4/1P6/PK1R1P2/8 w - -,h6g7
4q1k1/2p3r1/3p4/3Pn1p1/1P1NPr1p/2R2p1P/5N2/Q4KR1 w - -,a1c1
8/B7/2p2k1p/5p2/2P1bP1P/2K5/4B3/8 w - -,a7d4
8/5pk1/6p1/4r3/1P1P2K1/P2Q2R1/4P3/5q2 b - -,e5e4
