r5k1/8/7p/P7/1P1bpP2/1R6/5P2/6K1 w - -,g1g2
3r1r2/1P3pk1/3p2p1/p3p3/4Pn2/1R5p/PP3P1K/1B3R2 b - -,d8b8
2k3r1/ppp2p1p/5p2/8/5P2/3B3P/P6K/3R4 b - -,h7h6
6k1/3r4/p2p4/P2P1R1P/6pK/2B5/1P2b3/8 w - -,h5h6
2kr1r2/pq1p3p/4pbp1/2p5/2P2P2/1P5P/PBQ3P1/R3R1K1 w - -,b2f6
r4rk1/1q1bppbp/1p1p1np1/p2P4/Pn2P3/1P3N2/1B1NBPPP/2RQ1RK1 b - -,f8c8
r2kr3/p4p2/q2p3p/1b1P4/8/1PQ5/2P2PPR/2KR4 w - -,c3f6
1r3rk1/4b1np/2pqp3/ppNn1p2/3P4/PP1B1QPP/1BR2P2/4R1K1 w - -,d3f1
4r1k1/R4pp1/7p/8/1pq5/7P/1P3QP1/6K1 w - -,a7b7
1rbq1rk1/1pp1ppbp/p1np1np1/8/2PP4/1PN1P1P1/P3NPBP/R1BQ1RK1 b - -,c8d7
2r2rk1/1b2qpbp/pp2pnp1/4n1B1/2pNP3/PPN5/2Q1BPPP/R2R2K1 w - -,f2f4
6k1/2B2pp1/4b2p/8/2p1P3/P1P2P2/6PP/6K1 w - -,a3a4
6k1/5pp1/7p/1p1Q4/8/1p3Pq1/r7/4RK2 w - -,e1e8
r3k2r/ppp2ppp/8/2q1p3/1n6/3PPB2/P1n2PPP/RQB2RK1 w kq -,a2a3
2r2rk1/1q3ppp/pn2p3/4b3/N2P4/8/1P2QPPP/R2R2K1 w - -,d4e5
8/2k1r1p1/2p2p1p/3ppP2/P3P1P1/brPR1KP1/1N1R4/8 w - -,b2d1
r1bqk2r/p4ppp/np2pn2/1N1p4/1b3B2/P1N1PQ2/1PP2PPP/R3KB1R b KQkq -,b4c3
8/1n4k1/3p2p1/p1pP2P1/2P1N3/1P6/1K6/8 w - -,b2a3
2r1k2r/p3q1pp/1npbb3/4pp2/N7/4P3/PPQ1BPPP/R1BR2K1 w k -,e2a6
8/8/p1p1kp2/1p2p2p/1P2P2P/P1PK1P2/8/8 w - -,c3c4
6rk/1p3bbp/p1pBp3/2Pp1pq1/1P1P1N1r/4P3/P4QPP/4RRK1 w - -,a2a4
3r4/1p3pk1/p1nq2p1/3p4/3P3r/P4Q1P/BP1R1PP1/2R3K1 b - -,c6d4
3k4/5p1p/1pPB1p2/p2Pnb2/3K4/P6P/4B3/8 w - -,e2b5
2k5/ppp5/3b4/PP1p4/2nP1n2/2P4r/6R1/1N2B1K1 b - -,f4g2
rnbqkb1r/pp2pppp/2p2n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq -,e2e3:b1d2:h2h3:c2c3
1r4k1/4ppb1/3p2pp/2pP4/P2q1P2/1PNr2P1/4R1QK/BN6 w - -,e2e7
r2r2k1/pp3p1p/q1n3p1/3p1b2/3P4/P3P1P1/1Q1N1PBP/R4RK1 w - -,f1c1
3r1r2/pp4k1/5pn1/6p1/2Pp2b1/3P2N1/PP3PB1/1R3RK1 b - -,b7b6
r2qr1k1/b1p2pp1/p1n1bn1p/1p1pp3/4P3/2PPNN1P/PPB1QPP1/R1B1R1K1 b - -,d5d4
1rb2r2/4b1k1/2p3p1/p1N1p2p/4P3/PP2QBPq/2P5/1R3RK1 b - -,h3g3
r2q1rk1/1p1bppbp/p2p1np1/n1pP4/2P5/2NQ2P1/PPN1PPBP/R1B2RK1 w - -,a1b1:b2b3:h2h3
1rb1rqk1/1pp3b1/p2ppn1p/8/2P2B2/2N3PP/PPQ2PB1/R3R1K1 w - -,f4e3
r2q1rk1/pp2bppp/2n1bn2/3p2B1/8/2N2NP1/PP2PPBP/2RQ1RK1 w - -,f3d4
r6r/3kbppp/4p3/1p1pP3/p1nP4/P1R1B3/1P1N1PPP/2R3K1 w - -,d2c4
8/8/1p6/p1p4p/P1Pp2k1/1P1P1nP1/6K1/2N5 w - -,g2f2
8/p1K1P3/P6p/6k1/5Rp1/4rpP1/7P/8 w - -,c7d7
2r3k1/4bpp1/4p3/p3P2p/n7/P3B1P1/5P1P/1R1N2K1 w - h6,b1b3
2q1r1k1/5rb1/1p1p2p1/p3ppPp/P1P1P2P/1P1N1P1K/5RQ1/5R2 w - -,h3h2
2b5/4Rp1p/2B2kp1/2Pp4/1P6/6P1/1r3PP1/6K1 w - -,e7c7
3q2k1/pb2r1pp/1p1Npb2/4B1n1/3p4/3N1PP1/PP2P2P/2Q1R1K1 w - -,d6b7
6k1/b2Q3p/p5p1/1p6/1PnNqp2/P3P3/5PPP/R5K1 w - -,d4e6
2kr3r/1ppbqppp/p1p3n1/8/4P3/1NN1Q3/PPP2PPP/3R1RK1 b - -,c8b8
rnb1kb1r/ppB3p1/4qn2/8/4p3/2N3Q1/PPP3PP/R3KB1R b KQkq -,b8c6
8/5p2/3k4/1p1p2p1/pP1P2P1/P3KP2/8/8 w - -,f3f4
k1r1b3/1p2R1p1/p4n2/2rp1p1P/1R6/P1N5/1PP5/1K3B2 b - -,c5c7
r2q1rk1/pp2b1pp/2n1p1p1/3pP3/P2P4/3NQ3/1P1B1PPP/R4RK1 w - -,b2b4
8/8/pp6/2kp1R2/6K1/1P1p2P1/7P/8 b - -,d3d2
r2q1rk1/1p1nppbp/p1p1b1p1/n7/P1pPPP2/2N1BN2/1P2B1PP/R2Q1RK1 b - -,e6g4
1qrr1bk1/pb3pp1/1n3n1p/2pp4/8/1PN1PN2/PBR1BPPP/3Q1RK1 w - -,c3b5
2kr4/3p3p/p1rR2p1/7q/8/1Q2P1P1/P4P1P/3R2K1 w - -,d6c6
r4r1k/5ppb/2p1pb2/1p2q1Nn/4N2P/PB1P4/2PQKP2/5RR1 b - -,h7e4
2b1r1k1/Rp4qp/1PpBn1p1/Q1PN1p2/3b4/3B3P/5PP1/6K1 b - -,e6c5
1r2qrk1/1p1bppbp/p2pnnp1/8/P1P5/RPN3PP/1BNQPPBK/5R2 b - -,d7c6
6k1/R6p/4n3/4P3/P4pKP/8/1r3B2/8 w - -,g4f3
2rb1nk1/1p1r1ppb/p1p1pn1p/N1Pp4/NP1P2P1/6BP/1P2PPB1/R4RK1 w - -,f1c1
r4rk1/pp2bppp/1qB1pn2/3pNb2/3P1B2/2N1P3/PP3PPP/R2Q1RK1 b - -,b7c6
r4rk1/1p1nqpbp/2ppbnp1/p3p1N1/2P5/P1NP2PP/1P2PPB1/1RBQ1RK1 w - -,b2b4
r1nq1rk1/1p3p1p/2p3p1/3p4/p2P1Q2/P2BP2P/1P3PP1/2R2RK1 b - -,d8d6
r1b2rk1/2b2p2/1Rp3pp/3N4/3P4/3BPqP1/2Q2P1P/5RK1 w - -,d3e4
8/5Bk1/8/6p1/6Pp/7K/8/8 w - -,f7c4
r2qkb1r/1pp2ppp/p1n1pn2/7b/P1BP4/2N1PN1P/1P3PP1/R1BQ1RK1 b kq -,f8b4
r1b2rk1/p1q2pBp/1npp1np1/1p2p2P/3PP1P1/2N2P2/PPPQ4/2KR1BNR b - -,g8g7
r3k2r/1ppqbp2/p1n1pn1p/3p1bp1/1PPP1B2/P1N1PN1P/4BPP1/R2QK2R w KQkq g6,f4h2
8/1K6/8/8/6p1/6kP/3R4/8 b - -,g4h3
4n3/p1rqk1p1/Bpb1pp1p/3p1n2/1P1P4/P1R1PN2/3N1PPP/2Q3K1 w - -,a6d3
rnb2rk1/1pp2pp1/3p1q1p/p2Pp3/2P1P3/P1Q2NP1/1P3PBP/R3K2R b KQ -,b8a6
4r1k1/pp4pp/2p5/3n4/1Q1P4/P5PP/1P3P2/1B4K1 w - -,b1a2
r4rk1/pp5p/2p1b1p1/8/3b1PP1/5B2/PP4KP/R1B2R2 w - -,g2g3
5R2/6r1/p3r3/P1kp4/1p6/2bB2P1/R1P3K1/8 w - -,f8a8
1r2n1k1/1r2b3/2Rp2p1/B2Pp2n/1PN1Pp1q/N4P1P/4QR1P/4K3 w - -,e1d2
6k1/p1n3p1/1p1P4/5bq1/2P5/PP3QpP/8/5RK1 b - -,f5h3
r4rk1/pbq1bppp/2n1pn2/2p1N3/2N5/2PB4/PP2QPPP/R1B2RK1 b - -,c6e5
4r2k/1R6/3p4/1P1P4/3np3/5p2/5K1P/4R3 w - -,b5b6
1r5k/1pb1q1p1/p6p/1bP1pN2/P2r2Q1/2Rp1P1P/1P4P1/3RB2K b - -,d4g4
2r2rk1/2qn1ppp/p3p3/4P1N1/1p2R3/8/PPP1Q1PP/2KR4 b - -,a6a5
1bb2r2/7k/1P4p1/2p5/2P1p2q/2B3P1/3Q2B1/5RK1 b - -,f8f1
3rrbk1/pp1b1qpp/2p1p3/2P1Bp2/1P1P4/4R1P1/P3QPBP/R5K1 b - b3,a7a6
r2k1bnr/1p1n2pp/2p1bp2/p3p3/2P1N3/4PN2/PP1B1PPP/3RKB1R b K -,d8c7
r3k3/1b1n1p2/p3p1p1/q3P2r/Pb1NpP2/4B3/1PR2QBP/2R3K1 b q -,a5a4
