r6k/1p5p/p4Q2/6Pp/7P/2B1nq2/PP5K/8 b - -,f3f6
7r/q2bb1k1/3p1pp1/p1pPp1p1/P1Q1P1P1/1rP3RP/1P1N1PK1/2B5 w - -,c4b3
8/p2bk1rp/4p3/2P2p2/1rN4R/2R3P1/PP3P1P/6K1 b - -,e6e5
5b2/1p5k/pn2p2P/3pP1P1/3P4/1P2BK2/2r2N2/7R b - -,c2c3
r1bqk1nr/pppp1pbp/2n3p1/1B2p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,c2c3:f1e1
r1q2rk1/1p4b1/2n5/p3ppNp/2Pp3P/PP1P2P1/1B4K1/1R1Q1R2 b - -,c8e8
8/r5pk/7p/4r3/P2R4/2K2P2/R5P1/8 b - -,e5e3
7k/1p3r1p/3p1np1/pPqPp3/5r2/2P1N2P/1P2QPR1/R5K1 b - -,b7b6
3qr3/1b2ppkp/pp1pB1p1/3n4/7Q/1P3NP1/P3PP1P/2R3K1 b - -,d5f6
8/5ppk/4p3/1pQ1P2p/7P/P2q2P1/5P2/6K1 w - -,g1h2
rn2kb1r/pp2pppp/2p1bn2/3q4/8/Np3NP1/P1QPPPBP/R1B1K2R w KQkq -,a2b3
1R6/5p1p/1p3k2/p1n5/5pP1/5K2/3r3P/5B2 b - -,d2h2
6k1/4prnp/p2p1n1Q/1pqP1p2/7R/3B3P/2P2PP1/3R2K1 b - -,g8f8
8/p3qpk1/1p3n1p/2p3p1/6P1/P1Q1PB1P/1P3PK1/8 w - -,b2b4
r1b1kn1r/pp3ppp/2p2n2/2b1p1B1/P1B1P3/2N2P2/1PP1N1PP/R3K2R w KQ -,c3d1
r1r5/1p2pp1k/2bpn1p1/p3b2p/2P1Pq2/1PN2P2/P1R2BPP/3RQB1K w - -,f2g3
2b3k1/2r1bp2/1p2q3/pP1pPp2/2rP1Pp1/PQ2N1Pp/1B5P/4RRK1 w - -,b3d3
r1bqk2r/ppp2ppp/2n5/3nP3/8/2N2N2/PP1Q1PPP/R3KB1R b KQkq -,d5c3
r3qrk1/1p1b2bp/p1ppnnp1/P4p2/N1PN4/4P1P1/1P1B1PBP/R2Q1RK1 b - -,a8d8
r1b2rk1/3n1pbp/pqp1p1p1/N2pP3/1P1P1N2/2PB1P2/2Q3PP/R4R1K w - -,f1e1
1r6/4b1kp/4pp2/p2p2P1/P5r1/1P1KP3/3N1P2/1R5R b - -,f6g5
r1bq1rk1/pp4bp/2n3p1/3pp3/8/2PB1NP1/PPQN1PP1/R4RK1 w - -,a1d1
r2r4/pp3p1p/4b2k/8/3nB1P1/P4PN1/1P6/3R1R1K w - -,h1g2
r3r1k1/5p1p/p1R1b1p1/1p2p3/n3P3/2b1B1P1/2N2PBP/2R3K1 w - -,f2f4
3r1r2/R4p1k/p1np1bpp/1p6/3pPB2/PQ1B4/1P3K1P/8 w - -,a7a6
3r1rk1/ppq2ppp/5n2/3p4/3b4/1P4PP/P1P2PB1/2RQ1RK1 w - -,d1d4
r3k2r/pp1nqpp1/2pbpnp1/3p4/2PP4/2N1P3/PPQB1PPP/2KR1B1R w kq -,c1b1
5k2/8/6B1/4b3/2P3P1/2r4P/1R5K/8 w - -,h2g2
8/p1p2kp1/1p1n4/5r1p/PP3b2/2PR2BP/5P1P/4R1K1 w - -,g1g2
4k2r/1p3p2/2r1p1p1/3pP2p/p1bP1P1b/PpP2N2/1P4PP/2R1R1K1 w k -,f3h4
2kr3r/ppp3p1/1Bb3np/3pP3/5P2/2N2NP1/PP3K1P/R2R4 b - -,a7b6
2q5/p6k/1p2p2b/4Pp2/3P1NpP/P2Q4/1P6/1K6 w - -,f4h5
r2qrn2/pb3pk1/1pnp2p1/2pNp2p/2P1P3/3P2PP/PP1Q1PBK/R4RN1 b - -,h5h4
b1q3k1/p5pp/3N2n1/2r1p3/1Q2P3/3P2PP/6BK/5R2 b - -,c8c7
3r2k1/ppq1nrb1/3pb1np/1Pp1pp2/2P2P2/P2PN1P1/1B1NQ1BP/4RRK1 w - -,g1h1
8/8/8/3p3k/8/3K2BP/8/8 w - -,d3d4
r1b1k2r/ppp2ppp/3bq3/8/P7/5Q2/1PP2PPP/RNB2RK1 w kq -,c1f4
1r4k1/p4p1p/2q3pP/4p3/6P1/1PPQ1P2/2P5/1K1R4 w - -,d3d8
r4rk1/6b1/1p1n2pp/pP1Pp3/1pP1PpP1/1P1N1P1P/4N3/R4RK1 w - -,f1c1
rqr3k1/3n1pbp/3p1np1/pR1Pp3/P3P3/B2N2P1/5PBP/3Q1RK1 b - -,b8c7
2rr2k1/1p2ppb1/2nq2pp/3b4/2NP4/4BN1P/5PP1/1RRQ2K1 b - -,d5c4
1k1r3b/pp2qp2/1n2p3/2ppP3/3P4/1P2QN2/P1P2PP1/1N1K3R b - -,e7c7
r4rk1/ppqnbpp1/2p1p2p/2Pp1b2/1P1Pn3/2N2NP1/PB2PPBP/R2QR1K1 w - -,f3d2
r3q1k1/ppp3pp/3pbr2/2b1p3/1nB1P3/2N2N2/PPP1QPPP/2KR3R w - -,a2a3
5k2/5n1p/B5p1/P7/6rP/1N2R1B1/1b4K1/8 b - -,g4a4
2r4k/7p/1p2B1p1/pN6/1p1R1K2/8/P1b4P/8 b - -,c8f8
4q1k1/p1P4p/7Q/4p3/3p4/8/1r3PP1/4R1K1 b - -,d4d3
4r3/p5k1/2p3p1/2N1n3/P3PQ2/2P5/5rPK/8 w - -,f4c1
3rrn2/5kb1/ppb1q1p1/3pPpQ1/3P1P2/1BN1B2R/PP4PP/4R1K1 w - -,e1f1
r4rk1/pb3ppp/1pq1pn2/8/2pP1B1P/P1P1QP2/2B3P1/R4RK1 b - -,f6d5
r4rk1/pp3pbp/2p1bnp1/4p3/1qP1P3/1PNQ2PP/P4PB1/1RB2RK1 b - -,f8d8
1rbqk2r/p1p2ppp/4pb2/1p6/3PB3/5N2/PPP1QPPP/R4RK1 w k -,a1d1
r2q1rk1/pp2ppbp/2p3p1/4P3/2QP4/1P2P3/PB4PP/R4RK1 b - -,d8a5
2N5/p4kp1/7p/8/3bb3/3n4/PP1P1PPP/R1B3K1 b - -,f7e6
8/8/n5k1/P7/2K5/1P6/3N2p1/8 w - -,d2f3
r1b1kb1r/3nnppp/pq2p3/1pppP3/5P2/1PN2NP1/PBPPQ1BP/R4RK1 b kq -,c8b7
6k1/4q3/5p2/p2pp2P/3P1Q2/6P1/PbB2PK1/8 w - -,f4g4
8/8/5p2/4p1p1/4P1P1/5P2/5k1K/6rB b - -,g1h1
8/2k1n3/5p2/6p1/3PB1P1/5K1P/8/8 w - -,e4d3
r2q1rk1/p1p2pp1/3b3p/2pn4/3B2N1/P2BP3/2Q2PPP/R4RK1 b - -,c5d4
4r2k/8/5b2/p1RP4/r7/3K4/P3N1R1/8 w - -,e2c3
8/7p/1p3k2/p5p1/3P1K2/P5P1/B5b1/8 w - -,f4g4
8/4kB2/3Rp3/4P3/1p3K2/1r5b/8/8 w - -,f7g6
r1bq1rk1/pp4pp/4p3/2p1Pp2/1bPn2n1/2NB1NB1/PP3PPP/R2QK2R w KQ -,h2h3
2rqkb1r/1p1n1pp1/p2p1n1p/3bp3/P1P1P3/1N2BP2/1P4PP/R2QKB1R w KQk -,e4d5
8/R7/2rnkpp1/7p/5P1P/6K1/1B6/8 b - -,c6b6
1r1r2k1/p4p1p/1p2q1p1/2p5/Q7/2R1P3/PP3PPP/5RK1 w - -,a4a7
r2q1rk1/p5pp/2p1pn2/2bp4/8/P7/1BPPQPPP/RN2K2R w KQ -,e1g1
4r1k1/R7/2pRN3/p3K3/8/8/PPr5/2n5 w - -,e5f6
6k1/2r3pp/pp2p3/3pP1b1/3P4/P1B3PK/1P5P/4R3 b - -,g8f7
r2q1rk1/pp2npp1/1b2b2p/1B1pNn2/5B2/1NP5/PP1Q1PPP/R3R1K1 w - -,a1d1
3rr3/4bpk1/p4pp1/2pB2q1/1pP3P1/1P2R2P/PQ3P2/4R1K1 b - -,e8h8
8/ppR2ppk/3r3p/B7/b4NPP/8/5P2/6K1 b - -,d6d7
6k1/5b1q/5R1p/3rP1p1/pp1BQ3/8/PP4PK/8 w - -,e4e3
r2bk1r1/1b3p2/p1q1pN2/2p1P3/2P3pp/1P2B3/P2Q2PP/2RR2K1 b q -,d8f6
2rr2k1/pp2ppb1/1q2b1pp/2pn4/3P4/P3PNP1/1PQB1PBP/2R1R1K1 w - -,d4c5
r2q1rk1/1b1nbpp1/p3pn1p/8/Pp1PN3/2NBB3/1P3PPP/2RQ1RK1 w - -,e4f6
1r1qr1k1/5pb1/p2p2pp/PbpP3n/4PPn1/1p4P1/1P1BN1BP/R2QNRK1 w - -,g2f3
2kr1br1/ppp5/4Q3/3P3p/qPP5/5BP1/PB4KP/3R4 b - -,c8b8
rnb2rk1/ppp1q1pp/8/3p1p2/3P4/2PBPN2/P1Q2PPP/R3K2R b KQ -,b8c6
8/3k1n2/1pp3p1/r2p3p/p2P1BPP/P1P2P2/1P3K2/4R3 b - -,a5b5
