8/3B4/5kpp/p5b1/8/6K1/5P1P/8 b - -,f6e5
3r4/1p4pp/p1b2k2/P2Rpp2/8/1NP2P2/1P4PP/4R1K1 b - -,d8d5
r3r1k1/1p3pp1/1pnb3p/3pN3/2pPbP2/2P1B2P/PP2B1P1/R4RK1 w - -,e2f3
r1bqk2r/pp3pbp/2n1p1p1/3pPn2/3P1B2/2N2N2/PP1Q1PPP/R3KB1R w KQkq -,f1b5
r1bq1rk1/pp2bppp/1n1p1n2/3Pp3/4P3/N3BP2/PP1QN1PP/R3KB1R b KQ -,c8d7
8/8/1p6/p7/1k4KP/1P4R1/6r1/8 b - -,g2h2
2b3k1/ppR5/4prB1/3p4/8/8/PP3PPP/6K1 b - -,f6g6
1Q3b2/p2rk3/1p3rp1/1B1p1p1p/3P1P1P/1P4P1/P4P2/6K1 w - -,b5d7
r1bqk2r/pp1n1pp1/2pbpn1p/3p4/2PP3B/1QN1PN2/PP3PPP/2R1KB1R w Kkq -,f1e2
r1b1k2r/1p1p1pp1/p1n2q1p/3Qp3/4P3/2P2N2/P1P2PPP/3RKB1R b Kkq -,e8g8
4r3/3r3k/p5pp/1p1b1p2/3N1P2/P1P4R/1P4PP/2K3R1 b - -,d5e4
4r1k1/p2R1p1p/1p4p1/8/1P2b3/4QN1P/P1q3P1/6K1 w - -,d7a7
3r1r2/6k1/p4Np1/Pp2P2p/1Ppb1n1P/5b2/3R1P2/1N2RBK1 b - -,c4c3
3r2k1/pp3pp1/4pn2/2qr3p/3N1P2/2P2R1P/PP2Q1P1/4R2K b - -,a7a6
r3r1k1/1b1qb1pp/p1p2p2/1p1pP3/3P4/1Q2P3/PP2NPBP/2RR2K1 w - -,e3e4
2r5/8/1pkp2p1/3p1pPp/p1rPpK1P/P1P5/1P1RRP2/8 b - -,c6b5
r5k1/pbqp1rb1/2p1pBp1/4PnNp/4N3/8/PPPQ1PPP/3RR1K1 b - -,g7h6
2r3k1/4R2p/4N1pb/1p1r4/2p2p1P/P1Bb4/1P3PP1/3R2K1 w - -,d1e1
8/1r4kp/1pR2bp1/p2Q1p2/P6P/1P2P1P1/5P2/q4BK1 b - -,a1e5
r1k1r3/1pp3R1/n2pNB2/p2P1p1q/2P5/2P4P/P2Q4/2K4R b - -,a6c5
4rnbk/pp4rp/3p1Qp1/q1p1p1N1/4P2R/2PP4/1PB2PP1/2K4R b - -,a5d8
rn3rk1/p4ppp/Bpp5/4P3/8/2P4P/P4PP1/R1BR2K1 b - -,b8a6
5r1k/pp4pp/5b2/2R5/4r3/4B3/P4PPP/1R4K1 w - -,c5a5
1rbr2k1/p5pp/n3pB2/2pp4/2P1p2P/PN2P1PB/1P3P2/2RR2K1 b - -,g7f6
8/1p4p1/r6p/3k4/3P3P/P2RKP2/6P1/8 w - -,d3b3
8/5p1p/5k2/4pP2/1R6/1P4PP/1r1pK3/8 b - -,f6f5
4k3/pb2b3/2p1p1Q1/1pP5/7P/4P3/qPB2PP1/6K1 b - -,e8d7
r1b2rk1/pp1n1ppp/2n1p3/q2pP3/1b1P1P2/2N5/PP2N1PP/R1BQKB1R w KQ -,c1e3
3rr3/ppn2pqk/1n1P2pp/8/8/Q4P2/PPN3PP/3R1RK1 b - -,c7b5
2rqk2r/1b3pbp/pn1p1np1/1p2pP2/4P2P/P1N1NB2/1PPBQ3/2KR3R b k -,g7f8
3r2k1/p2r4/1p1Bqnpb/2PNp3/2PnPpP1/P4P2/3R1Q2/3R1BK1 b - -,f6g4
rn2kr2/ppp1q1pp/3p1n2/4p3/4P3/8/PPPP1PPP/RNBQK2R w KQq -,d2d3
7k/ppp1q2p/1r6/2bBp1r1/4P3/6PQ/PP3P2/2R2RK1 w - -,h3c8
8/7k/r2B1Qp1/7p/2P1P2P/6P1/5PK1/1q6 b - -,b1e4
r2q1rk1/pb2bppp/1pn1pn2/8/2Bp1B2/2N1PN2/PP2QPPP/2RR2K1 b - -,f6d5
2r1r1k1/1p2bpp1/4p1p1/pNn1B3/P1P5/1P6/5PPP/1R3RK1 b - -,e8d8
8/5kpp/4b3/2p1p3/2PpP3/1P3BP1/3R1K1P/r7 w - -,g3g4
2K5/2P1k3/8/8/4rp2/8/8/1R6 b - -,e4c4
r2q1rk1/5pp1/p3p2p/1bpnP3/4N3/5N2/PP1Q1PPP/R1R3K1 b - -,d8b6
5q1k/1pQ5/p2p4/2PP3p/8/P7/KPb5/1N6 b - -,c2b1
8/p7/1pp4P/6Pk/2P5/6R1/5K2/4r3 b - -,e1e7
4r1k1/2n2p2/pr1p1q1p/2pPb1p1/2B1PB2/R4Q2/1P3PPP/3NR1K1 b - -,e5f4
4r1k1/7p/pn1p1qp1/NbpP1p2/6n1/1PR1P1P1/4P1BP/2Q1R1K1 b - -,f6g5
r1bq1rk1/ppp1n1bp/3p1p2/3Pp1p1/2P1P1n1/2N2NB1/PP2BPPP/R2QK2R w KQ -,h2h3
rnbq1rk1/1pp1ppbp/p4npB/8/3PP3/2N2N2/PPPQ2PP/R3KB1R b KQ -,c8g4
8/4p3/p2pk1p1/1p4P1/3B2n1/PP6/2PK4/8 w - -,d2c3
r1bq2k1/1pp1br1p/p4p1B/3p4/1n6/1P3NN1/1PPQ1PPP/R3R1K1 b - -,c8g4
r4rk1/p2R1ppp/8/8/1p3PB1/2p5/P4KPP/R7 w - -,g4f3
8/1p6/p7/P1P3kp/8/4PK1P/8/8 w - -,e3e4
1kbrr3/1pq2ppp/p7/3BPn2/5Q2/P1N5/1PP4P/1K1R1R2 w - -,d5f7
1r3rk1/p2q1pb1/6p1/1p1P1bB1/4p1P1/5B2/PP2Q2P/R2R2K1 w - -,g4f5
2r5/7k/4p2p/p1B1P1pq/PPp1b3/2P1P3/1Q4pP/4R1K1 w - -,b2e2
r3kb1r/pp2pppp/2n2n2/2pq1b2/3P4/N1P2N2/PP3PPP/R1BQKB1R w KQkq -,f1c4
2rr2k1/p3n1b1/1pn1b2p/2pNppp1/2P1P3/BP4P1/P3NPBP/3R1RK1 w - -,d5e7
2r5/5pkp/4b3/3p3P/3P3b/R7/R1P3P1/6K1 w - -,a3a8
rn1q1rk1/pb2bpp1/1p1ppn1p/2p5/1P1P3B/2PBPN2/P2N1PPP/R2Q1RK1 b - b3,b8d7:c5b4
rnbq1rk1/ppp2ppp/5n2/3p4/5NP1/2P4P/PPP1BP2/R1BQ1RK1 b - -,f8e8
4qrk1/4rp2/pp1p1np1/3P3p/2pNPb1P/5B2/PPQ3P1/2KR3R w - -,c1b1
5rk1/p3ppbp/1n4p1/N1r5/1Bp3n1/3q1NP1/PP3PKP/1R2QR2 b - -,c5f5
8/5k2/p7/5ppp/1P1R4/4r3/P6K/8 b - -,e3e2
2b1r2k/pp4p1/1n2p1qp/2Bp4/7P/2Pr2PB/PP1QRP2/4R1K1 w - -,d2c2
1r1q4/2p2pk1/3p1p2/p1r5/2P1BPb1/4R1P1/PPQ2P1P/1R4K1 w - -,c2d3
8/6k1/2p5/2Pb3P/7n/4B3/p1B5/K7 b - -,d5f3
q4rk1/p4ppp/1p2pb2/8/1n2NB2/8/P3QPbP/1B1R2K1 b - -,g2e4
2k2r1r/pp1b1pn1/4p2p/q2pPnpP/P1pP2B1/2P3P1/2PBQPKN/R4R2 b - -,a5d8
r5k1/p4p1p/2q1p3/2p5/3r3P/P6R/1PQ2PP1/R5K1 b - -,a8d8
r1qr2k1/pb2bppp/1pn1p3/3n4/5P2/PNN1B1Q1/1PP1B1PP/3R1RK1 w - -,c3d5
5rk1/3qppbp/bp3np1/n1rp4/1QPN4/4PB2/PP1N1PPP/R1B2RK1 b - -,a5c4
r1b2r2/pp2qpkp/n4Np1/P7/2Np4/6P1/1P2PPBP/R1Q3K1 w - -,c4e5
r3k2r/ppp2ppp/2n1b3/q4n2/1bP5/2N1BN2/PPQ2PPP/R3KB1R w KQkq -,f1d3
8/pk1bp3/1p1p4/2pP1p2/7b/P1PPNB2/1P3P2/1K6 w - -,e3d1
R2qk2r/1bp2pp1/1bnp1n1p/1p2p3/3PP3/1BP2N2/1P3PPP/1NBQR1K1 b kq -,d8a8
8/4k3/7r/4KPN1/5N2/8/8/8 b - -,e7f8
r2qkb1r/pbpp1ppp/1pn2n2/4p1B1/3PP3/2PB4/PP2QPPP/RN2K1NR b KQkq -,h7h6
2r1r1k1/1p3pbp/2qPb1p1/p1p1P1Nn/P1Q5/2N4P/1P1B2P1/R3R1K1 w - -,g5e6
8/5R2/3k2pp/3Bp3/4P2b/5P1P/PPr2PK1/8 b - -,c2f2
r3k2r/1bqpb2p/4p1p1/p1P1PpN1/R4P2/2P1B2Q/2P3PP/5RK1 w kq -,g1h1
r4rk1/p2b2p1/2pbnq1p/1p1p1p2/1P1P4/P2BPNP1/2Q1NP1P/R4RK1 w - -,e2c1
r3kbnr/1bq2ppp/p1npp3/2p5/Pp2PP2/2NP1NP1/1PP3BP/R1BQ1RK1 w kq -,c3e2
2r3k1/3Q1pp1/1q6/R1p1p3/1p2P3/1P3PP1/PB4K1/8 b - -,c8d8
b4rk1/5pp1/Q3p1qp/8/5r2/2N2N2/PP4PP/4BRK1 w - -,a6e2
2R5/5nkp/4B3/n3Ppp1/pK3P2/3r2P1/7P/8 b - -,f7d8
3rr3/1kpbn1b1/ppp2ppp/8/1P2P3/1N3N1P/PBP2PP1/2KR3R w - -,h1e1
