8/5p2/4pk2/7p/4KPp1/r5P1/4R2P/8 w - -,e2g2
r1bq1rk1/pp2bppp/2n1pn2/2pp4/4P3/2PP1NP1/PP1N1PBP/R1BQ1RK1 b - e3,d8c7
r4rk1/pp2qppp/2pbpn2/7b/2PPB3/1P3N1P/P4PP1/R1BQR1K1 w - -,e4c2
4k3/2r2pp1/4p1p1/R2P3r/4P3/2B1nPP1/1P4K1/5B2 w k -,g2g1
8/6K1/7P/Rp1k2P1/2p4r/8/8/8 b - -,d5c5
3n4/6p1/ppk1p3/2p1Pp1p/P1P2P1P/1P1K2P1/8/4B3 w - -,e1d2
r1bq1rk1/pp2p1bp/2pp2p1/3PnP2/2P5/1PN1BP2/P2QN1PP/R3K2R b KQ -,c8f5
R7/6k1/6p1/2P1p3/4NbP1/p2P3P/7r/6K1 b - -,h2c2
rnbqk2r/pp2bppp/4pn2/8/2pP1N2/P1N5/1P3PPP/R1BQKB1R w KQkq -,f1c4
3q1rk1/3r1pp1/1p2p2p/pN6/PnRP4/1P4P1/4QP1P/R5K1 b - -,d8f6
1q1rrbk1/1b1n1pnp/pp4p1/3p2P1/3NP1BQ/1PN1BP2/P6P/2RR2K1 w - -,d4e2
rnb1kb1r/pp1p1ppp/1q2pn2/6B1/3P4/5N2/PP2PPPP/RN1QKB1R w KQkq -,d1b3:d1c2:g5c1
r2qk2r/pp1bbppp/1nn5/4P3/3N4/2N1BQ2/PP4PP/R3KB1R w KQkq -,f3e4
r2qk2r/2p1npp1/p4n1p/1pb1p3/P5bN/1Bp2PQ1/1P4PP/RNB2R1K b kq -,d8d3
2r2rk1/1p1nqppp/p3p3/1bpnP3/2NP4/1P2Q1P1/P2N1PBP/2RR2K1 w - -,g2d5
2rr2k1/pp2qp2/6pQ/4Pb2/1Pp5/PnN3P1/5PBP/1R1R2K1 w - -,d1d8
r2q1rk1/pp1bppbp/3p1np1/2p5/3nPP1Q/2NP1N2/PPP1B1PP/R1B2RK1 w - -,e2d1
r4r1k/1p4pp/1n3b2/pBp5/P3N3/1bP5/1B3PPP/R3R1K1 b - -,b6c4
2kr1b1r/1bq2ppp/p3pn2/3pP3/2pN1PP1/P1N1B3/1PP3QP/2KR3R b - -,f6e4
r3k3/4P1r1/6p1/4Rp1p/5P1P/1KP5/p1P2P2/4R3 w - -,b3b2
rnbqk1nr/pp3ppp/4p3/2p5/1bPP4/P1N5/1P3PPP/R1BQKBNR b KQkq -,b4a5
2r4k/p5p1/8/7p/Q1P3q1/8/PP6/K1R5 w - -,a4c2
8/8/8/3k4/6R1/p3r1p1/6K1/8 w - -,g4a4
r4rk1/ppqnbppp/4pn2/P1pp4/3P1PP1/2PBPQ1P/1P1N4/R1B2RK1 b - g3,f8d8
2kr3r/1ppq1ppp/p3bn2/8/2Pb4/1PN2N2/P2PBPPP/R2Q1RK1 w - -,a1c1
6k1/1p3pb1/2p1n3/3pPp2/1P1P4/2P2N2/3B3P/5K2 b - -,f7f6
1r2r3/1p2qnkp/pNpp1pp1/3P4/1PP5/2Q1PpP1/P5KP/4RR2 w - -,f1f3
r2qk1nr/ppp2ppp/2nbp3/3p4/3P1Bb1/4PN2/PPPN1PPP/R2QKB1R w KQkq -,f4d6:f4g3:h2h3
5k2/5p2/1p2b2p/8/2P2P2/1nB3P1/7P/5BK1 w - -,g1f2
b4k2/6p1/pp5p/8/2pP3P/7N/3Br1PK/8 w - -,d2b4
r1bq1rk1/3n1p1p/3p1bp1/p2NnP2/1p2P3/1N1B4/PPPBQ1RP/5RK1 b - -,f6h8
4nr1r/3k1p2/3p2p1/p1pPp1bp/PpP1P3/1P4P1/3N1P1P/R1B1R1K1 w - -,d2f3
8/1R3p2/3p2k1/R3p1P1/2r2nKP/2r5/5P2/8 w - -,f2f3
6k1/5pp1/p5q1/Q1pr3p/4p2P/1P1bP1N1/P4PP1/2R3K1 b - -,g6d6
r1bqk1nr/ppp1bppp/3p4/n7/4P3/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,g8f6
1k5r/1pq2p2/2p1n1n1/p4N1p/Pb2N3/1P2P1P1/2Q2PB1/3R2K1 w - -,e4f6
8/7p/1p1r3p/7P/6K1/2k3P1/8/2R5 b - -,c3b2
2r3k1/p1r2p1p/1p1p2p1/4p3/2P5/5P1P/P5PK/2RR4 w - -,d1d6
r3k2r/1bqn1ppp/2p1pn2/ppP5/8/3BPN2/PPQB1PPP/2R1K2R w Kkq -,e3e4
r3kb1r/1pqn1ppp/2p1p3/p2n4/P1N3b1/2BP1NP1/1P2PPBP/R2QK2R w KQkq -,e1g1
r1b2rk1/3n1ppp/p1p1p3/8/8/2NN2P1/PP2PP1P/R3K2R w KQ -,c3a4
2kr4/p7/1p1q2p1/3PQ2p/3R1P2/1P6/1PK3P1/8 b - -,b6b5
1r3bk1/3r1ppp/p2p4/1pqNp3/4P2P/P5P1/1PPQ1P2/3RR1K1 b - -,a6a5
1r4k1/r6p/5p2/1N6/p7/Rp1P2P1/1R2PPKP/8 b - -,b8b5
B5k1/8/6p1/2b2p2/5P1P/4K1P1/8/8 w - -,e3f3
rn2k2r/pp2n1pp/4p1q1/4P3/b2p4/P4N2/3BQPPP/R1R3K1 w kq -,f3d4
6n1/8/pkr5/1pp1N2p/1b2PB2/6PP/5P2/2R3K1 b - -,c6e6
3qb3/6kp/1p1bp1p1/1P1p1p2/3P1PP1/3BPKBP/8/2Q5 w - -,c1h1
r3r1k1/1pnqbppp/2p5/8/pBQp3P/P2P1BP1/1P2PP2/1RR3K1 b - -,c7b5
1B1q2k1/5p1p/6p1/5P2/P1R1Q3/4P2P/1r3P2/6K1 b - -,d8b8
r4r1k/p1p1np1p/1p2pp2/b2q4/3P4/2N1PN2/PPQ2PPP/R3K2R w KQ -,e1g1
8/2k5/2b1p2p/p1PpPp2/P1n2P2/3N3P/4K3/R7 w - -,a1g1
8/2Q4p/5kp1/8/1P6/7P/3q2PK/8 w - -,b4b5
r1b1k2r/pp2bppp/1qnppn2/8/2B1P3/2N5/PPP1NPPP/R1BQ1RK1 w kq -,c4b3
2r1q1k1/r6p/2b1p1p1/2NpPpP1/1p1P1P2/p6Q/PPR3P1/2R3K1 w - -,b2b3
2r3k1/5p1p/4n3/p3Pp2/2PrR1N1/8/P5PP/5RK1 w - -,g4h6
8/P4pk1/3P3p/2Q1p1p1/2P3P1/7P/rr4PK/8 w - -,c5e5
1k3q2/p7/1pbNp3/8/2PRPn2/2N3Q1/PP6/K7 b - -,f4e2
r7/p5R1/1n1b4/kppP4/4q3/7Q/3BPP2/6K1 b - -,b5b4
7k/6p1/p5p1/6b1/4r3/2P1N3/PP3PKP/R7 w - -,g2f3
r2qr1k1/ppp1bpp1/6p1/2npP3/5BQ1/6NP/PPP2PP1/R3R1K1 b - -,d8c8
2Q5/8/6pk/4p2p/8/2N3PK/8/4q3 w - -,c8f8:h3g2
r3kb1r/ppqn1p1p/2p1pp2/8/3Pb3/5NP1/PPPB1PBP/R2QR1K1 b kq -,f6f5
5qk1/3n1pB1/1pnpp1p1/p7/P1bPP1N1/2P3N1/3Q1PP1/1B4K1 b - -,f8g7
2kr4/p3n1pp/1p3b2/4pp2/8/PNPBBPP1/1P5P/4K2R b K -,d8d3
1k6/5B1p/p1b2p2/1p2bP1N/6P1/8/PP5P/1K6 b - -,c6f3
2n2rk1/2rp2pp/ppq1p3/5p2/2P2P2/1PN3P1/P4Q1P/3RR1K1 w - -,c3e2
r1b1k2r/ppp1qppp/2n2n2/3pp3/2P5/P1Q1PN2/1P1P1PPP/R1B1KB1R w KQkq d6,d2d4:b2b4
r1bq2k1/pppprp1p/3b1npB/4p1N1/2BnP3/P2P4/1PP1NP1P/R2QK1R1 b Q -,d4e6
r1bqkb1r/1p2pppp/p1np1n2/2p5/2B1PP2/2N2N2/PPPP2PP/R1BQK2R w KQkq -,a2a4
3r3k/2q4p/2npbr1P/p3p1p1/1pP1Pp2/1P1R1PP1/P1NQ2B1/3R2K1 b - -,e6f7
8/7r/KP2k3/4p3/P5p1/3NP2p/1R4bP/8 b - -,g4g3
8/2p1k3/2PpBb2/p2P4/1r4R1/8/KP5P/8 w - -,g4g8
1r3r2/p3n1kp/2p2pp1/2qp1b2/3Q3P/1PN3P1/P1P2PB1/1K1R3R b - -,c5a3
3r1rk1/4bppp/pp1pp3/4n1N1/2P1q3/1P4P1/PB2PP1P/2RR2K1 w - -,g5e4
8/8/3R4/3Pkp2/6p1/2b1P1P1/5K2/8 w - -,d6d7
r1b1r3/pp2qpk1/2p2n1p/6p1/3Pp3/P1N1P1P1/1PQN1PP1/R3R1K1 w - -,d2c4
2r1r1k1/ppqb1pp1/3bpn1p/1N6/8/1BP3P1/PP2QP1P/2BRR1K1 b - -,d7b5
r6k/1Qp1q2B/3p2p1/p3nbN1/2P4P/P7/1P4P1/5RK1 b - -,a8f8
7k/3R4/4r1p1/1B6/P7/4n1PP/7K/8 b - -,e6e5
1k5r/ppq2pp1/2p1pn1p/3rN2P/3P2P1/8/PPP1QP2/1K1R3R b - -,c6c5
r4rk1/1bqnbppp/p2p4/1p3BP1/3BP3/P1N5/1PP4P/R2Q1RK1 b - -,g7g6
1r1r2k1/2q2p1p/1pp3p1/p1n1p3/P1Q1P3/2N4P/1PP2PP1/R2R2K1 w - -,c4e2
r2q1rk1/1p2b1pp/p1npp3/4p3/4P3/2NQ1N2/PPP2PPP/2KR3R w - -,h2h4
8/1K6/4k3/P7/8/2B5/8/8 w - -,a5a6
