8/6pk/2R2p1p/1p6/5PPP/1rP1K3/8/8 w - -,e3e4
5r2/ppk2ppp/4pn2/1N6/5P2/2P3P1/PPK4P/7R b - -,c7c6
6k1/3b1p1n/2p2Ppp/p2p4/5R1P/2P5/PP4P1/3B2K1 w - -,f4a4
r4rk1/1bq2pbp/6p1/N7/Q2p4/7P/PP1BR1PN/R5K1 b - -,d4d3
r7/nR5p/5pp1/1PN1kp2/8/4p1P1/7P/5K2 w - -,c5d7
4r2k/1pq3p1/p1p4p/5p2/1P2P3/P1Q2PPb/2B4P/3R2K1 b - -,f5f4
r1bqr1k1/pp1nbppp/2p1p3/3P3n/3P1B2/2N2NPP/PP2PPB1/R2Q1RK1 b - -,e6d5
5bk1/3b2p1/p3r3/2PQ4/1p1B4/1P4P1/P3p3/4K3 b - -,d7c8
5r1k/6p1/1p5p/p1bQ4/6P1/6BP/Pq1R1PK1/8 b - -,b2f6
r3r1k1/1p2q2p/p2bbpp1/8/3pP3/2N2PP1/PP4BP/R1QR3K w - -,d1d4
1brr2k1/1p3ppp/pq2bp2/3p4/3P4/P1PNP1P1/1P1Q2BP/R4RK1 b - -,f6f5
1q1r2k1/rb1n1pp1/p3p2p/1p2P3/8/2N4P/PP2QPP1/1BR1R1K1 w - -,e2e3
6k1/3r3p/1p1qbRp1/3pp1N1/1P2P3/2PQ4/6PP/6K1 b - -,d6e7
r1b2rk1/5pbn/pq1p1n1p/3Pp1p1/1NP1P3/2N3B1/3QBPPP/R4RK1 w - -,b4c6
b2r1k1Q/1q5p/p5p1/P7/5BN1/1p3P1P/6PK/8 b - -,f8f7
2k3r1/1p3pr1/p3p3/4P3/b1qNp3/2P1Q2p/PP1R3B/4RK2 w - -,d2e2
r1b2rk1/p1qnppbp/1p3np1/1NP5/1PB5/Q3PN2/P4PPP/R1B1K2R b KQ -,c7b7
1r2qr1k/6p1/2Q2nnp/pPbN1pB1/3p1P1P/P3PB2/3K1P2/R6R b - -,d4e3
2k5/1p3pp1/1r2pb1p/2qr3P/p4PP1/2P5/PP1BQ3/K2R3R w - -,d2e3
R7/3r3p/8/KP2p3/P2r3P/3k4/8/5R2 w - -,f1d1
1r1q1rk1/p1pb1ppp/4pn2/8/2QP4/4PN2/P2N1PPP/R3K2R w KQ -,a2a4
r1bqk2r/p2n1pbp/3p1np1/2pPp3/1pP1P3/P2B1N2/1P1N1PPP/R1BQ1RK1 w kq e6,d5e6
r4rk1/1q3ppp/p2bpn2/n2p4/Pp1P4/1P1QPN2/3N1PPP/1RB2RK1 w - -,c1b2
r2q1rk1/pp1b1p1p/1n4p1/2pPb3/4P3/2N1Bn1P/PP1Q2P1/2K1RB1R w - -,g2f3
5rk1/5p1p/p2p2p1/1p1P2r1/8/2PR4/PP6/5RK1 w - -,g1h2
1rb3k1/p1q4p/1p2n1p1/2p1b2P/8/2PP1QP1/P1PB2B1/5RK1 w - -,g2h3
8/7p/3pkpp1/2p5/r1P5/4B2P/2R2PPK/8 w - -,h2g3
rn6/p2pqrpk/1p6/5p2/5B2/4Q1P1/PP2PPKP/R2R4 b - -,b8a6
6r1/5p1p/2p5/8/3kP1p1/1P1B4/P1PKNPPP/8 b - -,d4c5
3r2k1/1pq3bp/2pprnp1/p1n2p2/2P2B2/PPN3P1/3QPPBP/1R1R2K1 b - -,c7f7
r5k1/1b3p1p/1p1r4/p1np4/4n3/P1Bq1NP1/1P4BP/2R2RQK w - -,f3e5
2rr2k1/pb2bppp/1p2p3/nB6/P2PP3/2R2P2/1R1BN1PP/6K1 b - -,a5c6
r4rk1/pp1bppbp/3p1np1/n2B4/1q2PP2/2NQBN1P/PPP3P1/R4RK1 b - -,f6d5
r2r2k1/pp3pp1/2p4p/3P3b/P1nqP3/1QN3P1/1P4BP/R4R1K w - -,f1e1
4k3/5p2/5P2/4PP1R/8/5K2/r3r3/8 w - -,h5h8
2kr3r/ppb2p2/2np1n1p/P4qp1/1p1Pp3/2P2N1P/2B1QPP1/R1B2RK1 w - -,d4d5
r2q1rk1/3n1pp1/4pb1p/2Pp4/pp1P4/5NP1/PPQ2P1P/R3RBK1 w - -,f1b5
6k1/6pp/n1p1p3/5p2/P2P4/4P1P1/5P1P/4BK2 w - -,f1e2
3nk2r/1p1nb1pp/p1r1p3/5p2/2P1N3/8/PP3PPP/1RBR1BK1 w k f6,e4d2
r2q1nk1/pb2p1bp/1p4p1/2ppNrP1/3P1B2/2N1P2Q/PPP2P2/R3K2R w KQ -,c3e2
8/5pp1/7p/8/5kP1/1r5P/6K1/8 w - -,g4g5
2kr1b2/ppp4p/4pp2/q3n3/3P2r1/2N3N1/PPP2PPP/R2Q1RK1 w - -,c3e2
8/R3pk2/5p2/8/4P1K1/8/8/5r2 b - -,f7e6
rn1q1rk1/pp2ppbp/2p3p1/2np1b2/2P5/1PNPPN2/PBQ1BPPP/3RK2R b K -,b8a6
r1q2rk1/p4p1p/1p4p1/3R1p2/1PB1n3/4PP2/PQ4PP/2R3K1 b - -,e4g5
2r4k/1p4pp/n1pR4/2P3q1/1P2P3/6P1/4QP2/3R2K1 b - -,h7h5
4r1k1/pQ1b1rp1/1p1P3p/5n2/1qN3pP/3B4/4PP2/2R1R1K1 w - -,b7a7
r1b1kbnr/2qp1ppp/p3p3/1p4B1/3NP3/2N5/PPP2PPP/R2QR1K1 b kq -,f7f6
r3nrk1/p3q1p1/1p2b2p/2ppPp2/5PP1/2NBP3/PP2Q2P/R4RK1 b - g3,e8c7
r1b2r1k/3np2P/p2n4/3P4/1ppbNP2/4B2P/qPP1N3/2KR1BR1 w - -,e3d4
r2qk2r/1bpnbp2/pp2p2n/4P1pp/2P5/2N1BN1P/PP2QPP1/2KR1BR1 b kq -,g5g4
2rq1r1k/pp1np1bp/2np2p1/3Np3/2B1PP2/4B1P1/PPPQ3P/2KR3R w - -,c1b1
1rb1k1nr/2q2ppp/p3p3/1p6/3P4/1BP1PQ2/5PPP/1R2K1NR b Kk -,c7c3
R7/5p2/2KP1k2/7p/3r4/8/8/8 w - -,d6d7
r1q1r1k1/pp1n1pbp/4p1p1/2p5/2p1P3/2N1P1PB/PPQ4P/R2R2K1 w - -,c3b5
r3k2r/1pp1np2/p1nb2p1/3p3p/3P3q/2PQ1BPP/PP2NP2/R1B1K2R b KQkq -,h4f6
8/1b2kpp1/p3n2p/K2pN3/3P4/3B1P1P/1P4P1/8 w - -,d3a6
8/p2rkp1p/6p1/3P1p2/2P5/bP6/P3KPPP/3R4 b - -,e7d6
5rk1/p3q1b1/6rp/2Np1b2/4p3/1NP2Q1P/PP3PP1/R3RK2 b - -,e7c5
8/p2b3p/1p2kp2/3p1p2/3P3P/3NK3/PP3PP1/8 w - -,d3f4
4r3/Bp1b1pkp/n1qP2p1/3Nb3/2r1pN2/4Q2P/PP3PP1/3R1RK1 b - -,e5b2
r1b2rk1/1pq1bppp/p2ppn2/8/3RP1P1/1BN1B3/PPP1QP1P/2K4R b - -,b7b5
2r2rk1/pb2bppp/1pq5/3p4/4P3/3BB3/P3QPPP/3R1RK1 w - -,e4d5
4r3/p4p2/1p4p1/5k2/7P/2PKp1P1/PP2R3/8 b - -,f5g4
6k1/6p1/p7/6pp/3NK3/P2R1P2/1q6/8 b - -,h5h4
2r4k/3R4/6PK/7P/8/8/8/8 b - -,c8a8
rn1qkb1r/p1pp1ppp/4pn2/1b6/3P4/1P3NP1/P3PPBP/RNBQK2R b KQkq -,f8b4:b5c6:d7d5
8/8/7R/4k3/6Pp/7K/5r1P/8 b - -,e5e4
r1bq1rk1/ppp2pbp/1n4p1/3Pp3/2N5/2N1P1P1/PP3PBP/R1BQ1RK1 b - -,b6c4
8/1p2k1pP/p1p5/4P1Q1/1P6/Pb3P1q/5K1P/8 b - -,e7f7
2Qr3k/6pp/p7/4Ppq1/P2P1PP1/7P/1P6/2R3K1 b - f3,g5h4
b1q2rk1/2p2pb1/1n1p1npp/NB1Pp3/1B2P3/2P4P/R2NQPP1/6K1 w - -,c3c4
5k2/5p2/4p1p1/6Pp/P1R5/r1b1P2P/5PK1/6N1 b - -,f8e7
r1bqk2r/pp1n1ppp/5n2/3p2B1/2pP4/P1Q5/1P1NPPPP/R3KB1R b KQkq -,e8g8:h7h6
6k1/8/p7/P5rp/1p3p2/1P1NbP1b/4R2P/4R2K w - -,d3b4
r2qnrk1/p1pp1ppp/bp2p3/8/2PPP3/P1PB1P1N/4Q1PP/1Rn2RK1 w - -,b1c1
1r1qkb1r/1pp1pp1p/p4np1/3P2B1/4P3/1QP2N2/P4PPP/2KR1R2 w k -,e4e5
rn1qk2r/p1p2ppp/1p6/3p2bQ/3P1N2/P3P3/1P3PPP/R1B2K1R w kq -,f4e6
8/8/5k1p/3K2p1/6P1/b4PNP/8/8 w - -,g3e4
8/p5k1/8/1B3p2/P1R5/5K2/r7/8 w - -,c4c7
r1b1k3/1r5p/2p1pB2/2Pp1p2/1P3P2/3PR2P/4R3/7K b - -,b7b4
2r2rk1/4qpp1/5n1p/1Bn1p3/1P6/4PN2/1BQ2PPP/2R3K1 b - -,c5d7
2r5/1Rrnb1k1/p7/2p1p3/2P1BPPp/7P/P1N3K1/1R6 w - -,e4f5
2k2r2/p2p1p2/2q4p/2bN2p1/1Pp1r3/2Q3P1/P4P1P/R4RK1 w - -,b4c5
r2q1rk1/1p2p1bp/2bp2p1/p1n2P2/2P5/1PN2P2/P2QBBPP/1R3RK1 b - -,f8f5
4r2k/3b2pp/3P1p2/ppPq4/8/P2P1NQ1/2P1rBPP/2R3K1 w - a6,h2h3
