8/2B5/1Pk1K1p1/5p2/1P5P/6P1/8/3b4 b - -,d1e2
r1b1qr1k/ppp1b1pp/2np1n2/4pp2/2P2P2/P1N1P1P1/1P1PN1BP/R1BQ1RK1 w - -,c3d5
rnb1k1nr/pp2pp1p/2p1q2b/4P3/2Pp1B2/3P2N1/PP4PP/RN1QKB1R w KQkq -,g3h5
r4r1k/2qn1ppp/p3p3/4P1N1/1p6/4n1Q1/PPP3PP/4RRK1 w - -,e1e3
3rrbk1/1pq2ppp/p3bn2/4p1P1/P3P3/2N1BB2/1PP4P/R2Q1R1K w - -,d1e2:d1e1
7k/4b3/pr2p1np/2p1P3/2P2PK1/4N3/R7/6B1 w - -,g4f3
r1bq1rk1/pp3ppp/3ppn2/8/2P5/2Q1PN2/PP2BPPP/R4RK1 b - -,d8c7
2rq1rk1/pb1n1ppp/1p1b1n2/2pP4/2P5/2N2NP1/P1Q2PBP/R2RB1K1 b - -,a7a6
r4rk1/pp2pp1p/5np1/2P1Nb2/2B5/4P3/P3KPPP/3R3R w - -,d1d4
r1b1k2r/2q1bppp/p2pp3/6P1/1p2PP2/1n1B4/1PPB1Q1P/1K1NR2R b kq -,b3d2
3rR1k1/5p1p/p1p2b2/1p1p2p1/3P4/PP4P1/5NBP/2Rb2K1 b - -,d8e8
3rb1k1/pq5p/3rp1pQ/1p3p1P/3P4/2P2P2/P3N1P1/2R1R1K1 w - -,e2f4
5rk1/1r3Qb1/1p1P3B/2pR1p2/1p2p3/8/5PPP/4R1K1 b - -,f8f7
r2qk2r/pp2ppb1/2bp1npp/2p5/4PP2/2NP1N1P/PPP3P1/R1B1QRK1 b kq -,d8c7
8/1pnq1pk1/p1p3p1/4b2p/PP2P3/1B4PP/2Q2PK1/4B3 w - -,f2f4
8/8/P7/6pk/8/1R5p/1P2K3/r5q1 w - -,b3h3
r2q1rk1/pp1n2p1/1bp2npp/4p3/4P3/1N2B1PB/PPP2P1P/3RQRK1 b - -,d8c7
2r2b2/8/2p1kp2/p3p3/7r/PR2B3/1PP2P2/2KR4 b - -,f6f5
1r4k1/2q2b1p/2p1npp1/1rb1p3/2N1P1PP/2B2P2/2P1Q1N1/R2R3K b - -,e6d4
4k2r/p3n2p/P3n1p1/1R2b3/8/8/1PP2PPP/3R2K1 w - -,b5e5
r1bq1rk1/1pp2pp1/p1np3p/P3p1b1/2B1P3/2NP3P/1PP2PP1/R1BQR1K1 w - -,c3d5
2r2rk1/6pp/3p4/p2q4/1p1p4/1P1Q1P2/P5PP/1K1RR3 w - -,d3d4
1r3b2/p7/2rpk2p/2pnp1pP/1P2N3/P2RPP2/3BK1P1/2R5 w - -,d2e1
4rbk1/5p1p/R1qpb1p1/4p3/1B2P3/2P4P/1R2QPP1/6K1 b - -,c6c8
r1r3k1/p3qppp/bpp1p3/3pnn2/2PP1P2/1P2P3/PQ2NPBP/2RR2K1 w - -,f4e5
6r1/p7/P3pk2/1pp1p2p/1P2PPpP/2P1P3/4K3/3R4 b - -,f6e7
r2q1r1k/1p4b1/2pnP1pp/p1P1p3/4p3/P7/1PQ1BPPP/2RR2K1 b - -,d8f6
6k1/5bb1/8/1q3p2/1P1ppBp1/6P1/r2nPP2/1R1Q1BK1 w - -,f4d2
r1bqr1k1/p4pbp/3p2p1/1ppP3n/4P1P1/7P/PP2NPB1/R1BQ1RK1 b - -,h5f6
1q6/5pQ1/k3p1b1/2pnN1P1/1p1p2P1/pP1P4/P1PB2K1/8 b - -,b8e8
r2q1rk1/p4ppp/3p2P1/2pP3P/np1b1B2/5P2/PPPQ4/1K1R1B1R w - -,h5h6
8/1B4p1/2P2k1p/1n2p3/4K2P/8/6P1/8 w - -,b7a6
r3k2r/1pqbbppp/p1N1pn2/8/P1B5/5N2/1PP1QPPP/R1BR2K1 b kq -,d7c6
8/pk1qb3/1p2r2B/3p3P/3n2Q1/3P4/P4RP1/5NK1 b - -,d4c6
r2qkbnr/ppp2ppp/2n1p3/3p1b2/3P4/N1P2NP1/PP2PPBP/R1BQK2R w KQkq -,a3c2
8/3b2p1/2pk1p1p/2p2P2/2P1K1PP/1P1P4/2B5/8 w - -,c2d1
1r1qr1k1/p3npp1/1p2p2p/1Pp1P1nP/P1Pp1Q2/3P2P1/3N1PBK/1R2R3 b - -,e8f8
8/kpQ5/p7/P7/7p/KPP1q3/8/8 b - -,h4h3
5rk1/2qnbp1p/B3p1p1/2p1P3/5P2/4BQ2/PrP3PP/1R4K1 w - -,b1b2
5r2/1b2k2p/8/1pn1pn2/1Np5/P1P1KP1P/4N3/RB6 w - -,b1f5
8/2B4p/3p4/1P2b2k/2P1P2P/3p4/8/5K2 b - -,h5g4
8/7k/p5p1/7p/P1N4b/1P1KQ2P/8/5q2 w - -,d3c2
8/4k1p1/r1p5/1p1pPQ2/1P1P4/1q6/8/4KR2 b - -,b3e3
r2qr1k1/1bp2pbp/p2p1np1/Pp1P4/1PBBn3/R1N2N1P/2P2PP1/3Q1RK1 w - -,c4a2
8/pp2N2R/2k5/4p2p/P1P2b2/3P1P2/2P1KP2/r7 b - -,c6c5
2k5/1b6/1B5R/5p2/P2p4/2p5/2P2PpK/4r3 w - -,h6h8
2r2k2/pbr2p2/3qpp1Q/1p6/3P4/2P1R3/P4PPP/1B2R1K1 b - -,f8e7
2r2rk1/pp2bppp/4pn2/3pN3/3PbP2/8/PP1B2PP/R3NRK1 b - -,c8c7
3r4/p2r1nkp/Bp2p1nR/5pP1/1P1P4/4PN2/5P2/2R2K2 w - -,h6h1
r1bq1rk1/pp1p1pbp/4p1pn/8/2BpP3/5Q1P/PPPPNPP1/R1B1K2R w KQ -,d2d3
2br4/r4p1k/3qpn1p/p1N1Rp2/PpBP1Q2/7P/1P3PP1/3R2K1 b - -,a7c7
r2qkb1r/pp3ppp/2n1bn2/2pp4/3P4/2N2NP1/PP2PPBP/R1BQ1RK1 b kq -,f8e7
r4rk1/pbppqppp/1p6/4n3/1bP2B2/1N2P3/PP2BPPP/R2Q1RK1 w - -,a2a3
4Q3/7p/p2k1bp1/6n1/2PB2K1/6P1/2q5/8 w - -,e8b8
r3k2r/pp3ppp/2nqbb2/3pp3/8/1NN3P1/PPPQPPBP/R4RK1 b kq -,a8d8
1r2qr2/pb1p3k/n2P1pp1/1pp2P2/4P1Q1/6P1/P5BP/2R2RK1 w - -,e4e5
r2qr1k1/pp3pp1/1bn4p/8/1P1pB3/P2N2P1/4PP1P/R1BQ1RK1 b - -,e8e4
r1bq1rk1/5ppp/pbpB4/1p6/1P1pN3/P7/2P2PPP/R2QR1K1 b - -,f8e8
8/8/1p3K2/p1kP2Pp/P6n/2NP4/8/8 w - -,g5g6
1n3rk1/1rppq1pp/1p2pn2/p4p2/2PP4/1P1N2P1/PB1QPP1P/R4RK1 b - -,d7d6
7k/1pNr1p1p/p2P4/2p5/P7/2P3KP/8/4R3 b - -,d7d6
r1r4q/1p1bppbk/3p2p1/pNn4p/2P1P2Q/1P2BP2/P1R3PP/3R1B1K b - -,g7f6
r4rk1/1pqnpbbp/2p3p1/p2p1p2/P1NP4/1P1QP1P1/1BPR1PBP/R5K1 w - -,c4a3
r1bqkbnr/pp3ppp/2n1p3/2pP4/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,e6d5
8/2r3pk/8/1p1qnP2/p3p1B1/3n2BK/PP2Q3/6R1 w - -,g3h4
8/1r2kppp/8/8/8/R5P1/5P1P/6K1 b - -,h7h5
6k1/1pr2pp1/p3p2p/3pP2Q/1P1q3P/P4RR1/3r2PK/8 w - -,g3g4
r2q2k1/p4pbp/2P1n3/1p1R1Qp1/1P2p3/6P1/P3PPBP/2R3K1 b - -,d8b6
8/4pk2/4p1p1/p5Pp/2B1P2P/1P3K2/2r2P2/R1n5 w - -,f3f4
8/5p2/6k1/7p/7r/P1P5/1P1r3R/K7 w - -,h2d2
6k1/rr2ppbp/2p1b3/3p2p1/Np1P4/1Pn1P1B1/P3BPPP/2R2RK1 w - -,a4c3
r1bqr1k1/pp1nbppp/2p1pn2/2Pp2B1/3P4/2NBPN2/PP3PPP/R2Q1RK1 b - -,d7f8
r7/pp6/2q5/k4B2/8/1Q2pP1P/6P1/6K1 w - -,b3a2
2q2bk1/1br2p1p/p2p2p1/p3pPP1/P1r1P2Q/2N1R3/1PP3BP/5R1K b - -,c8d8
8/p3k1p1/1p3b2/2p5/P1P2N2/5K1P/8/8 b - -,e7d6
r6r/pp1kp1bp/6pn/8/3Nq3/1QP1B3/PP3PPP/4K1NR w K -,g1f3
8/8/3pB3/2pPp3/1pP1Pn1k/1P6/5K2/8 w - -,f2e3
4rr2/1b3pkp/p3p1p1/2p4P/1p1p1P1q/3P4/PPPQB1P1/4RRK1 b - -,e6e5
2k1rb1r/pppb4/2n1pp1p/3p3q/3P1B2/P1N2N2/1PP1QPPP/3RR1K1 w - -,c3b5
1r6/4kpb1/2ppp3/8/4P1Pr/p1P5/PP1NR1P1/2KR4 w - -,d2f3
4rk2/4bpp1/pR5p/1p6/1P1PrP1P/2P3P1/3B1R2/5K2 b - -,e4e6
r6r/pR3p1p/2pbk1p1/B6q/2QP1n2/4N3/5PPP/R5K1 b - -,f4d5
1kb1R3/1p3n2/pP5p/P7/8/8/6PK/8 w - -,h2g1
8/pK6/1p3p2/1P4kP/P7/8/8/3Bb3 b - -,e1a5
r3kb1r/2qp1ppp/p1b1pn2/4P3/PpN5/3BB3/1PP2PPP/R2Q1RK1 b kq -,f6d5
1r6/4kpb1/p2pp3/1P2p1P1/2P1P3/3Q1NP1/q5K1/1R6 w - -,g2h3
