1R6/5ppk/8/p7/6p1/1p4P1/3B3r/3K4 b - -,a5a4
8/2p2n2/1p4p1/pPpPp1k1/2P1P1P1/1P4K1/5pB1/8 b - -,f7h6
r1qr2k1/1pp1b1pp/1n2bp1n/1P2p3/p3N3/P2PP1P1/1BQN1PBP/1RR3K1 b - -,d8d7
7k/pp2b1p1/7p/P7/1P1B4/2PR1QKP/5P2/4rq2 w - -,g3f4
r4nnr/p3pk2/2p1pb2/qp1p3p/3P3P/2N1BP1B/PPPQ1PR1/1K4R1 b - -,c6c5
r1bqk2r/ppn1ppb1/1n4pp/2ppP3/3P1N1P/2P5/PPBN1PP1/R1BQK2R b KQkq -,c5d4
6r1/8/p3p3/2R1b1p1/P5P1/k2pP2P/3N2P1/6K1 b - -,e5d6
8/2R1k3/5p2/6p1/2p3Pp/2r4P/5PK1/8 b - -,e7d6
r2qk2r/pp1nnpp1/2pb2p1/3Pp3/6P1/3PP2P/PP1N1PB1/R1BQ1RK1 b kq -,e7d5
2rq4/pp3kp1/3bRn2/5P1p/Q6P/8/PPP5/1K1R4 b - -,f6e8
2rrb3/pp2qkbp/2n3p1/3B1p2/N7/1P2Q3/4NPPP/3R1RK1 b - -,f7f8
6k1/1P3pp1/4p2p/5r2/P7/7P/5qP1/RQ4K1 w - -,g1h1
8/7p/3rb1p1/4kp2/1RN5/1p4P1/1P2P2P/4K3 b - -,e6c4
4n3/1q3k1p/3p2pB/4p3/4P1Q1/5P2/r5PP/6RK w - -,g4h3
r2qr1k1/pp1n1ppp/2p3n1/3p3N/3P4/P2QPNb1/1P3PPP/R4RK1 w - -,h2g3
4r3/3r1pk1/b1p2npp/p7/PqPPp1P1/1BR1Q1NP/5P2/1R4K1 b - -,b4d6
8/4kpp1/7p/p3p3/1pq5/3B1PP1/4K2P/3Q4 b - -,c4a2
8/5pB1/8/pR6/P2K4/kP4r1/8/8 w - -,g7f8
r3kbnr/pppqpppp/2n5/3p4/2PP4/5bP1/PP2PPBP/RNBQK2R w KQkq -,g2f3
5B2/p2q2p1/1p2pnkp/4Qp2/P5PP/5P2/6K1/8 b - -,f5g4
r1b1kb1r/1pp2ppp/p1n2q2/2p1p3/4P3/2NPB3/PPPN1PPP/R2Q1RK1 b kq -,c8e6
rn1qk2r/1b2bppp/pp1ppn2/8/2P1PP2/1NNB4/PP2Q1PP/R1B2RK1 b kq f3,b8d7
r1bqk2r/pp2bppp/2np1n2/4p3/4P3/1NN1B3/PPP1BPPP/R2QK2R b KQkq -,e8g8
3R2k1/6p1/5p1p/3P3P/p3P1P1/r7/5K2/8 b - -,g8f7
r1r3k1/p2R1pp1/7p/4N1bP/2p2n2/2B2P2/PPK3P1/7R b - -,c8d8
1q6/3rbpkp/pBR3p1/1p1rp3/4Q3/4P1P1/PP3P1P/2R3K1 w - -,b6c7
3q2k1/4bp2/6p1/3BB2p/2p1P2P/1n2Q3/1P3PP1/6K1 b - -,e7f6
8/4kpp1/8/5P2/rp4P1/bR3K2/8/1N6 w - -,b1d2
r3r1k1/1p1nnp1p/1qp1p1p1/p7/4p2P/1P1P1NP1/PRPQ1PB1/5RK1 w - -,d3e4
r3r3/pp1k4/2pP4/6pp/7P/P5B1/1P3PP1/R3R1K1 b - h3,g5h4
7k/3r1p2/p1r1p2P/1p1pP1P1/1P3P2/3BP3/R2K4/8 w - -,a2a1
r1r5/p3kppp/1pb2n2/1N6/P1B5/4PP2/6PP/2RR2K1 w - -,e3e4
2kr1b1r/pppqnppp/2n5/4P3/2Pp4/1N1Q1NP1/PP2PPKP/R1B2R2 b - -,e7g6
r1bqrnk1/1p3ppn/p6p/2pp4/3P2PP/P1bBPPB1/1PQ1NK2/R6R w - -,c2c3
8/R4ppk/4p2p/8/1r1P4/3qP3/1r3PPP/2R1Q1K1 b - -,b2b1
8/p2k4/1p2pn2/1P1p3p/PB1P4/4PP2/4K3/8 b - -,f6g8
2kr3r/1pp1b1pp/1n2q3/5p2/3Np3/P2P2PP/2P2PBK/R1BQ1R2 b - -,d8d4
2kr1n2/pp1qb1p1/3p2pr/2pPp3/6RP/2N1P3/PPP1QB2/2K3R1 w - -,a2a4
rn1qkb1r/pb1p1ppp/1p2pn2/2p1P3/2P5/1PN2N2/P2P1PPP/R1BQKB1R b KQkq -,f6e4
6k1/5p2/r2p1npb/4p2p/1p2PP2/q3N1P1/2P1Q2P/1K1R1R2 w - -,c2c4
2r1r1k1/6bp/R3b1p1/3nPpN1/8/1P5P/6PK/2B1R3 b - -,d5c7
8/3k1p1p/1b2pPpP/pn1pP3/3P2P1/1P1K4/2NB4/8 b - -,d7e8
rn3r1k/pbp2p2/1p3b1p/3P4/5P1q/P1N3RB/1PQ1N3/1K4R1 w - -,h3f5
r4r1k/1p2n1p1/p7/4p1q1/1P2Q1b1/1BP1P1N1/P5PP/3R1RK1 w - -,d1e1
4kn2/4b3/4p1p1/p2pP3/P2P1P2/2R5/R5K1/4r3 b - -,e1d1
r3qrk1/6bp/6p1/p2p4/b2Pp3/4P1P1/P1NR2BP/1R1Q2K1 b - -,a8b8
r2qr1k1/pp3pp1/n3b2p/3p4/1b6/3QBNP1/PP2PPBP/R2R2K1 b - -,d8d7
6k1/4r1pp/5p2/2q5/1n1p1P2/3PN3/3Q3P/R5K1 w - -,e3c4
2r5/1b2bpk1/3p2p1/pp2p3/2r1P2P/P1P2BP1/1P1R1K2/2N1R3 b - -,b5b4
r1bqkb1r/2pn1ppp/p3pn2/1p6/3P4/3Q1NP1/PP1NPP1P/R1B1KB1R b KQkq -,c8b7
2b4r/R7/p1pk4/3p2p1/4p2p/2P5/P1P2PPP/1R4K1 w - -,a7a8
6k1/pr3r1p/5pn1/3pp3/6bP/3P1NN1/P3QPP1/2B3K1 w - -,h4h5
2r2rk1/6pp/3pp3/4q2N/1pPnP1Q1/1P1R3P/6P1/2R3K1 b - -,f8f7
3q1rk1/4bppp/2b1p3/1p2B3/3P4/1BPQ4/5PPP/r4RK1 w - -,f1a1
r2qkb1r/2p1n1pp/p4p2/np1pp3/4P1b1/2PP1N2/PPBN1PPP/R1BQK2R b KQkq -,c7c5
r1q2knr/pp2ppb1/2np2pp/2p5/2P1NP2/1PN1P1Pb/PB1P2BP/R2Q1RK1 b - -,h3g2
r3k2r/pp1qb1pp/4pn2/5p2/8/P1N2Q2/1P1B1PPP/3RR1K1 b - -,e8f7
r1b1kb1r/1p1n1ppp/pqn1p3/2ppP3/N2P1P2/P3BN2/1PP3PP/R2QKB1R b KQkq -,b6a5
2rr2k1/pp3pb1/4p2p/4P1p1/1P4B1/P2q1N1P/2b1QPP1/R3R1K1 w - -,a1c1
8/1p3pk1/r2pP1p1/6Pp/2P2n1P/1PN5/2K2R2/8 b - -,f4e6
r1bqkb1r/pp2np1p/2n1p1p1/2pp4/4PP2/2NP1NP1/PPP1Q2P/R1B1KB1R b KQkq -,f8g7
3r2k1/1bq1bp1p/p1p1p1p1/1pNr3P/3P2Q1/4P3/PP3PP1/1BRR2K1 w - -,h5g6
6k1/5pbp/3p2p1/1N6/n3r3/4B3/5PPP/4R1K1 w - -,b5d6
5r2/p3qpk1/5Nnp/4PRn1/1r2B3/2p5/P1P2Q2/5R1K w - -,f6h5
5k2/1p3pp1/P2P4/1Br5/8/P7/7P/6K1 w - -,d6d7
4rr1k/ppR4p/6p1/5b2/2BR1p2/2P5/P4PPP/6K1 b - -,e8e1
4rrk1/6pp/p1pq4/3pRp2/P2P4/1pP2Q1P/1P3PP1/4R1K1 b - -,e8e5
r1bqk1nr/p4pbp/1pp3p1/2p1p3/4P3/2NP1N1P/PPP2PP1/R1BQK2R w KQkq e6,c1e3:e1g1
5r2/6k1/1r3pp1/1P2p2p/2pnP2P/q1N1Q1PK/2P2R2/5R2 w - -,h3h2
r1qr2k1/4bpp1/p4n1p/2npNQ2/P4B2/1pN1P3/5PPP/1R1R2K1 w - -,f5c8
8/r7/5k1p/p1R4p/P4PP1/6K1/8/8 w - -,c5h5
8/5ppk/4b2p/p7/4P3/2p1N1PP/PP3K2/8 w - -,b2b3
r1bqkb1r/2pn1ppp/p1Q1pn2/1p6/3P4/5NP1/PP2PPBP/RNB1K2R b KQkq -,a8a7:a8b8
1r4k1/7p/p2p2p1/q2Pp3/npPpP3/3B1P2/P1Q4P/KR6 w - -,c2b3
r4rk1/1pq1bppp/p1n1pn2/2p5/2PP2b1/1Q1BPN2/PB1N1PPP/R4RK1 w - -,f3e5
8/5p2/1p1k4/p5p1/P1n1BbPP/1N3K2/1P6/8 w - -,h4g5
6k1/3b1p2/2pnq1p1/pp5p/3Q1P2/P1P3PP/5BB1/6K1 w - -,d4a7
3qkr2/1p2bpQp/3pb1p1/1p1N4/8/4P3/PPN3PP/5RK1 w - -,c2b4
r2qk2r/3b1pbp/p1np4/3Np2Q/2B1p3/N1P5/PP3PPP/R3K2R b KQkq -,e8g8
4r3/p4k2/3b1n2/P1pP1p2/1pP2p1P/1P2pP1P/3N4/4RKB1 w - -,d2b1
r1b3k1/6pp/p4n2/qp1p4/3p1P2/7B/PN1N3P/1R1Q2K1 w - -,h3g2
3r4/P4ppk/4p2p/3nP3/2QB4/6P1/3q1P1P/2R3K1 w - -,c4c2
2r1r1k1/6bp/p4p2/1bNp1pq1/3P4/2Q2NPR/PP5P/4R1K1 b - -,g5g4
r3k2r/pbppqpp1/1p3nn1/2bPp1Np/4P2P/2PB1QP1/PP3P2/RNB1K2R w KQkq -,b1d2
3rr1k1/5p1p/p1p2b2/1p1p2p1/3P2b1/PPR1q1P1/4NNBP/2RQ2K1 b - -,g4e2
4rrk1/5q2/p3pP1Q/2p2p2/2Pp4/8/PP4PP/1R2R1K1 b - -,f7f6
2bqr1k1/1p1n1pbp/1npp2p1/6P1/2PPN2P/1P4N1/5PB1/B2Q1RK1 b - -,d6d5
