4r3/pp6/4k2p/6p1/8/8/PPB3PP/7K w - -,h1g1
5r2/6kp/1p1p4/p1p2p2/2P1rR2/1P4P1/P5KP/5R2 w - -,f4e4
1r3r1k/3n1pp1/p2Pp2p/8/2N5/2b3B1/PP5P/1K1R1R2 w - -,d1c1
r3r3/p3p2p/1p2k1pP/n3b3/3P4/B1P5/P4PP1/R3R1K1 w - -,e1e5
5b2/2k4p/3pp1p1/P7/1PK1p3/2N2P2/6PP/8 w - -,f3e4
8/3n1p1k/8/5N1p/4p3/3rB1PP/5PK1/8 w - -,g3g4
rnb2rk1/2q1bppp/p2ppn2/1p6/3NP3/PBN2Q2/1PP2PPP/R1B2RK1 w - -,f3g3
2Q5/8/8/p1K2p1p/6k1/1P4P1/8/4q3 w - -,c8g8
4r1k1/1p2qpp1/2p2nb1/2p1n3/r1P1PN2/P4PP1/1B2Q1B1/2R2R1K b - -,g6h7
5r2/5p1k/6pp/2p5/2QbP1P1/5PqP/6B1/3R3K b - -,h7g8
r2q1rk1/pp2bppp/2n1bn2/2pp2B1/3P4/2N2NP1/PP2PPBP/R2Q1RK1 w - -,d4c5:a1c1
r1b3k1/pp3r1p/4p1p1/3pn1B1/q2P4/P7/2PQBPPP/R3R1K1 b - -,e5c4
5k1r/pp2qpp1/3bb3/2r3P1/4QP2/2BBP2p/PP5R/R3K3 b Q -,h8h4
r2qk2r/bpp2ppp/p1n1b3/4p3/4P1n1/2P2N2/PPB1QPPP/R1B1KN1R w KQkq -,f1e3
3q1rk1/4ppbp/p5p1/np6/3PP3/4BP2/P1R1BP1P/3Q2K1 b - -,d8d7
r1b1qrk1/ppp2pb1/n2p1npp/4P3/2P1P2B/2N2N1P/PP2BPP1/R2Q1RK1 b - -,d6e5
b3rbk1/6pp/q1pp1n2/3Pp3/1PP1B3/5N1P/3B1PP1/1QR3K1 b - -,c6d5
6k1/1p5p/2b3p1/p3p3/2P2r2/1P4Q1/P4qPK/3R1B2 w - -,g3f2
rn1qkbnr/1b1p1ppp/pp2p3/2p5/P3P3/2N3P1/1PPPNPBP/R1BQK2R b KQkq -,g8f6
r2qrbk1/1b1n1p1p/pp1pp1p1/4P2n/2PN1P2/2N5/PP1BQ1PP/1B2RR1K w - -,d4f3
r3r1k1/pb1nqpb1/6p1/1p1p2P1/2pP4/4P3/PPBQNP1N/2KR3R w - -,h2g4
rn1q1rk1/4ppbp/p2p2p1/1pn5/2P1P3/2N2N1P/PP1Q1PP1/R1B1R1K1 w - b6,d2e2
r4rk1/2pbq1pp/5p2/1pp1pP2/4P2P/P2PB3/1PP3Q1/R3KR2 b Q -,b5b4
r1b1r1k1/pp3ppp/3Bq3/8/4PP2/3p4/P5PP/2RQ1RK1 w - -,d1d3
r7/1p2qnk1/2p1r1p1/p2p1p1p/3P3R/3BP1P1/PP3PP1/2RQ1K2 w - -,c1c3
r1b2bk1/1p3r1p/1q1p1nn1/3Pp3/P1N1Ppp1/B1N2P2/4B1PP/R4RK1 w - -,c4b6
1r3rk1/1pqbbppp/p1nppn2/8/2PNPP2/1PN1BB2/P5PP/2RQ1RK1 b - -,c6d4
2kr4/2pRnbpp/pp3p2/8/2p1P3/4KPBP/PPP1N1P1/R7 b - -,d8d7
2k1br1r/1p4b1/4p1Pp/1q1NP2R/1ppP2Q1/P3P1P1/2B5/R3K3 w Q -,g4e6
2kr2r1/pp2qp2/2p1p3/1P3p2/P2P1B1p/1BP1QKP1/7P/R7 w - -,e3e5
6k1/3bB1b1/p2p2p1/Pp1Pp2n/1Pp1P1N1/2P2r1q/3Q3N/2K3R1 w - -,h2f3
6k1/p6p/1p4p1/8/1N2b1K1/4p3/PP5P/8 w - -,g4g3
3r2k1/p1br2pp/1p2bp2/4p3/1P6/P1B1PB2/3R1PPP/3R2K1 b - -,g8f8
r2r4/1p6/4kR2/P1Pp4/7p/2BKN1b1/P7/8 b - -,e6d7
r1r3k1/1b1n1pp1/4pn1p/2P5/qp1PP3/p2B1N2/3Q1PPP/R1B1R1K1 w - -,d3c2
r1b1k2r/pp3pp1/2p4p/q2pP3/6n1/2NBP3/PPQ2PPP/R4RK1 w kq -,d3f5
8/4pk2/3p3p/1RpP1Pp1/n1P1P1P1/6K1/1r6/1N6 b - -,b2c2
r1bq1rk1/pppnnpbp/3pp1p1/8/3PPP2/N1PB1N2/PP4PP/R1BQ1RK1 b - -,a7a6
3q1r2/r6k/1p1p3b/p1pPpp1p/2P5/2R2B1P/PP3PP1/3Q1RK1 w - -,f3h5
r4k1r/1p3p2/1q6/pN1R1p2/2P5/P7/1P3P2/1RB3K1 b - -,b6g6
8/7p/1n1p1kP1/2pP4/2P3KP/3B4/8/8 b - -,h7g6
rkbb4/p5p1/P2qN3/2pPp2p/3pB3/3Q3P/5PP1/R5K1 w - -,e6d8
r1b1r1k1/pp3pbp/3p2p1/2pPn3/P3P3/2N3Pq/1P1NBK2/R1BQR3 w - -,e1h1
8/5pp1/8/p2p1P2/P2b2P1/k3n2P/2r5/1Q1B3K b - -,c2c3
2r1r1k1/pb2qppp/1p2pn2/3p4/2PR4/1PB1P1P1/P4PBP/2R1Q1K1 b - -,e8d8
1rn2r2/p4q2/1p2bRpk/PPp1p2p/2P1P2P/1Q1P2P1/4N1B1/5RK1 b - -,f7f6
5r2/p2bppkp/3p2p1/q1r5/Pp2P3/1B3P2/1PPQ2PP/R4R1K b - -,f8c8
1r1r1qk1/pppb1pbp/2n3p1/1RP1P3/2BN1BP1/2P4P/P4P2/3QR1K1 w - -,b5b1
r3kb1r/pb2q1pp/1pn1Q3/2pN4/8/3P1N2/PPP3PP/R1B1KB1R b KQkq -,e7e6
r1bq1rk1/1p2bppp/p3p3/3p4/1n1P1B2/P1n1PN1P/1P2BPP1/R2Q1RK1 w - -,b2c3
6k1/2p4p/1p1p3P/p2P1N2/2P2P2/n2K4/8/8 b - -,b6b5
3r1rk1/1p4bp/3Qp1p1/p1n4n/2P5/1PN2N2/P4PPP/3RR1K1 b - -,d8d6
8/2k1p1bp/P4pp1/1n1P4/6r1/2B2N2/1P3P1P/R4K2 b - -,c7b8
r3k3/1p3pp1/2pbp1b1/3nN1Br/p2P3P/P7/BPPq4/2KR1R2 w q -,d1d2
r1b1qrk1/ppb3pp/2p1pn2/3nNp2/P2P4/1Q3NP1/1P2PPBP/R1B2RK1 b - a3,g8h8
3r3r/1pk1ppbp/p5p1/2P5/P1bN1P2/2P5/2P3PP/R1BR2K1 w - -,c1e3
2n3n1/3b2k1/1p1p2p1/p1pPpqBp/P1P4P/2Pr2P1/R2QN3/2K1R3 w - -,d2c2
r2q1rk1/1p2ppbp/2np2p1/1N6/2PnPP2/3P2PP/6K1/1RBQ1RN1 b - -,a8a2
r1b2rk1/1pp1qppp/p1p5/2n1P3/3Q4/5N2/PPP2PPP/RN3RK1 w - -,b1c3
r1bqr1k1/3n1p1p/pp1p1bp1/2pP3n/P3P3/2NBB2P/1P1N1PP1/R2Q1RK1 w - -,d3e2
r1b2rk1/ppqn1ppp/2pb1n2/4p3/2BP4/4PN1P/PP2QPP1/RNBR2K1 w - -,b1c3
5rk1/1p4p1/2q5/2p1p1p1/p1PpN3/PP3rP1/1R3P2/3QR1K1 w - -,e4g5
3rkb1r/B1p1nppp/8/n7/8/P4B2/1P3PPP/RN2K2R b KQk -,a5b3
5k1r/2p2b2/p4P2/2p1P1N1/2p5/1P2K2p/P7/6R1 w - -,e5e6
r4rk1/2q1bpp1/p3pnp1/3p4/1P6/1NP1B3/P4PPP/R2QR1K1 w - -,b3c5
8/4rp2/2Q1k3/5Np1/4P1P1/q7/5P2/6K1 b - -,e6e5
r1b5/1pp1rpk1/3b1qp1/p2Rp1Np/4P3/1BP1Q2P/PP3PP1/3R2K1 w - -,h3h4
3r1r2/4b1kp/2n1p3/1pp2pp1/p5P1/P2PPN1P/1PP3K1/2NR1R2 b - -,g7g6
2r1r1k1/pbq2pbp/1pn3p1/1B1pp3/3P3Q/BPP2N1P/P4PP1/R3R1K1 b - -,e5e4
r3r1k1/1b1n1pb1/1q3npp/1p1pp3/p2PP2B/P1P2N1P/Q1BN1PP1/2R1R1K1 w - -,e4d5
r2qr1k1/pp1n1ppp/2p1b3/4p3/1bP1P2N/1P3PP1/PB2R1BP/R2Q3K b - -,d8c7
8/8/1p1k3N/1P1b2p1/3p4/r1p3P1/2PR1P2/4K3 w - -,d2d4
r1bqk1nr/p4ppp/4p3/2bpP3/8/2NB4/PP3PPP/R1BQK2R b KQkq -,g8e7
1kr2b1r/ppp1n1pp/2q2p2/1N1p4/2PP1B2/5PP1/P4PKP/1R1Q1R2 w - -,f1e1
r1qb1rk1/pb1p1ppp/1pn1n3/2pNP3/8/P4NP1/1PQ2PBP/R1BR2K1 w - -,c2e4
8/8/3p4/4k1pp/1p6/1P2K1PP/P7/8 w - -,e3d3
6k1/3R1p1p/3N2p1/8/5r2/1n4PP/1b3P2/4R1K1 b - -,f4f6
r2qk2r/1b1p1pbp/pp2N1p1/3n4/2P1P3/P7/1PQ1BPPP/R1B1K2R b KQkq -,d7e6
2rq1r1k/1b3p1p/pp1n1b2/3p2p1/3NP3/P1N1P3/1PQ1R1PP/1BR1B1K1 b - -,d5e4
7k/7p/8/6p1/2B5/1p3P1P/1P1K2P1/r3N3 b - -,a1b1
