8/2r3kp/q4pp1/3Q4/p1PR4/7P/6P1/7K w - -,d5b5
r1b2rk1/ppq1ppbp/1np3p1/4P3/5P2/1PN1BN1P/1PP1Q1P1/R3K2R w KQ -,e2f2
3r3r/R2Bkp2/4pRp1/p1p1P2p/P4K1P/2P2P2/6P1/8 b - -,d8d7
8/p2p1k1p/6p1/2r5/4R2P/P5P1/5P2/6K1 b - -,c5a5
r2q2k1/p3rp1p/1p2b1p1/2Q5/P4R2/1P1PN3/2P3PP/5RK1 w - -,c5g5
r2qr1k1/1ppbbppp/p1Np4/3n4/4P3/7P/PPP2PP1/R1BQRBK1 b - -,d7c6
5rk1/2q2ppp/p2p1n2/1p1Pp2P/2r3P1/PN2QP2/1PP5/2KR3R w - -,h1h2
r3k1r1/1p1nqp2/2p1p3/p1PpPp2/P4P1p/2Q4P/1PP2BPK/RR6 b - -,f7f6
8/8/8/pr1k2p1/4p1P1/1PR4P/4K3/8 b - -,d5d6
3q1rk1/pp1b1p1p/3Ppp2/8/2r5/P4N2/1P3PPP/R2QR1K1 w - -,d1b3:a1c1
r2qr1k1/pp3ppp/2pb4/3n1P2/1P1PN3/P2Q2N1/6PP/1R3RK1 w - -,f5f6
8/r5k1/1p1p1rp1/1PnBpp1p/4P2P/PpR1KPP1/1P1R4/8 w - -,d5b3
4r1k1/1p1r4/3p3p/1PpP2p1/2P1NqP1/2Q2P2/6KP/R7 w - -,e4f6
8/5Q2/1Pkqp3/2p5/2P5/5nP1/5PK1/8 w - -,f7c7
8/1b2kppp/p3p3/n1p5/4PP2/1P2K1P1/P2N2BP/8 w - -,e3d3
3Q4/5pkp/b3p1p1/p2pP3/3NnP2/7P/1qP3P1/3R2K1 w - -,d8a5
r4rk1/pp3pbp/n4np1/q1pR2B1/2Q1P3/5N2/PP2BPPP/4K2R w K -,d5d2
1r1qr1kb/4pp1p/2n3pB/1p1p1b2/1P1Pn3/1RN2NPP/4PPB1/2Q2RK1 w - -,c3e4
8/4r3/R3pk1p/6p1/4RpPP/4nP2/4K3/8 b - -,e3g2
r1bqrnk1/pp2bpp1/2p2n1p/3p2B1/3P4/2NBP1N1/PPQ2PPP/R4RK1 w - -,g5f6
r1bq1rk1/1pp2p2/p1np1npp/4p3/4P2N/2NPP1P1/PPP3BP/R2Q1RK1 w - -,d1d2
k1r5/p2n1pp1/q1pBp2p/Pr2P2P/2Q2P2/R7/1P4P1/1KR5 w - -,c4c3
1r1qr1k1/1pp2p1p/3p2p1/p2P4/P1P1Q3/1Pb2BP1/R4P1P/5RK1 w - -,e4f4
r1b1k2r/q3bppp/p1p1p3/1p2Pn2/2P2P2/1N1B1Q2/PP4PP/R1B1R2K b kq -,c8d7
q2r1k2/r5p1/np3pQB/p1pb4/2p5/P7/1P3PPP/1B1RR1K1 w - -,b1e4
r6r/p2kn1pq/np2p3/3pP3/b1pP2B1/P1P5/2P2R1P/1RBQN1K1 w - -,g4e6
2r2rk1/np3pp1/1q2b3/pP1pPpPp/Pb1P4/2N2N2/1B1Q1P1P/R1R3K1 w - -,d2d3
8/2r1qpkp/1Qp3p1/1pNp1b2/3P4/R3PPP1/6KP/8 w - -,g3g4
1r4k1/5p1p/6p1/3R1p2/5P2/p7/P4KPP/8 w - -,f2e3
rn2k2r/ppq1bppp/2p1pn2/5b2/2BP4/2N2N2/PPPB1PPP/R2QR1K1 w kq -,f3e5
8/3k1Nn1/4p2p/4Ppp1/1B3PP1/6KP/8/2b5 w - -,f4g5
r1r3k1/pp4pp/1npb2b1/3p1p2/1P1Pp2B/1BP1P3/1P1N1PPP/R3R1K1 b - -,g6f7
r1b1r1k1/1pq2ppp/2pbnn2/p7/P1BNP3/4BP1P/1PQ1N1P1/R2R2K1 b - -,e6d4
6r1/p2kpr2/1p1p4/3R1p1p/PbP2P2/1P3KP1/4RB1P/8 b - -,g8g6
8/2r2pkp/6p1/2nQ4/2B2P1q/P3P3/5R1P/4K3 w - -,d5e5
r2q1rk1/pp1bbppp/2nppn2/8/N2P4/P2BPN2/1P1B1PPP/R2Q1RK1 w - -,a4c3
4r3/p1k1b3/1pp4p/4PK2/P1B5/8/1PP5/4R3 b - -,e7g5
rn1q1rk1/pb3ppp/1p2p3/2b5/4P3/P1B2N2/1PQ2PPP/3RKB1R b K -,d8c7
6k1/1p3p2/1R4p1/2p1r2p/p1P5/1P5P/P4PPK/8 b - -,e5e2
3r4/3k4/1R1P1p1p/7p/3N1p2/8/7K/8 w - -,h2h3
r1q4r/1b2kp2/p3pNpp/2p1Bn2/1pPp3P/1P1P2P1/P3QPB1/R3R1K1 w - -,g2b7
2r5/1p2k1pp/1b2p3/p7/P1P1p3/1PN4P/5PP1/R5K1 w - -,c3e4
3r1qk1/p2r1pbp/1pbppnp1/8/1PP1P3/P1N1BP2/3Q2PP/3RRBK1 w - -,e3d4
8/ppn2k1n/3p2p1/2pP1p1p/2P2P1P/P1P5/2B3P1/4N1K1 b - -,f7e7
2r5/8/1P2p3/1Kn1p3/2P1P3/6pB/5k2/R7 b - -,c5e4
r2q1rk1/1b2bppp/p2p1n2/2p5/2B5/1Pn1PN2/PB2QPPP/R4RK1 w - -,b2c3
r1bq1rk1/ppp1p2p/5p1b/3pP1NP/3P1P2/3PQ3/PP2N1P1/R3K2R b KQ -,f6g5
6k1/2bq2pp/1pp1p3/p3P3/P4B2/3Q3P/1PP2PP1/6K1 b - -,d7d3
8/1pR5/5k2/1P6/P2r2p1/6P1/7P/6K1 w - -,a4a5
r1bqkb1r/pppp1ppp/5n2/8/3QP3/2N5/PPP2PPP/R1B1KB1R b KQkq e3,b7b6
r4rk1/pppqnpb1/2npb1pp/4p3/4P3/3P1NPP/PPP2PBK/R1BQRN2 b - -,f7f5
5rk1/3P3p/p7/4q3/1P2p2p/1P4PP/2Q4K/6R1 b - -,e4e3
8/4k3/PR2p3/5p2/3p1P2/r7/3K4/8 w - -,d2e2
r5kr/1p4p1/p1pB1n1p/4q3/4P1b1/1PN5/1PPQ2PP/R4RK1 b - -,e5e6
6k1/p5p1/1p6/4rPP1/3N4/2Pq4/1P1Q4/2K5 b - -,d3e4
r2r2k1/1q3pbp/4pnp1/RpBp4/1P1P4/1P3BPP/5P2/3QR1K1 b - -,f6d7
8/4Npbk/3p2pp/3P4/4PP2/r1n3PP/6K1/4R3 b - -,a3a2
5k2/p2Rb3/4pNK1/4Prp1/8/5P2/P7/8 w - -,d7a7
b1r1kb1r/3n1p1p/p2pp1p1/N5P1/p3PP2/2NPB3/1P5P/1K1R3R w k -,c3a4
rnbqkb1r/3p1ppp/pP3n2/2pp4/8/2N5/PP2PPPP/R1BQKBNR w KQkq -,c3d5
2b3rk/pp2r1pp/2pR4/5Pb1/P3P3/2B2P1P/1PP1N3/4RK2 b - -,g8e8
r2q1rk1/pp3ppp/2np1n2/4p3/1bB1P1b1/2NQ1N2/PPP2PPP/R1B2RK1 w - -,c1g5
rnbqk2r/pp1pppbp/5np1/2p5/3P4/4PN2/PPP1BPPP/RNBQK2R w KQkq c6,e1g1:b2b3
r1b1r1k1/1p1nqppp/3b4/1P1p4/N2Pn3/1Q3N2/PBR1BPPP/5RK1 b - -,e7e6
r4rkn/1pp4p/1p1pq3/4p1p1/1PP1PB2/8/P1Q2PPP/RN3RK1 b - -,f8f4
r2qk2r/pb2bppp/1pnPp3/2p5/2P5/1PB2N2/P2PBPPP/R2Q1RK1 b kq -,d8d6
1r4k1/p4ppp/b7/2rp4/8/1P2P3/P3N1PP/3RK2R w - -,e2d4
r5k1/pp3r1p/1qn1Qbp1/3p1n2/3P4/2BB1N1P/PP3PP1/3R1RK1 b - -,f5d4
8/2R5/3K2p1/1k3b2/8/8/8/8 b - -,f5e4
rn2k2r/pp1qbppp/3ppn2/8/3pP3/2P2N2/PP3PPP/RNBQR1K1 w kq -,c3d4
r2q1rk1/pp2bp1p/1n2p1P1/2n5/2P2PP1/3BpN2/PPQ3K1/1R5R w - -,g6f7
6k1/1p4pp/p7/8/2P1p3/P1N3Pb/1r3R1P/6K1 b - -,b2b3
r4rk1/1b3ppp/pq1ppn2/P7/1p1PPP2/3BQ2P/NP4P1/R3K2R b KQ -,b6a5
5rk1/2B4p/2p3bb/3p4/1rP5/1p5P/P2N1PP1/2RR2K1 w - -,a2b3
7r/1pk1bppp/8/1P1b4/P2P4/R7/5PPP/3R2K1 w - -,a3g3
8/4k3/2P2p1p/3K1P1P/6P1/6b1/2Bp4/8 b - -,g3f4
r3r1k1/5pp1/2p2n2/p1n1R3/2N1P1p1/2P3P1/P4PB1/3R2K1 b - -,c5e4
r2qnrk1/pppnbp1p/3p2p1/3Pp3/2P1P3/2N1BBPP/PP3P2/R2Q1RK1 w - -,e3h6
8/pp4pk/2p1p2p/4K3/2P2P2/7R/PP1r1P2/8 w - -,h3b3
