8/5R2/3P2pk/8/1p5P/8/5PK1/3r4 w - -,f7b7
1r1r2k1/2Qn1pp1/1p3n2/3p1q1p/P2Pp3/4P2P/3B1PP1/1RR2BK1 w - -,d2b4
r4r1k/1bqn1pbp/pp3np1/2pPpPB1/P1B1N3/1QN4P/1P4P1/R4RK1 b - -,a8b8
r1bqk2r/1ppp1ppp/p1n2n2/2b1p3/2B1P3/P1NP1N2/1PP2PPP/R1BQK2R b KQkq -,h7h6:d7d6
r2q2k1/1b3r1p/1pnppnp1/4P3/1PP2P2/4QN1P/3RB1P1/3R2K1 w - -,d2d6
8/1p4p1/2b1q1k1/8/p2Qr3/6R1/PP3RP1/6K1 b - -,g6h5
r1b1k2r/p1pp1ppp/2p2n2/2b5/4P3/8/PPP2PPP/RNB1KB1R w KQkq -,f1d3
8/8/1p6/r5p1/PR2pk2/8/4K3/8 w - -,e2f2
Q5k1/2pq1pn1/6p1/1P2P3/1BPp2P1/6P1/6P1/6K1 b - -,g8h7
r1bq1rk1/1p2bppp/p1nppn2/P7/4P3/1NN5/1PP1BPPP/R1BQ1RK1 b - -,b7b5
r5k1/1p1B1p1p/3r2p1/p7/3P1P2/7P/6P1/1R1R2K1 w - -,d7a4
r1bqk1nr/ppp2pbp/2n3p1/3pp3/8/3P1NP1/PPPNPPBP/R1BQ1RK1 b kq -,g8e7
1r1q1r2/p3npkp/2n1b1p1/2pp4/4PR2/2PP2P1/P2Q1NBP/R1N3K1 b - -,d5d4
rnbqkb1r/pp1ppp1p/3n2p1/2pP4/8/5P2/PPP1P1PP/RNBQKBNR w KQkq -,e2e4
r2q1rk1/2p1bppp/pn2p3/1p2N3/1n1P4/1QN1P1P1/PP1B1PbP/R1R3K1 w - -,g1g2
r1b2rk1/p3ppbp/1p4pB/2pqP3/3pN2P/3P4/PPPQ1PP1/R3R1K1 w - -,h6g7
r4rk1/5p2/Pq1p2pb/4p2p/1n4PP/1N1B1P2/PP2Q3/1K1R3R b - g3,h5g4
6k1/1p4p1/pr1rb2p/4R3/8/4NPP1/5K1P/4R3 w - -,e1e2
rq3rk1/3bppbp/1n1p1np1/2P3B1/4P3/2NB1P1N/PP1Q2PP/1K1R3R b - -,d6c5
2r2rk1/pbq2pbp/1p2p1p1/5n2/3P4/1BP1BN2/P3QPPP/2RR2K1 w - -,c3c4
3rkb1r/1p3p2/p1bppn1p/6p1/2NRP2B/5P2/PPP3PP/2K2B1R w k g6,h4g3
8/1bq1nk1p/1p1Rp1p1/r3PpBP/p7/P1PB4/1P2Q1P1/7K w - -,d3b5
4bk2/1q4pp/2p2p1b/4pP1N/2P1B3/3P1Q1P/1r4PK/5R2 w - -,h3h4
rn3rk1/pp3pp1/3b1p1p/3P4/P5b1/2N2N1P/1P2BPP1/R4RK1 b - -,g4f3
3r2k1/p3n1r1/1p1p4/6P1/P1qB3R/7P/1P6/3Q2K1 w - -,d1h5
r1bqr1k1/pp1n1ppp/2p2n2/3pp3/2P5/2QPP1P1/PP2NPBP/R1B2RK1 b - -,d7f8
3rr1k1/pp2q2p/1nbb1pp1/4p3/7N/1PP3PB/P1Q2P1P/R2RB1K1 b - -,e5e4
1br4k/6p1/7p/1pPq4/1P2pp2/8/4Q1PP/2R2NK1 w - -,e2b5
8/1RP5/7p/k4P2/7P/PK6/1N6/1rr5 b - -,a5a6
r2q1rk1/1p3pp1/1np1pn1p/p3Nb2/Pb1P4/2N1P1P1/1P3PBP/R1BQ1RK1 w - -,d1e2
4kb1r/1p1b4/p4p2/R1p1B3/4P1qp/1PQ5/2P2PP1/5NK1 b k -,h8g8
r2r2k1/1pp1qp1p/1n4p1/p7/2b1PP2/2P3P1/P4QBP/R1BR2K1 w - -,c1e3
4r2k/6pp/2pqrn2/R1Q2p2/2P1p2P/3P2P1/2P2PB1/R5K1 b - -,d6b8
rnbqr1k1/pp3pp1/2pp1n1p/4p3/1bP1P2B/2NP1N2/PP2BPPP/R2Q1RK1 b - -,b8d7
rnbq1rk1/ppp1bpp1/4pn1p/3p4/2PP3B/2N1P3/PP3PPP/R2QKBNR w KQ -,d1b3:g1f3:d1c2:f1d3:c4d5:a1c1
5R2/1r1P1p2/1n2pkp1/p2pN2p/P2P1P2/7P/6P1/6K1 b - -,b7d7
r1b1r1k1/3nq1pp/2p5/pp1p1p2/N2Pn3/P2BP3/1P1N1PPP/2RQ1RK1 w - b6,a4c3
r5r1/pp3n1k/2p1b2p/5p2/3P1B1q/5R2/PPBQ2PP/R5K1 w - -,a1e1
2r2rk1/p3bppp/1p1p4/3Pp3/4P3/4B3/PP3PPP/2R1R1K1 b - -,g7g6
4n3/p1p4p/2R2k2/5p2/P7/1P4P1/4BPK1/1r6 b - -,f6e5
rnbqk2r/1ppp1ppp/4pn2/p7/2PPP3/2b5/PP1B1PPP/R2QKBNR w KQkq -,b2c3
2rq1rk1/pp3pp1/3npn1p/3p4/3P2P1/2PR2QP/P3NPB1/1R4K1 w - -,h3h4
1k2r2r/bp1q2p1/pNn1p1pn/B4p2/3p2P1/PP2P2P/4QPB1/2RR2K1 b - -,a7b6
r2qkb1r/pp1nppp1/2p2n1p/3p1b2/3P3B/4PN2/PPPNBPPP/R2QK2R b KQkq -,e7e6
r2qr2k/1pp3pp/1pnp2n1/8/2B2Pb1/1NN3P1/PPPR2QP/2K4R b - -,e8e3
r5k1/p3nppp/1p2p3/8/8/P3PN2/1P3PPP/R1r2K2 w - -,a1c1
8/1q3k2/3p1b1p/p2PP1p1/N1Qp1pP1/pP1N1P1P/4n3/K7 b - -,d6e5
r2q1rk1/1pp1n1pp/p1pb1p2/8/2Q1P3/4BN2/PPP2PPP/R4RK1 b - -,g8h8
5b2/6k1/1p2Qp2/2p1p3/4q3/2P1B3/5P1K/8 w - -,e6b6
3r2k1/1p2b2p/2b1p1p1/p1P3N1/1nBn1P2/B1K1N3/PP4PP/7R b - -,e7f6
1rbr4/4knpp/3n4/p1NR1p2/B3p2P/4N1P1/1PP2P2/2KR4 b - h3,g7g6
8/2n4p/3k2p1/p4p2/2K2P2/P4BPP/8/8 b - -,h7h6
rnbqk2r/pp3pbp/3p1np1/2p1p3/4P3/2P2N1P/PPBP1PP1/RNBQ1RK1 b kq -,e8g8
rnb2rk1/pp2ppbp/1qp2np1/8/2BP4/1QN1PN2/PP3PPP/R1B1K2R w KQ -,b3a3
1qr3k1/5pp1/4p2p/pN2P3/N7/1Pr4P/P3QPP1/6K1 w - -,a4c3
2rr2k1/1b2b1pp/pq1p1p2/1p2pP2/4P3/1PNQ2N1/1PPR2PP/3R3K b - -,b6c5
8/8/8/4k3/2b4p/5KN1/8/8 b - -,c4e6
8/6k1/2R5/6pp/3PK3/4P1P1/5r2/8 w - -,d4d5
r2qr1k1/pbb2ppp/1p2p3/1N2P3/1PBpnP2/P7/1B1Q2PP/R4RK1 w - -,d2e1
5rk1/2Q3pp/3p4/2p2q2/P1P5/1r3P2/6PP/2R1R1K1 b - -,b3b2
r4r1k/3B2bp/b1pR2p1/pp6/8/P1N2p1P/1PP2PP1/4R1K1 b - -,a8d8
r2qr1k1/2p2p2/p1npb1p1/1pb1pNp1/4P1P1/2PP3P/PPB1QP2/R1B1K1R1 b Q -,d6d5
8/8/3kb3/8/2P2p2/8/5PBP/6K1 w - -,g2f1
3N4/5p1k/6pp/2b5/2b4P/4qBP1/6QK/8 w - -,d8b7
8/4b3/2k3p1/p4p1p/PpKB1P1P/1P4P1/8/8 w - -,d4a7
5R2/pp2r2p/1r2pk2/3p2p1/4nP2/1P3NP1/PPR4P/1K6 b - -,f6g7
rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/2N1PP2/PPP3PP/R2QKBNR b KQkq -,g7g6:b8c6
r1b1k3/ppqnbp1r/2pp1npp/4p3/P2PPP2/1BN2N2/1PP3PP/R1BQ1RK1 b q -,e5d4
4r1k1/p4p1p/4Q1p1/P3B2r/3P4/4bN2/6PP/1R5K b - -,f7e6
8/pp6/1n2k3/1P1b4/3PpK2/2N5/5B2/8 b - -,a7a5
8/p1k3p1/2P2p1p/Pb2p3/3rB1P1/6KP/5P2/2R5 w - -,e4g2
r3k2r/pb1n1p2/2p1p2p/1p1qP3/1b1P2pN/3Q2B1/1P1N1PPP/3R1RK1 w kq -,d2e4
1rnB4/1q2bpkp/2b3p1/2p1p1P1/1pP1P3/NQ4P1/1P3PB1/3R2K1 w - -,a3b5
b1r3k1/3qbp2/p2p2p1/Np2p2n/1P2P3/P2PBN2/2Q3PP/R6K w - -,c2d2
8/7p/4k3/rP1n4/2K1N3/3R3P/6P1/8 b - -,d5b6
r1bqk1r1/pp2np1Q/4p3/2P1P3/1b1p4/2N5/2P1NPPP/R1B1KB1R b KQq -,d8d5
r3kbnr/6pp/4P3/p1n5/3q1P2/P2p1B2/5RPP/RNBQ2K1 b kq -,a8b8
r4r2/1pn2pk1/p3b1pp/2p5/2P1P3/1PN3P1/P1R2PBP/R5K1 w - -,c3a4
r3kb1r/pp2p2p/n1p3p1/8/4q3/2P2N2/PPPB1QPP/R2K3R w - -,h1e1
8/6pk/1q2p2p/1P2rp2/2B4P/1Q3PP1/5PK1/8 b - h3,h6h5
8/7p/5r1k/p2p4/3q4/6QP/5PP1/5RK1 w - a6,g1h1
5bk1/3q1p1n/p2p1Pp1/2pNr3/2P1P2Q/5N2/P5RK/8 b - -,e5e8
brnr1bk1/2qn1ppp/pp1pp3/8/PPP1PP2/1NNBB3/R4QPP/3R2K1 b - -,c8e7
