8/5ppk/7p/R7/P7/2r2P1P/6P1/6K1 b - -,c3a3
1q3r1k/3b3p/Q4p1P/1n1Pp1p1/pP1bP1P1/7R/N2NBP2/2K5 b - -,b8c7
2q2rk1/5pp1/1Q1R3p/2p5/3bP3/1B3PP1/2P2PK1/8 w - -,b6a7
8/8/8/1K6/8/1k6/1pn5/1B6 w - -,b5c5
r1b1kb1r/1p3ppp/pqnppn2/6B1/3NP3/2N5/PPPQ1PPP/2KR1B1R w kq -,g5f6
7r/p1pp1k1p/b1p3p1/8/2P5/1PN5/P2Kr1PP/4R3 w - -,e1e2
r1b2rk1/1p3q2/p1n1p3/2Np1n1p/1P4p1/P3B3/2BQ1PPP/4RRK1 w - -,e3h6
8/1pk1b3/2n4p/pp5P/7p/P2R3P/8/5R1K w - -,f1f7
rnb1kb1r/pp2pppp/1qp2n2/3p4/2P5/2N1PN2/PP1P1PPP/R1BQKB1R w KQkq -,d1a4
2rqk1nr/3nppb1/p1b3p1/1pp3Np/4P2P/4BP2/PPPQN1P1/1K1R1B1R b k -,e7e6
5rk1/4qp1p/p3p1p1/1p2P3/4QP2/P7/1P4PP/2R3K1 b - -,f8d8
8/1p1r1k1p/2n2p2/3p2p1/1b1P2P1/1R3N1P/5P1B/5K2 b - -,b7b5
r4rk1/pp2nppp/3bbq2/4p3/4N3/3P2P1/PP2PPBP/R2Q1RK1 b - -,f6h6
r1bq1rk1/1p2ppbp/p2p1np1/2pPn3/2P1P3/2NBBP2/PP2N1PP/R2Q1RK1 b - -,e7e6
4r3/1pr1ppk1/p2p2pp/2qPn3/4R3/1BP3RP/PP1Q1PP1/6K1 w - -,g1h2
8/3k1p2/p1pr1qp1/PnR2P1p/2Q4P/4PBK1/5P2/8 w - -,f3c6
8/3PRrk1/2K1R1p1/2p5/5P1p/8/3r4/8 b - -,h4h3
8/5R2/2pk2P1/p1p2P1K/P2p3p/3r3P/8/8 w - -,g6g7
8/R4p2/4p1kp/P5p1/6P1/8/r6P/6K1 b - -,a2a4
r3k2r/1B3ppp/4p3/pPb5/5P2/2P1n3/P1K4P/RN5R w kq -,c2b2
6k1/5pp1/1p1p3p/1Pp1p1q1/2P1Pn2/3PRP2/8/2Q1K3 w - -,e1d1
rnbqkb1r/pp1ppppp/2p2n2/8/2P1P3/2N5/PP1P1PPP/R1BQKBNR b KQkq e3,d7d6:e7e5:d7d5
r1b1r1k1/1pqn1pb1/2p2npp/p5N1/2P1p3/BPN1P1P1/P4PBP/2RQ1RK1 w - -,g5e4
r1bkr3/ppp3pp/8/3nPp2/3P4/5P2/PPBK2nP/R5NR w - -,g1e2
r2qk2r/1pp1bppp/p1n1pn2/3p4/2PP2b1/P3PN2/1P1NBPPP/R1BQK2R w KQkq -,h2h3
3r2k1/2q2ppp/5n2/2p1p1n1/P3r3/1PB3P1/2Q1BP1P/R1R3K1 w - -,h2h4
1r3rk1/p1q2pp1/3bpnp1/4n1N1/1pQP2P1/5N1P/PP3P2/R1B1R1K1 w - -,c4c7
8/3b3p/3P2p1/1p2k3/4B3/4PP2/6PP/5K2 b - -,e5d6
r5k1/p2bb1p1/1ppqpr1p/8/2BP4/P1Q2N2/1P3PPP/3RR1K1 w - -,f3e5
6k1/5pp1/pq2n2p/1p2B3/4PP1P/1P1Q2P1/2P3K1/5Bb1 w - -,d3d2
r3k2r/1p1bbppp/p1Q5/P3p3/R7/1N2B3/1PP2PPP/3R2K1 b kq -,d7c6
8/P5R1/8/2K1p3/4p3/4P2k/8/r7 w - -,c5b6
1k6/1pp4B/5p2/p7/PbPq1P2/1K4PP/1P2Q3/8 b - -,d4d7
2Q5/5pk1/1p2r1rp/1P6/3Pp3/4PqPp/PR3P1K/6R1 w - -,c8c1
r2b1rk1/pp3ppp/2n5/1B1N4/6Rq/1Q3P2/PP5P/1K1R4 b - -,h4h6
r3r1k1/2qb1pbp/p2p1np1/1p1P4/2p1PP2/2N1N3/1PBB2PP/R2Q1RK1 b - -,b5b4
8/8/8/3k4/3P1R2/5K2/6P1/4r3 w - -,f3g4
6k1/1pR4p/8/1p2Kpp1/P2P4/1r6/6PP/8 w - -,a4a5
1rb2rk1/6bp/ppnq1p2/2p1p3/P2pB2N/1P1P2P1/2P4P/R1BQ1RK1 b - -,c6e7
2R2rk1/pb3pp1/1p1qp2p/5n2/3P1R2/P4N2/1P3PPP/1B1Q2K1 b - -,f8c8
3r2k1/5pb1/1R4p1/1p2p3/4N3/3b3P/5PP1/4R1K1 w - -,e1d1
3r4/k1pr2pp/Pp3p2/3Nn3/2q1P3/1Q6/3R1PPP/3R2K1 w - -,b3e3:b3b1
r1b1k1nr/p2nppb1/1qpp2pp/6B1/3PP3/2P2P2/P2Q2PP/R1NNKB1R w KQkq -,g5e3
3r2k1/5pp1/4p2p/p1Rr4/1p3PP1/1Pn2N2/5K1P/4R3 w - -,c5c7
4Qbk1/1q6/4R3/4p3/1p3p2/6P1/5P1K/8 w - -,e6g6
r3k2r/pp2qpp1/1bp1nn2/4p2p/1P2P3/2P3PP/P2NQPB1/R1B2RK1 w kq -,h3h4
2brk2r/1pq3pp/p1p2p2/b1N1n3/5B2/6P1/1PQ1PPBP/R4RK1 w k -,f4e3
8/p7/k7/5p2/8/1P6/2P1KP2/8 w - -,e2f3
8/1p1k2p1/p3p1p1/2Q1P2P/1P5P/P5K1/8/3q4 b - -,g6h5
8/pp3rk1/3RR1p1/5pPp/3P4/5P2/PPr3P1/6K1 b - -,c2b2
3rr1k1/ppqnbpp1/4pn1p/2p1N3/2PP3P/6N1/PP1BQPP1/1K1RR3 w - -,e5f7
8/5k1p/p2r4/1p4p1/PPn1P3/5K2/2R4P/B7 w - -,a4b5
8/4r1k1/pq1Q1bp1/1p3p2/1P5p/P1n2N1P/2B2PP1/3R2K1 b - -,b6a7
r6r/2kb1pp1/2ppp3/p5n1/2P4P/P7/1P2PPB1/R3K2R w KQ -,h4g5
8/5k2/8/2p1K1P1/1pPp3p/3P3P/5r2/4R3 w - -,e1e4
r2q1r1k/pp2b1p1/2n1bn1p/3p1p2/3PpB2/P1N1PPPN/1P4BP/2RQ1RK1 b - -,h8h7
r4rk1/5pbp/1qp3p1/1p3b2/3P1Q2/4PN2/P3BPPP/2RR2K1 w - -,d1d2
3rrnk1/pp2ppbp/1qp3p1/2N5/3P1n1B/1bP2N2/PP3PPP/R2QR1K1 w - -,a2b3
r2q1rk1/3n1ppp/3bpn2/1Ppp4/P7/4PN2/3B1PPP/RN1Q1RK1 b - -,f6e4
r2qbbk1/1p1n3r/3p2p1/1P1Ppp2/pB3P1p/3PP1P1/1Q2N1BP/R1R3K1 b - -,g6g5
8/PP5p/2N5/5k2/5p2/7P/6PK/r7 b - -,f4f3
1r1q1r1k/3bp1bp/2np4/ppp2p2/2P2P2/PP1P2PP/3QN1BK/1R3RB1 w - b6,d3d4
8/7k/n2N1KB1/8/8/8/8/8 b - -,h7g8
6k1/2Bb2pp/2p5/4P1P1/3p3P/1q1P4/8/5QK1 w - -,c7d6
1rq1k2r/3b1pb1/pp1p4/2pPp2P/P1P1P1p1/2N1B1P1/1P6/R2QK2R b KQk -,c8d8
r2q1rk1/1p1bbppp/p1nppn2/8/P2NPP2/2N1B3/1PP1B1PP/R2Q1R1K b - a3,c6d4
4k3/R7/3K4/8/5B2/8/8/5r2 w - -,d6e6
3rrk2/bp3pp1/p1n2q1p/5N2/3pBB1P/1PP2nP1/3Q2K1/3RR3 w - -,g2f3
4nk1r/4ppb1/pq1p4/2pP1P1n/1r5P/2NQ3R/PP2N3/1KB3R1 b - -,a6a5
r1bqk1nr/ppp2p2/2n1p1p1/3pP2p/1bPP1Q2/2N2N2/PP1B1PPP/R3KB1R b KQkq -,g8h6
4r1k1/1p1Rnqpp/p4p2/2r1p3/2P5/QB3N2/P4PPP/6K1 w - -,a3c5
3r4/2r2pk1/p4Rp1/1p1N2Pp/8/1P5P/Pn3PK1/8 w - -,d5c7
rn1q2k1/pb3nbp/1p2rpp1/1B1pp3/P2P3P/BPN2N2/2P2PP1/R2QR1K1 w - -,c3e2
r2qrnk1/ppp2ppp/2bb4/3N4/2B2P2/P2Q1NP1/1P3P1P/R3R1K1 b - -,h7h6
4k2r/1p2bp2/p2p2p1/q2Np2p/3nPP1P/6P1/PPr3B1/1R1Q1RK1 b k -,e7d8
2r1r1k1/2pn2pp/1p2p3/2PqP2P/1P5N/6Q1/5PP1/3RR1K1 b - -,d5c6
4r3/1pp5/8/2P3k1/4pR2/P3P2K/5P2/8 b - -,e8e5
4k3/2P1b2R/1B1pK3/3P2p1/6P1/2r5/8/8 b - -,e7f8
4R3/6pk/7p/2r1NP2/p1P1n3/P6P/KP6/8 w - -,e5g6
3q1bk1/rb1n1ppp/pp2rn2/2p5/5B1N/3PN1PB/PPR2P1P/3Q1RK1 b - -,e6e8
