k7/8/1K6/8/8/5R2/7b/8 w - -,f3a3:f3f8
2r1k3/ppr1bpp1/n3p3/3pP1Bp/3n3P/P1P2NP1/1P2KP2/2RR4 w - -,d1d4
8/2n5/2N5/1p6/1P1K4/5kP1/5P2/8 w - -,d4e5
2b3rr/p1q1n3/1p2k3/2p1p3/2P5/1P3Q1R/P1B3P1/3R2K1 w - -,c2e4
4r1k1/2Q1bpp1/6p1/p2q4/2p5/5N1P/P1P2PP1/4R1K1 b - -,g8f8
6r1/1R1R2pk/5p2/7p/1P2r3/6PP/5PK1/8 w - -,h3h4
rnbqk1nr/pp3ppp/8/3p4/1b1p4/5NP1/PP2PPBP/RNBQK2R w KQkq -,b1d2
r2q1rk1/pb1nnpb1/1p1p2pp/2p5/3PP2P/1B3NN1/PP3PP1/R1BQR1K1 w - c6,c1f4
8/8/8/2b2k2/1pN2p1p/1P3K1P/2P3P1/8 w - -,c4b2
r4rk1/2n1b1p1/p1n1p3/1pPp1p1p/1P1P1PP1/3BP3/3BNK2/R6R w - -,g4f5
4r1k1/1p3p2/2p3pp/p7/Pq1Rr3/1P2P2P/2Q2PP1/3R2K1 b - -,e4d4
8/p6p/1p2kn1P/8/P1p5/5K2/1P1B4/8 b - -,a7a6
r1b2rk1/p3pp1p/1qp3p1/3n4/3Q4/2N2P2/PPP3PP/2KR1B1R w - -,c3a4:c3d5
3rk1nr/1p3ppp/p1n5/1q6/1B1p4/5NP1/PP2PPBP/1R1Q1RK1 b k -,b5b4
2r1b3/1pr1k3/p3p3/Pp1pNp1p/3P1P1P/4R1P1/1P2RK2/8 b - -,c7c2
5k2/p4p2/1p2p2p/4P1p1/3P4/6PK/P1Q2P1P/7q b - -,h6h5
2r5/pbr3k1/4pqp1/6Rp/3P4/2PQ2R1/5PP1/6K1 b - -,g7h8
6k1/5pp1/pB5p/P1N5/2q3b1/3R3P/1bP1rQP1/6K1 w - -,f2f1
3r2k1/5ppp/B7/p1b3P1/8/6R1/1PP4P/2K5 w - -,a6c4
1k6/7p/3K2p1/P7/8/1n2N3/6PP/8 w - -,e3c4
r2q2nr/pp3kbp/2p3p1/3pn3/5BQP/2N1P3/PPP2P2/R3KB1R w KQ -,a2a3
3n1rk1/1ppnqppp/r7/4p3/p3N3/P1PPPQ1P/BP2R1P1/5RK1 w - -,d3d4
5rk1/3R1pp1/p3r2p/1pR5/4p1P1/P3P2P/1P3P1K/8 w - -,h2g3
r2qk2r/2pbbppp/p1np1n2/P3p3/1p2P3/1B1P1N2/1PPB1PPP/RN1Q1RK1 b kq -,e8g8
3r1b2/2qP2k1/4Qpp1/3Bp3/2p5/4P1P1/5P2/3R2K1 b - -,c7d7
rn1q1rk1/pbp2ppp/1p1ppn2/8/2PPP3/P4P2/1P1N2PP/R1BQKB1R w KQ -,f1e2
8/4k2p/4pp2/4P1p1/3K4/4P3/6PP/8 w - -,e5f6
8/5r2/pp1k4/4p3/P1P1RrP1/1P2R3/6K1/8 w - -,g2g3
7k/1pr3p1/p6p/4p3/3pP3/1P1P1PP1/1P1R3P/R1r4K w - -,a1c1
rn1qk2r/ppp1npbp/4p1p1/3pP3/3P1Pb1/3B1N2/PPP3PP/RNBQ1RK1 b kq -,b8d7
r2qr1k1/1b1pbppp/ppn1pn2/2p5/2P5/1PN1PNP1/PB1PQPBP/R2R2K1 b - -,a8a7
8/1k1B4/1p1K4/p1p5/P1P2B1b/5b2/8/8 w - -,d7e6
2r5/1b2qrkp/p1n1p1p1/1p2Pp2/2pP1N2/2P2P2/PQ4PP/R2B1RK1 w - -,a2a3
4q3/2r3k1/4p1p1/4N2p/1p1RQ2P/1P2bPPK/P7/8 b - -,e3d4
r4bkn/4nr2/1qp1p2p/3pPp1b/pP1P1P2/P3R1P1/1BQN2BN/2R3K1 w - -,h2f3
3k4/6p1/p1p1n3/3pPN2/4nP2/4P3/1PB3K1/8 w - -,c2e4
r1r3k1/5ppp/p3p3/1b1n4/2N1R3/P1P2P2/2PB2PP/2K4R w - -,c4e3
8/5k2/1pr4p/3R1Nb1/6P1/5K2/8/8 w - -,f5d4
1k3r2/pp1qnB2/3p2p1/2p5/5Qbp/2NP4/PPP3PP/R6K w - -,c3e4
rr4k1/2qpbppp/p1b1p3/1n4P1/Nn2PP1P/1N2Q3/1PPR4/1KBR1B2 b - -,d7d5
q7/4p1k1/3p1pp1/rPp4p/3bP3/1P3PP1/P1RQR1KP/8 b - -,a5b5
r3r1k1/pp3ppp/q1p2nn1/2bp4/5BP1/P1NP3P/1PQ1PPB1/R4RK1 w - -,f4g3
r4k1r/5pN1/p2pp2p/qp2n3/2b4B/4Q3/PPP3PP/2KR1B1R w - -,d1d6
r2r3k/1p4b1/3p1n1p/3bpPp1/1QP1Pn1q/1P2BP2/P2N4/1KR2BR1 w - -,c4d5
r2q1rk1/pp1bpp1p/1nn3p1/2p1P3/4PP2/N1P3P1/PBQ3BP/R4RK1 w - -,c3c4
r1bqkb1r/1p1npppp/p2p4/8/2B1n3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,d2d4
r2b1rk1/1n4pp/pB1p4/1p1Ppp2/P7/2P2N2/1P3PPP/R4RK1 w - -,b6d8
8/8/1p1ppb2/p2k3p/3P3P/Pr3NP1/1P1R2K1/8 w - a6,f3g1
6rr/ppq1k2p/3Np3/4Q3/2P3P1/3R3P/P3P2K/8 b - -,c7c6
8/8/8/2PR1p1k/6pp/8/2r3PK/8 b - -,h5g5
3r1k2/3P1p2/6p1/1BR1P2p/p3P2P/5KP1/1n6/8 w - -,f3e2
2q1rn2/2p1r1kp/1pb2p2/2P3p1/4P3/1B2QPB1/3R2PP/3R2K1 b - -,b6b5
4rr2/6p1/1p1k3p/p1RPp3/P5P1/2Bb4/1P4BP/4R2K b - -,b6c5
r4r1k/1p2qbBp/2pp2p1/p7/2P1p1n1/1P3NP1/P1QRPPBP/5RK1 b - -,h8g7
r2q1rk1/pp1nppbp/2p2np1/3p1b2/PPPP4/4PN2/1B1NBPPP/R2QK2R b KQ a3,f6e4
r3r1k1/1p1n1ppp/2p5/p2p1n2/N2P2P1/3NPP2/PP3K1P/R3R3 b - g3,f5d6
2q1rbk1/1r4p1/p2p3p/3P1R1P/2p5/P1B3Q1/KPP5/5R2 b - -,b7d7
5rk1/p2b2bp/3q4/3p4/2p1p2Q/1NR4P/PP3PP1/3R2K1 w - -,c3c4
r2q3r/p2b1kpp/1pnBnp2/2pB4/8/2NP2P1/PP2P2P/R2Q1RK1 w - -,c3e4
5k2/p1n1qp2/1p4p1/2pQ2p1/P5P1/1P2PB1P/5P2/5K2 w - -,d5c6
r1b2rk1/p1q2ppp/1pnbpn2/2pp4/Q3P3/2PP1N2/PP1NBPPP/R1B1R1K1 w - -,d2f1
4k3/1pnrbpp1/p1p1p1p1/q1P3Pr/3PQ2P/1B4B1/PP3P2/1K1RR3 w - -,g3c7
3r2k1/R1qb1ppp/4p3/4P3/p7/5BP1/P2p1RKP/1r6 w - -,a7c7
r3r1k1/5ppp/p1p2n2/3p4/qBbP4/P3P1P1/5PBP/R2QR1K1 b - -,c4b3
r4rk1/1ppb1pb1/p1np2q1/P3p1pp/4Pn2/1BPPN1NP/1P3PP1/R1BQR1K1 b - -,c6e7
r1b2rk1/ppp1qpbp/n2p2p1/3Pp3/2P1P1n1/2N1BN2/PP2BPPP/R2Q1RK1 w - -,e3g5
r2qk2r/ppp1ppbp/1nn3p1/5b2/3P4/5NP1/PPQ1PPBP/RNB2RK1 w kq -,e2e4
r2q1rk1/pp2ppbp/3p1np1/1B1P4/3BP3/5P2/PP4PP/R2Q1RK1 b - -,f6h5
r1b2rk1/ppq1p1bp/2pp1np1/5p2/1nPP4/2N2NP1/PPQ1PPBP/1RBR2K1 w - -,c2b3
r5k1/6pp/p2bp3/1q3p2/N2PpP2/3bP3/3B2PP/R1Q3K1 b - -,d6b4
4rrk1/pqp1b1pp/1p1pp3/8/2PP2n1/P4NN1/1PQ2PPP/R4RK1 w - -,h2h3
1r3rk1/2p2ppp/p1p5/3qP3/8/2Q3Pb/PP2PP1P/RN2R1K1 w - -,e2e4
8/1p6/p3k2p/7R/3pP3/1P1P2P1/1P4K1/3r4 b - -,d1d3
4r3/pp2rpp1/2p4k/3p1nnP/3P1N2/2P2P2/PP1K2R1/6NR b - -,f5e3
r5k1/1p3ppp/1pn5/3p2qr/8/1NP1R1P1/PP3PP1/R2Q2K1 w - -,d1e2
r1bq1rk1/1p3pbp/2pp2p1/p3n3/P2NPN2/1PB4P/2PQ1PP1/R3R1K1 b - -,g7h6
3r1r2/8/2bp1k2/p3pp1p/PpP4P/1P2RP2/2BR1KP1/8 b - -,d6d5
2r1r1k1/pp2qppp/4bn2/3p4/8/1P2NBP1/Pb1QPP1P/R2R2K1 w - -,d2b2
8/8/R7/6k1/5p2/6r1/5nPK/8 w - -,a6a5
8/1k5r/1P1b4/8/1N2pP2/8/1P2K2P/6R1 w - -,b4d5
rn1q1rk1/ppp2ppp/2b1pn2/4N3/2pP4/P5P1/P3PPBP/R1BQ1RK1 w - -,e5c6
5r2/6k1/2ppnrp1/p1p1p2p/2P1P2P/1P1P1PK1/P3NR2/5R2 w - a6,e2g1
5k2/5p2/2q1p1pp/p3P3/1p3P1P/1P4P1/P4QK1/8 w - -,f2f3
r1bqr1k1/pp1n1ppp/2p1pn2/6B1/1bPP4/2N2N2/PPB2PPP/R2Q1RK1 b - -,h7h6
