r2r2k1/5ppp/p1B5/8/8/3nK1P1/7P/R6R b - -,a8a7
rnbq1rk1/pp3pbp/3pp1p1/2pP4/2P1P1n1/2NB4/PP2NPPP/R1BQ1RK1 w - -,e2f4:d3c2
1r6/4pk2/p1p2np1/2Nq4/3P4/7Q/PPP2P2/1K5R w - -,h3h2
r4rk1/6pp/1p2pp2/p1n2q2/2PR4/8/PP3N1P/K3Q1R1 b - -,a5a4
1rb2rk1/p1q1ppbp/2np1np1/2p2P2/1p2P1P1/3P1N1P/PPP1N1B1/R1BQ1RK1 b - -,c8a6
3r4/1p2k3/p2n1pp1/N1n1p2p/4P2P/2P1NPP1/1P6/3RK3 b - -,e7e6
r2qr1k1/p4ppp/1b3B2/1p1p4/8/P5P1/4PPBP/R2Q1RK1 b - -,d8f6
r6r/1pq1bpk1/p1b3pR/4p1P1/2p1P2Q/1BN2P2/PPP4R/2K5 b - -,e7g5
5rk1/rb2bppp/p1nqpn2/P5B1/1pBP4/1N3N2/1P2QPPP/R1R3K1 w - -,b3c5
2r3k1/5p2/6p1/4p2p/3Q4/1PN5/PK1R2P1/4q3 w - e6,d4f2
1rb1rbk1/2qn1p2/pppp1npp/4p3/P2PP3/1PN2NPP/1BPQ1PB1/3RR1K1 b - -,b6b5
4R3/8/1p3pp1/p1bp1k2/P4P1p/1P3P1P/6K1/8 b - -,f5f4
2r1n1k1/p4Bp1/1p5p/2p5/8/5P1P/PP2N1P1/2R3K1 b - -,g8f7
4r2k/1p5p/2p3p1/p1Pb4/P5P1/8/1R2BP1P/6K1 w - -,g1f1
6k1/1p4p1/p6p/5p2/1R3K2/P5P1/5r2/8 w - -,f4e5
2r2bk1/8/7p/3p3P/3B2q1/1P4N1/P4P2/1Q4K1 w - -,b1e1
r5k1/4n3/5p2/p1P5/3PP1P1/3N1P2/1R3K1P/8 b - -,a5a4
8/1p1b2k1/4p1q1/pP1pP3/1b1Pn3/5Q1R/5PK1/2B5 w - -,g2h2
r3k2r/1bq1bppp/2p1pn2/1pPpP3/pP6/6P1/PB1NPPBP/R2Q1RK1 b kq -,f6d7
r1nq1rk1/pp1n1ppp/4p1b1/3pP3/1b1p1NB1/1N6/PPP1RPPP/R1BQ2K1 b - -,c8e7
r3k2r/1p1qb1pp/p1nppn2/2p3B1/P1B1P3/2N5/1PP2PPP/R2QK2R b KQkq -,e8c8
rnbq1rk1/pp2bppp/2p5/3n4/5B2/1BNP1N2/PPP3PP/R2QK2R w KQ -,c3d5
3r2k1/1pnr1pb1/1q1pb2p/pNp5/P1PnPBP1/1P1Q3P/3R2BN/3R2K1 w - -,b5d4
1r2k2r/p1pq2p1/3p1bn1/3Np2p/3NPp1P/1P1Q4/P1P3P1/R1B1K2R b KQk -,f6h4
3r1bk1/2n3p1/pq2pn1p/1p2Np2/3Pb1PP/P5Q1/BP3P2/R1B1R1K1 w - -,g4f5
2rr2k1/p5p1/1p3bp1/2pp1q1p/3Pn2P/1P2P1PN/P3QPK1/B1RR4 w - -,d1f1
8/8/p4k2/2p2p2/1rPb1P1p/4p2P/P1R3K1/5R2 w - -,g2f3
r7/2q2pbk/3R2p1/1p2n2p/4PB2/1P5P/5PP1/3Q1BK1 b - -,a8a1
rnb2rk1/ppq2pbp/2pp1np1/4p3/2P1P3/2NP2P1/PP2NPBP/R1BQ1RK1 w - -,h2h3
6k1/5p2/6p1/1p3r2/1Q5P/3PK3/2P5/8 w - -,c2c4
r2b1rk1/2q2ppp/p2pbnn1/1p3NB1/4P3/P1NB1Q2/1PP3PP/R4R1K b - -,g6e5
6k1/3r1pp1/2r2bp1/ppP1p3/1P1pP3/P2K2BP/5PP1/R2R4 b - -,a5a4
3N1nk1/7p/1r2p3/4P1p1/1p2RP2/6PP/1P4K1/8 b - f3,f8g6
r6r/p3kppp/1p2p3/2n1P3/8/B1b3P1/P4PBP/R4RK1 w - -,a1c1
8/R2br1k1/3p1np1/2pP1n2/3qNP1p/1QN4P/2B3PK/8 b - -,f5g3
8/8/8/2p4p/p5pk/2PK4/1P6/8 w - -,d3c4
8/R4N2/5k2/8/3KP2p/1P6/P6r/8 b - -,h4h3
r1bq1rk1/pp2npb1/1npQ2pp/4p3/2P1P3/2N2NPP/PP3PB1/R1B2RK1 w - -,c4c5
r2q1bk1/3n1p1p/p3r3/2p2Q2/1P3B2/6P1/P4P1P/2RR2K1 w - -,b4c5
1r5k/R1R3b1/5pp1/7p/2B5/4P1P1/7P/6K1 b - -,h8h7
r2q1rk1/1ppn2b1/4p2p/pPp2pp1/3P4/2NQPNP1/P5PP/3R1RK1 w - -,d3c4
rnb2rk1/ppq1bppp/2pp1n2/4p3/2BPP3/1PN2N2/P1P2PPP/R1BQ1RK1 w - -,f1e1
8/1p6/2p3pp/p3k3/P1P1n1K1/4P3/2B3P1/8 w - a6,c2b1
rn1qkb1r/ppp2ppp/8/4p2b/4p1P1/1B5P/PPPPNP2/R1BQK2R b KQkq g3,h5g6
r1b1kb1r/pppq2pp/3p2n1/1P2p3/3Q4/2N2N2/1PP2PPP/R1B1R1K1 w kq -,c3d5
2r3rk/2q2p1p/3bp3/3P1p1N/1pP1p2P/6P1/1P2QP2/1K1R3R b - -,d6e5
2r5/1p3p1k/p1b1p1p1/2P1P1qp/1P1Q1N2/7P/1P1R2P1/6K1 w - -,g1h2
4rb1r/1k2n3/p1bR1pp1/1p5p/2p1PB1P/2N2PN1/1PP3P1/3R2K1 b - -,e7g8
5bk1/Qp3p1p/2b3p1/2n2p2/5P2/2P5/PP4PP/2K5 w - -,g2g3
5rk1/p2n2q1/2bpp2p/2p3P1/3P1n2/Q2BNP2/PK3BP1/2R4R b - -,g7d4
6k1/1p1b3p/p2b1qp1/3R1r2/1P2p3/P5P1/2Q2P1P/3R1BK1 b - -,d7a4
rnbqk1nr/p1ppppbp/1p4p1/8/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq e3,c8b7
3R1bk1/5p2/pp4pp/4p3/P4rP1/1NP4P/1P3PK1/8 w - -,d8b8
8/8/4k3/1R6/8/5PK1/1P6/3r4 b - -,d1e1
rnb2rk1/1p2q2p/p2p2p1/2pP3n/P7/2NQbN1P/1P2B1PB/R4R1K w - -,f3e5
2br4/1p2k3/2p2p2/2p2P1p/2P3PP/rPR1K3/1R4B1/8 w - h6,g4h5
1q2rrk1/pp1n2pp/2pbp3/8/N1PP1P2/PP2BQ2/5P1P/R3R1K1 b - -,d6f4
5bk1/5p1p/p5p1/2q5/8/2Q2NPP/5P1K/8 w - -,c3d2
4rr1k/ppp3pp/1bnq4/3p4/3Pn3/P3B2P/1P1NNPP1/2RQ1RK1 w - -,d2e4
3b1rk1/5p1p/1p1p2p1/p2Pp3/P4qP1/2P3RP/1P2RPK1/3B4 b - -,f4c4
8/p3q1bk/P2n2pp/3Qp3/6P1/1R4BP/2r3BK/8 b - -,e7c7
3k4/3n4/2p4p/2Pp2pn/1N1Pp3/4P2P/3KN1P1/8 b - -,d8c7
5R2/5Pr1/5k1K/4p3/8/7P/8/8 w - -,h3h4
4Q3/pp1N1pk1/2p4b/5p2/1K6/2P5/PP6/3q4 b - -,d1d6
4br2/4n1k1/p1p1pnpp/PpN5/1P5P/6P1/3K1PB1/2R4R b - -,e8f7
6k1/p4p2/2p1pbpp/1pP5/1P6/P2Q2P1/4PPKP/qN6 b - -,g8g7
2r2rk1/1q1bppbp/p2p1np1/1p2n3/3NP3/N1P1BP1P/PPBQ2P1/R3R1K1 b - -,a6a5
2k3r1/ppq3rp/1bn1p3/1R2PpP1/Q1Pp1B2/3P1B1P/6P1/R5K1 b - -,a7a6
4rBb1/6P1/8/8/pp3K2/2k5/8/6R1 w - -,g1c1
rn2k2r/p3npp1/1pp1p2p/3pP3/q2P4/B1P5/2PN1PPP/R2QK2R b KQkq -,a4b5
r1bqk2r/pp1pbppp/2n1pn2/2p3B1/3P4/2P1PN2/PP1N1PPP/R2QKB1R b KQkq -,b7b6
7R/3K1k2/5p2/3N4/7p/6q1/8/8 b - -,f7g7
2kr3r/pp3p2/1qp1pn1p/6p1/3P4/2PQ1NP1/PP3PP1/1R3RK1 b - -,b6c7
rn1qkb1r/ppp2pp1/4pn1p/3p1b2/8/1P3NP1/PBPPPPBP/RN1Q1RK1 b kq -,f8e7
r2q1rk1/pp3ppp/2nbpn2/3p2Bb/3P4/2PB1N1P/PP3PP1/R2QRNK1 b - -,a7a6
r1r2bk1/p2qpp1p/1p1n2p1/1P1Pp3/PQ2P3/4B3/4BPPP/R1R3K1 w - -,c1c6
3rr2k/p1p1nq2/2p2p1p/6p1/2P1B3/1P3QPP/P4P1K/4RR2 w - -,e4c6
R7/5p2/1k4p1/8/4P2K/8/p4P1P/r7 b - -,b6c5
8/8/k3p3/Pr6/4K3/5P2/8/R7 b - -,b5c5
r7/1b1nq1kp/3p2p1/2p1p3/1PP1P2N/1p1P2PP/3Q2B1/5RK1 w - -,h4f3
2r4r/4qpk1/4p1p1/R6p/1pbP4/2P3Q1/P4PPP/1B2R1K1 b - -,b4c3
6k1/2r5/8/1p1r4/1P6/4n1P1/P6P/2R3K1 w - -,c1c7
4rr1k/1bq2ppp/2p5/1pP1P3/4P3/2QB2P1/5P1P/1R2R1K1 w - -,f2f4
r1bq1rk1/ppp2ppp/5n2/8/2p5/N1Q2nP1/PP2PPBP/R4RK1 w - -,g2f3
2r3k1/2q2pb1/6p1/3Qpn1p/1B6/4P1P1/5PBP/1R4K1 w - -,g2e4
rn3rk1/p5p1/1ppqb2p/5p2/P1PPp3/4Q3/2P1B1PP/1RB2RK1 b - -,c6c5
1rnq4/p5bk/1p1pr1pp/1P2pp2/1Q6/B2PN1P1/P3PPKP/2R2R2 b - -,c8e7
2r2rk1/p2qbpp1/1p2p1p1/3pP2P/3P4/2P1R1P1/P4P1N/1R1Q2K1 b - -,g6g5
