r7/8/5kp1/7p/7P/P3RKP1/5P2/8 b - -,a8a4
R7/4bpp1/3p2b1/1PrPp3/P3P1Pk/3KNr2/4N3/6R1 w - -,d3d2
r4rk1/pp1nqpp1/2p1pn1p/5b2/PbBP4/1Q1NP3/1P2NPPP/R1B2RK1 b - -,b4d6
5k2/p2r1p1p/1pRPr1p1/1P6/8/P2R4/5KPP/8 w - -,a3a4
2k3r1/pp3p1p/2q1pp2/8/1QP2r2/3R1N1P/P4PP1/R5K1 b - -,f4f3
8/4q3/2Q2pk1/7p/4p3/6P1/5P2/6K1 w - -,c6d5
4r2k/pppb3p/1b1p3Q/3P1rq1/P1B5/6B1/R4PP1/5RK1 w - -,h6g5
8/2n2p2/p4Pp1/2N1k3/P3p3/4K3/5P1P/8 b - -,c7d5
4rk2/4p2p/p2nR1p1/2PP1p2/5P2/2pB3P/6P1/6K1 b - -,d6b5
1r5k/p4r2/5q1p/2P5/2P3Q1/6P1/5PBP/5RK1 b - -,b8b2
rnb2rk1/4ppbp/p2p1np1/2pP4/2P1P3/q1N2N1P/P2B1PP1/1R1QKB1R w K -,b1b3
2R5/5ppk/1r2p3/b6p/8/4BP1P/2K2P2/8 w - -,e3b6
r1q1r3/3n1p1k/2p1p1pn/1p1pP1RP/pP1P1Q2/P1PN3B/5P2/R6K b - -,e8g8
r1b1k2r/pp3p1p/1qn1p3/3pn1P1/1b1P4/5NP1/PP3K1P/R1BQ1BNR w kq -,f3e5
3rr1k1/6pp/2qnpn2/p2PQ3/PppP4/4N1P1/1P3PBP/2R1R1K1 b - -,e6d5
2k5/2n5/p2p1N2/B1pPp3/2P2p2/P2KnP2/8/8 w - -,a5e1
8/3P4/R3k3/1p2p3/P3Pp2/1P3P1p/1r6/5K2 b - -,e6d7
r3kb1r/1p1npppp/p4n2/3p4/3P1B2/q1N1P3/P3NPPP/1R1Q1RK1 b kq -,b7b5
8/5ppk/2P5/1Q2P1p1/1p6/6P1/5q1K/8 w - -,h2h3
1r1b1rk1/p1q2ppp/1p2pn2/1N2n3/2P2B2/6P1/PP2PPBP/R2Q1RK1 b - -,c7c5
8/8/7R/1P6/P1K1k3/7p/5r2/8 b - a3,h3h2
1r6/8/7P/3Pk1p1/R7/P3N3/1P1K4/1b6 b - -,b8b2
r1bqr1k1/p4pp1/2pb3p/n7/8/3P2N1/PPP2PPP/RNBQ1RK1 w - -,c1d2
8/pp2r3/5kp1/8/5PK1/PR6/8/8 b - -,b7b6
3r2k1/5ppp/1p6/b1pPpP2/2P1B3/3P3P/P7/1R5K w - -,h1g2
8/8/4b3/8/1K6/8/3R4/k7 w - -,b4c3
r2q1rk1/3b1pb1/3p1np1/1ppPn3/4P3/2N1BPPp/1P1NB2P/R2Q1RK1 w - -,a1a8
r3kbnr/pp1qpp1p/2np2p1/2p5/2PPP3/2N2N2/PP3PPP/R1BQK2R b KQkq d3,c5d4
1k6/7R/6R1/8/8/8/1K6/2r5 b - -,c1c8
8/3q1pk1/3p3p/3P2pP/1p1PRQP1/2r5/5PK1/8 w - -,f4d2
5rk1/6np/1Npb2q1/3b2p1/2PP4/6NP/6P1/R3Q2K b - -,f8e8
8/8/2pr4/pp6/Pkb3R1/8/8/3BK3 b - -,d6d5
r2q1rk1/3nbppp/2p1p3/pbp1P3/N1Pp4/BP1P4/P2NQPPP/4RRK1 w - -,f2f4
3r4/1p1q1pbk/p1n3pp/4p3/8/1NP3BP/PP2QPP1/4R1K1 b - -,d7d5
7k/2b1Q3/2p5/2p5/1P1qBP2/6PP/7K/8 b - -,d4f2
k7/8/p1qp2Q1/8/KP3P2/8/8/8 w - -,a4b3
1r4k1/3n1pbp/4p1p1/1R2P3/5P2/4B1PP/2r3B1/1R4K1 b - -,b8b5
r1bq1rk1/1ppn1pbp/2np2p1/p7/P2Pp3/N3P2P/1PPNBPPB/R2Q1RK1 b - -,d8e7
r2qk2r/pp1nbppp/2p1pn2/8/2PPN3/5Q1P/PP2BPP1/R1B2RK1 b kq c3,f6e4
r3kb1r/pp3ppp/2n5/2P1p3/5n2/2P2P2/PP1NBBPP/R3K2R b kq -,f4g2
5rk1/1qr2pp1/pp2pn1p/3p4/3P4/P1N1PP1P/1PRQ2P1/2R3K1 w - -,g2g4
8/8/6kp/3R4/r3K1P1/5P2/8/8 w - -,d5d4
8/2R5/1p3p1k/r6P/p5P1/8/7K/8 w - -,c7c6
r5k1/1p2pr1p/pn3p2/2p2Pq1/3nP1b1/2N5/PP4PQ/1K1R1BNR w - -,d1d3
r1bqn1k1/3nppbp/p2p2p1/P1pP4/1rB1PP2/2NQ1N1P/RP1B2P1/4R1K1 w - -,e4e5
5R2/6k1/6p1/4p3/2P1N1P1/p2P3P/r6b/7K w - -,f8a8
1r3rk1/3q2bp/pp3p2/2p1pR2/P2pQ3/1P1P2P1/2PB3P/R5K1 b - -,b8e8
rn1q1rk1/p3ppbp/1p3np1/2ppN3/3P1P2/2P1P3/PP1NQ1PP/R1B2RK1 b - -,b8d7
r1b2rk1/p3bppp/1pn1p3/3p4/3PP3/2PB2B1/2RN1PPP/1R4K1 b - -,d5e4
8/4PKp1/2k4p/7P/5P2/8/2p5/8 b - -,c2c1q
8/r4pkp/2q3p1/2Pr4/PQ2p3/8/5PPP/R1R3K1 b - -,a7c7
r6k/3q2R1/p2p1Q2/3npP1P/1p6/1P2b3/P7/K5R1 w - -,g7g8
r2q1rk1/p4nbp/1pn1bpp1/2p1p3/P1NpPP1P/1P1P2P1/2PB2BN/R1Q1R1K1 b - f3,e5f4
3k4/ppp4p/6p1/4bp2/1PP5/P3NP2/5P1P/5K2 w - -,h2h3
r3kb1r/pp1n1ppp/2p1p3/2Pp1b2/3P4/1PP3P1/3NPPBP/R1B1K2R b KQkq -,a7a6
8/1p6/p4nk1/3p4/1PrK3p/2P2P2/4R3/8 w - -,d4d3
rn2kbnr/pp2pppp/2p5/8/Q1p5/2N2NPq/PP1PPP1P/R1B1K2R w KQkq -,a4c4
3r4/1p5k/3Bn3/1P3p2/8/2N5/PP5P/7K w - -,d6e5
8/4k3/2R5/2P2p1p/5Pr1/4P3/6K1/8 w - -,g2f2
8/8/p7/P1Bp4/1P1Pk3/4P3/3K4/6r1 w - -,d2c3
r3k3/ppp3q1/2n1b1P1/1BNp1p2/3P3b/5N2/PPP2PP1/2K1R3 w q -,c5e6
4k3/6pp/1nr1P3/1R1p2B1/2pP4/2P2P2/5K1P/8 w - -,e6e7
r1b1r1k1/ppqnppbp/3p1np1/2P5/2P5/1P2PN2/PBQ1BPPP/RN3RK1 b - -,d7c5
r3qrk1/p2bp1b1/1pnp1npp/5p2/2P5/1PN2NP1/PBQ1PPBP/3R1RK1 w - -,c3d5
2kr3r/ppq2pp1/2p1pnb1/8/2NP1bp1/P1N4P/1PP1QPB1/1K1R3R w - -,h3g4
4Q3/6kp/5p2/2p2q2/3r2p1/P1Nr2P1/1P3P1P/4R1K1 w - -,e1e7
r2q1rk1/p1nbppbp/1p1p2p1/2PP2B1/2P1P3/P1N3P1/3Q1PBP/R3R2K b - -,b6c5
3rr1k1/p1q2ppp/bp1b2n1/8/3B4/2NN1P1P/PPQ1B1P1/R4RK1 w - -,c2a4
8/5pk1/5Qp1/8/8/r3P3/5PP1/5RK1 b - -,g7f6
r1bqkb1r/pppn2pp/4p3/1B1pP3/8/2P5/PP1N1PPP/R1BQK2R b KQkq -,c7c6
3rr1kb/1BRb1p1p/p5pB/8/q2P4/6P1/P2Q1P1P/3R2K1 w - -,h6g5
r1b1r1k1/ppqnbppp/2pp1n2/4p1B1/2PPP3/2NB1N2/PP2QPPP/R2R2K1 w - -,a1c1
5B2/1R6/2r4p/1p2p1pk/p1b1Pp2/P1bN1P1P/2P1K1P1/8 w - -,e2f2
8/4prk1/3p2p1/rBpP4/3n1P1p/1PN1R3/P2K2PP/7R b - -,d4b5
6r1/5p2/1p2k3/p1b1pp1p/P1N4P/1P2P1P1/3RKP2/8 w - -,e2f3
8/5pk1/5n1p/3B1K2/6PP/8/8/8 w - -,d5c6
8/8/p1R5/1P2r1kp/P3p3/3pP3/6PP/4K3 w - -,b5b6
6k1/5pp1/1Q2p2p/3bP3/1p5P/2n3P1/r2n1P2/2R1K3 w - -,b6b4
6k1/4ppb1/4q1p1/p3rb1p/Q7/1BP1B2P/1P1R1PP1/6K1 b - -,e6c8
