8/k5p1/8/2p2p1P/P7/3KpPp1/8/8 w - -,d3e3
r1b2rk1/3q2pp/2n1Rb2/p2p3P/1pnP2Q1/5NPB/P1P2P2/R1B2NK1 b - -,d7f7
8/pp1k1Q2/1q1n2r1/2nR4/7P/P7/1PP2P1B/1K6 b - -,d7c6
r2q2k1/1p2rpp1/1p1p3p/5b2/p1PPn3/P3B1PP/1P3PBK/R2Q1R2 b - -,d6d5
r3k3/2pbrpp1/1p1p3p/pP1Pn2P/P2N1Rn1/8/2PBB1P1/4R1K1 b - -,e8f8
r2q1rk1/pp2bppp/2npbn2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 w - -,f2f4:e2f3
8/6k1/2p1bp2/1pp1p1p1/3qP1P1/1P1P1P2/2P1Q1K1/3N4 b - -,c5c4
r3k2r/2qbnpb1/p2p2pp/1pp1p3/2PnP3/PPBP1N2/1N2BPPP/1R1Q1RK1 w kq -,c3d4
r1b1kbnr/pp3ppp/n1p5/4P3/P1p2B2/2N5/1P2PPPP/R2K1BNR b kq -,c8e6
8/4q1k1/1pp3p1/p7/P2PpQ1P/2P5/1P3K2/8 b - -,e7e6
1nr2rk1/p3ppbp/2p3Pn/3qN3/1p1PN3/1Q2B3/PPP2PP1/2KR3R b - -,d5e4
3r1rk1/ppq4p/2p3p1/2n1p3/2P1Pp2/P1N1bP1P/1PQ1B1P1/R2R3K w - -,b2b4
r1bqkb1r/pp1n1ppp/2n1p3/2P1P3/6Q1/1B3N2/PP3PPP/RNB1K2R w KQkq -,e1g1
5B2/5n2/p5p1/3k4/6K1/8/P7/8 w - -,f8b4
1r3k2/pp1R1p2/n1p3p1/4R1P1/2P1B2n/8/P4P2/6K1 b - -,f8g8
r2r2k1/p3qpb1/1pp1b1pp/4p2n/2P1P3/1PN1B1PP/P1Q2PB1/3R1RK1 w - -,c4c5
rnb2k1r/pp2nppp/4p3/2ppP3/q2P2Q1/P1P5/2PBNPPP/R3KB1R w KQ -,e2f4
r1bqkb1r/pp2pppp/2n5/3p2B1/2PPN3/8/PP3PPP/R2QKBNR b KQkq -,d5e4
4R3/8/p6p/1p6/1B5k/5p2/2r5/7K w - -,h1g1
5b2/1b3pk1/6p1/2pN4/1p3Pq1/1P2PB2/3R1K2/3R4 b - -,g4h4
4b3/p3q1k1/P4pp1/2r5/3rp1QP/6R1/1R5P/5BK1 b - -,d4d7
r2qk2r/1b1nnppp/p1p1p3/1p6/P1pPP3/B1P2NP1/2Q2PBP/R4RK1 b kq -,d8c7
r1bqk1nr/p4ppp/2p1p3/2bp4/2P5/6P1/PP2PPBP/RNBQ1RK1 b kq c3,g8e7
1k1r3r/1p2bpp1/p2pbn1p/q3p3/4P3/2N1Q1B1/PPP1BPPP/1K1RR3 w - -,f2f4
2r2bk1/8/2r1q1p1/Pp1Npp1n/1P2P2P/5P2/3BR2P/1R3QK1 w - f6,g1h1
8/p1k3p1/3b2N1/3p1PPN/1p1P4/1Pn5/P2K4/8 w - -,f5f6
5rk1/1p1qnpbp/p1r5/1Q1pp3/8/2P1B1P1/PP3PBP/R3K2R w KQ -,b5b3
8/p1r1kp2/8/2P4p/4K3/8/5P2/R7 b - -,c7c5
r2qkb1r/3n1ppp/p3p3/1p1n4/3Q4/2P5/PPB2PPP/RNB2RK1 b kq -,d8f6
1rbq3k/p1p1r1b1/1p1p2np/1P1PpppB/P4P2/2BPP1P1/2Q1N2P/4RRK1 b - -,g6f8
2rr2k1/5ppp/R3pb2/1pq5/8/3N1QP1/1P2PP1P/5RK1 b - -,c5d5
2r1nrk1/1pq3bp/p2p2p1/3Pn1B1/3N2p1/7P/PPP1Q3/1K1R1B1R b - -,c7b6
3r2k1/pbqrbp1p/1pn1p1p1/2pp4/2P2Pn1/PP1PPNP1/1B1NQ1BP/3R1RK1 w - -,f3g5
r4r2/1b3p1k/pp2p1pq/2p1P2p/2NpP3/1P1P3K/P1P1B3/R2Q2R1 w - -,c4b6
8/5rpk/p7/4R2K/1P1B2PP/2P5/4b3/8 b - -,e2b5
8/5p2/2rk4/p7/P2K3p/1PR4P/8/8 b - -,c6c3
8/6k1/8/4p2P/2BpP1p1/R3b1P1/P4r2/7K b - -,g7h6
8/2k5/P1b5/6p1/5p2/3N3P/5K2/8 b - -,c7b6
6k1/1p3pp1/1p2r1b1/1Bb4p/P7/6P1/5P1P/3Q2K1 w - -,g1g2
3rr1k1/pp4pp/4q1n1/P2p1p2/2P3P1/1Q3BBP/5P2/3R2K1 w - -,f3d5
r1bqkbnr/ppp2ppp/2n1p3/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -,b1c3
3r1rk1/4pp2/1p4pp/p1pP4/1nP2Pq1/1Q2PN2/5KB1/1R3R2 b - -,e7e6
r4rk1/1p2ppb1/1np2n1p/3q2pN/p2P2P1/2PQ3P/PPBB4/4RRK1 b - -,f8e8
8/1R5p/p4pk1/6p1/r3P3/5P1P/6P1/6K1 w - -,b7b6
r1b1k2r/5ppp/1npp4/8/2P5/BP1BP3/3N2PP/2KR3R b kq -,a8a3
r3r1k1/bpp1qpp1/p1n1b2p/4p3/4P2N/2P2Q1P/PPB2PP1/R1B1R1K1 w - -,h4f5
1k6/2r5/8/Q1K5/8/8/8/8 w - -,c5b6
8/8/1K1pB2p/5PkP/1PP3P1/8/3b4/8 b - -,d2b4
r4rk1/pbqn1pp1/1p2pn1p/8/2PP4/P2B1N2/3BQPPP/R4RK1 b - -,a8d8
r3kbnr/5p1p/p2pb3/2q1p2N/1p5Q/3B1P2/PPP3PP/1K1R3R w kq -,f3f4
5rk1/p5b1/4b2p/3q4/5B2/4Q1P1/4PP1P/1R4K1 b - -,e6h3
r1bq1rk1/4bpp1/pp1p1nNp/2p5/P1B1P3/2N4P/1PP2PP1/R2QR1K1 b - -,f8e8
r4rk1/1pq2pp1/p2pb2p/3Bpn2/2P5/2P1B1P1/P2QPP1P/R4RK1 w - -,a1b1
1Q6/4qpk1/6p1/2p5/1pP1r2p/1Pb2N1P/6P1/3R3K b - -,c3d4
4kn2/2Q5/4ppp1/3p3p/3P1P1P/1q1NK1P1/5P2/8 w - -,e3e2
6k1/1p4bp/1q2p1p1/p2pP3/P1p3QP/R1P5/1P2N1PK/2B2r2 b - -,g7e5
3r1k2/6p1/R5p1/4P3/1P2b3/6P1/5K1P/8 b - -,d8b8
r2r2k1/pp2qpp1/2p1bn1p/3p4/3P4/2NBPP2/PPQ3PP/4RR1K w - -,c2f2
r7/pp3kpp/2p5/4R3/8/6P1/PPP2P1P/5K2 b - -,a8d8
5k2/R7/6p1/1P1Pp2p/4P3/p4PP1/8/r5K1 w - -,g1g2
r1q2rk1/1bB1bppp/1np1p3/8/n1P1N3/P3PN2/4BPPP/R2QK2R w KQ -,c7b6
r7/3nkp2/p6p/3p2b1/NP1P2P1/5P2/P1K1B3/7R b - b3,a6a5
2rq1rk1/1pp2pp1/pnb1p2p/8/PP1bP3/1QN2NP1/5PBP/3R1RK1 b - -,e6e5
5bk1/p4pp1/3p3p/P2Pp3/qN2b3/7P/B2B1PP1/2Q3K1 w - -,a2c4
2kr3r/pppqnpp1/2nbb2p/3p4/3P4/2PBBN2/PPQN1PPP/2KR3R w - -,h2h4
8/1p3Qpk/8/3P2p1/r7/6PB/2q2b1P/3R1K2 b - -,c2d1
1rq2rk1/5pbp/p2p1np1/nppP4/2P2N2/1P4P1/PBQN1PKP/1R3R2 b - -,c8d7
8/7p/P4Q2/3p3k/3P4/2P4P/1P5K/q7 w - -,f6e5
r4k1r/1b2qp2/p3p1p1/2p1P2p/2NpBP2/1Pn5/P1P2QPP/4RRK1 w - -,e4b7
5rk1/1p3ppp/1p1b4/rB6/4P3/5P2/bP2KNPP/R6R w - -,f2d3
2rq1rk1/1b1n1pbp/1p1n2p1/pB1p4/P1pP4/2N1PN2/1PQ2PPP/2BRR1K1 w - -,f3d2
k1r3b1/6r1/1Q6/7p/2N2P1K/1P6/P7/8 w - -,b6a6:b6a5
1r6/p3ppk1/2p1q1p1/7p/3pP2P/1r6/P1PQN1P1/K2R4 w - -,d2d4
r2qk2r/ppp1b1pp/2npbn2/5p2/2P1pP2/PPNPP3/1B2N1PP/R2QKB1R b KQkq -,d6d5
3r4/p2b1kp1/1pp4p/1PPnR3/3P4/P4PP1/5KP1/2R5 b - -,d5e7
8/1p1b3p/3kpb1p/3p3B/1P1n1P2/r5PP/8/2R1RNK1 w - -,f1e3
r7/p1kN1b1p/2P5/1P2pp2/R1P5/6P1/5P1P/2K5 b - -,e5e4
2rr2k1/pppnqpp1/4p2p/3n4/PP1Pb3/BQ3NP1/4PPBP/R2R2K1 w - -,g2f1
rnbqr1k1/1p3pb1/2pp1npp/4p3/1PP5/2NP2P1/3NPPBP/1RBQ1RK1 b - -,c8e6:d6d5
8/8/8/PR6/2k5/r7/1K6/8 w - -,b5h5
8/8/1p2p2p/3pP1p1/k1nP2P1/3N3P/3K4/8 w - -,d2c3
1b1rk2r/1p4qp/3Bp3/2PpP1p1/1Q3p2/1P3PP1/P5KP/4RR2 w k -,g3f4
r1bq1rk1/1p2bppp/p1nppn2/8/3NP3/2N1B1P1/PPP2PBP/R2Q1RK1 w - -,a2a4
