7k/8/6Bp/pp1R4/7P/1r3PP1/6K1/8 w - -,g6e8
8/1kp5/4P2P/6K1/1p6/p7/3R4/7r b - -,b4b3
8/p5k1/bp4p1/4P3/P7/1P1p1NPP/3R1K2/1r6 w - -,f3d4
rn1q1rk1/1bp1b1pp/p3p3/1p3p2/P1pPP1N1/2P3P1/5PBP/1RBQ1RK1 w - -,g4e5
3R1bk1/3Npp1p/3r2p1/2p5/1r6/1P4P1/5P1P/1R4K1 w - -,d8f8
rn1q1rk1/pb1pbppp/1p2p3/2p5/2PPP3/5NP1/PP3PBP/R1BQR1K1 b - -,c5d4
1r4k1/2p2qp1/p1R2p2/3P3p/4Q1P1/2B2P1b/PN5P/6K1 w - h6,e4e6
8/5R2/kpr5/3N2P1/2r5/6K1/5P2/8 b - -,b6b5
2r5/R7/5k2/6R1/7P/6K1/Pr6/8 b - h3,c8c2
r1b1kbnr/2q2ppp/p1pp4/4p3/4PP2/2NB4/PPP3PP/R1BQ1R1K b kq -,g8f6
8/p3kp1p/B6n/5p2/4p2P/1P4K1/P5P1/8 w - -,g3f4
7k/1p4pp/p1n2n2/3N1bN1/8/P5P1/1PP3BP/6K1 b - -,f5c2
r5k1/p2p1n2/bp1Pp2p/1q3p2/1R3P2/P1Q3P1/1P5P/4R1K1 b - -,b5d5
3r3k/1p2r3/3p1p1p/pPb1pBpP/6P1/1P3P1K/8/3R1R2 w - -,d1d5
8/8/4RP1p/2r4K/5kP1/8/8/8 w - -,h5h6
6k1/p3r1pp/1p6/3p4/PP1B4/2P4P/4rPP1/R5K1 w - -,g1h2
r2q1rk1/3nppbp/p1np2p1/2p5/1p2P3/2PPN1QP/PP3PP1/R1B1RBK1 w - -,e3g4
5R2/p6p/k2n4/P7/1PK2P1r/3N4/8/8 w - -,c4d5
r3k2r/1bq1bppp/p1p2n2/1p2pP2/4P1P1/2NBBQ2/PPP4P/R3K2R b KQkq g3,h7h6
rq2k2r/1b1n1pb1/p2pp1p1/1p2n1P1/4PN2/1N4QP/PPPB2B1/2KR3R b kq -,d7c5
6k1/5pp1/p6p/5N2/2r5/3N1P1P/r5P1/3R2K1 w - -,d3e5
4r3/4bkr1/2npbq2/p1p1p1pp/PpP1Pp2/1P1P1P1P/3R1BPN/1B2Q1RK w - -,b1c2
8/p4k2/3b3p/5pp1/8/2PN4/P4PPP/6K1 b - -,f7e6
2r2nk1/pp3rpp/3bp3/1P1p4/3P3q/3Q4/P3RPPP/1B1R1NK1 w - -,h2h3
5n2/Rp6/2p2n1k/4N3/P7/7P/1PP2PPK/4r3 w - -,e5d3
3n4/2k5/p2pB1pp/Pp1Pp3/1P2P2P/5KP1/8/8 w - -,e6g8
8/4k3/2p4p/4nQp1/1P6/8/P5PP/3r2K1 w - -,g1f2
rnr3k1/p1q2pp1/1pNp1n1p/3Pp3/2P1P3/4BP2/R2QB1PP/1R4K1 w - -,c6b8
1rq1r2k/1p1bbppp/p1pp2n1/2PPp2n/PP2P3/3BBN1P/2Q1NPPK/R4R2 w - -,f1c1
2rq1rk1/pp3p1b/4pn1p/2bp4/P2B3N/1P1n1NP1/6BP/R2Q1RK1 w - -,d4c5
1r1rn1k1/5pp1/pp2p2p/2p5/q1P2P2/1R1PP1P1/1Q5P/R3N1K1 b - -,a4c6
rnbqk2r/pp3ppp/4p3/3nN3/1b1P4/3B4/PP3PPP/RNBQK2R w KQkq -,b1d2
1r6/4kp2/6r1/3pPpP1/p1pP1P1R/KpP5/1R6/8 w - -,h4h7
2kr3r/p1q2pp1/1pp1p2p/2n1P2P/1BP2P2/8/PP2Q1P1/2KR3R w - -,b4c5
8/5kp1/7p/2B1P3/p5PP/P5K1/2b5/8 b - -,h6h5
r1b1r3/p1B5/1pp2p2/k5p1/1R2n1p1/P5P1/1PP1P1NP/2K4R b - -,c6c5
r1b1k2r/2pp1ppp/1np1q3/4P3/pbP5/1P2Q3/PB1N1PPP/R3KB1R w KQkq -,f1d3
8/5kP1/p7/Pp1K1n1p/1P5B/8/8/8 w - -,h4f2
r1bq1rk1/ppp1bppp/2np4/7n/2B1PB2/P1N5/1PQ1NPPP/3R1RK1 w - -,f4c1
8/prr1k3/2p1bp1p/2R1p1P1/1P2P3/P3KP2/4B1P1/7R b - -,h6g5
4kr2/3npp1Q/1qp3p1/3nP3/3PN1b1/P4N2/1p4PP/2KR1B1R w - -,c1b1
r4rk1/pp5p/n3q1p1/2pQPp2/2P5/PPN1b2P/R5P1/1B3RK1 w - -,g1h1
r2qnr2/1p1n1pkp/2p1p1p1/p2p4/2P5/PP1PPN1P/4BPP1/R2Q1RK1 w - -,d1c2
r2qk2r/pp1b1pbp/2n1p1pn/3p4/3P3P/2N1B1N1/PP2BPP1/R2QK2R b KQkq -,d8b6
r3qr1k/1ppb1pb1/p1np2pp/4p2n/4P2B/1BPP1N2/PP3PPP/R2QRNK1 w - -,f1e3
8/8/6R1/8/2pr2p1/2k5/4K3/8 w - -,e2e1
4nk2/1pBb1rbp/p2p1p2/3Q2p1/1N2P3/6Pq/PP3P1P/2R1R1K1 b - -,d7e6
r3r3/3n1pk1/1p3qp1/p2p3p/4n3/PP2PN2/3NQPPP/R1R3K1 w - -,f3d4
rnbqkb1r/ppn1pppp/2pp4/4P3/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,c8g4
6k1/2p2pb1/p5pp/1pB5/8/1PP4P/P1n2PPN/4R1K1 b - -,c2e1
8/8/k7/P2n4/K7/3N4/8/8 b - -,d5c3
r4rk1/ppq2pbp/5Bp1/2p1p3/4P3/2P5/PP2QPPP/RN2R1K1 b - -,g7f6
6bk/3q2bp/pr3np1/2p5/P2p4/1PNQ1BB1/2P3PP/3R3K b - -,d7e7
r3k2r/1pqnbpp1/p2p1n1p/4pP2/2b1P1P1/1NN1B2P/PPP1B3/R2Q1RK1 b kq -,b7b5
1r4k1/r3p2p/3p1pp1/2pP4/4P3/nP2B1P1/P4PKP/2RR4 b - -,b8b4
6k1/1p3p1p/p1p2np1/P7/2P5/1P5P/2B2PPq/3Q1K2 w - -,d1d4
2r4r/p2bkppp/1p1bp1n1/2p5/2P1PP2/1B1NBP2/PP5P/2KR2R1 b - -,h8g8
8/8/4k3/5R2/4q1P1/8/6K1/8 w - -,g2h3
8/4n3/3R1k2/5p2/r2N1P1p/7P/6PK/8 b - -,f6f7
r3r1k1/ppnbqpbp/3p1np1/2pP4/P3P3/2NB1N1P/1P3PPB/R2QR1K1 b - a3,a7a6
2rr2k1/p1n1qpp1/1p4p1/2ppP3/8/P1QRPN1P/1P3PP1/3R2K1 w - -,c3c2
r4rk1/ppp2qp1/2nb3p/3pN3/1P4b1/1QP5/P2N1PPP/RBB2RK1 b - -,c6e5
8/5k1p/3pppp1/Pp6/5PP1/2r5/1R4K1/8 b - -,c3c5
8/4R3/6p1/2p4p/5k2/1K3P2/6PP/2r5 w - -,e7e4
rnbq1rk1/pp1pp1bp/2p2np1/5p2/1P6/5NP1/PBPPPPBP/RN1Q1RK1 w - -,c2c4
rr2b1k1/q4ppp/2p1p3/2bpP3/P2P4/2Q5/R2B1PPP/R5K1 w - -,d4c5
rn2kbnr/pp3ppp/4p3/1q1pP3/3P4/P4N2/1P3PPP/RNBQK2R w KQkq -,b1c3
r2q1rk1/bpp2pp1/p1np1n1p/4p3/4P2B/1bPP3P/PP1N1PPN/R2QK2R w KQ -,a2b3
6k1/6r1/4p2p/pp1pPn1P/2pP1BR1/P1P3pK/1P4P1/8 b - -,g7g4
8/3r4/5p1p/2k3P1/4PP1P/1R1P4/5K2/7r b - -,h1h4
rnbq1rk1/p1p2ppp/1p2pn2/3p2B1/2PP4/P1Q2N2/1P2PPPP/R3KB1R b KQ -,c8b7:d5c4
rn3rk1/1p1bppbp/p2p1np1/P1pP2B1/1qP1P3/2N2N2/1P1QBPPP/R3K2R b KQ -,b7b6
8/3k3R/8/3K4/5b2/8/8/8 b - -,d7d8
8/p7/8/1P6/1PR1pp2/5k2/2K2P2/5r2 w - -,c4c7
8/5pp1/4p3/1pk3Pn/p4P1P/P2K4/BP6/8 w - -,f4f5
rnbq1rk1/ppppp1bp/5np1/5p2/2PP4/2N1PN2/PP2BPPP/R1BQK2R b KQ -,d7d6
1r5k/p4rpp/8/2N2n2/2p5/P6P/1P3P1K/3R2R1 b - -,h7h6
r2qk2r/p3nppp/1pp1p3/3n4/3P1P2/2N3P1/PP1Q1PBP/R4RK1 w kq -,a1c1
r3kb1r/pp3ppp/2n1pn2/2pp1b2/3P1B2/1qP2NP1/PP2PPBP/RN3RK1 w kq -,a2b3
