8/3r3k/3BR2P/4Kp2/4nP2/6P1/8/8 b - -,e4g3
r3r1k1/6p1/1pq2p1p/2p1p3/P3R3/3P2PP/2P2P1K/R3Q3 w - -,e1c3
2rr2k1/1pnb1ppp/8/p2N4/1P5b/P3P2P/1B1RKPB1/3R4 b - -,d7a4
8/6pp/1k3p2/p3pP1b/4P3/P1PBK1P1/7P/8 w - -,d3c4
2r2rk1/pp3pbp/2n1b1p1/3p4/Pq3N2/1P2B1PP/R1P2PB1/3Q1RK1 w - -,f4d5
1r2r1k1/pp4pp/2p1bn2/N4p2/1P3P2/P3P3/5PBP/2RR2K1 b - -,g8f8
2r1qrk1/p2b2p1/4pn1p/1p1pR3/3B1P2/2PB2P1/PP4QP/1K2R3 b - -,e8f7
2Rr4/3Pkp1p/p1P5/4p3/7p/5P2/P4P1K/8 w - -,h2h3
r2r2k1/1p3pp1/4qn1p/n2Pp3/P6N/2NPP2P/6P1/R2Q1RK1 b - -,f6d5
2rr2k1/5pbp/6p1/p1pp4/1n3B2/2P3P1/1P3P1P/1R1qRNK1 w - -,e1d1
8/p5bk/1p2p1pp/3p4/q2P4/2Q1KPP1/1P4BP/8 b - -,a4d1
b1rr4/2b1kpp1/ppn1pn1p/8/P1N5/1N2PB2/1P1B1PPP/2RR1K2 w - -,d2c3
8/8/pR6/8/3k4/3B2KP/PP2p1P1/4r3 w - -,d3a6
1r3rk1/5p1p/R7/1p6/2b4p/2P2B2/5PP1/R5K1 w - -,a6h6
r6r/pp1qb2k/3pp3/2p1p2P/4P3/2PP3Q/PP3P2/R1B2K1R b - -,h8g8
1r3rk1/4b2p/4p3/pp1pP1p1/3Pqp2/P1PN1R2/1PQ3PP/R5K1 b - -,g5g4
8/2r5/R5p1/2p5/2N2k2/8/P5K1/8 w - -,a2a4
4rBk1/2n5/2p3p1/2p1b3/2P1B2q/P7/1P4PP/R2QR2K w - -,g2g3
8/p3r1kp/1p4p1/2p1q3/2P1n3/7B/P1Q3P1/5R1K w - -,h1g1
rn3rk1/p3q1pp/bp1bpn2/2p2p2/2pP4/BPN1PN2/P3BPPP/R1QR2K1 w - -,e2c4
r2q1rk1/1bp2ppp/1pn1p3/p1npP3/5P2/PP2P3/1BP1B1PP/RN1Q1RK1 b - -,d8e7
8/8/8/2r5/3p3P/1R4PK/2p4R/2kr4 w - -,h3g4
4r1k1/1p3rp1/p3p2p/1q6/3RpP2/P2bP1B1/1P1Q2PP/2R4K w - -,h2h3
r3k2r/pp3pp1/1qn1bn1p/1Bbp4/8/1N3N2/PPP2PPP/R1BQR1K1 w kq -,b3c5
8/p6p/6p1/1p2k3/bP2P3/P3K1PB/7P/8 b - -,a4b3
3rk2r/ppq1bppp/2n2n2/2p1p3/4PP2/2P3PP/PP1N2B1/R1BQ1RK1 b k -,e8g8
1k1r4/pp1r2pp/5p2/3Pn3/3R4/P5B1/1P1R2PP/3K4 b - -,b8c7
8/8/1R3pkp/5Rp1/P3Ppn1/3K4/1P6/7r w - -,a4a5
2kr3r/2q2ppp/2p1p3/p2n2P1/B1PP3P/5Q2/1P3P2/1K1R3R b - c3,d5b6
r2q1rk1/1b2npbp/p2B2p1/4P3/2p5/2p2N1P/P1B2PP1/R2Q1RK1 w - -,a1b1
8/8/4pK2/3k1p2/4r3/7P/8/1R6 w - -,b1d1
2r1kb1r/1pqb1pp1/p2p1n1p/4p3/4P3/2NQ4/PPP2PPP/R1BR1NK1 b k -,f8e7
7k/p3r1p1/Q4n1p/2q5/8/5B1P/5PP1/3R2K1 b - -,e7d7
3r2k1/pp2bpp1/4p2p/4N2P/3R4/5P2/PPP3P1/1K6 w - -,d4d8
8/7p/6p1/1N1k1p2/P7/6P1/1b3P1P/6K1 w - -,a4a5
5r2/p4rk1/bp2p3/6pP/3nB3/2N3KP/PP2P3/2R1R3 b - -,g7h6
4Q3/6k1/p4p2/6p1/1q6/1P1p1P1P/P4P2/3K4 b - -,b4c3
2r1b1k1/pp6/1qn1p2p/3pP1p1/5r2/2B3N1/PPRQ1PPP/5R1K w - g6,d2e2
8/6k1/2pqp1r1/8/7P/2P2Qp1/P4PP1/4R1K1 w - -,h4h5
5nk1/2Rn1rb1/3P4/B3p2p/2B1PpP1/5P2/6P1/6K1 b - -,h5g4
r5k1/q3ppbp/3p2p1/3PN3/b3P3/PQ4PP/5PB1/2BR2K1 w - -,b3f3
r1b1R3/1pB4k/2n2bp1/p2p3p/P6P/4R3/5PP1/6K1 w - -,c7d6
r2q1r1k/1p1b1pbp/p1np2p1/2p5/2PpPPP1/3P3P/PPQBN1B1/R4RK1 b - -,b7b5
r2q1rk1/1pp3bp/p2pp1p1/3NP3/P2B4/5P2/1PP3PP/R2Q1RK1 b - -,e6d5
3rrbk1/pq3pp1/1p2p2p/8/6Q1/1P1RP1P1/P4P1P/B1R3K1 w - -,g4d1
k1nr3r/pp1qbpp1/4p2p/3pP2P/b1pP1BP1/PnP1QN2/1P3PB1/1R2RNK1 b - -,b3a5
r5r1/4kp2/2pn1pb1/1p1p3p/p2P1N1P/bPN1PBP1/P2K1P2/R3R3 b - -,a3b2
8/2n2rkp/3p2p1/2pP4/2P5/1q1QRP1P/4B3/4K3 b - -,b3d3
6k1/pp3r2/2qp2pn/N3p3/3Qb3/8/PPPR4/1K1R4 w - e6,d4b4
8/4B2p/k5rP/P6K/1P6/8/8/8 b - -,a6b5
8/6k1/4R2p/5P2/4K1P1/8/8/r7 w - -,e6g6
3q3r/1k3p1r/1pn1pP2/3p2Pp/bPpP3P/2P2BB1/4Q2K/2R2R2 w - -,c1a1
8/1p6/p1pbnkp1/5p2/2B4P/P1P3P1/1P2KB2/8 w - -,e2f3
rnb1k2r/ppp1qppp/3bpn2/3pN3/3P1B2/4P3/PPP2PPP/RN1QKB1R w KQkq -,b1d2
8/5p1p/3p1kp1/2nPp3/1r2P2P/1pN2P2/1P2R1PK/8 w - -,e2d2
3r2k1/1b2bp1p/p3q1pP/4p1P1/pPB1P3/P3QN2/3B4/4R1K1 b - -,e6c4
8/4k3/p2p1p2/2r1P2p/K1p3p1/2P1R3/PrP3PP/3R4 b - -,f6e5
Qnb1k2r/5p2/2p2n1p/p1b1q1p1/PPB1P3/2P5/3N1PPP/R1B1R1K1 b k b3,a5b4
8/6k1/rp3n2/4N3/3p2P1/3P1K2/4P2P/1R6 b - -,f6d5
rn1qr1k1/p2p1pb1/bp3np1/2pP3p/4PB1P/P1N5/1PQN1PP1/R3KB1R b KQ e3,b6b5
r1bqkbnr/pp4pp/2np4/2p1pp2/2P5/1P2PN2/PB1P1PPP/RN1QKB1R w KQkq f6,b1c3
2kr1b1r/1p3p2/pq1p1np1/1P5p/2P1bN2/2N3PP/P2Q2B1/3RKR2 w - -,g2e4
5k2/1r2b3/1p2p2p/1N2p1pP/1nP1B1P1/5P2/P2R2K1/8 b - -,b7b8
5R2/1p4pk/p3p2p/1b1P4/1Q1Pp2P/P7/5KP1/2q5 w - -,d5e6
r2q1rk1/pp1nbppp/2p1pn2/3p4/3PP1b1/5NP1/PPPN1PBP/R1BQR1K1 w - -,c2c3
r3kn1r/pp1bbppp/1qn1p3/3pP3/3P3P/1P1B1N2/P3NPP1/R1BQ1RK1 b kq -,f7f5
rn1qk2r/1b2bppp/pp1ppn2/8/2PNP3/1PN5/P1B2PPP/R1BQ1RK1 b kq -,e8g8
8/6pk/p7/Pp3p2/4q1b1/2P4p/1P1Q4/5RK1 w - -,f1f4
r1b1kb1r/ppp1pppp/2n2n2/q7/2B5/2N2N2/PPPPQPPP/R1B1K2R b KQkq -,c8g4
5r1k/8/6Qp/p2P3N/1p4P1/5P2/Pqr1N1KP/8 w - -,g6h6
8/ppQ2pkp/8/4r1p1/8/4P1q1/PP2R3/4KR2 w - -,f1f2
r2r4/pp2pk2/1np3q1/3pPp2/4nP2/1P2NQ2/PB2P2K/2R1R3 w - -,e3g2
3qrb1r/pp1n1k2/4ppb1/3p3p/2BP1B1P/P5N1/1P1Q1PP1/R3R1K1 w - -,c4d3
3qk2r/r3npb1/bpn3pp/p1pp4/P6P/2PP1NPB/1P1NQP2/R1B1R1K1 w k -,d2f1
r4r1k/ppp1q1pp/2n2b2/5p2/4b3/1QB3P1/PP1NPPBP/3RR1K1 b - -,e4g2
2qr4/5ppk/1Q5p/3p4/7P/4P3/5PP1/3R2K1 b - -,c8d7
r2q1rk1/1ppbbppn/p1np3p/8/3PP3/P2B1N1P/1P1N1PP1/R1BQR1K1 w - -,d1c2
8/R4p2/2P1b3/p1r1k1p1/8/4KB2/7P/8 w - -,a7a6
r1bk3r/pp5p/2n1p3/3pq1p1/1b6/3B3Q/PP1BNPPP/R4K1R w - -,e2c3
6R1/3kr2p/P5p1/1K6/6PP/8/8/6b1 b - -,d7e6
2b1k1r1/1p2q3/p1p1p3/P1Q1P1p1/1P1PBpRr/5P2/6RP/6K1 b - -,h4g4
4k2r/p4ppp/2n2p2/1N6/4p1b1/8/PPP2b1P/2KR2NR w k -,b5c7
rq3rk1/3nbp1p/5np1/p1p5/3p1P2/2BBP1N1/PPQ2P1P/R2R2K1 w - -,c3e1
3r1r2/1ppq2pk/1p1pnpnp/5N2/4P3/1P1P2QP/1PPB2P1/4RRK1 w - -,g3e3
8/6k1/4R3/3r4/4pPpp/4P3/6K1/8 w - -,e6e4
1r2rqk1/p1p2p2/2p1bnpQ/4p3/2P3P1/2NB1P2/5R1P/2R3K1 w - -,h6e3
3r1rk1/5pp1/1q2pb1p/p2n4/R2P4/2N2QPP/1P2NPK1/3R4 b - -,b6b2
