8/7k/R6P/5PK1/8/6P1/p7/r7 b - -,a1g1
8/8/4B2p/8/1p3b2/pP5P/Pk2K3/8 w - -,e2d1
2r3k1/5pp1/p6p/1pNp4/2RP4/4PPP1/n5KP/2R5 b - -,d5c4
1r3rk1/n1qnppbp/3p2p1/p1pP4/1p2P3/P1P1B1PP/1P2QPB1/RN1R2K1 w - -,a3b4
3N2k1/5pp1/4p2p/8/1Bp5/2P3P1/2P1R2P/R3K2q w - -,e1d2
r1bqk1nr/pp3p1p/2n1p1p1/2ppP3/3P4/P1P5/2P2PPP/R1BQKBNR b KQkq -,d8a5
1rbq1rnk/4bpnp/3p2p1/1BpPp3/2N1P1P1/2N1B2P/PP2QPR1/2KR4 w - -,a2a4
8/7P/1p3k2/1P3B2/4RpK1/2b1pP2/7r/8 b - -,f6g7
rn1qkb1r/pp3p2/2p1p1pn/3pP2p/3P1Pb1/2N2N2/PPP1B1PP/R1BQ1RK1 b kq -,h6f5
8/4k1pQ/7p/2q1n2P/8/2P3P1/5P2/6K1 b - -,e7f6
1r2r1k1/5pb1/p6p/2pRPPp1/1PN5/2B5/1P2p2P/4K3 w - -,b4c5
b1r2rk1/5ppp/pp2p3/4N3/8/5PP1/2qRQ2P/3R3K b - -,c2f5
rnb1r1k1/ppp1qpp1/3p1n1p/4p3/2PP3B/P3PN2/1PQ2PPP/R3KB1R b KQ -,c8g4
6r1/R1p1r1np/RpNp1k1n/3P1p2/1PP2P2/4p1P1/4B2P/6K1 b - -,e7d7
8/5p1p/1p1k4/2pP1p2/p1P1p3/3K1PPP/2P5/8 w - -,f3e4
r3kb1r/p5pp/bpq1pp2/2pp4/P2P4/2P1P1B1/1P1N1PPP/R2QK2R w KQkq -,d2b3
r1bq1rk1/1ppnbpnp/3p2p1/p2Pp3/1PP1P3/P4N2/1BBN1PPP/R2Q1RK1 b - -,f7f5
r5r1/2p5/2Pp1k1p/p2P1pp1/2P1pP2/1P2R1P1/P4K1P/1R6 w - -,h2h3
8/8/1r2NK2/7k/3R4/8/8/8 b - -,b6a6
3rr1k1/1p1q1pbp/1np2np1/p3pb2/P1P5/B1NP2P1/2QNPPBP/1R1R2K1 b - -,b6c8
1rb1n3/1r1nq1kp/p2p1p2/2pPpPp1/N1P1P3/RP1N2P1/R6P/3Q1BK1 w - -,a4c3
r1bq1rk1/ppBnbppp/4pn2/1N1p4/Q2P4/5N2/PP2PPPP/R3KB1R b KQ -,d8e8
2kb2r1/1pp4R/5p2/4pP2/1p1rN3/PR1P2p1/2P3K1/8 w - -,a3b4
8/P5k1/5p2/5q1p/6p1/6P1/Q4K1P/8 w - -,f2e3
3k4/8/1b1N4/4Pp1p/1B3Pp1/p5P1/b5K1/8 w - -,b4a3
r6r/1kpq2p1/p2bNn1n/3P4/Pp1P1B2/1B3QP1/1P5P/2R1R1K1 b - -,a8c8
8/8/4k3/p6r/PpN1K2P/1P4P1/8/8 w - -,e4d3:e4e3:e4d4
8/3k4/rp1p4/1R2pp1p/P1P1P2P/1P3KP1/8/8 b - -,f5e4
r1bqr1k1/ppp1Bppp/6n1/3p3n/3P4/2NBP3/PPQ1NPPP/3R1RK1 b - -,e8e7
r1b2rk1/pppnqpb1/7p/4p1pn/1P2P3/2P2NB1/P1QNBPPP/R4RK1 b - b3,f8e8
8/2R5/8/1P4pp/3p4/2k2K2/r5PP/8 b - -,c3d3
8/7p/4k3/b2R4/P1K3P1/7P/3p4/8 w - -,d5d3
r2q1rk1/1b1nppbp/pp3np1/2pp4/P1BP1B2/2P1PN1P/1P1N1PP1/R2QR1K1 w - -,c4a2
8/8/5k2/3P4/8/n1pK4/2B5/8 b - -,a3c2
r4rk1/pp3pp1/2p2n1p/5Q1P/3P1N2/2P2P1R/qP4P1/2KR4 w - -,g2g4
5k2/ppp3r1/3pQ3/3Pn3/3BP3/8/PPP3q1/1K5R w - -,h1h8
r1bq1rk1/1p2bppp/p1nppB2/8/4P3/1NN5/PPPQ1PPP/2KR1B1R b - -,e7f6
r3k2r/2qnbp2/pp2p2p/n1p1P1p1/2Pp1P1P/P2P2P1/1PNNQ1K1/R1B2R2 w kq g6,b2b4
3r1rk1/p4ppp/1p2p3/2b1N3/2P1b3/1P4P1/PB3PP1/R4RK1 w - -,a1d1
4r1k1/p4p1p/6p1/2P2P2/3R4/5QP1/6KP/4q3 b - -,e8e2
5rk1/1p1qb1pp/1n2p1p1/n2pP3/p2P2P1/P2BB2P/1P1NQP2/2R3K1 b - -,f8c8
r1q2rk1/1pp1ppbp/2n3p1/p2n4/3P4/PP3bP1/1B1NPPBP/R2Q1RK1 w - -,d2f3
r1r5/7p/p3k3/3p1p2/Pp1Kb3/4P1P1/1P2B2P/2R2R2 b - -,e4c2
1R2q3/4rnkp/5pp1/p2p4/3P1BQP/n2B1P2/6P1/6K1 b - -,e7e1
r1br2k1/1p3pb1/p2pp1np/4q1p1/3BP3/1PN2P1P/1PP2QP1/1K1R1B1R b - -,e5f4
r2qkb1r/pp1npp1p/3p1np1/8/2PpP1b1/2N1BN2/PP2BPPP/R2QK2R w KQkq -,f3d4
8/5ppk/1nB1p2p/p7/Pn5P/1P2K1P1/3N1P2/8 w - -,c6b7
r2r2k1/ppn2pp1/2p4p/3b4/3P2P1/B1N5/PP3PP1/3RR2K b - -,d8d7
r1b1nrk1/p3qppp/1n6/QNppP3/8/P3N1P1/5PBP/1R3RK1 w - -,e3d5
6k1/8/7p/6p1/1P3r2/6NP/6PK/8 b - -,f4b4
7k/5p1p/1p3N2/6P1/PP1b4/6P1/6KP/8 w - -,a4a5
r4qk1/pp4bp/4b3/2p1pp2/2PN4/P6P/1P1QBPP1/3R1RK1 b - -,c5d4
3B4/8/1K2k1p1/1P6/7p/6P1/4b2P/8 b - -,e2f3
2rr2k1/pn2qpp1/3bb2p/8/N2Pp3/1PB1P1P1/PQ2B3/R4R1K b - -,d6g3
5r1k/1pq1p1rp/pN1p1p2/PnpPbPpR/4P3/2P4R/1P2Q1PP/2B3K1 b - -,f8f7
2r3r1/pp1b1p2/3kpP1p/3pR1pP/3P2P1/3B4/P1PK1P2/7R w - -,h1b1
2rq3r/pp1n1kpp/3bpn2/3p4/3pP3/1P1B4/PBPN2PP/R2Q1RK1 w - -,b2d4
3rrbk1/3q1ppp/5n2/p1pPp3/1p2P3/1P4PP/PB2QPBK/2R2R2 w - -,e2c2
rnr3k1/4Rpp1/p3bn1p/1p1pN3/2pP1B2/2N3P1/PPP2PKP/4R3 b - -,g8f8
2r1r1k1/3nqp1p/bpnbp1p1/pN1p4/N1P1PP2/P2P2P1/1B2Q1BP/R4RK1 b - -,d5c4
3R3r/kp1Q2p1/p7/3p1p2/3P4/P3P1P1/3n4/1R2K1Nr b - -,h1g1
r4rk1/pp1b2pp/2n1pq2/3p4/3P4/3B4/PP1QNPPP/R4RK1 w - -,a1c1:d3b5
4r1k1/5q2/Q5p1/4n3/5B2/6PP/P3PP2/5RK1 b - -,e5d7
r1b2rk1/1p1n1pnp/2p3p1/p2pP3/P2N2q1/2N4P/1PP2PP1/3RRBK1 w - -,h3g4
2knq2r/1pr2pp1/p3p2p/2PpP2P/P2P4/Rpb1B3/3NQPP1/1R4K1 b - -,c3b4
2kr2r1/p4p1p/1p2p1p1/2pqP3/3p1PPQ/1P1P1R1P/P1P2K2/4R3 b - -,g8h8
r1b2rk1/pp3ppp/1qB1p3/3pPn2/3P4/2N2N2/PP3PPP/R2QK2R b KQ -,b6b2
r4r1k/1pp1n1pp/1p1q4/3P1p2/8/1Q3B2/PP3PPP/R3K2R w KQ -,e1g1
r1bqk2r/ppp1bppp/2n5/4n3/2Pp4/1P3NP1/P3PPBP/RNBQ1RK1 w kq -,c1b2
4b1k1/6pp/3p1q1n/2pP4/p1P2P2/P5QP/3N2B1/6K1 w - -,g3d3
8/pp2r1kp/5p2/2pP4/3q2b1/6P1/P1Q2RBK/8 b - -,e7e5
2rqr2Q/1p2kpp1/1p6/pP2p3/PbN1B3/3PP1P1/5P2/1R3bK1 w - -,h8g7
1Q6/3k3p/1p1p3B/3P1bp1/2Pb4/8/2q3PP/5N1K w - -,h6g5
4rr1k/pp1bq2p/2p5/3p1p1R/3P1P2/PP2P3/1KPQ4/2N3R1 b - -,f8g8
8/1r6/6R1/5p2/5k2/5P2/7P/6K1 b - -,f4f3
r2qk2r/pp2pp1p/2B3pb/2p5/8/2N3P1/PP2PP1P/R2Q1RK1 b kq -,b7c6
4r1k1/3n1pbp/3B2p1/3P4/2p1PN2/6P1/7P/4R2K b - -,c4c3
8/8/8/2p4p/2R2P1k/4PK2/P7/5r2 w - -,f3e2
3r2kr/3qnpb1/pp2p1p1/2p1P1P1/P2pPPN1/8/1PPB2Q1/R4RK1 b - -,d7c6
1k5r/ppb3Q1/2p3pr/2P5/1P1PpP2/6N1/P2BK1Pn/8 w - -,g3e4
3r2k1/1p2bpp1/1qp1p2p/3r4/p2P4/P2NP1P1/1PR1QPP1/2R3K1 b - -,b6a7
2r3k1/pR6/7p/2P5/8/6P1/P1P5/7K b - -,c8c5
rr4k1/3n1pbp/6p1/pqpPn3/4PN2/B5P1/1R4BP/2RQ3K b - -,b5a6
3k1bnr/p2b2pp/2B1p3/1p2P3/3p4/5N2/PP3PPP/R2R2K1 b - -,d7c6
