8/1r4pk/R6p/8/p1r2B1P/P5PK/8/8 w - -,f4d6
r1b1k2r/2qnpp1p/2p2npQ/pp1p4/1P1P2P1/P1N2N1P/2P1PP2/1R2KB1R b Kkq -,a5b4
r2qkb1r/1p1bpppp/p1np1n2/6B1/4P3/2N2N2/PPPQ1PPP/2KR1B1R b kq -,e7e6
r5nr/2B3pp/p1n1k3/1p3p2/4p3/8/PPP1BPPP/R2R2K1 b - -,c6b4
r4rk1/pb3qp1/1p2pb1p/1P6/3Np3/6P1/P3PP1P/1QRRB1K1 w - -,d4c6
1rbqk1nr/2pn1pbp/p2p2p1/4p3/PpBPP3/4BP2/1PPQN1PP/R2NK2R b KQk -,d8e7
6k1/R4p2/4p1pp/4q3/7P/6P1/1r3P2/3R1BK1 w - -,d1d8
3r4/1p2k3/p1b1p2p/2P3q1/1PP5/1R2PP1Q/r5P1/5RK1 w - -,b4b5
4r3/3Nrpk1/p1Q4p/3p2pq/2nP4/2R1P1P1/5R1P/5BK1 w - -,d7f6
2Rr2k1/pp3pp1/4b2p/6q1/1P1n4/P4P2/1B2BKPP/3Q3R b - -,e6c8
r1b2rk1/1pq1bppp/p2ppn2/8/2PBP3/P1N5/1P2BPPP/2RQ1RK1 b - -,f6d7
8/5pk1/2p3p1/4P3/5PP1/pq4K1/8/2Q5 w - -,g3h4
2r1r1k1/1b1nqppp/1ppb1n2/p2p4/3P4/2N1PNPB/PPR2P1P/R2QB1K1 w - -,a1c1
r1bqk2r/pp2bppp/2p1pn2/3n4/3P4/1BN2N2/PPPBQPPP/R4RK1 b kq -,d5c3
1r1q1r1k/1b5p/pP1pn1p1/3Nppb1/2B1P3/N2Q1P2/PP4PP/3R1R1K w - f6,d5c3
r4rk1/pbp1qppp/1p2pn2/8/1n1PP3/2N5/PP2NPPP/RB1Q1RK1 w - -,a2a3
r1bqkb1r/1p1n1ppp/p2ppn2/6B1/2BNP3/2N5/PPPQ1PPP/R3K2R b KQkq -,d7c5
1rb3k1/2r4p/4p1p1/p1B5/2B1P3/1P3P2/P5PP/3R2K1 w - -,c5d6
r2qk2r/1ppn4/1bnpp2p/4p1p1/PpN1P3/1QPP1N2/5PPP/R1B2RK1 w kq -,c4b6
8/3n1N2/1p4p1/5k2/PK6/8/8/8 b - -,f5f6
3k3r/5ppp/R3p3/3pP2P/B2P4/b7/5PP1/6K1 b - -,h8f8
5r2/pq3p1k/4b1p1/3pP2p/3N3P/P5Q1/1r3PP1/R3R1K1 w - -,g3f4
8/5k2/pq6/b1pPp1n1/b1P1PpP1/5P1p/1Q2N3/2K4B w - -,b2e5
6k1/1p3bpp/8/5Q2/3q1P2/8/1P4NP/5K2 b - -,f7c4
3r1r1k/1p3qbp/2n2np1/pQ1p4/2p5/PPN1PP1P/4BBP1/1R1R2K1 b - -,c4b3
2r1r1k1/p1nq3p/4p1pP/2p1BpP1/1pP2P2/3P3R/PP2Q3/2K2R2 w - -,h3e3
3r4/pp2kpp1/4b2p/3p4/3P3P/P2B2P1/1P1K1P2/2r4R w - -,h1c1
8/5K2/2p5/1p6/p2R4/k7/P7/8 w - -,d4d2
8/1r6/4pk2/7p/1P1RKP1P/8/8/8 w - -,d4c4
r3q2r/ppp2p2/2n2kp1/4pNbP/2P1P1B1/8/PP1Q1P2/2KR3R w - -,f5e3
2b1r3/6k1/1p1p2p1/pNnP1p2/2P2P2/5B1P/1P3K2/1R6 b - -,e8d8
5rk1/5p1p/5p2/p6p/8/4P3/2R2PP1/4K3 w - a6,c2a2
5nk1/2Q2pp1/5nbp/4p3/4P1P1/6r1/3rB2P/1R4K1 w - -,h2g3
1rr3k1/6pp/1q2p3/1bbpP3/Pn1N4/1PR5/3Q2PP/3R2BK w - -,d4b5
2br2k1/1p1p1pbp/1r1Pp3/p6p/B2P4/BP4P1/P4P1P/R2R2K1 b - -,b6a6
1rb1k2r/1nR4p/p5p1/3pPpq1/Np1P4/1Q6/1P3PPP/R5K1 b k -,g5d8
8/2r4k/p5Rp/2p2R1P/3p2P1/1P6/P1n5/7K w - -,f5f6
8/5p2/1k6/1P2P1p1/8/2Ppbb2/1R5P/4K3 b - -,d3d2
1r1q1r1k/p1p1bp1p/b3pp2/7Q/2pP3P/2NnP1P1/P1RN1PB1/5RK1 b - h3,c7c5
2r3k1/pp1bppbp/3p1nP1/q7/2rNP1P1/2N1BP2/PPPQ4/1K1R3R b - -,f7g6
8/8/8/1B4b1/P2p4/1P3k1p/8/6K1 b - -,g5f4
8/3n1pk1/4b1pp/R7/6P1/3B3P/5P1K/8 b - -,g7f6
r5k1/1p4pp/8/2p1p3/2PnP1K1/1P1P2P1/1Bn5/2N4R w - -,h1h5
4k2r/5p2/4p3/1pB1PbP1/2p2P2/2P1K1Rr/4B2n/6R1 w - -,e3f2
8/8/8/3r2pR/p1k5/6KP/8/8 w - -,h5h8
r3kb1r/ppqnppp1/2pp1n1p/6B1/3PP1b1/2PB1N2/PP1N1PPP/R2QK2R w KQkq -,g5h4
1r6/2r2kpp/b2p1p2/p3pP2/2PpP2P/PP1K2P1/2R3B1/2R5 w - -,c1b1
6k1/4B1b1/p2rn3/8/2P1Q3/1P5P/P7/1K6 b - -,e6c5
6r1/P1Nk4/1K6/8/8/8/8/8 w - -,b6b7
2k1r2r/p1ppqpbp/b1p5/3nP1p1/2P4P/1P6/PB1NQPP1/2KR1B1R b - h3,d5f4
r3q1k1/2pbnrpp/p1p2p2/1pQ5/3NP3/4B3/PPP2PPP/3R1RK1 w - -,d4b3
4k3/R4p2/8/P5pp/8/2P5/1KP5/3r4 w - -,a5a6
5rk1/ppq1bpp1/4p2p/3r3P/3PQPP1/2p5/PPP5/1KBR3R w - -,b2b3
5r2/ppN3k1/6p1/4p1b1/2PnP1B1/5P2/PP6/1K5R b - -,f8h8
r1bq1rk1/1p1n1pbn/p2p2p1/3Pp2p/4P1P1/2N1BP1P/PP1QN3/R3KB1R w KQ -,h1g1
r1r5/7p/p3kp2/3p4/Pp1Kb3/4P1P1/1P5P/2RB1R2 w - -,d1g4
r1bqkb1r/ppp2pp1/2n4p/3np3/8/P1NP1N2/1P2PPPP/R1BQKB1R w KQkq -,g2g3:e2e4
r2q1rk1/1b1nppbp/ppnp2p1/3N4/2P1P3/1P2QN1P/PB2BPP1/1R3RK1 w - -,b2g7
r4rk1/1pp1qnpp/1p1pbn2/1B2p1B1/1P2P3/2PQ4/P2N1PPP/R4RK1 w - -,g5h4
6k1/2p5/3p2p1/1P1n4/1P1Nr1P1/8/4PK2/5R2 w - -,d4c6
6k1/5pq1/5n2/4Q2p/4P3/P4PB1/1P4KP/8 w - -,h2h4
3rk3/p3q2p/1p2b1p1/2rp1p1P/3Q4/1RBP2P1/4PPB1/6K1 b - -,e7f7
r1b1r1k1/ppp2ppp/1qn2n2/4p3/2B5/P1BP1N1P/1PP2PP1/R2QR1K1 b - -,b6c5
r4rk1/pbq1bppp/1pn2n2/2p1p3/2P5/1P1BPN2/PB1NQPPP/R2R2K1 w - -,d2e4
rnbqk2r/pp3ppp/2p5/2bnp3/8/2N1P1P1/PP1P1PBP/R1BQK1NR w KQkq -,g1e2
r3r1k1/pp3ppp/2n2q2/2Pp4/1P2n1b1/P3PN2/2Q1BPPP/R1B2RK1 b - b3,g4f3
4r2k/1p4p1/2b1q2p/4r3/P3p2P/1P2Q1PB/4R2K/4R3 b - -,e6e7
r1bq1rk1/1p1n2bp/p2p2p1/2pP3n/P4p2/2N1P2P/1P1NBPPB/R2Q1RK1 b - -,f4e3
r1q1r1k1/pp1bbppn/2pp2np/3Pp3/4P3/2N1B1PP/PPP2PBK/2RQ1RN1 w - -,d1d3
rn5r/pp2kppp/1n2p1b1/3p4/3P2P1/1PN1P2P/P4P2/R1B1KB1R b KQ -,b8c6
r3qrk1/p1pb2bp/1pn1p1p1/3p1p2/P2Pn3/NQPNB1P1/1P2PPBP/R4RK1 w - -,f2f3
2r2k2/2rR1ppp/1pR5/pP2N3/n7/4P3/5PPP/6K1 b - -,c7c6
r2qkbnr/pp3bpp/2n1pp2/2ppP2P/3P1PP1/2N5/PPP1N3/R1BQKB1R w KQkq -,c1e3
7n/4K1pk/8/7P/8/8/6R1/8 b - -,h7h6
r1b2rk1/1pq1ppbp/p2p1np1/n5B1/3NP3/1BN5/PPP2PPP/R2QR1K1 w - -,g5f6
2r2rk1/pp4p1/1q2pp1p/3p4/1b1P1B2/2PQR2P/PP3PP1/2KR4 b - -,f6f5
r1r3k1/6pp/p1b2p2/4pP2/1R1Pq3/4B3/2PQ1RPP/6K1 b - -,a6a5
2rqr1k1/3N1ppp/p2b1n2/1p1p4/P1pP4/1P2P3/1B2QPPP/RNR3K1 b - -,f6d7
1nrr2k1/p1q2pbp/2bp2p1/4pP2/4P3/1P2N1P1/PB1R2BP/3RQ1K1 w - -,f5g6
2r3k1/5p2/p3pPp1/1p1r4/2n4R/P5NP/2P2R2/6K1 b - -,c4e3
8/p1r3k1/1p3Rpp/8/2p5/3n4/PP1R2PP/7K w - -,f6d6
8/7p/4k3/1p6/1P2n2K/8/8/B7 b - -,e6d5
8/1p4k1/4p2p/1p1pP3/2P5/PP2r1P1/8/3R2K1 b - -,b5c4
2r3k1/3r1p2/p2Bpb1p/q1Pp2p1/3P3P/PR1R2P1/5P2/3Q2K1 w - -,b3b4
