r7/P7/3P4/5k2/8/R3P1K1/8/8 b - -,f5e6
r1b2rk1/ppqn1pbp/6p1/2p1p3/2P3n1/2NNB1P1/PP2PPBP/R2Q1RK1 w - -,e3g5
6k1/8/8/2N5/5pbp/PP6/3K4/8 w - -,c5d3
2b2bk1/p4ppp/8/1q1PQ3/5P2/P5P1/1B4NK/8 w - -,f4f5
3rr1k1/n1qn1p1p/1p3bp1/p1pPp3/P3P2P/1PQBN1P1/1B3P2/R3R1K1 w - -,h4h5
3k4/6q1/1N6/K7/8/1P3P2/8/8 b - -,g7c3
r2qr1k1/pb3pbp/1pn3p1/4p2n/1PPp4/P2P1N2/RB1N1PPP/3QRBK1 w - -,g2g3
r4nk1/5pp1/4p3/2P4p/pQ1PqP2/6PP/1B3K2/R7 b - -,h5h4
r1bqk2r/1p3pbp/pn1p1np1/2pP4/P1N1P3/2N5/1P3PPP/R1BQKB1R w KQkq -,c4e3
r2q1rk1/1b3ppp/p1np4/1p3Q2/4PpPP/N1P5/PP3P2/2KR1B1R b - -,f4f3
5rk1/p6p/3R2p1/2p5/5n2/1P1p1B2/1b3PPP/R5K1 w - -,a1a7
8/5k2/p2p1ppb/2pP4/P1P2P2/6pP/3B2P1/1b2NK2 b - -,b1a2
r4rk1/4ppbp/3p2p1/q1pPn3/4P3/2N4P/PPR1QPPK/R1B5 b - -,a5a6
3r4/3r2k1/2R5/1p2PpP1/1P1p1K2/3R4/8/8 b - -,d7d5
8/p7/2k5/8/2p4p/7K/P6B/8 w - -,h3h4
6k1/1R4pp/p3p3/4p3/1P6/P5P1/4PPKP/r7 w - -,b7a7
2n5/2q3nk/p2ppr1p/1p2p1p1/4P3/PPN1Q1N1/2P2PPP/3R2K1 b - -,f6f7
8/8/8/1R3pK1/4k1p1/5rP1/8/8 w - -,g5h4
r2qkb1r/pb1n1ppp/1p2pn2/2p5/2PP4/3BPN2/PB3PPP/RN1Q1RK1 w kq -,b1d2
2r3k1/ppr2ppp/4p3/3q4/P1nP4/1QP2N2/4RPPP/2R3K1 b - -,c4b6
5r1k/r4pbp/q2p1Np1/3P1bB1/pp3Q2/6PP/nP3PB1/1R3RK1 b - -,f5b1
r1b1r1k1/pp2qppp/2p3N1/3p4/3P2n1/2NBP3/PPQ2PPP/1R3RK1 b - -,h7g6
8/5p1p/1p1r1k2/p1rP1b2/3R1P1P/P4B2/1P2RK2/8 b - h3,c5c1
q4r2/3n1pbk/rpppb1pp/2n1p3/P1P1P3/R1NPB1PP/3QNPBK/1R6 w - -,b1a1
r4rk1/pp1b1qp1/2p1p2p/3P4/2PQpP2/PP4R1/1B4PP/5RK1 b - -,e6e5
r2qk2r/pp1n1ppb/2pb3p/3pp3/4P3/1P1P4/PBPNBPPP/R2Q1RK1 b kq -,e8g8
r1b2r1k/pp1q2b1/6p1/3P1nB1/P3Q3/2P3P1/1P3PBP/3R1RK1 w - -,f1e1
r1bq1rk1/pp2ppbp/2n3p1/2pn4/8/2PP1NP1/PP3PBP/RNBQ1RK1 w - -,d3d4
r3r1k1/p2nqpp1/1p4p1/3p4/1P2n3/P3PNP1/1Q3PBP/R2R2K1 b - -,d7f6
2nrrb2/pkn3pp/1pp2p2/4pP2/P3P3/1BP1BP1P/1PK2NR1/3R4 w - -,d1e1
q7/rp3pk1/1np1p1p1/4Pn1r/p1RPN2p/P2Q1N1P/1P3PP1/2R3K1 w - -,c4c2
2br2k1/R5p1/4p2p/1BrpR3/1pP2P1P/6P1/4P3/7K b - -,b4b3
2r1r1k1/4qp1p/1pp1n1p1/p2pP2n/3P1P2/P2B4/1P2N1PP/2QR1R1K b - -,f7f5
r1r4k/1pp1bqp1/p2pPn1p/8/1P2P3/P1N1B2P/Q1P4K/4RR2 b - -,f7h5
3k3r/8/2pp3p/4q2P/8/4p3/PPP1B1P1/1K2Q3 b - -,h8f8
r1bq1rk1/1p2bppp/p3p3/3p4/1n1PnB2/P1N1PN1P/1P2BPP1/R2Q1RK1 b - -,e4c3
8/1p2k3/p2n2p1/3p3p/3N2P1/1P3P2/P1P3K1/8 b - -,e7f6
rnb1k2r/ppp2pp1/3ppq1p/8/1b1PP3/2NQ4/PPP2PPP/2KR1BNR b kq -,e8g8
r4q1k/3b1r1p/4p3/p2pPpR1/1P1P4/3BPK1P/P5Q1/6R1 b - -,a5b4
2b2rk1/6p1/r3p2p/p1N1N3/1p1P1PPb/8/PP2R2P/1K3R2 b - -,f8d8
2rr2k1/p4ppp/Q7/2p1n3/3q4/B2nRPP1/P3R1KP/8 b - -,h7h6
r2q1k1r/pb2bppp/3p1n2/1B2p3/4P3/P3BN1P/1PP2PP1/R2Q1RK1 b - -,f6e4
r1bq1rk1/p3ppbp/1pn1n1p1/2p1P3/P7/N1PB1N1P/1P2QPP1/R1B2RK1 w - -,d3e4
2r5/1pr1b1k1/p3p1pp/3pP3/P1n2B2/2PB2P1/1P2RPK1/7R b - -,g6g5
r5k1/1pq2p1p/2pRnnp1/2P1p3/1P2P3/r5P1/2Q1NPBP/3R2K1 b - -,a3a2
7r/1b2q1k1/p3B1p1/1p1p4/1PnNn3/P5PQ/2P3K1/3R2B1 b - -,h8h3
r7/4KB2/7k/8/8/8/8/6R1 b - -,a8a3
r4rk1/1bqn1ppp/p2ppb2/1p6/3NP3/5B2/PPPNQPPP/2R1R1K1 w - -,e2e3
2r2nk1/7r/2pPPpp1/3p1N2/1P4Q1/7R/2P1RPPK/3q4 b - -,h7h3
r4rk1/pp2bppp/1qn1bn2/3pN3/2pP1B2/1PN3P1/P3PPBP/2RQ1RK1 b - -,c4b3
rnbq1rk1/pp3ppp/3bpn2/2pp4/3P4/1P1BPN2/PBPN1PPP/R2QK2R b KQ -,b8c6
1r6/8/3p4/p1p1p3/P3P2P/2PPkp1P/3R4/4K3 w - -,d2d1
8/8/8/7p/1p5k/8/rPK5/1R6 w - -,c2b3
rr4k1/p3pp1p/2p2qp1/1n3b2/Q2P4/1PN2N1P/P4PP1/2R1R1K1 w - -,f3e5
8/2Rbpp1k/3p1npb/3P4/2B1P2p/2N2P2/1NK3PP/1r5R b - -,b1h1
2r1n1r1/1pqbbp1k/2pp3p/p2Pp1pP/PnP1P1P1/1PN1BP2/3QB1KN/2R2R2 w - -,e2d3
3b4/8/1p1p2b1/1P1Pp3/4Ppk1/8/2B2B2/6K1 w - -,g1f1
1r4k1/4bpp1/7p/1p1p3b/1P1Rp3/1qP2PN1/1P2QBPP/6K1 b - -,h5g6
5rk1/1b4pp/pp3q2/1p1pp3/1PrP4/2PN2R1/3Q1PPP/1R4K1 b - -,e5e4
4k3/2b2ppp/2N5/4p3/8/1P4P1/1P2KP1P/8 w - -,b3b4
8/p4rk1/1p5p/4R3/2PPKr2/1P3p2/P4R1P/8 w - -,e4e3
rnbqkbnr/3p1ppp/p3p3/1pp5/4PP2/2N2N2/PPPP2PP/R1BQKB1R w KQkq -,g2g3
r1b2rk1/ppqnbppp/3p1n2/2p1p3/3PP3/2P2N2/PPB1QPPP/RNBR2K1 w - -,a2a4
8/8/6p1/4k3/5Rp1/p3P1K1/r4P2/8 w - -,f4g4
4rrk1/5p1p/3p2p1/pR1P2q1/8/P1bP1RPP/5QBK/8 b - -,c3e1
8/3kbpp1/2r4p/3P4/4K3/5P2/5P1P/4B3 w - -,d5c6
r1bqrbk1/1pp2ppp/1nn5/p3p3/8/1PNP1NP1/PB2PPBP/2RQ1RK1 w - a6,c3e4
1rb1kb1r/2qp1ppp/p1n1p3/2p1P3/2P3n1/2B2NP1/P2PQPBP/RN2K2R b KQk -,g4h6
r3r1k1/pp3ppp/2p1pb2/8/2nP4/P1P2NB1/1PR2PPP/3R2K1 b - -,e8d8
rr4k1/1p4pp/2p2p2/2Pp4/P2P2N1/1R4P1/2b2P1P/R5K1 w - -,b3b4
rr4k1/1b4p1/p1n1p2p/1pPpPp2/3P1P2/P2BK3/4N1PP/RR6 b - -,b7c8
rn1q1rk1/pb2bppp/1pp5/3BP3/8/P1N2N2/1P3PPP/R2QK2R w KQ -,d5e4
1rb1rbk1/pp1nqp2/3p1npp/PPp1p3/2P1N3/3PN1PP/3BPPB1/1R1Q1RK1 w - -,e4c3
2qr2k1/p4p1p/bp1r1np1/n1pp1P2/P2P1Q2/2PBP1N1/3B2PP/2R2R1K w - -,d3a6
r1b1kb1r/pp1n1p1p/2n1p3/3pP1NP/8/3B1N2/Pq1B1PP1/1R1QK2R b Kkq -,b2a2
r1br2k1/1p3pbp/6p1/pBPp1q2/P4B2/5P2/1P1Q2PP/3RR1K1 w - -,g2g4
8/8/6Nk/3B1K2/8/8/8/8 w - -,f5f6
3r2k1/5p1p/p3p1p1/1p1qb3/8/1NP2P1P/PPQR2P1/6K1 b - -,d5a8
r3nrk1/ppqnbppp/2p4B/4p3/4P3/2N3QP/PPP1BPP1/3R1R1K w - -,h6c1
1r6/3b1k1p/4p1p1/p2p3P/2pP1PP1/2P1R3/P7/2KB4 w - -,e3h3
r2q1rk1/ppp3pp/2np1b2/3Np3/2P1P3/5B2/PP1Q1PPP/R3K2R b KQ -,f6g5
1r3bk1/1r1b1pp1/p6p/R2P4/1PP1p1q1/4N3/Q2B1PP1/1R4K1 b - -,g4h4
1r1n4/4rpk1/1bp2Npp/1p1pP3/1P1P3q/2PQR2P/2B3P1/R6K w - -,e3g3
4r1k1/4rpbp/bq1p1np1/p1p3N1/1nP1P3/RP2BPP1/3Q2BP/4RNK1 b - -,a6b7
1b1rk2r/1p5p/2pBp2q/2PpPpp1/1Q6/1P2PPP1/P5KP/4RR2 b k -,h6g7
