5k2/2R1N1bp/8/8/4KP2/7P/1r6/8 w - -,e7f5
3r4/1b2qpk1/6p1/p7/2Br2R1/1PQ5/P5PP/7K w - -,g4d4
8/5p1k/7p/1R6/P5p1/1P2K1P1/7r/8 b - -,h7g6
5r1k/6p1/p2r1q2/1pp1p2p/1P2QbR1/P1PP1R1P/8/5B1K w - h6,g4g1
6k1/4q2p/4P1p1/p7/3Qp2P/6P1/5P2/6K1 w - -,d4e4
8/4k3/1p2b1pp/p1rpP3/P4PP1/1B4KP/1P6/3R4 w - -,h3h4
5rk1/1bB1ppbp/1p3np1/1NnPNq2/2P5/7P/r3BPP1/2RQR1K1 w - -,b5d4
6k1/1p4b1/1p6/3bp3/4NpP1/2PB1P2/1r6/3R2K1 b - -,g8f7
r3k2r/pp2bppp/1qp1p1n1/2p1P3/4NP2/2PP3P/PP2QP2/R1B1K1R1 b Qkq -,e8c8
1Q6/3k4/8/3Br3/4p3/2K5/8/8 b - -,e5d5
5k1r/4bp2/2bpp3/1r3p2/p1B1P3/2P2PRP/1P3B2/1K1R4 b - -,b5b8
r1b3k1/ppp2pbq/5R1B/6Q1/8/8/PPP1r1BK/5R2 w - -,f1f3
r1b1k2r/1p1nbpp1/pq1pp2p/8/3NPPPP/2N5/PPPQ4/2KR1B1R b kq -,d7c5
6k1/5p1p/3p2p1/2pP4/Q3P3/n4P1P/1q4P1/5N1K b - -,c5c4
2r1qbrk/1p1b3p/1Q6/2pPp1p1/2N1PpPP/2N2P2/1K2BB2/R7 w - -,h4h5
2b5/ppk1rBpp/2p2n2/5P2/4P3/2N3PP/PP6/2KR4 w - -,f7b3
3r1k2/1p3p1p/p3p1p1/PP6/2P1bP2/8/4BKPP/3R4 b - -,f8e8
8/4N3/5R1P/4p3/6k1/8/5K2/7r b - -,g4g5
2r3k1/5ppp/p7/8/3nq1Q1/P6P/3B1PPK/1R6 b - -,e4g4
r1bqr1k1/1pp2pbp/2np1np1/p3p3/2P5/PPNPPN2/1B2BPPP/R2QK2R w KQ -,d1c2
3R4/1PK5/8/7p/5k2/1r6/8/8 w - -,b7b8q
2rq2k1/3bn1bp/3p1np1/p2Pp3/Pp2P3/1P2B1P1/1N1QN1BP/2R2K2 w - -,h2h3
r2q2k1/5pp1/1p3n1p/pPpQ4/3P4/5N2/P4PPP/4R1K1 w - -,d5d8
1r1r4/3k2p1/2bpp2p/p1p4P/2P1pPP1/P1R1P3/1PBK4/3R4 w - -,d2c1
3r2k1/3p2pp/b3p3/p4pR1/BrNp1n2/1P1P4/2P2P1P/1K2R3 b - -,h7h6
r1bq1rk1/p4ppp/5n2/1p1p4/2pP2P1/PnP1PPN1/R5BP/2BQ1RK1 b - -,a7a5
2k3r1/1b1r4/1B3p1p/1p2np2/P2p3p/R7/2P2PP1/4RB1K b - -,e5c4
r4k2/1R1R2pp/n4r2/pB3p2/2p1p3/P4P2/1PP3PP/7K w - -,b5c4
4nr2/2p3k1/3pQ3/3P2P1/5p2/5P2/8/6K1 w - -,e6h6
1r1q1rk1/p4pbp/b1Np1np1/2p5/6P1/2N1n2P/PP3PB1/R2Q1RK1 w - -,f2e3
r2q1rk1/ppp1b1pp/2n1bp2/2Bnp3/4N3/3P1NP1/PP2PPBP/R2Q1RK1 w - -,d1d2
3k3r/2p5/1p1n2p1/pbpPp3/P1P1PpPr/1P1R3P/6B1/5RK1 w - -,a4b5
7r/3kbppp/2n5/PpB5/1p6/5N2/1P3PPP/4R1K1 w - -,c5e7
3rr1k1/p4p1p/2pq2p1/4p3/8/2P1R3/PPQ2PPP/4R1K1 w - -,f2f4
1rbq1rk1/2n1ppbp/p2p1np1/1ppP4/P1N1PP2/2N4P/1PP1B1P1/R1BQ1RK1 w - -,c4a5
2r3k1/1b2q1pp/1br1p3/p2pPpN1/1p1p1P2/3P2P1/PPP1Q2P/2RB1R1K b - -,b7a6
1r1r4/pp2kp1p/4b1p1/8/PP1R4/6P1/5PBP/2R4K w - -,c1c7
3Q4/4r1kp/p2p4/P2Pq1P1/1p2B3/8/P1P2K2/5R2 b - -,e5e4
3r1r1k/p3n1bp/3pb1p1/2p5/q1PpPP2/P4NP1/3NR1BP/1Q3RK1 w - -,b1d3
1q2k2r/1b1nbppp/3p1n2/1N2pP2/4P3/4BB2/1P1N2PP/2Q2RK1 b k -,e8g8
r1bq1rk1/pp3pp1/2nbpn1p/2ppN3/3P1P2/2PBP3/PP2Q1PP/RNB2RK1 b - -,f6d7
8/5pk1/p1r3p1/1p2p2p/1P5P/P5P1/1P3PK1/3R4 w - -,d1d7
r1bqk2r/ppp2ppp/3p1n2/2b1p3/2PnP3/2NP1NPP/PP3PB1/R1BQK2R b KQkq -,d4f3
k7/p1b5/5rpp/8/P2R3P/3N4/5P2/5K2 w - -,f1g2
8/3n4/3r4/P3pk1p/2P2P2/2K1R3/4N3/8 w - -,f4e5
6r1/p5rk/1pR1bb1p/4pp1n/1P6/P3BNPP/5PBK/3R4 b - -,e6b3
5rk1/pp3pb1/2n4p/4Qb2/2B3p1/1NN3P1/PP3PP1/3R2K1 b - -,c6e5
3q1rk1/1p2ppbp/6p1/3p1b2/r2Pn3/4PNP1/PQ3PBP/R1R1B1K1 b - -,e4d6
8/1p6/6pk/2P4p/pP6/P7/r5PP/5R1K w - -,h1g1
r1k2b1r/2pb1pp1/1pp4p/p3Pn2/P7/1PN2N1P/2P2PP1/R1BR2K1 w - -,c1b2
r4rk1/pp2b2p/1np1b1p1/5n2/5PN1/N6P/PP3BB1/R2RK3 b - -,f5h4
8/p2b2p1/1p2k2p/3p1p1P/3P1P2/3B4/PP3KP1/8 w - -,f2e3
8/4pp2/5kp1/3P4/4nP2/p2B2P1/P5K1/8 b - -,e4c3
4r3/p1p1rpkp/1n1p1qp1/2pP4/2P2P2/1P1B3P/P4QP1/3R1RK1 w - -,d1d2
6k1/3r1p1p/5R2/P3p3/4r3/5R1P/6P1/6K1 w - -,f3a3
5rk1/pp1bppbp/3p1np1/7q/3BPP2/1BP4P/P1P2QP1/R4RK1 b - -,f6e4
8/ppnk1p1p/6p1/8/QPP1q3/4N2P/5PP1/6K1 b - -,d7e7
1r1q1rk1/p2nb1pp/b1n1pp2/2ppP3/1p3PP1/3PBN2/PPP1N1BP/R3QRK1 w - -,e5f6
r1bqk2r/pp2npbp/2npp1p1/2p5/2P1P3/2NP1NP1/PP3PBP/R1BQ1RK1 b kq -,e8g8
rnbqkb1r/pppppp1p/6p1/8/3PnB2/8/PPPNPPPP/R2QKBNR b KQkq -,e4f6
5k2/r6p/Pr1p1pp1/RP1Pp3/R3P3/5P1P/6PK/8 w - -,a4c4
3qr1k1/rpp2pp1/p1n1bn1p/3pp3/4P3/1BPP1N1P/PP3PP1/R2QRNK1 w - -,d1c2:e4d5
2r2r1k/6bp/p1n1p3/1pqp1pN1/2p2P2/P1PP3P/1PB3P1/R2Q1R1K b - -,c8e8
8/7R/p3k1p1/4b3/4p1PP/3bB3/8/3K4 b - h3,e5c3
r4rk1/1p1nbpp1/1qp1pnp1/p7/P1PP4/1P3NN1/1BQ2PPP/R4RK1 b - -,c6c5
r4rk1/2pb2pp/1p1p1nq1/3P1p2/1PPBpP2/4P2P/2Q1B1PK/R4R2 w - -,c2c3
2r1r1k1/pb3p2/1p2pp1p/1N1P4/4P3/1P6/5PPP/3RR1K1 b - -,c8c5
1r1q1rk1/p2b1p1p/3p1npQ/np2p3/4P3/1BN2PN1/PPP3PP/2KR3R b - -,a5b3
8/p3k3/1p6/1Pp1K2P/P1B5/8/3b1p2/8 b - -,d2c1
1r3bk1/1r5p/p2p2pq/3Ppp2/2Q5/2N2P2/PPR2B2/1K4R1 w - f6,c4a6
r1bq1rk1/pp2bppp/1np2n2/3p4/2PN4/1PN1P1P1/P4PBP/R1BQ1RK1 w - -,c4d5
8/4B3/R4p2/3kn3/p1r3p1/4K3/5P1P/8 b - -,c4e4
r4rk1/p1pbqppp/1bp5/3pP3/8/1N2B3/PPPQ1PPP/R3R1K1 b - -,d7e6
8/3k4/2pb1n2/Np2np2/1P1B4/2P2P2/2B2K2/8 b - -,f5f4
r4rk1/1p1b1pbp/n2N2p1/3P1p2/p7/P3B2P/1P1RBPP1/R5K1 w - -,d6b7
3rr1k1/pp3pp1/2p2np1/8/2PP4/1P4N1/Pq3RPP/3R1QK1 b - -,b2a3
3bqrk1/1p4pp/pP1p4/2rP4/4P3/1R1Q2P1/1PP5/4KB1R b K -,c5a5
6k1/R1n2r2/7p/4Bp1p/7P/8/6PK/8 b - -,c7e6
5rk1/1p4p1/1p6/5PP1/4p3/2P3B1/Pn5P/5R1K w - -,f5f6
6b1/6P1/8/8/1p1k1K2/p7/1N6/1B6 w - -,b2a4
3B4/1p1n1k2/2p3p1/2P2b2/2BK3P/8/8/8 b - -,f5e6
r1q1r1k1/1ppb1pbp/2np2p1/p2N4/2P1PPP1/PP5P/1B3QB1/3R1RK1 b - -,e8f8
1r3r2/p1Q2p1k/2pN3p/4q3/2b3p1/6P1/P4RPP/2R3K1 b - -,e5e3
