8/4R3/3k4/1p1p3p/p6r/P3K3/1P6/8 w - -,e7b7
8/5k2/3b2pp/1p1N4/1P2R1P1/3PpK1P/4P3/2r5 b - -,c1h1
2r3k1/R4p1p/6p1/8/2p3P1/1nB2K1P/8/8 b - -,b3c5
r1bq1rk1/1pp2pbp/3p1np1/2nPp1B1/p1P1P3/2N2P2/PP1Q2PP/R2BK1NR w KQ -,g1e2
6rk/1R2Q1bp/3p1pp1/3Pp3/2n1P3/2P3PP/1q4BK/6N1 b - -,b2f2
r2r1nk1/p5pp/1p2Pp2/8/4N3/2P5/PP4PP/3R1RK1 b - -,f8e6
4rbk1/5p1p/p1N2np1/B1p2q2/4n3/4R1PP/PPQ2PB1/6K1 b - -,h7h5
r1q2rk1/p1pbbppp/2p2n2/6B1/Q1PRP3/2N3P1/PP3PBP/5RK1 b - -,h7h6
r2q1r1k/ppn4p/3n4/3p2bP/3P1p1p/PPNQ1P1B/R7/2B1R1K1 b - -,g5h6
8/5pk1/6p1/p2P4/Pb4P1/1B2Q3/1q6/3K4 b - -,b4d6
8/4r1kp/2p5/2n2p2/2B2n2/2N4P/8/3R2K1 w - -,d1f1
3r4/1bb2kp1/2p2p2/p1B4p/8/1P2N1PP/P1R2PK1/8 b - -,g7g5
6r1/1p3kpr/p1pnp3/5pRP/3P4/1P1KPB2/1P3P2/6R1 w - -,b3b4
8/2kb1p2/2p3p1/2Pp2P1/B7/3KPP2/8/8 b - -,c7d8
r4rk1/pppnqppp/2n1b3/4p3/3pP3/3P2P1/PPPNNPBP/R2Q1RK1 b - -,f7f5
2rr1nk1/ppq2p1p/2p1p1p1/3P1n2/1PP4P/P4NPB/1bQ2P2/3RR1K1 w - -,c2b2
r4rk1/ppqb2pp/2nb1n2/2p2p2/2Pp1B2/1P1P1NPN/P2Q1PBP/R3R1K1 b - -,a8e8
r1b1r1k1/ppB1n1bp/5pp1/1BpP4/8/2P2N2/P1R2PPP/4K2R b K -,e7d5
2rr2k1/2q1bppp/p2np3/8/P1b2P2/4P2P/1BQ1B1P1/R3NRK1 w - -,e1f3
r1b2rk1/ppqn1ppp/3b1n2/3P4/2Np4/3B1N2/PP3PPP/R1BQR1K1 b - -,d7b6
r2q1rk1/pbnp1ppp/5N2/b1p5/2p1P3/P5P1/1P2NPBP/1RBQ1RK1 b - -,d8f6
5rk1/3qppbp/p3N1p1/1p1pP3/1n1P2PP/P3BQ2/1P2r3/1K1R3R b - -,e2e3
8/p4b2/8/2p1k3/6P1/P3KB2/1P4P1/8 b - -,f7g6
r2qr1k1/1b1nppbp/p4np1/1p1P4/2B5/Q1NP1N2/PP1B1PPP/R3R1K1 w - -,c4b3
6k1/4Npp1/2p5/1pP3P1/pP1Pb2p/P5r1/1K3R2/3B4 b - -,g8f8
r1b2rk1/p3qpp1/4p2p/1p1pn3/2pP1P2/P1P5/1PB2PPP/R2Q1RK1 w - -,f4e5
r4rk1/1bqnppbp/pp3np1/8/2PP4/B1N2N2/P2QBPPP/R3R1K1 b - -,f8e8
6rr/ppk5/2bnp3/4R1B1/2p5/P1P3P1/5P1P/RB4K1 b - -,d6f7
8/8/8/5k2/6N1/2r1BPK1/8/8 b - -,c3b3
6q1/1n1r4/1Bk4p/Pb1p4/1Qp3p1/6P1/5PBP/4R1K1 w - -,b6d4
r6r/3nkppp/p1b5/3npN2/P7/1P6/3N1PPP/R3KB1R b KQ -,e7f6
2kr4/ppp2pp1/2q2n1p/3p4/3P1B2/P1Q5/1PP2PPP/R5K1 b - -,c6c3
8/3kn3/4pQp1/2r5/5PP1/5K2/6P1/8 b - -,c5b5
2qr1bk1/5p1p/r3p1p1/pbp5/P3B3/1P2B1P1/1Q2PP1P/2R2RK1 b - a3,f8g7
8/2R2pkp/4r1p1/1P6/7P/4PK2/5P2/8 w - -,c7c6
1r2r1k1/2qn1pbp/3p1np1/3P4/1ppBPPP1/5Q1P/1PB1N3/3R1RK1 b - -,d7c5
r3rbk1/3N1p2/2p3p1/1b1q3p/3Pp3/4P1P1/1R1B1PBP/2RQ2K1 b - -,d5d7
1r1q1rk1/p3ppbp/1n1p2p1/2p1P3/5P2/2N2P1P/PPPQB3/2KR3R b - -,d6e5
4k3/4rp1p/p2Q4/1p1Pn2P/P1P5/1P6/4r3/5R1K b - -,e5d7
7k/7p/p2p3Q/4pR2/2P1P2P/p2P2P1/1q4K1/1r6 w - -,g2h3
1Q6/p4pkp/1p2p1p1/2p2q2/8/2N1P1P1/P6P/6K1 b - -,f5d3
rn1q1rk1/1b3ppp/p2p1b2/1p2p3/4P3/3BBN1P/PPP2PP1/R2QK2R b KQ -,b8d7
2kr3r/1b4pp/pq2p3/1pbnPp2/6Q1/P4P2/1P2BP1P/RNB2RK1 w - f6,g4h4
r1b3k1/p5bp/1p1p2r1/2pPp2n/1PP1P1q1/P2Q2N1/3B2BP/2RR2K1 b - -,h5g3
3Q4/5pk1/p3B1p1/3p1P1p/1n5P/6P1/5P1K/4q3 b - -,e1f2
4r3/5pkp/5bp1/R4n2/1N1p1B2/3P2P1/5P1P/6K1 b - -,h7h5
4q1r1/p5rk/3p2b1/pPpP2Bp/2PbpP1P/RR6/3QBP2/6K1 b - -,a5a4
2rqr1k1/3nppbp/ppbp1np1/3N4/2PBP3/5PN1/PP1QB1PP/3R1RK1 w - -,f3f4
r1b1r1k1/1pp2p1p/1bnp1p2/pP2p3/2P5/P3PN2/1B1P1PPP/R3KB1R b KQ -,c6b8:c6e7
5R2/3r3p/1p6/p3k3/5p2/1P1r1P2/P4K1P/4R3 b - -,e5d4
1r5k/6p1/2RN2p1/1p6/5nP1/P2P2K1/1P6/8 b - -,f4d3
r1bq1rk1/pppnppbp/1n4p1/8/N2PP3/4BN2/PP2BPPP/R2QK2R b KQ -,b6a4
r4rk1/1b2qppp/p2b4/1pp5/2PPp3/1PP5/4QPPP/R1B1NRK1 b - -,b5b4
rnbqk1nr/pp3ppp/4p3/2bpP3/8/P7/1PP2PPP/RNBQKBNR w KQkq -,g1f3:b2b4
r4rk1/1bRqbppp/p7/1N1np3/PB6/3BP3/1P2QPPP/3R2K1 b - -,d7e6
8/8/8/5kP1/8/6K1/8/8 b - -,f5g5
8/8/8/5p2/6pK/1R3rP1/6k1/8 w - -,b3b2
r2qkb1r/pp1n1ppp/2b1p3/3nP3/8/P2B1N2/1P2QPPP/RNB2RK1 b kq -,d8b6
rnbqkbnr/ppp2ppp/4p3/3p4/1P6/8/PBPPPPPP/RN1QKBNR w KQkq -,e2e3:b4b5
8/4k2p/2bN1pp1/p1P5/4P3/5PK1/P1R3P1/1r6 w - -,g3f4
6k1/P3ppbp/1B4p1/8/8/5bP1/1pB2P1P/5K2 b - -,f7f5
5rk1/p3pp1p/1p1n2p1/2p5/N1nb4/5PP1/PP2P2P/1RB2RK1 w - -,g1h1
6k1/5q2/1p1P2p1/p1p1Q2p/P3P2P/1P4P1/6K1/8 b - -,f7b3
2r2r1k/pp3b1p/8/3p1p2/3b1N2/6P1/PP1B1P1P/1K1R3R w - -,d2b4
2r2bk1/4pp1p/3p1np1/1R1P4/2r2P2/1PP2B2/3B2PP/5R1K b - -,c4c5
2b5/5kpp/1p3p2/2p2P2/Pp1pPKPP/1P6/2P5/3N4 b - -,c8a6
3r1rk1/1q3ppp/1p2pn2/p7/1P2n3/Q1P1PN1P/1B3PP1/R2R2K1 w - a6,a3b3
rnbqk1nr/1p3ppp/p3p3/3pP3/3Q4/P1B5/1PP2PPP/R3KBNR b KQkq -,g8e7
3R4/5pkp/2N3pq/1Bb4n/P7/8/4KPR1/8 w - -,g2g4
r1b1kq1r/pp5p/2n1p1p1/3p1n2/2pP1PP1/2P1PQ2/PPB4R/RN2K1N1 b Qkq -,f5e7
r4rk1/1p1n1p2/2p1b1p1/p3p1Np/Pn2P3/R1N3PP/1PP2PB1/2R3K1 b - -,d7c5
r1bqk1nr/pppp2pp/4p3/2b1N3/4P3/8/PPP2PPP/RNBQK2R w KQkq -,d1h5
b1r2rk1/2qnbppp/pn1p4/Np2p3/4P3/P1N1BP2/1PP1BQPP/2RR3K b - -,f7f5
8/8/2k2p2/3p2pp/P1nP2b1/2N1P3/3N1P1P/4K3 b - -,c4a5
r2qk2r/pp1nbp2/3pb3/2p1n1p1/2P1P3/2N2NB1/PP1Q2PP/2KR1B1R b kq -,g5g4
8/1b1r2pk/1P1p3p/P2n4/2R5/2B1p3/1K5P/2R5 b - -,g7g5
8/5k1p/1p2bp2/pp6/1P1P1PPN/3K4/8/8 w - -,g4g5
r4k2/5pbp/p2p4/4p3/1P2K3/p5P1/P4P1P/2R4R b - -,f8e7
rqb2nk1/3n3p/3p1b2/p2P1Pp1/NppBP3/8/PPBQ2PP/4RRK1 w - -,d4f6
3r1rk1/1b2ppb1/1qp2n1p/p2PN3/Npp1PQpP/6P1/PP3PB1/3RR1K1 b - -,b6b5
8/1p3pk1/2p1n1p1/8/1P3q1p/2P1N3/2KQ1PP1/8 b - -,b7b5
8/p6k/5rpp/PB2N3/1n2Q3/8/1P3PPP/2r3K1 w - -,b5f1
r7/2r1p2p/3pk1p1/1P1R4/4P3/1KN5/1P4PP/8 w - -,c3e2
