7Q/8/5pk1/5q2/4p3/8/5P2/4K3 w - -,h8g8
8/p7/2P5/4K1p1/4p3/P3P2P/4k3/5q2 b - -,f1f2
2br2k1/1p1p1pbp/r2Pp3/p6p/B2P4/BP4P1/P4P1P/R2R2K1 w - -,a1c1
1r2r1k1/pp3pp1/2p4P/q4P2/4n2Q/1Bp3R1/1PP2PP1/5RK1 b - -,e4g3
4kr2/R7/p2pB2p/3P1Pp1/P7/6K1/r6P/8 w - -,h2h4
1qbrr1k1/5p1p/3pnNp1/p1p5/2P1PP2/1P4PP/P1QR2B1/3R2K1 b - -,g8f8
r2q1rk1/ppp1pp1p/2n3p1/3P4/4P1b1/2b2N2/PP2BPPP/R2QK2R w KQ -,b2c3
2r1qr1k/1p2bp1p/p1np2p1/2p4n/P3PP2/1BN1BP2/1PP1Q2P/3R2RK w - -,f4f5
r5k1/4ppbp/n2p2p1/1qpP4/1B3N1P/PQ2P3/1P2NPP1/2R3K1 w - -,e2c3
6k1/5pp1/p3nq2/Qp2p2p/4b1P1/2PRBP1P/1P3K2/4N3 b - -,e4d3
r3qrk1/1pp1n1b1/2npb1pp/p3pp2/P1N1P3/2PP1NPP/1P2QPB1/R1B2RK1 w - -,f3h2
8/7p/5p1K/1pBkp3/4p3/8/r1b2PP1/2R5 w - -,c5e7
8/8/PR5p/8/6pk/r7/5K2/8 b - -,h6h5
8/1p6/8/2nk3R/1r2p1P1/4KB2/8/8 b - -,d5d6
2b1r1k1/1p3pp1/1pp2n1p/3P4/8/1PN2P2/1PP3PP/r1KR1B1R w - -,c1d2
r3rb1k/3q1pn1/3p2p1/p1pP2Pp/PpR1PP1P/1P2BQ2/8/5RNK w - -,e3c1
5rk1/p1nbqr1p/1p1n1p2/1PpPp1p1/2P1P1P1/P1QBN1NP/5RK1/5R2 b - -,c7e8
r1b1qrk1/ppp3bp/n2p1np1/2PPp3/1P2Pp2/P1N1BN1P/5PP1/2RQKB1R w K -,e3d2
r1bqr1k1/pppnb1np/3p4/3Pppp1/2P1P3/2NNBPP1/PP1QB2P/R4RK1 w - -,f3f4
rnb2r2/pp4bk/1q1p2pp/3N1p2/3P1p1P/5N2/PP2BPP1/R2Q1RK1 b - -,b6d8
r7/pp5Q/2pq1k2/3pr3/3P1n2/2P5/PP2NP2/2K3R1 w - -,h7h6
8/R5p1/4pk1p/p7/7P/5P2/r5P1/5K2 b - h3,g7g6
8/7p/6k1/r7/6P1/1R4K1/6P1/8 b - -,g6g5
3r4/p1qr2k1/2p2pp1/3np2p/2N3bP/QP2P1P1/P2R1P2/2R2BK1 w - -,c4a5
5k2/3r3p/1p1p1P2/p1p1r1P1/P1PpP1K1/1P3R2/8/4R3 w - -,f3f5
r2r2k1/1p2qppp/2pb4/1P2p3/p1P1P3/P2Q3P/1B3PP1/R2R2K1 w - -,d3c2
3rk2r/pbp1bpp1/1p5p/2p1Pn2/2P1N3/1P3N1P/PB3PP1/R3R1K1 w - -,g2g4
8/2R4p/4k1p1/4pp2/3b3P/5P2/6P1/r3BK2 b - -,e5e4
8/1q5k/BP3ppp/8/p3p3/4P1P1/5P1P/1R4K1 b - -,b7b8
r1bqk2r/p3bp2/1pn1p1n1/2ppP1pp/3P2P1/2P2N1P/PP3P2/RBBQRNK1 b kq -,g6f4
3q4/5pk1/6Pp/1rprp3/p1pbP1PP/P5Q1/1P1R2K1/3R4 w - -,e4d5
r3brk1/1pnq1pp1/p2p2P1/2pPpn1P/P3P2Q/R1N5/1PP2P2/4K2R w K -,e4f5
7r/1k3p2/2p2p2/p3pP2/Pp2B2N/4B1Q1/1bP1q1K1/8 w - -,g2h3
r2r1b2/1p3k1p/2p1npp1/p3p3/P1P5/4PP1P/2B1KBP1/3RR3 b - -,f8b4
2r3k1/1p3pp1/2p1r3/1P1p1n1p/3P4/4P1BP/2R2PP1/2R4K w - -,g3f4
r1bqr1k1/1p1nbppp/p3p3/4B3/5P2/2NB1Q2/PPP3PP/3R1RK1 b - -,e7c5
2r3k1/pb1qb1pp/1p2p3/3pP3/4p3/1P1B4/PB2QPPP/3R2K1 w - -,d3e4
8/2R2k1p/p3p1p1/1b1p4/3P1r1P/1P5B/P1P2P2/1K6 b - -,f7f6
4r1k1/1p4bp/pn1P2p1/2p1q3/5r2/2N1pP2/PP2B1PP/R2Q1RK1 w - -,d1b3
2k5/p2r2pp/2n5/1p3b2/1P6/K1Pp4/PN1B2PP/R7 b - -,f5g4
8/8/2B5/p1p1kp1n/2P3p1/PP4P1/5K2/8 b - -,f5f4
2n5/4k3/P1p3pp/1P2K3/5P1P/2N5/8/8 b - -,c6b5
8/p4p1k/7p/8/2b1Q3/6qN/r5P1/5RK1 b - -,g3g6
r2q1rk1/ppp3pp/2n1p3/2P2p2/6b1/2P1PN2/PP2B1PP/R2QK2R b KQ -,d8e7
r6r/1pN2k2/p4pn1/2Np2B1/6p1/2P3K1/PP3PP1/3R4 b - -,a8c8
8/pq1p4/4r1k1/2p4R/2P3NR/4P1P1/5P1K/8 w - -,h5h7
r2q1r2/pppb2b1/5nkp/3P1p2/2P1p3/4B1PP/PP1QNRB1/5RK1 w - -,e2d4
2n3r1/3R4/p5k1/1p4q1/1P6/P7/1B4PQ/7K w - -,h2h7
3rr1k1/5p1p/4p1p1/2Pq3P/1P1pR3/8/3Q1PP1/4R1K1 w - -,e4e5
r1b2rk1/pp3pbp/2n1p1p1/2p5/2BqP3/2NP4/PPP3PP/R1BQ1R1K w - -,d1e1
r6k/pp1nr3/1n2p1qb/3pP3/2p2P2/6P1/PPP1N1B1/R1BQ1RK1 w - -,a2a4
6k1/1p4p1/pBn4p/4p3/4K3/2P4P/P7/8 w - -,e4d5
rn3rk1/pp3ppp/2pqp3/8/2BPR3/8/PPP2PPP/R2Q2K1 b - -,b8d7
r3R1k1/1pb2p1p/1np2qp1/8/p2P1NbP/P2Q2P1/1P1B1PBK/5R2 b - -,a8e8
r1b1r1k1/2q1bppp/p2pp3/1p2nPP1/2nNP3/P1N5/1PP3BP/R1BQ1R1K b - -,e7f8
r3kb1r/pb1n1ppp/1qp1pn2/P7/1p1P1B2/1Q1N2P1/4PPBP/RN3RK1 b kq -,b6d4
4r3/pp2P2R/2p5/5k2/1P4RP/6K1/6P1/5r2 b - -,f1e1
r4rk1/pb3ppp/1pn1pn2/8/1PB5/P3P3/1B3PPP/R2NK2R w KQ -,f2f3
5r2/p3npkp/2n1b1p1/q1p5/2PpPR2/3P2P1/Pr3NBP/4RQK1 w - -,e4e5
8/p3k1pp/5p2/1B1b4/8/1P3P2/P2K2PP/8 w - -,d2e3
8/p5k1/8/3q4/1P5P/P4R1P/5K2/8 b - -,d5d2
r1bqkb1r/ppp2ppp/2np1n2/8/2P1P3/8/PP1Q1PPP/RNB1KBNR w KQkq -,b1c3
r1b2rk1/1p2ppbp/p2q2p1/3P4/1n6/2N2N2/PP3PPP/R1BQR1K1 w - -,c1g5
r4rk1/1b3ppp/1p2p3/p3P3/PpBP4/4P3/1P4PP/2R2RK1 b - -,a8c8
1r1qrbk1/1p1n1ppp/p2p4/3N1Q2/P1PB4/1P5P/3R1PP1/5RK1 b - -,d7e5
7Q/pp3r2/4N2k/4ppp1/8/4q3/P5PP/5R1K b - -,h6g6
r1b2r2/pp3kbQ/2nqp1p1/3p2B1/5Pp1/1N1B4/PP5P/R3R1K1 b - -,f8g8
2r2rk1/1bqpb1pp/p3pp2/1p1nP3/3QNPP1/3BB3/PPP4P/1K1RR3 w - -,e5f6
6k1/3r1q1p/1p3P2/3ppBQ1/8/8/5PKP/8 b - -,g8f8
5rk1/2p2ppp/3r4/pqn4Q/7P/1P2R1P1/P4PB1/4R1K1 b - -,b5b6
8/5p2/r6k/P3K3/7P/1R3B2/8/8 b - -,a6a5
r2qk2r/1bp2ppp/pbnp1n2/1p2p3/3PP3/1BP1BN2/PP3PPP/RN1QR1K1 b kq -,e8g8
r7/P7/5p2/6pR/1b2k3/6P1/5BKP/8 b - -,b4c3
2r3k1/1b1nqppp/pn2p3/1p1p4/3P4/PP1Q2P1/1B2PPBP/R2N2K1 b - -,d7b8
R7/5k2/8/p5p1/3K3p/7P/5rP1/8 w - -,a8a5
3r1rk1/pp3p1p/1qn1b1pb/2p1P1P1/5P2/2N1QP2/PPP4P/2KR1BNR b - -,h6g7
1R6/4ppk1/3p1b1p/2qP2pP/4P3/6P1/4QPK1/8 b - -,c5d4
7k/5Q2/4p1p1/8/4q3/6KP/6P1/8 w - -,f7f4
3q1nk1/1b3p2/1p4p1/p7/3PpQ2/P5PB/1P3B1P/6K1 b - -,d8d5
3r1rk1/4p1bp/p3P1p1/1p1q1p2/3pQ3/3P1R2/PPP1N1PP/5R1K w - f6,e4d5
8/6kp/1b3pp1/1P1Pp2P/4Q1P1/q1rB4/8/3R3K b - -,a3b3
r2q2k1/pp1r1pb1/1n5p/5Npn/4p3/1Q3P2/PP2B1PP/R3BR1K b - -,h5f4
1r1qb3/1r1n1pk1/p2p2pp/2pP4/2P2P2/1P3RNP/2BQ2PK/1R6 w - -,f4f5
3rk2r/pp2b1p1/2p4p/6p1/PnBPPn2/2N2P1P/1P4PB/3R1RK1 w k -,g2g3
4r1k1/3q1pp1/2p5/5b1p/3Pp3/4P3/1Q1N1PPP/2R3K1 w - h6,c1c5
