8/8/8/4k1pB/2b2p1p/7P/5KP1/8 b - -,c4d5
r5k1/5p1p/p5p1/2p5/R7/8/PP1r1PPP/2R3K1 w - -,b2b3
1rq1r1k1/1pp2ppp/p1bp1n2/2b5/PnP1P3/1PN2PPP/1B2N1BK/R2Q1R2 b - -,f6d7
5B2/KN6/6pp/3k4/P1n3PP/8/5n2/8 w - -,h4h5
r2qk2r/pb1n1pbp/2p2np1/1p2p3/P3P3/2NBBN1P/1PPQ1PP1/R4RK1 b kq a3,a7a6
r1b2rk1/pp1pqppp/4pnn1/6B1/1bPN4/1QN3P1/PP2PPBP/R2R2K1 b - -,f8d8
2b5/2P1N3/3K4/1p4p1/6k1/P7/8/8 b - -,c8b7
r4rk1/1p3pp1/1p1p1b1p/8/2P1PP2/3P3P/PP4B1/RR4K1 b - -,f6d4
r2qk1nr/3n1pp1/p3p3/3pP2p/P7/bPQ1NB2/5PPP/R4RK1 w kq -,a1a3
r4rk1/2n2ppp/8/5NP1/3NP2P/5P1R/2K5/8 b - -,c7e6
8/5ppk/p3b3/2B4p/3P3P/P4PK1/1r4P1/4R3 w - -,e1e5
8/pN2k3/5p1b/4n3/8/2N5/PPP3P1/3K4 b - -,e5c4
r1b2rk1/pp3pbp/2n1p1p1/1B1q4/3P4/1Q3N2/PP3PPP/R1B2RK1 w - -,b3d5
r5k1/pb1nqppp/1r2pn2/8/R2PP3/1N1Q2P1/3N1PBP/3R2K1 b - -,b7c6
r3r1k1/1pqb1Ppp/p1npp3/8/4P3/1NNBB1b1/PPP3PP/4RR1K b - -,g8h8
6k1/7p/6p1/1P3pB1/4q1b1/8/P1rR1K1P/5Q2 w - -,d2c2
8/4k1p1/8/1B3KP1/p6r/8/3R4/8 b - -,h4b4
rnb1k1r1/ppp2pP1/4pq2/3p2pQ/1b1P4/2N5/PPP2PPP/R3KBNR w KQq -,e1c1
r2qr1k1/pp1n1pp1/2p3b1/7N/3Pp2P/P1P1P3/5PP1/R1BQK2R b KQ -,d8a5
8/8/1B1n1p2/p5k1/1b5p/1P1K1B1P/6P1/8 b - -,g5f4
2r1r1k1/4ppbp/3p2p1/1Nn5/3Nb3/1P6/P2R1PPP/B3R1K1 w - -,f2f3
rnb2rk1/pp2q1pp/2pbpn2/3p1p2/2P5/1P1P1NP1/PBQ1PPBP/RN3RK1 b - -,b8d7
2r5/1b6/p3pkp1/Pp1p1p2/3P2PP/3BP3/1P3K2/2rR1R2 b - -,c1c7
8/8/7R/2p1pp2/2r5/5kP1/3K3P/8 w - -,h6e6
r2r2k1/pp2ppbp/2np1qp1/8/2P1PP1P/1P2BP2/P2R1Q2/1B1R3K w - -,f4f5
rn2r1k1/pb3pp1/1ppq1b1p/3p4/1P1P4/1QNBPN2/P4PPP/2RR2K1 b - -,b8d7
r1bqk2r/1p1pnpbp/p1n1p1p1/8/3NP3/2N3P1/PPP2PBP/R1BQ1RK1 w kq -,d4e2
8/p7/7p/4kP2/n1p1b3/7P/PP1R1K2/8 b - -,e4f5
2rr2k1/5p1p/6p1/8/1p2q3/pQn1PN1P/P1R2PP1/5RK1 w - -,g1h1
rn2r1k1/pb3pp1/3bq2p/2pp4/6N1/5NP1/PP2PPBP/2RQ1RK1 w - -,g4e3
4r3/1r1b2kn/R2p2p1/2pP1n2/4NP1p/2N4P/2q1BQPK/R7 w - -,a1a2
8/7k/2p2P1p/6p1/1P2q3/P6Q/3r1bRP/5R1K b - -,h7g6
2bqnrk1/3nbp1p/r2p2pB/p1pPp3/1pP1P3/P2B1N1P/1P1N1PP1/R2Q1RK1 b - -,e8g7
r2q1r2/pp1npp1k/3p4/3P2Qp/7P/8/PPP2PP1/R3K2R w KQ -,g5h5
8/4bk2/pp2pn2/6p1/P3q3/2Q5/1PP3PP/R6K w - -,a4a5
1r6/3nkpb1/2b1p1pp/2pnP3/ppP1NP1P/P7/1PBN2PB/4RK2 b - -,b4a3
r1r5/5kp1/3pbb2/q1n1p3/pp2P2P/1P1B4/P1PQN3/1KN2R1R w - -,h4h5
3r2k1/p1n4p/1pqp2pN/2p3P1/1PP2P2/P2P3P/3Q3K/4r1B1 b - -,g8f8
r4rk1/2pnq1pp/1p1ppn2/5p2/1PPP4/2Q3P1/1B1NPPKP/2R2R2 b - -,b6b5
r1b1k2r/1pp1bpp1/p1nqpn1p/8/2BP4/2N1BN2/PPP2PPP/R2Q1RK1 b kq -,e8g8
5nk1/8/6pB/4P3/8/5q2/4bQ1P/6K1 b - -,f3f2
8/3k4/8/1PBBp3/7r/2K5/8/8 w - -,b5b6
6k1/1pp1r1p1/5p2/3P3R/p1P3P1/3KP3/PP5P/8 w - -,b2b4
r3kb1r/pp1b1ppp/4p3/2nnP3/8/N4N2/PPB2PPP/R1BR2K1 w kq -,a3c4
3r4/3pkp2/2bRp2r/p7/1p2P1B1/1P3P1P/P1P5/2KR4 w - -,c1b2
4k3/1p2r3/1bp1RppB/p6p/P1B1n2P/1PP2KP1/5P2/8 b - -,e7e6
1R6/2B5/2p1b3/P7/2k2P2/r7/3K4/8 b - -,c6c5
8/4ppk1/3n2pb/3P3p/p4P1P/3B4/1PPB1nP1/1K2R3 b - -,f2d3
r2q1rk1/4bppp/4pn2/pbP1p3/1p2P3/1Q1PB2P/1P1NBPP1/R3R1K1 b - -,f6d7
1qr1kr2/1b1npp2/pp1p3p/7Q/2N1P2p/1B5P/Pb3PPN/3RR1K1 b - -,b2c3
R7/3b3p/5nk1/p4pp1/3np3/2N3PP/P4P2/5BK1 w - -,a8a5
3r2k1/ppqrbpp1/2p1pn1p/8/2PP2P1/4BQ1P/PPB2P2/R5RK b - g3,c6c5
8/8/3b2R1/3k1p2/6p1/4P1P1/6K1/8 w - -,e3e4
5rk1/6r1/p2p2q1/2pPp2p/2P5/PR1N2n1/2R3P1/4Q2K w - -,h1h2
r1bq1rk1/pp3ppp/2p1n3/3p4/8/1P1B1Q2/PNPPRPPP/R5K1 w - -,c2c3
3r4/pb4kp/1p6/2pPPp2/P4K1P/8/3R4/3R4 b - -,g7h6
1r4k1/ppqrbppp/2p1p3/7b/Q1PP4/2B3P1/PP3PBP/R3R1K1 w - -,a4a7
r1q1k2r/ppp2ppp/1nn1p3/2bbP3/3P4/P2B1P2/1PQ1N1PP/R1B1K2R w KQkq -,c2c5
8/8/1b2k1K1/p1p1P3/P4P2/4B3/7P/8 b - -,e6d5
6k1/1p4p1/p7/8/1PP1b3/P7/5KPP/4R3 b - -,e4d3
r1r3k1/pp3pbp/2n1pnp1/2q5/Q4B2/2N4P/PPP1BPP1/3RR1K1 b - -,a7a6
4k3/8/8/5PP1/r6P/1R6/6K1/8 b - -,a4h4
r1b1k2r/p3qppp/2n1p3/3nP1NQ/1ppP4/2P5/3BBPPP/R4RK1 b kq -,b4c3
r3k2r/p1q1bppp/2pp1n2/2p1p3/Q3P1b1/2PP1N2/PP1N1PPP/R1B2RK1 w kq -,d3d4
1r2rq2/pb1n2pk/1p1P3p/2pBpp2/2P5/1R2B1P1/PPQ2P1P/3R2K1 w - -,b3a3
r2qk2r/5pb1/1nn1N1pp/pp1pP3/2pP4/1PP2N1Q/P4PPP/R1B2RK1 b kq -,f7e6
3rr1k1/pp3pbp/1q4p1/2Np1b2/2pn4/1PP4P/P2QBPPB/R2R2K1 w - -,c3d4
4r3/pp1kr1p1/q2b1pQp/4P3/8/P5B1/1P4P1/1K1R3R b - -,f6e5
5r1k/b1r1n1p1/q6p/1R2Nbn1/PQ1P4/4P1NP/6P1/R5K1 b - -,g5e4
rnnq1rk1/pp2ppbp/6p1/2Pp1b2/3P4/1PN1BN2/P4PPP/2RQKB1R w K -,f1e2
r5k1/1p4pp/8/q3ppQ1/8/1P5P/1K1R1PP1/8 w - -,b2c2
8/5p2/3n3k/p3p1p1/1p2P3/1P1BK1PP/P7/8 b - -,h6h5
6k1/6Pb/5K2/6N1/8/8/8/8 w - -,g5h7
5q1k/2p3pp/bp2B3/3PB1P1/p1P1n3/P3p3/1P2Q2P/6K1 w - -,e2e3
r1bqk1nr/pp3ppp/2npp3/2b1P3/2P5/2N2N2/PP3PPP/R1BQKB1R w KQkq -,e5d6
6k1/5pp1/7q/p1b5/P4P2/1P2n1QB/2P4P/3R3K w - -,d1d8
5r2/ppk2Pq1/3b4/3p3Q/8/8/PPP2PP1/4R1K1 w - -,h5d5
rn1qkb1r/pb1p2pp/4pn2/1pp2p2/3P4/1P3NP1/P1P1PPBP/RNBQ1RK1 w kq c6,e2e3
rn2kb1r/pp2pp1p/1qp2np1/3p4/3P1B2/2NPPN2/PP3PPP/1R1QK2R b Kkq -,f8g7
1r1q1r2/p5bk/1p1p2pp/nPp1pn2/P1P1B3/N2P2P1/5P1P/1RBQ1RK1 b - -,f5d4
2r2rk1/pbp1q1pp/1p6/3p1pN1/3Pn2P/3BPP2/PPQ3P1/1K1R3R b - -,e4d6
1r4k1/3b1p1p/3p2p1/1PqP4/5Q2/6PP/5P2/4RBK1 w - -,e1e7
