Q7/1Q6/4k3/8/K2q4/8/8/8 w - -,a4b3
rnb1kb1r/ppp2ppp/5n2/3qp3/8/2PP4/PP3PPP/RNBQKBNR w KQkq -,h2h3
r4rk1/pb1nqpp1/1pp2n1p/3pNB2/3P1P2/1P2P3/P1QN2PP/R4RK1 w - -,g2g4
4R3/1P6/8/2PB4/1K1np3/5k2/8/6q1 w - -,d5e4
R7/8/4k3/3pr1pp/8/5KP1/5P2/8 w - -,a8a6
r3r3/p2n1kpp/2b5/2p2P2/2Pp4/1P1N3P/P4P2/R3RBK1 w - -,b3b4
8/8/4p1R1/5p2/5P1b/3KP2k/r7/8 b - -,a2a6
r4rk1/ppq1ppb1/2p2npp/4Nb2/3P4/1QP1B2P/PP2BPP1/R3R1K1 b - -,f6d5
r3kbnr/pp1b1ppp/1qn1p3/3pP3/2pP4/P1P2N2/1P1N1PPP/1RBQKB1R b Kkq -,g8e7
r1bqr1k1/2ppbpp1/p1n2n1p/1p2p3/P3P2B/1BPP1N2/1P3PPP/RN1Q1RK1 b - a3,b5b4
5rk1/p4p1p/1r4p1/3Bn3/2R5/7P/P4PP1/5RK1 w - -,c4c7
6k1/p4pp1/4n1p1/1p6/1Pp1P2P/P4PP1/2R2KN1/1r6 b - -,e6d4
rn3rk1/pbq2ppp/1p1ppn2/2p5/2PP4/4PNP1/PP1NQPBP/R4RK1 w - -,e3e4
8/5ppk/nnB1p2p/p7/P6P/1P3KP1/3N1P2/8 w - -,f3e3
6k1/5p2/6p1/1p4p1/1Pp1B3/6P1/8/3b1K2 w - -,e4c6
r2qnrk1/1p1n1pbp/p2p2p1/2pP2P1/P3P3/2N1BP2/1P1NQ2P/R4R1K b - -,a8b8
r4bk1/4qpp1/p3p2p/1p2P2Q/3r3P/3BR2R/P1P2PP1/5K2 b - -,g7g6
r1bqkb1r/pp1p1ppp/2n5/2ppP3/5P2/5N2/PPPP2PP/R1BQKB1R w KQkq -,f1b5:d2d4
8/r3ppbk/1Q1p2pp/rb1P4/1q3P2/1P2P1P1/2R2N1P/1R3BK1 w - -,c2c8
r7/1p2b2p/pB2kp2/P5p1/1P6/2PR1P1P/5P2/5K2 b - -,a8c8
r1bq1rk1/pp3p1p/4p3/3p1p2/3P2P1/1QNBPN1P/PP3b2/R3K3 w Q -,e1f2
r1bq1rk1/pp3pbp/2np1np1/2p1p3/4PB2/2PP1N2/PP1NBPPP/R2Q1RK1 w - e6,f4g5
8/r6k/5KRP/5P2/8/8/8/8 b - -,a7a1
7K/8/2p5/8/8/8/1pk2P2/7R b - -,b2b1q
4r3/2p1r1k1/2P1qpn1/1p1R2p1/4P3/4QPB1/6P1/3R2K1 w - -,e3c3
r4rk1/pp1qpp2/3p2p1/2p1n3/2P5/1P1QPpPB/Pb1N1P1K/1R3R2 w - -,d3e4
r2q1rk1/1p1b1pbp/2pp1np1/2nPp3/p1P1P1PP/2N1B3/PP1NBP2/R2QK2R w KQ -,g4g5
r4rk1/3n1Npp/p3p3/4P3/1p6/4R1Q1/PPq3PP/5RK1 w - -,e3f3:f7h6
5k2/p7/6np/1p1N2p1/2p5/P1P3PP/1P3K2/8 b - -,g6e5
r4k1r/p3np1p/6p1/8/2Nb1B2/5PP1/PP4BP/R5K1 w - -,g1h1
r2r1qk1/1p1b1pbn/2pp2p1/p1n4p/2PNPP2/1PN3PP/P2QRBBK/3R4 w - -,d2e1
6k1/8/1p1N3p/3P3P/2Pp1r2/1B2r3/P2K2p1/1R6 w - -,b1g1
6k1/Np1q1p1p/1n4p1/2r1p3/3b4/5B1P/PP2QPP1/3R2K1 w - -,b2b4
rn1qkb1r/pb3ppp/2p1pn2/1p6/3P4/6P1/PPQ1PPBP/RNB1K1NR w KQkq -,g1f3
4rnbk/pp4rp/3p2p1/q1p1p1N1/4P2R/2PP1Q2/1PB2PP1/2K4R w - -,f3f6
r4rk1/p3bppp/bpn5/8/4N3/P1B5/1PB2PPP/2R2RK1 w - -,f1e1
8/3r2k1/p4ppp/1pqPp3/2P3P1/1PQ4P/P1N3K1/3R4 w - -,c3e3
rnbq1rk1/pp2bppp/2pp1n2/4p1B1/2PPP2P/5P2/PP2N1P1/RN1QKB1R b KQ h3,b8d7
5rk1/q5p1/np4rp/2PP4/pP2p2P/P3Nn1K/4Q1B1/5R1N w - -,c5c6
r4r2/3b1pk1/3Ppnpp/q1n1B3/pR6/Q1N4P/4BPP1/3R2K1 b - -,f8c8
r1b2rk1/pp3p1p/6p1/4b1B1/7P/4P3/P2KBPP1/1R5R w - -,h1c1
4b3/8/8/2P5/2BK3P/4pk2/P1P5/8 w - -,d4e5
2bq1rk1/1p2ppbp/2np1np1/1N6/2P5/4B2P/P1B1QPP1/1R3RK1 b - -,f6d7
1r4k1/3np2p/q2p1pp1/P1pP4/1rN1PP2/1P1RR1PP/4Q2K/8 w - -,d3c3
2rqk2r/pp1bppbp/2np1np1/6B1/2P1P3/2N2N2/PP2BPPP/2RQK2R b Kk -,a7a6
2r3k1/3n1ppp/2p1b3/2P1p3/rB2PP2/6P1/3N3P/1R3RK1 b - f3,e5f4
1r6/1rp2k1p/8/P1p2p2/2b1pP2/P1BnP3/2B3PP/R2R2K1 b - -,f7e6
8/4bk2/2b1p3/2p1Pp2/p4P1p/2B2r1P/P2K4/3R1B2 w - -,d1b1
8/pp6/6Q1/k2p4/2pP3P/P1P4q/BP6/4K3 w - -,g6g5
8/r6p/4k1p1/3pr3/1P1R4/1K4P1/7P/3R4 b - -,a7b7
1r3r2/8/5p2/1bNkpP2/7P/1p1P4/1P3R2/2R3K1 w - -,c5e6
rn1qkbnr/1b3ppp/pp1pp3/8/3NP3/3B4/PPP1QPPP/RNB2RK1 w kq -,f2f4
3r2k1/2R2p1p/1p2b1p1/1p2P3/4rP2/bP1NK1P1/R7/8 w - -,e3e4
8/2P4R/7p/4k3/3p4/4p3/2r1K1PP/8 w - -,e2f3
r1bqr1k1/1p1N1pbp/2p1p1p1/2Pp4/n2P4/2B1P3/P1QNBPPP/R4RK1 b - -,a4c3
8/1p2kp2/p1p5/P4K2/5P2/8/1P6/8 w - -,b2b3
6k1/1P3npp/6q1/p7/P7/B6b/Q5r1/2R4K b - -,g2g1
6k1/3R1p1p/5bp1/1B6/8/6P1/5PKP/r7 b - -,a1e1
2n5/1pr1k1p1/7p/p1NPR3/1P6/P3K3/6PP/8 b - -,e7f7
7r/1pk1npbn/1p1r4/4p1P1/4P1Q1/8/PPP2P1P/2K4R w - -,h2h4
2r1r1k1/pp3pb1/4b1pp/2pN4/2P1P3/5P2/PP1B1P2/R3R1K1 w - -,a1c1
r6r/p3k1pp/4bp2/4p3/2p1P3/2P3P1/P4P1P/R2R1NK1 b - -,h8d8
rn4k1/p2q1ppp/1p1b4/1R1p3b/3P4/2PB1N1P/P4PP1/2BQ2K1 w - -,f3e5
5n1k/7p/pp1p2r1/2pP1N2/2P1Pp2/P7/1PK1B3/7R b - -,g6g2
3r1rk1/1pR1pnbp/6p1/3p1b2/Pp1P4/4BN1P/1P2BPP1/4R1K1 b - -,d8d7
r2q1r1k/ppp1b1pp/2n5/5p2/1P2b3/PQ2PN2/4BPPP/R1B2RK1 b - -,e4d5
3r2k1/1p1r1p1p/1pp1b1p1/7q/3N4/1PP3QP/P3RPP1/4R1K1 b - -,e6d5
8/8/6pp/4kn2/B3pP1P/8/4KP2/8 b - -,e5f4
1k1r3r/pbpn1p2/1p1ppq2/6pp/2PP4/P1N1PPP1/1PQ3P1/2KR1B1R w - -,f1d3
1r1q1k2/pr2ppb1/3p1np1/1p1P1P1p/2P4P/1P4PB/P2BQ1K1/2R1R3 b - -,g6f5
8/4k3/1p4p1/pB1p1p1p/Pn3P1P/rPr1PKP1/1R1R4/8 w - -,f3f2
r3r1k1/p4q2/1p3npp/3p1p1P/3P4/P4QP1/BP4P1/3RR1K1 b - -,e8e1
r2q1rk1/1b1nBppp/p3p3/1p1n4/2pP4/2N1PN2/PPB1QPPP/2RR2K1 b - -,d8e7
4k3/r5np/pp6/P1pqp1N1/6P1/7P/1PQ5/3R2K1 b - -,d5c6
R5k1/1bqr2pp/5p2/1pb1p3/2P5/1N6/4QPPP/4NRK1 b - -,b7a8
5r2/1p6/3R1N2/pknB4/2p4P/4P3/1n2KP2/8 b - -,a5a4
r3r3/3n2bk/2q2p1p/p1pNp1p1/p1Q1P3/B5PP/1PP2RPK/5R2 w - -,d5e3
6n1/5q1k/6p1/8/1P2PP1p/4R2P/3QN1PK/r7 b - f3,a1a2
r3rbk1/1p1n1ppp/1qp2n2/p2p4/8/1P1PP1PP/PBN2PB1/1R1Q1R1K b - -,a8d8
r3k2r/pp1bp2p/1n1p1n2/q1pP1p1p/2P2N2/2PBP3/P1Q2PP1/R1B1K2R w KQkq -,f4h5
6k1/4bp2/1q2p1pp/pBp1Pn2/2P1QP2/7P/P2B2PK/8 b - -,g8g7
1n6/1P1k4/3p3p/b5P1/4Pp2/1B3PP1/3pK3/8 b - -,h6g5
rn2kb1r/pp2pppp/1qp2n2/3P1b2/8/1Q3NP1/PP1PPPBP/RNB1K2R b KQkq -,b6b3
