3R4/1P3pk1/2K3p1/8/7P/4PP2/3r4/8 b - -,d2d8
r4rk1/1p1bqppp/p1nppn2/b1p5/2PP4/PPN1PN2/1BQ1BPPP/R2R2K1 b - -,f8c8
r2qk2r/1p2bppp/p2p1n2/2p1p3/3PP1b1/2P1BN2/PP3PPP/RN1QR1K1 w kq -,b1d2
1r4k1/1rqbppbp/p2p1np1/2pPn3/2P5/P1N3PP/2QNPPB1/BR3RK1 w - -,b1b7
5r2/1pp3k1/6pp/p1pP1q2/P1PbN3/1P6/4Q1PP/4R2K b - -,h6h5
5k2/4R1p1/5p1p/1p1p1P1P/2b3P1/2P5/pK6/8 w - -,e7e1
4r1k1/pp2rppp/1bn5/3p4/3NnBq1/1NPQ4/PP2RPPP/4R1K1 w - -,d4c6
r1bq1rk1/pppn1pbp/6p1/3p1p2/3P4/3BPN2/PPPN1PPP/R2Q1RK1 w - -,a1c1
2r1rnk1/4q2p/2pb1pp1/1p1p4/1P1P1PP1/1R2PN1P/2R1NK2/2Q5 b - -,e7b7
2r1r1k1/1p3pp1/pq1b3p/3Bn1P1/3BQ2P/8/PPP2P2/2KR3R b - -,b6c7
r1bq1rk1/pp3pbp/6p1/2ppn3/5B2/2P1P3/PP1NBPPP/R2Q1RK1 b - -,c8e6
8/2Bp1k2/p1bP1p2/1rr1P1p1/3R3p/1P5P/2P1R1P1/6K1 b - -,c5e5
r2rb1k1/pp3pp1/1qn1p2p/4Q3/2BN4/1PP5/P2R1PPP/3R2K1 w - -,e5e4
r3kb1r/1bqn1ppp/p2ppn2/8/1p1NPP2/3BBQ2/PPP1N1PP/2KR3R w kq -,c1b1
3rqbk1/1R3pp1/7p/3N1Q1P/2P3P1/8/5PK1/8 b - -,d8b8
6k1/1R4p1/5p2/5b2/p1rB4/P1P2P2/3K2P1/8 w - -,g2g4
2r1rnk1/p3pp2/6p1/q3Pb1p/2P4P/5N2/2R1BPP1/2Q2K1R w - -,c2c3
2rq1rk1/p3ppbp/1p4p1/2p5/3nN1b1/P1BP1PP1/1P2P1BP/1R1Q1RK1 b - -,g4e6
5k1r/pp3ppp/2pb2n1/3p4/3P4/1P1B2P1/P1PB1P1P/4R1K1 b - -,g6e7
8/1b3k2/6p1/p1p2pP1/2P2N2/5P2/P3K1P1/8 w - -,e2d2
2k3q1/1pp1n2n/p2p1b1p/3Pp2P/2P1Pp2/8/PP1BQP2/2KNN3 b - -,f6g5
r1bq1rk1/pppnppbp/5np1/3p4/3P4/1P3NP1/P1PNPPBP/R1BQ1RK1 b - -,c7c5
8/1p6/p3k1p1/1r6/8/P2R1R2/1r6/6K1 w - -,f3g3
2r5/pbrpk2p/1p2p1p1/1P3p2/2PNP2P/P2K1PP1/2R5/2R5 b - h3,f5e4
4k3/1p1b4/3Q4/P3P3/8/8/PK1B1q2/8 w - -,d6d5
r1r2k2/1b1nbppp/p3p3/1pBp4/3P4/5NP1/PPR1PPBP/2R3K1 w - -,e2e3
r2q1rk1/ppp2pp1/2n1b2p/2bnN3/8/1BPP3P/PP3PP1/RNBQ1RK1 b - -,c5f2
2br2k1/1p1n1p1p/1p2pbp1/2p5/r2P1P2/2P1P1PP/PBN2KB1/R2R4 b - -,b6b5
1n2nrk1/5ppp/1p1q4/p2P4/3P4/P2Q2P1/3N1PBP/2R3K1 w - -,c1c8
r4rk1/4pp1p/1n1p1bpq/p1p5/Pp2PPP1/1P1P1N2/2PQ1N1P/R4RK1 w - -,g4g5
4nrkb/3b3p/p1npp1p1/2p3B1/1rP1P2R/1P3PN1/P3N1P1/1B1RK3 w - -,h4f4
3qr1k1/pb3p1p/1p4p1/n1rP4/3RB3/P4N2/1Q3PPP/5RK1 w - -,f1d1
r2r4/p2q1p1k/2pP3n/1p2pp2/4P3/1B5Q/PP5P/2KR2R1 w - -,e4f5
1r3rk1/p2q1p1p/4p1p1/4P1P1/3P3P/P1pnBQ2/6P1/1R3R1K w - -,b1d1
1rbq1rk1/1pp2pbp/p1np1np1/4p3/2PP4/2N1BNPP/PP2PPB1/2RQ1RK1 b - -,e5d4
4r1kr/1q2bpp1/p3p2p/3nP3/PpN3Q1/1P6/3B1PPP/2R1R1K1 w - -,g4d4
5k2/5p2/p5p1/2B1P3/p7/3pK3/1P2b1P1/8 b - -,f8e8
1r1qr1k1/1p2bppp/3p4/p1pPpP2/PnP1Pn2/4BN1P/1P1QBP2/1R3K1R b - -,e7f6
r2q1rk1/1pp1npp1/p3b1np/4pN2/4p3/1BPPP1QP/PP4PN/R4RK1 w - -,b3e6
r1b1k2r/pp1pp2p/6p1/2n1Pp2/8/2N1KN1P/PB1Q2P1/q4B1R b kq -,c5e4
r1b2rk1/p3qppp/2n2B2/8/2p1p3/P3P3/2QNBPPP/R4RK1 b - -,e7f6
2r3k1/1b1qppbp/6p1/3P4/3NP3/4B3/Q4PPP/5RK1 b - -,g7d4
8/pp1r2kp/2p3p1/4np2/7P/2P2PP1/PPR1B1K1/8 b - -,g7f6
r4rk1/1pq2p2/2p2np1/1PPp1pb1/3P3p/2B1P1P1/2Q2PBP/RR4K1 w - -,b5c6
r1b1n1rk/1p1nqp1p/p2p2p1/b1pPp1PP/2P1P3/2N1B1N1/PP1QBP2/R3K2R b KQ -,d7f8
r3kb1r/pb1n1p2/1qp1p2p/1p1nP1p1/P1pPN3/2N3B1/1P2BPPP/R2Q1RK1 b kq a3,a7a6
rnbqk2r/ppp2ppp/3ppn2/8/1bPPP3/2N5/PPQ2PPP/R1B1KBNR b KQkq e3,c7c5
1k1q4/1p6/p1bp1bQ1/5N2/4n2P/2P5/PP4N1/5R1K b - h3,f6e5
3r2k1/BBr2ppp/5n2/1R2N3/8/b5P1/4PP1P/6K1 b - -,f6e8
r3k3/pp3pp1/1qp1bn1r/8/1P6/2P3Q1/4PPBP/RN1R1K2 b q -,a8d8
r4b1r/4kp2/2bp1p2/2q1pP1p/ppB1P2P/6N1/PPP1Q1P1/1K1R3R w - -,b2b3
q4rk1/pb1r1p1p/1p6/2pPP2p/P1Q1BP2/6P1/3R4/4R1K1 b - -,f8d8
R5rk/3n3q/4p3/4P3/3B1P2/4p1P1/1PP1N1K1/4b2Q w - -,a8g8
3Q4/5pk1/2B3p1/7p/2q4P/6P1/5P2/4n1K1 w - -,c6d5
8/pp1k4/4r1p1/1P2Rp1p/7P/8/5PP1/5K2 w - -,e5c5
8/4k3/3p2K1/3Pp3/2N1P3/P7/4n3/8 b - -,e2c3
6r1/4k1b1/pnqp1p2/2p1pP1p/2P1P2p/2N5/PP2QBP1/3R2K1 b - -,c6e8
7k/8/5K2/4P3/7r/5R2/8/8 w - -,e5e6
r1bq1rk1/pp3p1p/2np1bp1/4p3/3P1P2/2PB1N2/PP4PP/R1BQK2R w KQ -,f4e5
r4rk1/1p3ppp/3N2b1/3Pp3/pPP5/P1q2P2/5QPP/2B2RK1 w - -,c1b2
5rk1/pp5p/2p1b1p1/2p1q3/2P1P1B1/3N4/PP4PP/3RR2K b - -,e5f6
6k1/p2qn1pp/1p2pp2/3n4/2QP4/P3N1P1/1P1B1P1P/6K1 b - -,g8f7
r1bq1rk1/1pp2pp1/1bnp1n1p/p3p3/1PB1P3/1QPP1N1P/P4PP1/RNB2RK1 w - a6,a2a4
3r1nk1/3r1qb1/p1p1p1p1/1pQ1P2p/4BP1P/4B1P1/P5R1/5RK1 w - -,c5c2
8/pkpq4/1pnr3p/5p2/2Q2N2/P1P1R1P1/KP3PP1/8 w - -,e3d3
r4rk1/2q3p1/p1b1p2p/2np1p2/3N1P2/P1PBPR2/6PP/1R3QK1 b - -,f8c8
r1b1qrk1/1pp3pp/2nPpb2/p4p2/3P4/2Q1BNP1/PP2PPBP/R2R2K1 b - -,c7d6
rnbq1rk1/p3ppbp/2pp1np1/8/1p1PP2P/4BP2/PPPQN1P1/2KR1BNR b - -,a7a5
8/1r5p/3R2p1/5pk1/P3p3/1n2P1P1/1P2B2P/6K1 w - -,e2b5
4r1k1/1p1n4/1rp3p1/p2p2N1/P2P4/4P2P/RP3K2/2R5 b - -,g8g7
1r4k1/1pp1q2p/p1b1pp2/8/2pP1Q2/6P1/PP2P1BP/5RK1 w - -,f4f6
1n2r3/k1p1Rp2/pp3p1p/3p4/3N2P1/8/PPP2P1P/2KR4 b - -,e8e7
6k1/p4p2/1n2p2p/3bP1p1/3r3P/P4PP1/2R5/4NBK1 w - g6,h4g5
2bQ4/p4N2/q3p1pk/3pb3/1p4P1/1P1P4/5PKP/8 b - -,h6g7
1k5r/1pq2p2/2p1n3/p3nN1p/Pb2N3/1P2P1P1/2Q2PB1/3R2K1 b - -,e5g6
4r1kr/2q2p2/p2p1np1/Pp1Pp2p/4P2P/2Pp1PQ1/1P4P1/4RRNK w - -,e1d1
8/8/5K2/8/5RP1/1k5q/8/8 b - -,h3e3
1N1b4/5k2/3p2p1/7p/4P3/3K1P2/6PP/8 b - -,d8b6
3n1r2/3b2nk/3p1ppN/2pPp3/1q2P1Pp/1P2QN1P/5P1K/3B2R1 b - -,d8b7
8/5kpp/3p4/5p2/3r3P/pP1N2P1/n1K2P2/4R3 b - -,d4e4
r2qk2r/1bpn1p2/1p1pp2p/p7/2PNPp2/P1PP4/4BPPP/R2Q1RK1 w kq -,g2g3
r2qkb1r/pbp1nppp/1p1ppn2/3P2B1/2P1P3/P1N2N2/1P3PPP/R2QKB1R b KQkq -,e7g6
2r3k1/6pp/2q2pb1/pp1p4/3Q2PP/2P2P2/PB3P2/K2Rr3 w - -,d1e1
8/2p5/4kbR1/2P5/2K5/8/1p6/8 w - -,g6g1
