5rk1/6pp/p2Q4/3N2q1/8/6PP/6BK/8 b - -,g7g6
N1brn1k1/pp3p2/2np2pp/8/1PPpP3/8/P3BPPP/3R1RK1 b - b3,c6b4
r2q1rk1/pp3nbp/2p1p3/3p2PB/2n4P/2N5/PPPQ1BP1/R4RK1 w - -,d2e1
8/4Bpbk/2b1p2p/p1P1P3/5P2/2R5/2N5/1r4K1 w - -,g1f2
R7/4n1r1/4k3/4Q3/5P2/8/6p1/6K1 b - -,e6f7
r1b2rk1/1pq2ppp/3bpn2/pPn5/2B5/P1N1P1N1/1B2QPPP/R2R2K1 b - -,b7b6
n2r4/7p/1PR3pk/5b2/8/2Q3PP/4q3/5RK1 b - -,d8d2
1r4k1/p3Rp1p/6p1/Bp3bb1/1P6/6P1/5PBP/6K1 w - -,e7a7
5r1k/p1N3bp/1p6/2p4q/4Q3/2P3BP/Pr3P1K/3R4 w - -,d1d7
r4rk1/pp5p/1npnp2q/2N1Nppb/1P1P4/P3P1P1/2Q2PBP/2R1R1K1 w - -,c2b3
4r3/R4p1k/2Np2b1/2nPp2p/2B1qb2/7R/6P1/5Q1K b - -,h7g7
5rk1/1pp1q1pp/7r/p1P1np2/1P6/P3Pp2/2Q1N1PP/R4RK1 w - -,g2f3
rnbq1rk1/pp3ppp/4pn2/2b5/2p5/5NP1/PP1BPPBP/RNQ1K2R w KQ -,c1c4
1q2r1k1/1p3p2/7p/2PP1bp1/4p2n/4B2P/rbBN1PP1/1RR2QK1 w - -,c1d1
rq2r1k1/pp3pbp/2p3p1/4PnB1/2n2P2/1BN3QP/PP4P1/R2R2K1 w - -,g3f2
r2q1rk1/p2bp1bp/1pnp1np1/8/2PN4/2N1B2P/PPQ1BPP1/3RK2R w K -,e2f3
r2q1rk1/1pp2ppp/p1nbpn2/8/1PBP2b1/P3PN2/1B1N1PPP/R2QK2R w KQ -,c4e2
4k3/8/5p2/1p1P4/3KP1p1/2PN2P1/6b1/8 b - -,e8e7
r1bq1rk1/pp1n1pbp/6p1/3pP3/P5P1/4B2P/1PP1NPB1/R2QK2R b KQ -,d7e5
r2q4/1bn1kpr1/2p1pNp1/4P1P1/2BP1Q2/pPR4R/6PP/6K1 w - -,b3b4
8/8/6k1/p4ppp/2PN4/4K1P1/P1P3bP/8 b - -,g6f6
2r2k2/5pp1/1n2b2p/p1rp4/3N4/R1p1P2P/PP1R1PP1/3B2K1 w - -,a3c3
rnb2rk1/pp3ppp/2p2q2/2bPn3/8/2NB1PB1/PPPQN1PP/R3K2R b KQ -,e5d3
r1b2rk1/pp3ppp/1bpp1nq1/4n3/3NP3/2P2P2/PP2B1PP/RN1Q1RBK w - -,b1d2
r1b2rk1/pp1nqpp1/2pb1n1p/3p2B1/3P4/2NBPN2/PPQ2PPP/R4RK1 w - -,g5h4
1r1b1r2/3b1kq1/3p4/1p1Pp3/pP2Pppp/P1R2P2/3Q1BPP/2RKN3 w - -,d1c2
rnbq1rk1/p3bppp/2pp1n2/1p2p3/4P3/PBN2N1P/1PPP1PP1/R1BQ1RK1 b - -,b8a6
3r2k1/3r1q1p/5pp1/pp1Qp3/P7/6PP/8/B2RR2K w - -,d5f7
8/6k1/p2q1bp1/1pN1r2p/1P5P/PQ3BP1/5PK1/8 b - -,e5e1
2rq1rk1/1ppbbppp/p1n1p3/P2n4/2QP1B2/5NP1/1P1NPPBP/R4RK1 b - -,c6b4
r1b1r1k1/1p1n1pbp/pq1p2p1/2pP2Bn/2B1P3/2N2N2/PPQ2PPP/R4RK1 w - -,a1e1
8/4k3/pp4R1/2p2p2/1r6/1P1P4/P5P1/6K1 w - -,g1f2
3r1rk1/1b3pp1/1p3q1p/p1p5/2PpPP2/1P1Q2P1/P2R2BP/R5K1 b - -,f8e8
8/3R1ppk/4r2p/2P5/8/3q3P/5PPK/8 w - -,d7d3
r1b2rk1/pp2q2p/2pp1npn/5p2/2PPp3/1QN1P3/PP1NBPPP/R4RK1 w - -,a2a4
8/1p6/pQ3r1P/5k2/6PK/5r2/P7/8 b - -,f5g6
6k1/p4pp1/2r3bp/2Nn4/3Pp3/4P1P1/P2N1PP1/2R3K1 w - -,c1b1
8/1k1r2B1/3p2pP/1P1P4/5PP1/b2K4/8/8 w - -,h6h7
8/4Qn2/p2p2p1/3P1q2/3B1k2/1P3P2/P1PK2P1/8 w - -,e7h4
rn1q1rk1/p3ppbp/6p1/1N6/2pP4/4P1P1/1P1N2bP/R1BQ1RK1 w - -,g1g2
5k2/R7/4bp2/4p3/3rP2P/4NK2/8/8 b - -,f6f5
2bqr1k1/p3ppbp/3p2p1/2p1nPPP/1p2PN2/1P1PB2B/r1P5/1R1Q1R1K b - -,e7e6
2r2r1k/p2bqp2/4p2p/3pP1pN/3P4/b1PBQ1R1/P5PP/R5K1 b - -,f7f5
r1bqk2r/ppp1p1b1/2np1npp/5pB1/2BP4/2N1PN2/PPP1QPPP/R3K2R w KQkq -,g5h4
r4rk1/1bq2ppp/p3pn2/2p5/2P1BP2/1P6/P2NQ1PP/R4R1K w - -,e4b7
6k1/5p2/np2bB1p/p1p5/6P1/PrRrNPK1/1P6/4R3 b - -,b3c3
4qrk1/rpp3p1/p3pnnp/4p3/4P3/1QP2NN1/PP3PPP/R3R1K1 w - -,a1d1
3rr1k1/ppq3p1/5bp1/1PPpNp2/P2Q1P2/4R2P/4R1P1/7K b - -,g8h7
7Q/8/2p3R1/2kn2p1/4p3/8/1p3P2/6K1 b - -,b2b1q
3r2k1/R3pb1p/2B3p1/8/1r6/7P/1P3PP1/5RK1 b - -,b4b2
8/R2k4/6N1/5PK1/6P1/1br4P/p7/8 b - -,d7d6
r4bk1/4qp2/p3p1pp/1p2P3/3r3P/3BRQ1R/P1P2PP1/5K2 b - -,a8d8
3Q4/p7/3kppB1/1p6/3q3P/8/P4PPK/4r3 b - -,d6c5
7R/1pr5/5np1/p1b2k2/P1P4p/1P3P2/5P2/4RK2 b - -,g6g5
8/3k4/7K/8/8/1P5p/P4R2/7r w - -,f2c2
r5k1/pp4pp/2ppbr2/5p2/1PP2P1P/P7/2PQBq2/1K4RR w - -,d2c3
rnbqkb1r/ppppp2p/5np1/5p2/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq -,f8g7
2kr3r/pp2qpp1/1npbpn1p/7P/2NP4/2P3P1/PP1BQPB1/2KR3R b - -,b6c4
4qn1k/5rrn/p2bp1p1/Pp1p2P1/3P1PN1/3BB3/1P2Q3/R4R1K b - -,e8b8
3r1rk1/6p1/pp3p1p/n1p1QP2/P1p1P1P1/7P/1P4B1/4RR1K b - -,f6e5
2rq1rk1/ppp1npbp/3n2p1/2BPN3/2p1P3/6P1/PPQ1bPBP/R4RK1 w - -,c2e2
r1rq2k1/1p2ppbp/2bp2p1/p1nN4/2P1P3/1P2BP2/P2Q2PP/1RR2BK1 b - -,c6d5
r5k1/5q2/2pr4/p2b1pp1/P2Rp1P1/4P3/2Q2PB1/3R2K1 w - -,c2c5
rnbqkb1r/pp2pppp/5n2/2pp4/3PP3/5P2/PPP3PP/RNBQKBNR w KQkq c6,e4e5
8/1R3pk1/6p1/8/2R2P2/8/KP6/3q4 b - -,d1d5
r4r1k/pp4b1/2b5/2p1p2P/2P1P3/1P3pB1/P1N2P2/2RR2K1 w - -,d1d6
r2q1rk1/1b1n1pbp/3ppnp1/p7/Pp1PP3/1N3N2/1PB1QPPP/R1B1R1K1 w - -,c2d3
3r2k1/1p3pp1/p1p4p/P1Q1p3/4P3/1qP4P/1P3PP1/R5K1 w - -,c5e5
3b4/pb3k1p/1p1Bppp1/8/8/P3PP2/4B1PP/5K2 b - -,d8e7
4r1k1/p2r1pb1/3p1qp1/Pp1P4/1BppPPQ1/3P2Pp/1P5P/2R2RK1 b - -,f6d8
5k2/1p3p1p/3R4/3P2p1/4P1Pb/1P6/4r2P/7K w - -,d6d8
2r5/pn2p2k/1p2p1pB/4P3/P2P2RP/5N2/5P2/6K1 b - -,h7h6
3r2k1/R4p2/1p2bP2/6P1/2P5/3B4/pK6/8 w - -,b2c3
rn3rk1/pp3ppp/2p1qn2/5NB1/1bpP4/2N5/PP3PPP/R2Q1RK1 w - -,d1f3
8/3p4/1p1k1np1/3Pp3/1P2P1P1/4KB1r/8/6R1 b - -,g6g5
r1bqk1nr/pp3pbp/2npp1p1/2p5/2P5/1PN2NP1/P2PPPBP/R1BQ1RK1 b kq -,g8e7
6k1/P3p1bp/1B4p1/5p2/8/5bP1/1pB2P1P/4K3 b - -,g7c3
2rrn1k1/pq3ppp/4p3/1PpnB3/P3Q3/3B3P/1P3PP1/2RR2K1 b - -,f7f5
6k1/3b1pb1/3n2p1/rpqPp3/1N2P2p/PQr1PB2/4RNPP/5RK1 w - -,b3b2
rn1q1rk1/2p2ppp/pp1b4/8/3PQ3/5N2/PP3PPP/R1B2RK1 b - -,b8d7
r2rbbk1/pp3pp1/2n4p/3p3q/8/P1N1QN2/BP3PPP/3RR1K1 w - -,c3d5
3r3r/p4pk1/1p1b2p1/3N1n2/1P4B1/6P1/P4PKP/2RR4 b - -,f5e7
