R7/8/5p2/p3pkp1/8/r5PP/4KP2/8 w - -,a8a6
rn3rk1/5p2/p1b4p/1B2p3/5P2/2P5/3N2PP/1R3RK1 w - -,b5c6
b1q1r1k1/Q4p1p/4n1p1/3p4/3N4/4P1PB/5P1P/1R4K1 w - -,a7b6
r4rk1/1b1p1nbp/p3p3/q4p2/Np3P2/1P3N2/P1PQ2PP/1K1R1BR1 w - -,f1e2
rnbq1rk1/ppp1p1bp/3p1np1/3P1p2/2P5/2N2NP1/PP2PPBP/R1BQK2R b KQ -,c7c6:b8a6:e7e5
8/r4p1p/4b1p1/rp1k4/2p5/P1R1P2P/1R3PPK/3B4 b - -,d5c5
rnbq1rk1/p4ppp/1ppppn2/8/2PP4/P1N1PQ2/1P3PPP/R1B1KB1R w KQ -,g2g4
5rk1/1p1bbppp/8/3pPp2/3P4/1q6/1PN2PPP/2BQ1RK1 w - -,c2e3
6k1/5p2/4p1p1/p2b1q2/2p2Q2/2P1K1P1/Pr5P/3R1B2 b - -,f5c2
r1b2rk1/pp2qp2/1np3pp/2R5/3p4/1B1QPN2/PP3PPP/5RK1 b - -,g8g7
b2r1r2/2p1qpbk/1p3npp/pB2p3/P3PB2/1NP2P2/1P1NQ1PP/3RR1K1 b - -,e5f4
5k2/3R1p2/5r1p/3B2p1/4K3/6PP/6P1/8 w - -,e4e5
8/1R6/2p5/r6p/P2k2p1/6P1/5K2/8 w - -,b7h7
r7/4bkp1/2rpp2p/1pn1p3/1B2P3/1P6/P1R2PPP/3RN1K1 b - -,a8c8
8/8/6p1/4p3/3pNk2/3Kp3/6P1/4b1N1 w - -,g1h3
rq3rk1/pb1pbppp/1pn1p3/7n/1PP1P3/P1N1BN2/3QBPPP/R3K2R b KQ -,f8d8
r2q4/bp4k1/p1pp4/P4r2/1PQP2p1/6P1/3NR1P1/3R2K1 b - -,d8f6
5bk1/5p1p/4P1p1/p2pP3/3B2P1/2Pn3P/P3R1BK/1r6 b - -,f7e6
1k1r4/pp1r4/3PR1p1/5p2/8/5Pq1/PP1Q2P1/2KR4 w - -,c1b1
rn2k2r/ppp2ppp/5n2/3P1q2/1b2p3/2NP4/PPP1QPPP/R1B1KB1R w KQkq -,c1d2
1b2k3/pp4B1/2p1ppp1/P7/1r3P2/2N4P/8/3R1K2 w - -,c3e2
3n4/1r2k3/R3p3/1P2Pppp/1KN5/5PPP/8/8 b - -,b7d7
2rqr1k1/1p2n1bp/2npbpp1/p1p1p3/2P5/P1NP2P1/1PNBPPBP/1RQ2RK1 b - -,d6d5
r1b1r1k1/pp1n1pbp/2pp1np1/8/2PNP3/2N4P/PP3PP1/R1B1RBK1 w - -,c1f4
6k1/2p3p1/1b5p/1p6/1P2Np1P/2Pn4/rP1B1PP1/1R4K1 b - h3,g7g5
r3r1k1/pp1R1pb1/6pp/8/P1q4P/2P1BN2/1PbQ1PP1/4K2R b K -,c2a4
1k1r3r/pbq2p2/1p2pb2/2n2p2/8/1NPBQ1P1/PP1N1P2/1K1RR3 w - -,b3c5
4k2r/1pr1qpp1/p3pn1p/Pn1p1b2/1R1P4/1PNBP3/2PQNPPP/4K2R w Kk -,c3b5
4rq1k/1R6/pr4p1/3Q1n1p/4R3/2N5/PP3PPP/6K1 b - -,b6d6
rn4nr/p1pq1kpp/1p2p3/3pPp2/3P1N1P/P1P3Q1/2P2PP1/R1B1K2R b KQ h3,b8c6
R7/8/8/4k3/P5p1/r7/5PK1/8 w - -,a4a5
3rr1k1/p1q2pb1/2p2n1p/2P1p1p1/1P2Pn2/P1N1B2P/2QR2PN/R5K1 w - -,a1d1
4k2r/5ppp/4p3/8/rNP2B2/8/3p2PK/3R4 w k -,f4d6
r2q1rk1/pbp2ppp/3p4/3N2n1/2B5/7P/PPP2PP1/R2QR1K1 w - -,d1g4
4kb1r/1q3p2/2r1p1p1/pp1nP1Np/1PpP1P2/P7/1B1Q2PP/2R2RK1 w k a6,b2c3
r1bq1rk1/pp1nbpp1/4pn1p/2ppN3/3P3B/2P1P3/PP1NBPPP/R2QK2R b KQ -,d8c7
r1br2k1/1p2bnpp/1q2np2/pP6/P7/1N3NP1/1B2QPBP/R4RK1 b - -,e7b4
5bk1/3n1p1p/2N1p1p1/p2n4/1p1BP3/rP3P2/5P1P/R4BK1 b - -,d5e7
r1bqkbnr/pp1n1ppp/2p1p3/3p4/2PP1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq -,d5c4
r4rk1/pq3p2/6pp/2pp4/4n2N/4P3/PP2QPPP/2RR2K1 w - -,f2f3
5k2/3K1pn1/6p1/4P1P1/5N2/8/8/8 w - -,e5e6
8/8/8/8/4K3/8/R7/4kn2 b - -,f1d2
r4rk1/1p1q2pp/p2Pp3/2Pp1p2/1P1NnP2/P2Q2P1/2R3KP/2R5 b - -,h7h6
3k4/6R1/2R5/1n2r3/3p3P/1P4P1/5PK1/8 b - -,d4d3
rn3rk1/1p3pp1/5bp1/B1p5/1p3N2/1PnBP2P/P2R1PP1/2R3K1 w - -,a5c7
r2qkb1r/1p2pppp/p1n2n2/3p4/3P1Bb1/2N1PN1P/PP3PP1/R2QKB1R b KQkq -,g4f3
8/R7/6pk/5p2/P6P/5KP1/r4P2/8 w - -,f3e3
8/1p1q2pk/p1r1p2p/2Pp3P/PR1P2Q1/4P3/5P2/6K1 b - -,d7f7
3r1k2/1q3p2/p4b2/2P5/4NPQ1/6P1/1r3B1P/4R2K w - -,c5c6
1r1q1rk1/p1p3b1/1p1p2pp/PPBPpb2/8/3P1NP1/2Q2PBP/1R3RK1 b - -,b6c5
2kr3r/1bq2pb1/ppn1p2p/2p1P1p1/2P1B3/P1N3B1/1P2QPPP/3R1RK1 b - -,c6d4
2rqk2r/1b4pp/p2ppb2/1pn1n2P/4PB2/P1N4R/1PP1NPB1/R1Q1K3 w Qk -,c1e3
rn1q1rk1/pp2ppbp/5np1/8/2Bp4/2N1PQ1P/PP3PP1/R1B2RK1 w - -,f3b7
3r3r/1bpnnpk1/pp1b3p/4p1pP/2B1P1P1/P2NBPN1/1PP5/2KR3R w - -,h1h2
8/p1p2kp1/1p1n4/4br1p/PP6/2PR2BP/5P1P/4R1K1 b - -,e5f4
2q1r1k1/p1p2rbp/1pnpp1p1/8/4PP2/2PNB2P/PP2Q1P1/3R1RK1 b - -,c8a6
3q1rk1/4ppbp/rn1p1np1/2pPP3/8/2N2N1P/PP3PP1/R1BQR1K1 b - -,d6e5
8/8/5pp1/1r3k1p/5P1P/5PK1/1P1R4/8 b - -,f5e6
8/1R5p/4pkp1/2b2p2/2B5/1P2P1P1/1r3P1P/5K2 b - -,b2b1
rn2kb1r/pp3ppp/2p1pn2/q4b2/3P4/2NB1N2/PPP2PPP/R1BQK2R w KQkq -,e1g1
r4rk1/1p3pbp/4b1p1/3qp1B1/p7/2P2P2/PPNQ2PP/R3K2R w KQ -,c2b4
6rk/1p3bbp/p1pBp3/2Pp1p2/PP1P3r/3NP3/6PP/4RRK1 w - -,d6e5
rnb1k2r/pp2qppp/2p1p3/8/1bPP4/3B1N2/PP1B1PPP/R2QK2R b KQkq -,b4d2
r1b1r2k/pp4pp/1q3n2/5p2/2B5/2QP1P2/PPP3PP/R3K2R w KQ -,e1d1
rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP1B2/2NBPN2/PP3PPP/R2QK2R b KQ -,b7b6:e7d6:b8d7
r1b2rk1/2q1bppp/p4n2/1pn1pN2/4P3/P1NB4/1PP3PP/R1BQ1R1K b - -,c8f5
4k3/5pQp/p2p4/1q1r1P2/4r3/P1B5/1P4PP/5R1K w - -,g7g8
r3kb1r/1pn2ppp/2pqpn2/p7/1P1P2b1/P1N3P1/2P1NPBP/R1BQ1RK1 w kq a6,a1b1
r2q1rk1/pp1b1pnp/2np2p1/1Bp1p3/2P1P3/2NP1N2/PP3PPP/R2Q1RK1 w - -,b5c6
1r6/4r1k1/p2R1p1p/P2P1Bp1/n3PP2/1p4P1/7P/5R1K b - -,b3b2
8/8/8/2pR3p/2p2rkP/2K5/2P5/8 w - -,d5c5
r2b4/1p1q2nk/r2p1p1n/P1pPp1pP/2P1P1P1/R3NQ2/1K1BN3/R7 w - -,a3b3
7r/2qnkpp1/p1rp4/4pP1P/1p2P3/7B/PPPRQ3/1K5R b - -,d7f6
8/1p3p1k/p2p1bpp/2pP3q/P1P1Q3/1P1B1N2/5P2/5K2 w - -,f1g2
3r1rk1/1bq2p2/p5pp/npb1p3/2p1P3/2P2N1P/PPN1QPP1/3RRBK1 w - -,c2b4
rn1q1rk1/ppp2pbp/3p1np1/4P3/2P1PP2/2N2B2/PP4PP/R1BQK2R b KQ -,d6e5
rr6/2pnk1p1/p2bp2p/1p2p3/2n1P1PP/P1NNBP2/1PP5/1K1R3R w - -,e3c1
R4b1r/6p1/1k1p1pPp/3BpP2/1P2P2P/pP6/P7/2K5 w - -,c1c2
7r/4pkq1/1n2b1p1/2ppPpQ1/pp1P3R/2PB4/PP3PP1/1NK5 w - -,a2a3
6r1/p3bNrk/1p2P1n1/1P1R3p/5p1q/1Q1B1P2/P4pPP/5R1K w - -,b3c2
r1b1r1k1/ppNnqRbp/2p3p1/2P5/4n3/2N1B3/PPQ1B1PP/3R2K1 b - -,g8f7
8/p5p1/1p1k4/2p2K2/P1Pb4/3N3P/8/8 b - -,a7a6
1r4k1/4p2p/pNp1Nbp1/2B3P1/2P2P2/5n1P/PP2RK2/7b b - -,f6h8
8/2R5/5kp1/8/1p2p1B1/1r4P1/5K2/8 b - -,f6e5
r2q1rk1/2n1bppp/bp2p3/p2pP3/Pn1P4/BPN3P1/3N1P1P/R2QRBK1 w - -,f1a6
8/4kp1Q/p3b3/3p4/7P/1Pr5/P1P3PK/8 w - -,h4h5
2k4r/1p5p/2p2p2/4qbp1/P2Q4/b1N3P1/1P2PPBP/2KR4 b - -,e5d4
1kr5/ppr3q1/3pb1p1/7p/1RPpPP1P/6P1/PQ4B1/2R3K1 w - -,e4e5
