8/p7/k3pP2/Pp1pP1K1/1B1P4/8/1r6/8 w - -,b4e1
rnb1kb1r/1p2pp1p/pq1p1np1/8/4P3/1NN1BQ2/PPP2PPP/R3KB1R b KQkq -,b6c7
6k1/2p3b1/1p1p2p1/pP1P4/2P2PQ1/1P2K3/3B4/7q b - -,g8h7
r4knr/1pqb1ppp/n2N4/pBp1pPP1/P3P3/4B3/1PP1Q3/2KR2R1 w - -,d6f7
4r3/Rrqb1pkp/2pp2p1/1p2P3/1PnN1P2/2N4P/2P2QP1/4R1K1 w - -,a7b7
rnb2rk1/pp2ppbp/2pp1np1/7q/2PPP2N/2N3P1/PP3PBP/R1BQ1RK1 b - -,c8g4:h5d1
r1b2rk1/pp2ppbp/nqp2np1/8/2BP1B2/1QN1PN1P/PP3PP1/R3K2R b KQ -,b6b3
r2q1rk1/2pnbppp/p1npb3/P3p3/1p2P3/1B1P1N2/1PPN1PPP/R1BQR1K1 w - -,b3d5:c2c3
r2q1rk1/p4pbp/1pn1p1p1/2Pp1n2/N2P4/P3BNP1/1P3P1P/R2Q1RK1 b - -,d8f6
1rr3k1/pp2bpp1/4pnp1/N2n4/3P4/P2B2P1/1P1B1P1P/R2R2K1 w - -,a1c1
r4rk1/1p3ppp/p2p4/4nR2/4P1nq/2NB3P/PPPQ2P1/R6K b - -,g4f6
8/5k2/2R5/5PK1/8/8/8/6r1 w - -,g5f4
1r3rk1/1p2ppbp/p1p3p1/B1Pn1q2/2NPR3/1Q5P/PP3PP1/3R2K1 w - -,d1e1
r3r1k1/qp3ppp/p1p1n3/3p4/NP2nN2/5Q2/P1P2PPP/R3R1K1 b - -,e6f4
r2q1rk1/1pB2pbp/pn4p1/1N1P4/1np5/2Nb2P1/PP3PBP/2RQR1K1 b - -,d8c8
7k/6p1/7p/R2p4/8/1b2P3/5PPP/6K1 w - -,f2f3
rnbqkb1r/1p3ppp/p3pn2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,d4c5
5rk1/p4q1p/6p1/1p1Pp3/4R1P1/2P5/PP2R1QK/5r2 b - -,f7f6
8/8/1q6/4n2B/1p1k4/1P2pp2/2P5/3Q3K b - -,d4e4
5rk1/p3bppp/2N1p3/1rpp4/4N3/6P1/PP3P1P/R2R2K1 b - -,e7f6
3rr1k1/p1n2ppp/1p3n2/3p4/3PP3/P1NQ1P2/1B4PP/5K2 w - -,e4e5
2Q2nk1/1p1q4/2p2b2/p3pN2/P3P3/6P1/1PP2PK1/8 w - -,f5h6
6k1/p5p1/2p5/B7/3P2p1/PP3B2/n6r/1K4R1 b - -,g4f3
r1b1k2r/1p1nqpbp/p4np1/8/3P4/2N5/PP2BPPP/R1BQK1NR b KQkq -,b7b5
4r3/pp3k2/5p2/1b2n1pp/2p5/1PB2PP1/P3P2P/3BR1K1 w - -,b3b4
2kr3r/pp2qppn/1npbp2p/4N2P/3P4/2P3P1/PP1BQPB1/2KR3R b - -,h7f6
rn3rk1/4qpp1/pp2b2p/1B1p4/Q1pP4/1P2PN2/P4PPP/R4RK1 b - -,e7b7
8/4b1kp/4p1p1/4Np2/2N1PP2/2n2P2/6K1/8 w - -,e5c6
4k2r/5ppp/B3pn2/3b4/8/P4P2/2r3PP/R1B2R1K w k -,a6b5
8/7p/p3k1p1/1r2B3/5PP1/4P3/K6P/8 w - -,e5d4
8/R2b1p2/3kpp2/P7/4P2p/r4P2/3K2PP/5B2 b - -,a3a2
8/7p/R2kpp2/P3n1p1/4P3/6PP/r7/5BK1 b - -,d6c7
r2q1rk1/2p1bppp/p1n1b3/1pn1P3/3P4/5N2/PPBN1PPP/R1BQR1K1 b - -,c6d4
3rr1k1/pb2qp1p/2p2p2/1p2bB2/4P3/2N3P1/PPQ2P1P/2RR2K1 b - -,b7c8
5k2/8/1R6/p7/P1p4P/1Pr5/8/6K1 w - -,b3b4
8/R4pk1/4n1pp/3B4/8/2r5/2P3PP/6K1 b - -,g7f6
6k1/5p2/6p1/4pn1n/3R3P/5P1P/P1r5/4Q2K b - -,h5g3
2kr2r1/ppp1b3/2n1p1Q1/4P3/1PPp4/P4Nn1/1B2PPB1/R2R2K1 b - -,g3e2
rn3rk1/p3ppbp/1q3np1/3p4/3P2b1/2N2N2/PP2BPPP/R1BQ1RK1 w - -,c3a4
r2qr1k1/1ppbppbp/1n4p1/3P4/p1nN4/P1N1P1P1/1PQB1PBP/R4RK1 w - -,c3e2
r1br2k1/pp3ppp/1qn2n2/8/3p1B2/1N4P1/PPQ1PPBP/R4RK1 b - -,c8g4
2r2k2/1b3pp1/1p2p3/r5pQ/2q5/1B5R/P4PPP/5RK1 b - -,c4e4
r3r1k1/pp2bppp/1qn2n2/2Np4/6b1/4BNP1/PP2PPBP/2RQ1RK1 w - -,c5b3
8/p7/4k1R1/3p1p2/r5p1/2PKP1P1/7P/8 b - -,e6e5
2n3k1/1pq2pb1/6pp/1PNQ3n/8/B5P1/4PP1P/2N3K1 b - -,g7f8
5k2/5p2/8/R7/5NP1/5PK1/p2r4/8 b - -,f8e7
r1bq1rk1/b2n3p/2p1pppQ/p2pP3/N4B2/P2B4/1PP2PPP/R3R1K1 w - -,d3g6
4r2k/4b1pp/4P3/pR1pp3/1p5P/3P4/PP3BP1/6K1 b - -,a5a4
2q1rB1k/pp4b1/2p2n1p/5np1/1QP5/2N3P1/PP4BP/3R1R1K b - -,g7f8
r1b1qrk1/ppp2pbp/3p1np1/2nPp1B1/2P1P2P/2N1Q3/PP2BPP1/R3K1NR b KQ -,f6g4
r1b1rbk1/ppqn1ppp/2pp1n2/3Pp3/2P1P3/2N2N2/PP3PPP/1RBQRBK1 b - -,d7b6
2rq1rk1/pb2bppp/1p2pn2/2np4/2P2B2/2N1PN2/PPQ1BPPP/R2R2K1 w - -,a1c1
8/6p1/1P5k/2n2K2/3N1p1p/8/6P1/8 w - -,f5f4
8/8/6p1/2N1pk2/1b1p4/3Kp3/4N1P1/8 w - -,c5e4
1rbq1rk1/3pppbp/2n2np1/ppP5/1P6/2NP2P1/3BPPBP/1R1QK1NR w K -,c3a2
8/5k2/6p1/6KP/3B4/8/2b5/8 b - -,g6h5
8/3q1ppk/7p/6n1/8/1Q6/5R2/5K2 w - -,b3c2
5k2/p2n2p1/7p/3n1b2/3P1P2/1P2P3/1P1K4/4B3 b - -,f8f7
rq2k2r/3pbppp/p1b1p3/7Q/Pp2P3/1P1B4/2P2PPP/R1B1R1K1 b kq -,a6a5
r4rk1/1ppnqpp1/1b4np/p3p3/4P1P1/1BP3P1/PP2QP1N/R1B2RK1 w - -,g1g2
r1b1rnk1/4qpb1/2pp2p1/p1p1p2p/4P1N1/2PPBPNP/PP2Q1P1/R2R2K1 w - -,g4f2
8/r4p1p/1P3Pp1/2K5/8/p6P/k7/3R4 b - -,a7a8
3rr1k1/1p5p/p7/2P1nP2/2R1N1PP/3p4/PP1R2K1/8 w - -,c4b4
4B3/7k/p6p/P2p1p2/3BbP2/2P1K3/7P/4n3 w - -,d4e5
8/8/1kp2p2/p5p1/4K3/1P3P2/Pb6/2R5 w - -,c1c4
3R4/8/8/p1P1k3/P3p3/1PK5/8/7r w - -,c3c4
8/8/8/6kP/1R4P1/6K1/8/5r2 b - -,f1g1
2n1rrk1/pp1q2bp/2p3p1/3p4/N1nP1pP1/3Q1B1P/PPP2B2/3RR1K1 w - -,b2b3
8/8/ppkp2p1/n2p1p1p/P2P1P2/2PPB1PP/3K4/8 w - -,d2c2
2b2rk1/1p1p2pp/1Qp2q2/3p1p2/3P1P2/4R1P1/4P2P/3R3K b - -,f6d8
rn2r1k1/1b1n1pp1/1q2p2p/1PbpP3/p2p3P/3Q1NP1/PP3PB1/RNBR2K1 b - h3,b6a5
r1bqk2r/ppp2p2/2n2n1p/3p2p1/1bPPpN2/2N3P1/PP2PP1P/R1BQKB1R w KQkq g6,f4d5
8/p4kp1/1pn5/2p2P2/P3P1P1/1P1K1N2/5b2/2B5 b - -,c6a5
r2q1rk1/3nppbp/2pp2p1/p1n5/2P1P3/2N1BP2/PP2N1PP/1R1Q1RK1 w - -,c3a4
r4rk1/1bq2ppp/p2p1n2/1pb2P2/3N3Q/2NBBP1P/PPP5/R6K w - -,a1g1
6R1/3r4/p5p1/2KPk2p/8/3b3P/6B1/8 w - -,g8e8
8/6p1/pb1k1p2/2Rp1r2/Pr3P2/1PR3B1/4KP1P/8 w - -,c5c8
1rb2r2/1pqn1pkn/p2p2p1/P1pP3p/4P3/2N2PN1/1P1QB1PP/R4RK1 b - -,b7b5
r1b2rk1/pp2bppp/1qn2n2/2p1p1B1/8/2PBPN2/PPQN1PPP/R4RK1 b - -,h7h6
R3r1k1/3n1ppp/3Pp3/8/2P3nP/1P4N1/2B1R1P1/6K1 b - -,e8a8
5r1k/5p1p/5Pp1/r7/4P3/1p4N1/1B1R3P/1K6 w - -,e4e5
2rb2k1/p2r1p1p/2p1p1p1/2P5/3P2P1/4RB1P/P4P2/3R1K2 w - -,e3a3
1r1q1rk1/ppp1ppbp/1n3np1/2N2b2/3P4/5NPP/PP2PPB1/R1BQ1RK1 w - -,g3g4
r1br2k1/pp2qpb1/2p1nnpp/P3p3/2B1P2P/4BQ2/1PPNNPP1/R4RK1 b - -,g6g5
