8/8/bBr1kpp1/P5p1/8/7P/5PP1/1R4K1 w - -,b6e3
r5k1/1pr1ppb1/1p1pb1Bp/n2n4/3P1B2/P1P2N1P/1P1N1PP1/R3R1K1 w - -,f4g3
1R6/pp3k2/2p2p1p/6p1/2P1P1b1/4p3/PP4PP/6K1 b - -,f7e6
r3k2r/p4ppp/2p5/8/3Pb3/2P1Pp2/P4P1P/R3R1K1 w kq -,h2h4
5r2/1p1r1pkp/pbn5/5R2/2B1R3/1N3P2/PP3P1P/6K1 b - -,f7f6
6k1/8/1Q1p1n1p/p7/P1PPPpq1/2P5/3NK3/8 w - -,e2d3
r2q1rk1/ppp1bppp/1n1p1n2/8/3QP1b1/1BN2N2/PPP2PPP/R1B1R1K1 w - -,a2a4
5rk1/4bppp/4p3/1q2P3/3p1N2/3P2PP/4QPb1/2R3K1 w - -,g1g2
8/8/8/8/3kb3/r7/4KR2/8 b - -,a3b3
rnb1kbnr/5ppp/p3p3/1p1pq3/3N4/2N1BQ2/PPP2PPP/R3KB1R w KQkq d6,e1c1
r2q1rk1/pb2bpp1/1p1ppn1p/1B6/1n1PP2B/5N2/PP1NQPPP/R4RK1 b - -,a7a6
8/1p2k3/2p5/2P2pp1/6N1/1r4P1/2R2K1P/8 b - -,f5g4
3r2k1/4bpp1/R7/1p1pB2p/2nPQN2/P5PP/1P3P2/6K1 b - -,d5e4
6k1/pp1qn3/3p4/2pPb1p1/2PpB3/5QP1/PP1N2KP/8 b - -,g5g4
r1b2rk1/5pp1/p3p2p/3n1N2/2p3P1/P1P2P2/2PB3P/2K1R2R w - -,f5d6
r1b2rk1/1p1nqpp1/p1n1p2p/2PpP3/5PQP/2N2N2/PPP3P1/2KR1B1R b - -,f7f6
r1bqkbnr/pp1ppp1p/2n3p1/2p5/2P1P3/2N3P1/PP1P1P1P/R1BQKBNR b KQkq -,f8g7
7k/1q4p1/4Q2p/2B5/p2p4/4P1P1/r6P/5R1K w - -,e3e4
8/1p3ppp/1p1kp1b1/8/P1P4P/3r1P2/4K1P1/2R5 b - h3,d6c5
r2qr1k1/pp3pp1/2pbb2p/5P2/2pP2n1/2N3P1/PPQ1PBBP/3RR1K1 b - -,d8f6
2r1k3/1Rp3p1/1nN1bp1p/4p3/1P2P3/7P/3N1PP1/6K1 w - -,c6a7
8/6k1/4Bpq1/4p1p1/8/1QP1BP2/1P3KP1/r7 w - -,b3b7
3rr3/1ppb1pkp/p2p1qp1/P7/1P2PP2/3Q2PP/2P3B1/3RR1K1 b - -,h7h5
r2qr1k1/1b1p1pp1/1pn1pn1p/p3N3/2P2B2/2QBP3/PP3PPP/1K1R2R1 b - -,c6e5
r1bq1rk1/p2nbppp/1p2pn2/2p5/3P1B2/N1PB1N2/PP3PPP/2RQR1K1 b - -,c8b7
r2q2k1/p4ppp/8/4Q3/8/B1Nb4/3n1PPP/4R1K1 w - -,c3d5
8/8/7k/p6r/Kb6/1P6/6R1/6R1 w - -,g2g6
2r5/4b3/4p2p/1p1kP1p1/p2P3P/4B1P1/1Kp2P2/2R5 b - -,b5b4
4k1r1/8/1R3K2/p7/1p3P2/8/8/8 w - -,b6b8
rnbqk2r/ppp3pp/3ppn2/5p2/2PP4/P1Q2N2/1P2PPPP/R1B1KB1R b KQkq -,f6e4
2r1nrk1/pp1n1pbp/2p3p1/3P4/3Pp3/1q2P2P/PP1NBPPB/R4RK1 w - -,d2b3
r1bqk2r/1p2bppp/p1n2n2/3pp3/2P5/4PN2/PP2BPPP/RNBQ1RK1 w kq -,b2b3
6k1/4p3/3pNqp1/1QpP4/1p2P3/1P3P2/2P2K1r/8 w - -,f2g1
1k5r/p4p2/P1p4q/4p1b1/1P1pP1Q1/6N1/5PKr/1R5R w - -,h1h2
r3r1k1/1p2qpp1/2p2nb1/2p1n3/p1P1PN2/PP3PP1/1B2Q1B1/R4R1K w - -,b3a4
8/8/1p1n1k2/p1pPpP2/P7/1P1BqP2/2Q3K1/8 w - -,d3c4
r3rbk1/pbq1nppp/npp5/1N2P3/1P3P2/P1N3P1/1B2Q1BP/3R1RK1 b - -,c6b5
2kr1bnr/ppp2ppp/2n1p3/3P3q/2P3b1/5N2/PP2BPPP/RNBQK2R w KQ -,b1c3
2q5/4Nprk/4b1r1/P1PBp3/4Pb1p/1N6/1P3RpP/4Q2K w - -,h1g1
2Q5/r4pk1/2Bp1qp1/2pP4/Pp1bPp2/1P3P2/7P/3R3K w - -,c8g4
8/8/5k2/3K1p2/5P2/p4r2/8/R7 w - -,a1a2
r2qr1k1/pp1nppbp/2p3p1/7n/1P1P4/3QPNB1/P2N1PPP/R4RK1 w - -,a1c1
r1b2rk1/pp2n1b1/2pq2pp/1P1npp2/P7/2NP1NP1/4PPBP/1RBQ1RK1 w - -,c1b2
3Q2k1/pp1b1p2/4p2p/3pP3/8/2r1R2P/P1q2PP1/6K1 b - -,d7e8:g8g7
8/1p2kp1p/p1bpPp2/4r3/1P2P1P1/PKN5/2P2bB1/7R b - -,f7e6
1r4k1/5pp1/3p3b/p2NP2p/5P2/7P/2Q1R2K/q7 b - -,a1d4
r1bq1rk1/pppp1ppp/2n2n2/3Np3/1b2P3/5N2/PPPPBPPP/R1BQK2R w KQ -,d5b4
3r4/P4k2/1N6/2K5/8/8/5N1p/8 b - -,f7e6
4R3/p4k2/2B5/1p2p1K1/3b3P/8/P4r2/8 w - -,c6b5
2k2rr1/pp4q1/2p1pn2/2PpNb1p/3P4/6P1/PP1QBP1P/R3R1K1 w - h6,e2f3
r1bq1rk1/p2n1pbp/2p3p1/2p1p3/2NpP3/1P1P4/PBP1BPPP/R2QK2R w KQ -,d1d2
r4bk1/5p2/pr1p2p1/R2Pp2p/1P6/3P3P/3B1PP1/R5K1 b - -,a8b8
r2r2k1/1p1n1pbp/3p2p1/p5P1/2PN1P2/1P6/P2BB2P/3RR1K1 b - -,g7d4
2rqr1k1/pp4p1/2p1pRp1/4Q3/2PP4/1P3R2/P4PPP/6K1 b - -,g7f6
1r6/1p1rk2p/p3p1p1/2P2p2/1Pp5/R3P3/P5PP/3R1K2 w - -,d1d7
2b2r1k/1p5r/p1pq4/P1Np1np1/1PPPp2p/R5PP/5PBK/3Q1R2 b - -,g5g4
8/6R1/3k2p1/6P1/1r4b1/6KP/8/8 w - -,h3g4
5rk1/pp3p2/6n1/5R1p/1Pr1p3/4R1P1/1B5P/6K1 w - -,b4b5
1K6/1P4R1/4k3/8/8/7r/8/8 b - -,e6d6
8/2p5/p5p1/1p1k4/3P1p2/1P6/P3K1PP/8 w - -,e2d3
5r2/pppk2r1/3p3p/3Pp1b1/4Pp2/4P1N1/PPP1K1P1/3R3R w - -,g3f5
r1b2rk1/ppb1q1pp/2p1pn2/2P2p2/3P4/3B1N2/PPQ2PPP/R1B2RK1 w - -,f1e1
1q1rrbk1/1p1n1ppp/p1pp1nb1/8/2PNP3/1QN2P2/PP2BBPP/2R1R1K1 w - -,a2a3
2r1r1k1/pbB2pbp/p3p1p1/2R5/3P4/4P3/PP1NKP1P/2R5 b - -,g7f8
2r2rk1/1pqbbppp/p2ppn2/P7/1n2PP2/1NN1BB2/1PP3PP/R2Q1R1K b - -,d7c6
r1b1k2r/ppq1bp2/2ppn1pp/4p2n/P1BPP3/2N4P/1PP2PPN/R1BQR1K1 w kq -,d4d5
r1bq1rk1/6pp/p1p5/bp1pPp2/3Pn3/P7/1PB1RPPP/RNBQ2K1 w - f6,b1d2
2kr3r/1bqnnpb1/p2p2pp/1p2p3/P1pPP3/2P1BNNP/1PBQ1PP1/3R1RK1 b - -,e5d4
rn1qk1nr/pp2pp2/2p1P1p1/5b1p/2BP4/8/PP2NPPP/RNQ1K2R b KQkq -,f7f6
1r1r2k1/1p3qpp/p1p1p3/P2n1p2/3Pn3/BR2P1P1/PR3PBP/4Q1K1 w - -,e1b1
r2q1rk1/pp1nppbp/2pn2p1/8/3P4/1BN1PQ1P/PP3PP1/R1BR2K1 w - -,e3e4
8/p7/4k1p1/7p/r3P2P/5P2/6PK/1R6 w - h6,h2g3
8/6pk/p3R2p/1p6/nP6/r4P2/2K3P1/2N5 w - -,e6a6
r2k3r/1pp2ppp/p1pbb3/8/4P3/4B3/PPPN1PPP/2KR3R b - -,d8c8
rnb2rk1/1pqp1ppp/p3pn2/8/2PNP3/P1QB4/1P3PPP/R1B1K2R b KQ -,d7d6
1b1q1rk1/pp1bnpp1/4p2p/4N3/1P1PB3/PQ2B3/5PPP/2R3K1 b - -,b8e5
8/8/p1p5/P4kBp/1Pb4P/4K3/6P1/8 w - -,e3d4
r2qk2r/1b1nnpbp/pp1pp1p1/2p5/P2PPP2/2NBBN2/1PP3PP/R3QRK1 w kq c6,e1g3
8/4qpnk/1p5p/1P1p1P2/2rP2Q1/2p3NP/2R2KP1/8 w - -,g3e2
r3k2r/pp1nppbp/6p1/1Bpp4/3PnP2/1P3N2/PBP1KPPP/R6R b kq -,c5d4
8/2k2p2/3p4/2p1p2p/2P1P2P/K4P2/8/8 w - -,a3b3
3rr1k1/pp2qn1p/2pp2pb/5p2/2P1nN2/BP2P1PP/P1Q2PBK/3R1R2 b - -,h6g7
1rq1r1k1/1pp1ppb1/p1np1np1/3N4/PPPP3p/6Pb/1BN1PP1P/R2QR1KB w - -,b4b5
r1b2rk1/pp4b1/1q1p3p/1N1Pp2n/1P2P3/5P2/P3QRPB/R4NK1 w - -,a2a4
