8/1pp5/8/2P1p2k/1P2P2P/6K1/5N2/3b4 b - -,d1c2
4Q3/1R2n3/P5pk/5pqp/4p3/P3P2P/r7/5B1K b - -,g5e3
r1b2rk1/pp1nb1pp/4pp2/n2pP3/2qP1P2/P1N1BN2/1PB3PP/R2QK2R b KQ -,d7b6
2rr2k1/3qbpp1/pnbp1n1p/1p2pP2/4P2B/P1N2B2/1PPNQ1PP/R2R3K w - -,h4f2
rn1qk2r/ppp1bpp1/4pn1p/3p1b2/8/1P2PN2/PBPPBPPP/RN1Q1RK1 w kq -,d2d4
5rk1/5p1p/3p1bp1/3P4/1pRqB3/8/rP2QPPP/1R4K1 b - -,a2b2
3rrbk1/p2qnpp1/1p2b2p/2p5/5B1P/2PP2P1/PP1Q2B1/R3NRK1 w - -,b2b3
2r1rbk1/1bq2ppp/p2ppn2/1pn5/3NPP2/P1NB4/1PP1QBPP/4RRK1 w - -,e4e5
r4k2/7R/1p3R2/5b2/2p2P2/6P1/1K5P/8 b - -,f8g8
r3kb1r/1bqnpp1p/p2p1np1/1p4B1/3NPP2/2NB1Q2/PPP3PP/2KRR3 b kq -,f8g7
4rbk1/p1pb1ppp/1q1p4/2p5/2P5/1PP1PB2/Q2B1PPP/5RK1 b - -,e8b8
2b2bk1/1p3p2/2pp2p1/p1n4r/P2RP3/2N2B1P/1P6/3R3K b - -,h5h3
3rrb1k/1bp2pp1/p1n4p/1p1n3q/3PN2N/P2Q4/1PBB1PPP/R3R1K1 b - -,h5h4
4r1k1/1N3p1p/p5p1/1b1p4/5q2/1P5P/P1Q2PP1/3R2K1 b - -,d5d4
8/8/3bP1kp/R2N4/P1P5/1b6/8/6K1 w - -,e6e7
rnbqr3/pp2ppkp/2p2np1/3p4/3P4/2N2P2/PPPQP1PP/2KR1BNR w - -,e2e4
4kb2/ppr4p/2n1p3/6r1/8/2NQ4/PPP5/2KR2Nq w - -,g1f3
8/2N5/1p6/3N1k2/2n4r/P1K3R1/8/8 b - -,c4a3
6k1/p3bp1p/1pq1p1p1/8/2PQN3/1P3PP1/P3K2P/8 b - -,c6c7
r1bqkb1r/pp2pp1p/2np1np1/2p5/5P2/1P3NP1/PBPPP1BP/RN1QK2R b KQkq -,f8g7
Qn1qk2r/p4ppp/2p2nb1/2bPp3/8/2N1PP2/PP1P2PP/R1B1KB1R w KQk -,d5c6
4R3/6b1/kp5p/2p1P1pP/1p1nK1N1/8/PP3B2/1r6 b - -,b1b2
5r1r/1b2kp2/p2ppp2/1P2nP1p/4P3/1N1Bb3/PP2KRPP/5R2 w - -,e2e3
r3rnk1/pRb3pp/5p2/2Pp4/b2P4/q1QB1N2/P2B1PPP/R5K1 b - -,a3c3
r5r1/pkp1Q1Bp/1pq2P2/3pp2N/8/2P5/PP4PP/5R1K b - -,g8e8
1r3r1k/pBp3b1/6pp/5p2/1qPp2n1/6P1/4PP2/1NRQ1RK1 w - -,b7d5
4r1k1/Bb3p1n/4n1p1/3Nq2p/1pp1P3/4Q3/1P3PPP/1B3RK1 w - -,d5b4
3R2k1/p1q2ppp/1pn1p3/2p5/2P1QP2/1P2B1P1/P3P1KP/8 b - -,c6d8
2r2rk1/5pp1/3qp2p/4N3/3P4/1R2PQP1/5P1P/6K1 b - -,c8c1
8/8/2p5/6p1/1PNb4/P4k1K/8/8 w - -,c4d2
r1B3k1/4bbpp/p4n2/1p6/4P3/4BP2/PP4PP/R2R2K1 b - -,a8c8
8/5pkp/6p1/3bP3/1p1bNP2/1P4P1/7P/3BK3 w - -,e4f6
6k1/5p2/p5p1/2Rpq2p/P7/1r2P2P/3Q1PP1/6K1 w - -,d2d1
1k6/2R5/pK2B3/1p6/1P1N4/8/P7/8 b - -,a6a5
8/1kp5/8/Qp1q4/6P1/8/5P2/5K2 b - -,d5d1
2rr2k1/3nbppb/1qp1p2p/pp1pB3/2P5/PP1P2PP/3NPPB1/R1Q1R1K1 w - -,e5b2
r4rk1/p2pqppp/npn1p3/2p1P3/2P1P3/P4N2/1P1QBPPP/R4RK1 b - -,a8d8
r3k2r/pp3ppp/2p5/2b1n2B/5N2/2P5/PPb2PPP/R1B2RK1 b kq -,e8g8
rnb2rk1/pp1p1ppp/4pn2/q7/1b1P4/2N2N2/PP1BPPPP/R2QKB1R w KQ -,a2a3
5nk1/6B1/7P/5P1K/8/8/8/8 b - -,f8d7
r2r1b1k/1pp5/p3p2p/4p1p1/PP2Pn2/1NP1RPB1/6PP/R5K1 w - -,g1f1
r6k/ppp5/1n2pr1p/5p2/3Npq2/2P4Q/PP2B1PP/4R2K b - -,c7c5
2k1r1nr/1pp3pp/p1pbqp2/8/4PP2/4B3/PPPNQ1PP/R3K2R w KQ -,e1g1
r2q1rk1/1p1nbppp/3p4/p2Pp3/Pn4P1/1N2BQ1P/1PP2P2/1K1R1B1R b - -,e7g5
r2qkbnr/ppp1p1pp/2n5/3p1b2/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq -,f1d3:f1b5
4r1k1/1R3bp1/2p5/p1N4p/P1p5/2b1B2P/2P2PP1/6K1 w - -,c5d7
2krr3/1bpp1pp1/1n5p/p1p1P3/2P5/1PNB1P2/P1K1R1PP/7R b - -,b7c6
8/1Rn1k3/4p3/5p2/5P2/6P1/6K1/r7 b - -,e7d6
r1bqr1k1/1pp2pp1/1b1p1nnp/pP2p3/P1B1P3/2PP1N1P/3N1PP1/R1BQR1K1 w - -,d2f1
8/1p1Rrkp1/2p2p2/p1p1p3/4P1pP/4P1P1/PP4B1/6K1 w - -,d7d2
r1b2rk1/ppq5/4p2p/3pPp2/1bP3p1/2NB4/PP1Q1PPP/3R1RK1 b - -,d5c4
2r5/p2n1kpp/1p3p2/8/P1PB4/6PP/5PK1/2R5 b - -,d7c5
r1bqkb1r/1p1pnppp/p3p3/8/B2pP3/3P4/PPP2PPP/RNBQR1K1 b kq -,b7b5
2r4k/6p1/7p/7P/Q5Pb/8/1r6/6K1 w - -,a4a1
8/1P5p/3k2p1/2R2p2/1nPpp3/6P1/4K2P/8 b - -,d6c5
r6k/pq3p1p/1p4r1/4nN2/4R3/3P2P1/1PP4P/3Q1RK1 b - -,g6e6
r3r1k1/1b3pbp/2q3p1/p1p1p3/2PpP2P/1P4P1/PNB1QP2/4RRK1 w - -,c2d3
2rr2k1/1p3ppp/p7/3Bn1P1/1Pn4P/2P1PP2/3B1R2/R5K1 w - -,d5c4
8/1p2krpp/p1n5/4p3/1P6/P3PP2/1B1R1PKP/8 w - -,g2g3
4k3/B2b1ppp/4p3/p2pP3/1b3PP1/1PKP1N2/7P/8 w - -,c3d4
8/5b1p/7k/5B2/r3pK2/4P1P1/5P2/5R2 w - -,f1h1
2r1kb1r/1bqp1ppp/p3pn2/1p2P3/3Q1P2/2N1B3/PPP1B1PP/3R1RK1 b k -,f6d5
1rb1rbk1/1pqn1p1p/p2p1np1/2pP4/P1N1PBP1/2NB1Q1P/1P3P2/R4RK1 w - -,a4a5
r1r3k1/1p2ppbp/np2b1p1/3p2n1/3P1BP1/2N4P/PP2PPB1/R1R3K1 w - -,f4g5
rn1q1rk1/1b1nbppp/p2pp3/1p4P1/3NP3/2N1BP2/PPPQ3P/2KR1B1R w - -,h2h4
r4b1r/ppkn4/2p1bp1p/4p1pP/2P1P1P1/1PN1BP2/P2N3R/2KR4 w - -,d2f1
8/8/R5p1/5k2/5P1p/4r2P/6K1/8 w - -,a6a2
6r1/pp3r1p/3pkp2/PRp1b2R/2PpP3/3P2P1/2PBK2P/8 b - -,f7c7
r3k2r/ppp1qppp/2nb1n2/6B1/2P3b1/1Q3N2/PP1NPPPP/R3KB1R b KQkq -,e8c8
rn1q1rk1/ppp1ppbp/5np1/5b2/2PP4/2N2N2/PP2BPPP/R1BQ1RK1 w - -,f1e1
4r1k1/ppqb1pp1/1bp3np/3nrN2/2P5/5QNP/PPBB1PP1/R3R1K1 b - -,e5e1
4k3/bp3p1p/p1nr4/3Npp2/PPB5/2P3P1/2K1RP1P/8 b - a3,f7f6
r2b1nk1/ppp2pp1/3p3n/3N4/P2Q1Pq1/6p1/1PP2P1P/R3RBK1 w - -,h2g3
3r2k1/6pp/2q1b3/pp1p1p2/2p1BPP1/4Q2P/PP1RP3/3R2K1 b - -,f5e4
1rbq1rk1/pp4pp/4pp2/8/1nNP4/1B3Q2/PP3PPP/3RR1K1 w - -,f3g3
rn3rk1/3nppbp/b2p2p1/qBpP4/P3P3/2N1BP2/1P1QN1PP/1R2K2R b K -,a6b5
1r1rnk2/pp1b1ppp/3Np3/n3R3/3N1P2/5BP1/P1P4P/2KR4 b - -,e8d6
5rk1/4r1pp/p7/8/b7/5N2/PP1R1PPP/5RK1 w - -,f1c1
3b4/3k4/6pr/8/5PNP/7K/8/8 w - -,g4h6
4r1k1/pp3pp1/7p/3p4/b2Pp2P/1qQ1P1PB/5P1K/2R5 w - -,c3b3
r1b2rk1/pp1n1ppp/2p1pn2/q2p2B1/1bPP4/2N1PN2/PPQ2PPP/1K1R1B1R w - -,c4d5
1r6/p1r3p1/4k2p/3pb3/4p3/1P4PP/P2RPPBK/2R5 w - -,c1c7
