8/6k1/8/5K2/3N2PP/8/8/3b4 w - -,d4e6
r1b2rk1/pp2bppp/1qn1p3/2B5/2Pp4/1P1P1NP1/P4PBP/RN1QR1K1 b - -,e7c5
r5k1/5p1p/1q2p1p1/1p2b1P1/1P1pP3/8/3B2QP/r1RN1N1K w - -,d1f2
r1bq1rk1/pp1nppbp/2np2p1/2p5/3PP3/2PBBN1P/PP1Q1PP1/RN3RK1 b - -,a7a6
1r6/4b1p1/3pkp1p/R3p3/4P1P1/1pr1BPP1/1P1R4/3K4 w - -,b2c3
8/2p5/1p1pk1p1/1P5p/2P1PP1B/2b2K1P/8/8 w - -,f3e2
5rk1/p2n1ppp/1p2p3/1P6/3P4/2qnQ2P/P4PPK/R4R2 b - -,c3c7
3r2k1/4Rp2/p7/b4P2/2b1P3/r3B3/PR3K2/2N5 b - -,d8d1
5rk1/2pn1pp1/1q1pp1bp/1P1n4/3PP3/1PB3P1/1Q1N1P1P/R4BK1 b - e3,d5c3
1B6/5R2/5ppk/7p/3bp2P/6P1/n3b1K1/8 w - -,b8a7
2b1rr1k/6pp/p1R1p3/3p4/2nP4/P2BB2P/5PP1/4R1K1 w - -,d3c4
rn1qk1nr/1bp1ppbp/pp1p2p1/8/P2PP3/2N3P1/1PP1NP1P/R1BQKB1R w KQkq -,f1g2
1k5r/1b2q3/ppnrPp1p/2p3pR/3pB3/3P2P1/PPPBQ2P/5RK1 w - -,h2h4
r4rk1/6pp/p7/1pb1p3/P1ppNP2/7P/2qB2P1/RQ3RK1 b - -,d4d3
r2q1r2/2nbppkp/p2p2p1/1PpP4/4P3/2N2N2/1PPQ1PPP/R4RK1 b - -,a6b5
rnb1kb1r/pp1ppp1p/5np1/q1P5/8/5NP1/PPPQPP1P/RNB1KB1R b KQkq -,a5c5
rn1qkb1r/1b3ppp/p2ppn2/1p6/3NP3/1BN1B3/PPP2PPP/R2QK2R w KQkq -,f2f4
8/r7/P2k4/7R/6p1/3p2P1/5P2/5K2 b - -,a7e7
8/8/6pk/8/1r2PR1P/5P2/8/5K2 w - -,f1g2
r1bq1rk1/p2nppbp/2p3p1/2Np4/3P1B2/8/PPP1BPPP/R2Q1RK1 w - -,c5d7
R7/5pk1/1p1pn2r/1P2p2q/2PpP1p1/3P2P1/5PB1/3Q1K2 b - -,e6g5
r1q1k2r/pp2n3/2n2Np1/5b1p/3P4/7P/PPP1QPB1/R1B1K2R b KQkq -,e8f7
4r3/1p3qpk/p2r2np/2Nn1p2/1P2p3/P1B1P2P/1Q3PP1/2RR3K w - -,c3d4
1nrq2k1/bR1b1p2/r3pn1p/p3N1p1/2N1PB2/2R3P1/1P2QPBP/6K1 w - g6,e5f7
6k1/p4pp1/1qp2b1p/n7/B2P4/2P2P2/PPQ3KP/R1B1r3 b - -,b6a6
r5rk/4pq2/3p1pp1/2p4p/1p3N1P/8/P5R1/K1N3R1 b - -,h8h7
5rk1/2q1bppp/2p1n3/3pPP2/7r/1B4Q1/P2B2PP/R4RK1 b - -,e6d4
r6k/ppnbq2N/2pp1nP1/3Pp3/1PP5/P1NBb3/5P2/2RQK3 w - -,h7f6
3rr1k1/p1qnbpp1/bpp1p2p/7P/2PP4/1P3NP1/PB2QPB1/3R1RK1 b - -,e7f8
r2r2k1/pp2bpp1/1nb1pn1p/8/3P2q1/P1NB1NB1/1P2QPPP/2RR2K1 w - -,f3e5
1r1qkb1r/5p1p/pnppbnp1/1p2p3/3PP3/1PPBBP2/P2QNNPP/R3K2R b KQk -,c6c5
6k1/8/7p/6p1/5p2/3p1N1P/2rB2P1/4K3 b - -,c2c4
5nk1/pp4pp/2n5/2Ppr3/1P6/P2B4/5PPP/3Q2K1 w - -,f2f4
4k3/2bq4/Q7/1p3p2/3B4/P5P1/1P3P2/6K1 w - -,a6g6
r3r1k1/1ppb1ppp/2np2n1/p1b5/P2NPPPq/2PQB3/1P1NB2P/R4R1K w - -,d4f5
r1bqkb1r/ppp3pp/1n6/3n1p2/3P4/2N1BN2/PP3PPP/RB1QK2R b KQkq -,d5e3
8/1p1qk1pp/2p2p2/pPn1p3/P1P1P3/1B2PP1P/2Q3K1/8 w - -,b3a2
8/p4Rbk/1p5p/P4n2/2P1r3/1P1KB2P/5P2/8 w - -,f7f5
3r3r/kp1qb3/p1p1pp2/2Pp1np1/PP1P1P1p/N3PR2/1B4PP/2R1Q1K1 w - -,b4b5
2k5/1p5p/pq6/4p3/2p3p1/2P3P1/P3N3/4K2R b - -,b6b1
8/5p2/R4kp1/5p2/1p3P2/4P3/P2KB3/q7 b - -,f6g7
3r1nk1/1p1b1p1p/2pR2p1/5P2/rPP1P2P/4N1P1/6B1/3R2K1 b - -,a4b4
8/7p/rpk2p2/P7/1P1pP3/8/R3K2P/8 w - -,e2d3
r1bq1rk1/pp3p2/2n4p/3p2p1/1b1Nn3/2N1P1B1/PPQ2PPP/3RKB1R w K -,f2f3
2rr2k1/p1q2pp1/2p1pnp1/2P5/4PP2/1PQB4/1P4PP/2KR1R2 b - -,c8b8
5rk1/1p2b1pp/rq2Pp2/4p3/nPQ5/4P1PB/1B3P1P/2RR2K1 w - -,b2a3
4Qb1r/2q2ppk/1p2p3/3pPn1p/1B1P4/5N2/PP3PPP/R5K1 w - -,b4f8
r1q3k1/4pp1p/np1p1bp1/rN1P4/2P2P2/6RP/2B3P1/1R1Q2K1 w - -,f4f5
2r5/5b2/3k4/8/1KpB4/7R/8/8 b - -,c8b8
k2r3r/ppQ4p/q2P2pb/4P3/8/P1N2P2/1P5P/1K1R3R w - -,e5e6
1r3r1k/4bppp/1B1pbn2/Nq2p3/4P3/P4P2/1PPR1QPP/5RK1 w - -,b6c7
6k1/8/2b3pP/pp2p1P1/2p5/P1P1K3/1P3N2/8 w - -,f2g4
8/5pk1/3nb1pp/4p3/3pN3/R2P1BP1/3rNPKP/8 b - -,d6e4
r5k1/4ppbp/3p2p1/1qpPP3/5P2/2B3PP/1PQ3K1/4R3 b - -,b5b7
8/p2b2kp/3P2p1/1r6/2BK4/8/1p4PP/1R6 b - -,b5b6
1r3k2/6Rp/3rp3/3n1p2/1n1B4/8/PP3PPP/R5K1 w - -,g7h7
r1b1k2r/pp3ppp/1q2pn2/3pB3/8/2R3P1/PP2PPBP/3Q1RK1 b kq -,e8g8
r3k2r/p1pn1ppp/2BNN3/4qP1b/8/4P1P1/PP3Q1P/n1B2RK1 b kq -,e5d6
r2q1rk1/1p1n1p1p/2p1pnp1/1P1p4/P2P4/1Q1BPN2/5PPP/R4RK1 w - -,f1c1
1r4k1/p3p2p/5nPQ/2qPP3/2p5/2P2BP1/6K1/1q1R4 w - -,d1b1
2rr2k1/1p3ppp/p2pp3/1bq3P1/3QPP1P/2N5/PPPR4/2KR4 b - -,g8f8
4rrk1/pp2qp1p/2np2pP/2pB2Nb/2P2Pn1/2PP4/P3P1R1/R1B1QK2 b - -,g4h6
r4rk1/p2bbp1p/2p1p1p1/1pPpP3/q2P4/P2Q4/1PBN1PPP/R4RK1 b - -,a4a6
rnbqkbnr/pp4pp/3p4/2pPpp2/2P1P3/8/PP3PPP/RNBQKBNR w KQkq f6,b1c3
5rk1/5ppp/8/3pP3/2pN1P1K/R1P3P1/2Qn3P/5q2 b - -,f1g2
r2k3r/p2nbpp1/1pp1p1p1/3p2P1/1PPP4/4P2P/RP1B1P2/3K1BR1 b - -,d5c4
6rr/ppkn1n2/4p3/2p1P3/4bP1B/2P3P1/PP2Q3/2KR4 w - -,e2e4
8/bp2k3/3n1p1p/Pp2p1pP/2p1P1P1/2P2BK1/1P1B1P2/8 b - -,e7d7
5rk1/6pp/p2Bpp2/8/q2n4/2Q5/5PPP/5RK1 w - -,c3c7
2r3k1/2r3bp/4bpp1/4p3/1N6/P5P1/4RPBP/R1B3K1 b - -,c7c1
r2qk2r/p1pp1ppp/1pn1pn2/8/QbPPb3/5NP1/PP1NPPBP/R1B1K2R w KQkq -,e1g1
3r4/8/1p4k1/p1p2p2/P1B3pR/1PP2bP1/5P2/2K5 w - -,c1c2
1r3rk1/p5pp/Bp2p3/8/P2P1p1q/2P1PQb1/6P1/2RR2K1 w - -,e3e4
r2qr1k1/pbpn1ppp/1p1pp3/7n/2PP4/2N2NP1/PP1QPPBP/R2R2K1 b - -,h5f6
5k2/1R3p2/6p1/4Ppp1/1p1K4/6P1/P1r4P/8 w - -,e5e6
1rbr2k1/2q1bpp1/pp1ppn2/6Bp/P2QPP2/1NN5/1PP3PP/R4RK1 w - -,h2h3
r3r3/pp2q1k1/1np1bpp1/2N4p/3p3P/3P2P1/PPQ1PPB1/2R1R1K1 b - -,e6f7
8/5nk1/1p1q2b1/p1p5/P1P4Q/1P6/5RP1/6K1 b - -,d6d1
r1bq1rk1/pp2ppb1/6pp/n3P1N1/3P4/3BB3/P4PPP/R2Q1RK1 w - -,g5e4
3r2k1/1p6/1p2b1pp/8/1n2p3/4P3/PPP1B1PP/2K1N2R w - -,c2c3
r5k1/6p1/p4n1p/3bN3/8/1B6/P1P2PPP/R5K1 w - -,e5d7
2rr1k2/p3Np1p/6p1/1p2p1n1/4P1q1/1P4P1/PB4KP/1QRR4 w - -,d1d3
