8/6b1/8/1PPK4/8/4k3/2r1p3/4R3 w - -,b5b6
r1bqkb1r/pp2pp1p/2np1np1/8/2PNP3/2N2P2/PP4PP/R1BQKB1R b KQkq -,f8g7:c6d4
5rk1/3rppbp/p1q3p1/1p1b1P2/6Q1/2P1B3/PP2B1PP/R2R2K1 b - -,e7e6
r2q1rk1/ppp2ppp/8/2N5/8/2Pp3b/PP3PP1/R2QR1K1 w - -,c5d3
r1b2rk1/p1q1ppbp/1pn3p1/2P5/8/BQP1PN2/P3BPPP/R4RK1 b - -,c8e6
rn3rk1/4p2p/b2p2p1/2pP4/4q3/5N2/1B1Q1PPP/4R1K1 b - -,e4d3
1r4k1/2p3p1/p1Q1pn1p/P2q4/3P3n/4B1NP/5PP1/2R3K1 b - -,b8b1
3qr1k1/r2npBb1/p1p3pp/Pp2P3/3P3B/2P4P/1P2Q1PN/5RK1 b - -,g8h7
r2q1rk1/pb2bpp1/1p2p2p/3nN3/2BP4/2N3P1/PP2QPP1/R2R2K1 w - -,c3e4
rn1qk2r/pbpp2pp/1p2pn2/3P1p2/2P5/P1P3PN/4PPBP/R1BQK2R b KQkq -,b8a6
8/R1k5/8/4Pp2/1PBP4/8/2r5/1n2K3 b - -,c7b8
6k1/p2qbpp1/1p1P2rp/2p5/P1RnN3/1P1Q3P/5PP1/3R2K1 b - -,e7d6
8/8/2P3R1/5kP1/8/8/2r5/5K2 w - -,g6d6
1n1q1rk1/1r3ppp/p3pn2/1pb1N3/8/2N2QP1/PP2PP1P/R1B2RK1 b - -,d8b6
5k2/3r3p/2pN2p1/p3P3/1n3PP1/5K2/4N2P/8 w - -,e2c3
1b1r2k1/p2q2pp/1p2np1P/3p4/P2P4/1Q3NP1/1P1B1P2/4R1K1 b - -,g7g6
8/8/8/6R1/7p/5p1k/r7/6K1 w - -,g1f1
3rr1k1/p4ppp/1p2bn2/8/P1p1P3/B1P1qP2/2Q1B1PP/R2R3K w - -,a3d6
r4rk1/pppqppbp/2n2np1/8/Q5b1/P1N2NP1/1P1PPPBP/R1B2RK1 w - -,f1d1
5k2/QB3p2/4r3/4p1q1/1P4Pp/P6P/5PK1/4R3 w - -,a7b8
8/6p1/8/2p2K2/2k5/PR4P1/1P2r3/8 w - -,b3b7
r6k/pp6/3p3p/1PpBbq2/2P1p2r/7P/P3RPP1/2QR3K w - -,c1e3
r4rk1/2qbbppp/p2ppn2/1p6/3nPP2/P1N1B1Q1/1PP1B1PP/R4R1K w - -,e3d4
8/2b4R/5p2/p4k2/6p1/3K4/5r2/8 w - -,h7c7
2q3k1/5p2/4pQp1/4P2p/1p5P/1P6/P5PK/8 b - -,c8c7
8/8/1k3n2/1p6/pPP2pp1/3P4/B4K1P/8 w - -,d3d4
5k2/3b2pp/1p1N4/3P1p2/1PP1p2q/5P2/4K1PP/2Q5 w - -,c4c5
5rk1/r3n1pp/1pn5/p4N2/2pp1P2/5b2/PPP1B1PP/1KN1RR2 b - -,f3e2
2r1k2r/3b1p1p/3Pp1p1/p2Q4/3P4/1P2qR2/PK1p2P1/3R4 b - -,e6d5
5rk1/3R1pp1/p1r1p2p/1pB5/5PP1/1P5P/P1P3R1/1K6 b - -,c6c5
4r2k/2p1q1b1/1p2np2/pP1Q2p1/2R4P/4PNB1/5PPK/8 b - -,g7h6
r4rk1/1pqbbpp1/p3pn1p/8/2PN4/P4Q2/1P2BPPP/R1BR2K1 w - -,h2h3
4r3/1p3k2/2p2pp1/PbPp4/3P1P2/R4KP1/2N5/8 w - -,c2e3
3R4/5pkp/6p1/4P2n/p1N3P1/P3KP2/7r/8 b - -,h5g3
2kr3r/pppbnp2/3q2p1/n2p3N/3P2P1/2PB1Q2/PP1N1P2/2KR3R w - -,h5f6
b6k/4pr1p/3p1PBQ/2p4P/6p1/5qPK/1P2RP2/8 w - -,h3h4
r4k2/2pR2pp/1bb2p2/1n2p3/1PB1P3/2B2PN1/1K4PP/N7 b - -,c6d7
8/pp4kp/6p1/2p5/P1N1KP1P/1Pr5/8/8 b - -,c3b3
r1bq1rk1/1p4b1/p2ppnpp/2p3N1/2PnPP2/2NB4/PP4PP/R1BQ1R1K w - -,e4e5
2rr2k1/1p1b1qp1/pP1P3p/R3p3/8/4NPP1/Q4K1P/3R4 b - -,f7a2
8/4kp2/p2r1qp1/PBR2P1p/2Q4P/4P1K1/5P2/8 b - -,a6b5
4r1k1/1p1n3p/2pBb1p1/2P1b2n/1P2N3/2N4P/2r3B1/3R1RK1 w - -,d6e5
1rb1k2r/3n4/p1p2P2/3pp3/1P3Qpq/3B2N1/P1P2PP1/RR4K1 w k -,d3g6
r4rk1/pp1nbppp/1qp1p3/3n3b/1P6/P1NP2PP/2PBNPB1/1R2QRK1 b - -,f8e8
1rb1q3/p3brpk/4p1R1/1p2P3/2p2B1P/2P1P3/PP2QP2/2K3R1 b - -,e8h8
8/6pk/pp5p/5p2/P3q3/2P2b2/1P1Q4/R3K3 w - -,e1f2
r1bqk2r/pp3ppp/2n2n2/1Bbp4/8/1N6/PPP1NPPP/R1BQ1RK1 b kq -,c5b6
3r1k2/1p5p/1pp2pp1/4p3/8/1PPn1PP1/1P4KP/R2R4 b - -,f8e7
r1bqk2r/2ppnppp/1pp5/8/2B1P3/2P5/PP3PPP/RN1QK2R w KQkq -,e1g1
3R4/8/8/2K1p3/5kb1/8/8/8 w - -,d8f8
8/8/1k6/2RK4/8/8/5b2/8 w - -,c5c6
1r2k2r/2qbnp2/4p2p/pp1pP1p1/1P3P2/PNP5/3QB1PP/R3K2R w KQk g6,g2g3
3r1n2/2rkb3/1pq1p1p1/p2pP3/P2P1P2/1P2B2R/N5RK/3Q4 b - -,b6b5
8/6k1/4K3/5PP1/4N2P/4n3/8/8 w - -,f5f6
7k/1p4b1/p1pBp1q1/P3P2p/1P6/5QPB/2b4P/6K1 w - -,h3g2
1r1q1rk1/1p2npb1/2npb1pp/p1p1p3/2P5/P1NPN1P1/1P2PPBP/1RBQ1RK1 w - -,c1d2
8/p7/1k3B2/6P1/8/5R2/r2r1p1P/2K2R2 b - -,b6c6
8/5k2/B2p1bn1/2pP1K2/2P5/1P6/8/4B3 b - -,g6e5
r1bqkb1r/3n1ppp/p2ppn2/1p6/3NP1P1/P1N1BP2/1PP4P/R2QKB1R b KQkq g3,d7b6
1rr1n1k1/pp1qppb1/2np2p1/3N1b1p/2P5/1PN3P1/PB2PP1P/1R1QR1KB w - -,b1c1
r4rk1/1p2qppp/3pb3/4p1bn/pnP1P3/2NB1P2/PP2NBPP/1R1Q1R1K b - -,f8c8
2r4r/4qpk1/1ppb1npp/p2p4/3P3R/2N1P1P1/PPQ1BPP1/K2R4 b - -,c6c5
r1b2rk1/pp1p1ppp/n3pn2/2P5/2P5/2q2NP1/PP2PPBP/R1B1K2R w KQ -,b2c3
qr4k1/6bp/3rbnp1/p1BpN3/Qp5N/3P2P1/PP5P/R4RK1 b - -,d6a6
3r2k1/6pp/5p2/pp1q4/3P4/P3Q1P1/5P1P/3R2K1 w - -,e3c3
r4k1r/1bN3p1/3pnb1p/8/4PP2/P7/1PP3PP/2KR3R w - -,c7e6
8/8/3b2pp/N2k1p2/1P1p4/P5P1/2K2P1P/8 w - f6,c2d3
8/5k1p/p6P/1bB1R3/8/2P3P1/6PK/5r2 b - -,f7g6
8/1r3pk1/1P4p1/p1R1P2p/8/4K1P1/r6P/1R6 b - -,a2h2
2rq1rk1/3bbppp/p1n1pn2/1p1p4/1P1P4/P1N2NP1/1B2PPBP/2RQ1RK1 w - -,e2e3
3b4/5pk1/p6p/8/3NP1p1/r2K2P1/2R2P1P/8 w - -,d3e2
8/2n5/8/3p1k2/6p1/4K3/4B3/8 w - -,e2d3
r3b1k1/2R2n1p/p1Np2p1/3P1p2/1p3P2/8/PB4PP/6K1 b - -,a6a5
1k6/2p3pp/p1p1qp2/2P5/PP1pr3/6BP/2Pn1PP1/Q2R2K1 b - -,e4e2
2r2r2/2R3bk/pp2p1np/4Pp2/2P2PqP/2N1B3/PP3K2/3R3Q w - -,c7c8
r1bqk1nr/bpp2pp1/p1np4/4p2p/2P5/P1N1P1PP/1P1PNPB1/R1BQK2R b KQkq -,g8e7
3k3r/1p3pp1/p2p4/3Nn3/1P2rN1q/4P1n1/PQ2K1B1/R1B1R3 w - -,e2d1
8/8/P2k4/6P1/1R6/8/1b1r2KP/8 w - -,g2f3
rr4k1/5pp1/p2pp2p/1p6/P2Pn3/2PN2P1/1P3PKP/RR6 w - -,b1d1
5r1k/4rp2/3q3p/1p1P1Q2/5N1P/pP3R2/P5PK/8 w - -,f3c3
2r1r2k/pp1nq1p1/4N2p/2p5/5P2/1Q2P3/PP4PP/2RR2K1 w - -,f4f5
2Nr2k1/6pp/1p2Pp2/3q1P2/2rNn3/4Q3/PP4PP/R2R2K1 b - -,d8c8
3qn1k1/r5b1/3p2p1/2pP2Pp/p1P2R2/P1N4Q/1P6/2K4R w - h6,g5h6
r1bk1b1r/1p2nP2/p1n4p/2P3N1/P1p1PB2/2N5/1PP3PP/R2q1RK1 w - -,a1d1
r4r1k/pp2bqpn/2pp3p/4pP2/2P1P1PP/2N1B3/PP2Q3/3R1RK1 w - -,g4g5
