8/8/7R/8/P2p4/4k2p/7r/4K3 w - -,h6e6
1r1r4/3bbppk/3p1n1p/1p1Pp3/p1q1P3/PpP1BNNP/1P1Q1PP1/2R1R1K1 w - -,c1d1
8/4b3/1p6/p6p/2P1k1p1/1P4P1/2pK1P2/2B5 b - -,e7g5
8/p7/8/p2pPpkp/3P4/1P6/5K2/8 b - -,h5h4
8/1p3p2/7k/p3PK1p/8/2P3RP/r7/8 w - -,g3g8
4r1k1/p5pp/8/8/R3N3/6P1/5PKP/4n3 w - -,g2f1
r3r1k1/1p1bqp1p/2p1n1pQ/p1npP3/P7/1PNB1N1P/2P2PP1/3RR1K1 w - -,c3e2
3r1rk1/1p1qnp1p/p2b1pN1/2pP4/P5Q1/2NB3P/1P3PP1/R4RK1 b - -,h7g6
8/5N1R/2pk3n/p2p3P/P2RprP1/8/2P5/3K4 b - -,h6f7
r3r1k1/1pN2p1p/4bnp1/1B6/p2b4/5P2/PP1B2PP/4RR1K b - -,e8c8
r3kb1r/pQ2pppp/2n2n2/q2p4/3Pb3/P1N2NP1/1P2PP1P/R1B1KB1R b KQkq -,a5b6
8/4k3/4p1P1/3PK3/4B3/8/4r3/8 b - -,e6d5
r2q1rk1/p3bpp1/2p2n1p/2Np1b2/1P2p3/4B1P1/P1P1PPBP/R2Q1RK1 b - b3,a7a5
3rr1k1/1bq1bppp/pp1p1n2/2n1PN2/P3P3/2N2BB1/1PP1Q1PP/R4R1K b - -,d6e5
8/4rk1p/prb1p1p1/2Rp1pP1/1P1P1P2/PB6/1K4P1/4R3 w - -,e1h1
2rr4/pp1bkppp/2n1pn2/2b5/P1B5/2N1PN2/1P1B1PPP/R2R2K1 w - -,d2e1
r1bq1rk1/2pnbpp1/pp2pn1p/3P4/3P3B/2N1PN2/PPQ2PPP/3RKB1R b K -,e6d5
8/1p1r1qkp/p2r1p2/3Pp3/4Qp2/1P1R1P1P/1P4PK/3R4 w - -,d1d2
7k/R6p/4N1n1/p7/1rP2P2/8/7P/6K1 b - -,h7h5
2r1r1k1/pp2ppb1/n1pnq1p1/3p3p/2PP1N2/BP2PNPP/P3QP1K/2R1R3 b - -,e6e4
8/2r5/p4k2/2p1p1pp/P1K1Pp2/1PB2P1P/2P3RN/3r4 w - -,c3d2
r1bk4/pp3p2/4pNn1/3pQ3/5r2/P7/4BPPP/2R2RK1 b - -,g6e5
r2q1rk1/pp1nbppp/4pn2/8/2NN4/1P2P2P/PB2bPP1/R2Q1RK1 w - -,d1e2
8/4p2p/n2p1kp1/3P1p2/2P4P/pR2K1P1/r4P2/3B4 w - -,b3b5
5rk1/pp3pp1/1q4P1/2b3P1/5Q2/1B2R3/P5K1/3R4 b - -,c5e3
1r1rb1k1/2q2ppp/pN1ppb2/P3n3/1BP1P3/6P1/4QPBP/1R1R2K1 w - -,e2d2
1r2kb1r/p2p1ppp/b1p5/2ppPP2/P5q1/2PP1N2/1P4PP/R1BQ1RK1 b k -,g4f5
2NK3k/5qBp/p4Pp1/8/8/8/1n5P/8 b - -,f7g7
2kr1b1r/ppp1pppp/2n2n2/q4b2/2BP4/2N5/PPP1NPPP/R1BQ1RK1 w - -,c4f7
2R5/p4k2/3b2r1/3r3p/4n3/1P1p2BK/P4P1N/5R2 w - -,g3d6
4k2r/1b2bpp1/B3pn1p/3p4/Pq1P3B/8/1PQ2PPP/R4RK1 b k -,b7a6
6k1/3r1p2/np2bB1p/p1p3p1/6P1/P2rNPKP/1P6/2R1R3 w - -,h3h4
2Qb2k1/p4ppp/P3p3/3q4/r2P4/4B1P1/5P1P/3R2K1 w - -,d1c1
r4r1k/pp1n1Pb1/3p2Q1/2pNp1B1/2nP2q1/8/PP5K/R4R2 w - -,f1g1
rnr3k1/pp2ppbp/q2p1np1/3P4/b3P3/1NN3PP/PP3PB1/R1BQ1RK1 w - -,c1e3
2r2rk1/p4ppp/bp2pn2/q7/3P4/P4PB1/1P2B1PP/1Q1R1K1R w - -,e2a6
2r5/4kbp1/p1n1pr2/1p1p2N1/1Pn3P1/P1NB3P/K1P5/3R1R2 w - -,d3c4
3q4/4k2p/1Q1npp2/1p1p1p2/3P4/1P1NPPP1/6KP/8 w - -,b6a7
r6r/p1k1p3/1p1p2q1/P1pPp2p/2P1P2R/Q7/5PP1/4RK2 b - -,h8g8
1k6/2p2n1p/1p4p1/4p3/p1q1N2P/2P1R1P1/3R1P2/2K5 b - -,a4a3
8/8/pp1k1ppp/P2P4/1P1K4/5PP1/7P/8 b - -,b6a5
6k1/1prr1p1p/3bp1p1/1R4PP/p2PBP2/P1PR4/1K6/8 w - -,d3f3
3r4/1p2n2p/p5p1/P1qn1pk1/2B5/7P/1Q3PP1/2R1R1K1 w - -,c4d5
8/5kpp/8/3r4/3N1P2/2P3P1/2K4P/8 b - -,d5a5
2r3k1/5pb1/ppbq2pp/3p4/3P4/P4N2/1P1Q1PPP/1B2R1K1 w - -,f3e5
3r1b2/1kpq4/1pn4p/4R1p1/1PQp4/5N1P/2PB1PP1/7K w - -,e5e6
1Rr5/3K4/8/5k2/7p/8/8/8 w - -,b8c8
r1r3k1/1p1b1pbp/6p1/3np3/p1P5/1P3P2/P1NBN1PP/R4RK1 w - -,c2e3
4rrk1/pp3ppp/2np4/7q/1P1P4/P4R2/2PQN1PP/4R1K1 b - -,h5h4
2k4r/p1n4p/2p2pp1/Pp6/3R1P2/2P4P/6P1/1R4K1 b - -,c7d5
8/4N3/8/1p3pP1/1Pk2P2/6K1/8/8 b - -,c4b4
r1r2bk1/3q1p1p/p3pnp1/8/2pPP3/1bB2P2/2N3PP/Q1R1RBK1 b - -,d7a4
r1b1nrk1/ppp1qppp/n7/3Pp3/2B5/P1N5/1PP3PP/R1BQ1RK1 w - -,b2b4
rn1q1rk1/pp2bppb/2p1pn1p/3p4/4P3/1P1P1NP1/P1PNQPBP/R1B2RK1 b - -,a7a5
r3k2r/ppp2ppp/1nn1b3/2b1P3/2P2P2/PP2NN2/6PP/R1B1KB1R b KQkq -,a7a5
r3r1k1/bppq1pp1/p1n1b2p/3np3/8/2PP1NNP/PPB1QPP1/R1B1R1K1 w - -,e2f1
r1bqkb1r/pp4pp/3P1N2/1p6/8/8/PPP2PPP/R1BQK2R b KQkq -,d8f6
r2q1r1k/pppb2bp/1n4p1/3Ppp2/4P2P/NQ3PP1/PP2K1B1/2R1N2R b - h3,g7h6
1r3rk1/p1q1pp1p/3p2pQ/8/1p2P1P1/1R3P2/PPP4P/2K4R w - -,h6d2
3r1r1k/pp2q1bp/4b3/2p1pp2/2Pn4/2NBBP1P/PP4P1/2QR1RK1 w - -,e3g5
4R3/6pk/1p6/2p2KQ1/3p4/3P4/2P3qP/8 b - -,g7g6
r1b1kb1r/pp1pnppp/1qn1p3/2p5/4P3/5N2/PPPP1PPP/RNBQRBK1 b kq -,d7d5
2k5/ppp5/2r3p1/8/3pP3/P4P2/1P3P2/3K2R1 w - -,d1d2
6k1/4r2p/2p5/2n2p2/2B2n2/2N4P/8/3R2K1 b - -,g8g7
8/2r3pk/7p/5p2/8/7P/5RP1/7K b - -,h7g6
r1br4/3pkp1p/p1nRp1p1/1p6/4P3/1BN5/PPP2PPP/3R2K1 w - -,f2f4
8/6pp/2k5/R7/1pP4P/8/P6r/3K4 w - -,h4h5
8/5pk1/1P2p3/R2pP3/7r/P1r3pP/6P1/1R4K1 b - -,h4c4
8/8/5p2/4k3/R7/2r2P2/P4K2/8 b - -,c3c1
r2qnrk1/pp1b2pp/6n1/2pP1p2/2P2p2/2PB1N2/P5PP/R1BQR1K1 b - -,d8f6
2rqk2r/3nbpp1/p2p3p/3Rp3/1Q3PP1/1N2B2P/PPP5/1K3R2 b k -,d8c7
r2qkbnr/pp1bpppp/2np4/1B6/3NP3/2N5/PPP2PPP/R1BQK2R b KQkq -,g8f6
rn1qkbnr/pp2pppp/2p5/3P1b2/3P4/5N2/PP2PPPP/RNBQKB1R b KQkq -,f5b1
5bk1/5p1p/1p3P2/p1p1B1P1/P1P2P2/1PK5/2Q5/q7 w - -,c3d2
6r1/2k4R/3p4/PP6/2P5/1KB5/8/6b1 b - -,c7b8
4r1k1/2q3b1/p4n2/1ppbp3/8/2P1Q2P/PP1N2P1/2R2RK1 w - -,f1f5
r2qk2r/pp3ppp/2nbpn2/2pp4/3P1Bb1/2PBPN2/PP1N1PPP/R2QK2R w KQkq -,d4c5
r1r3k1/1p2bpp1/3p1n1p/8/p1q1P3/2P2Q1P/RP3BP1/2N1R2K b - -,f6d7
r1bq1rk1/pp2ppbp/5np1/2n5/2B5/1QN1PN2/PP3PPP/R1B2RK1 w - -,b3a3
2r3k1/p5pp/4B3/3pq3/2p5/6P1/PPP4P/1KQ2R2 b - -,e5e6
rnbq1rk1/p5b1/1pPp1npp/5p2/2P1p3/2N3PP/PPQBPPB1/2KR2NR b - -,b8c6
r1b4r/pp2kppp/4p3/2n5/4B3/4KNP1/PPP2P1P/R2R4 b - -,c5e4
