3r4/8/p4k1p/2PK2p1/4R1p1/8/PP5P/8 w - -,d5c4
rnbq1rk1/pp1pbppp/4pn2/8/2PN4/6P1/PP1BPPBP/RN1Q1RK1 b - -,b8c6
8/5p2/pB4kp/P7/5n1p/5P2/r4P1K/5R2 b - -,f4d5
rnbqk2r/3pppbp/P4np1/2pP4/8/6P1/PP2PPBP/RNBQK1NR b KQkq -,d7d6
8/pp6/3k4/1B1p4/4p3/2P2r2/P1R4P/4K3 b - -,a7a6
8/8/r3k3/2R5/1pPpP3/1P4p1/8/5K2 b - -,d4d3
1r6/2q2pk1/3Rp1pp/p3P3/P2P1QPP/5PK1/8/8 w - -,f4f6
1r6/3Pk3/6p1/p1N1p2p/1pBp3P/P4P2/4K1P1/8 w - -,e2d3
6k1/6p1/p1r1pq1p/P2p4/3P4/1P1Q3P/2p2PP1/2R3K1 b - -,f6d8
1rbq1rk1/2p1nppp/3p1n2/4P3/1p3P2/1BQ5/1PPN2PP/R1B2RK1 w - -,c3d3
4b3/2R5/1r2pkp1/3p1p1p/P2PnP1P/1P1RP3/2K3P1/8 b - -,e8c6
r2k1b1r/pp2pp1p/2qP4/Q1P1nnp1/5B2/5P2/P3BP1P/RN3RK1 b - -,b7b6
2r1r1kB/p3b3/b5p1/4P1p1/8/P4N2/1P3PP1/R3K2R w KQ -,e5e6
5rk1/p2n1p1p/1rn1p1p1/3pPP2/3P1NP1/b3BN2/P1R3KP/R7 b - -,f8e8
8/8/p7/P2R4/1P2K3/1r6/7k/8 b - -,b3b4
r3k2r/pp1nbpp1/1qp2p1p/3p1b2/2PP4/1Q2PN2/PP1N1PPP/R3KB1R w KQkq -,f1e2
r3k2r/pp1bbp1p/1qn5/3pPp2/3P2p1/1Q6/PP3PPP/RNBRN1K1 w kq -,b3b6
2r1r1qk/pn4pp/bp3p2/3P1R2/PB2P2R/2Pp3Q/3N2PP/6K1 b - -,c8c7
1rnb2k1/1p1q1r2/n2p4/Np1Pp2p/1P2Ppp1/N2Q1P2/P4BPP/5RRK w - -,d3b5
6R1/4k3/6p1/1pp1p2p/3r4/1P2K1PP/8/8 b - -,e7f7
rn1q1rk1/pb1pbppp/1p2pn2/2p5/2P5/1P2PNP1/PB1P1PBP/RN1Q1RK1 b - -,b8a6:d7d6:d7d5:a7a6
5k1r/p3p1b1/q2pPr2/P1pP1R2/2N2P2/2PQ2P1/3N1K2/8 b - -,h8h2
5r1k/1p4p1/p6p/2P5/1P1pp2P/P3Pr2/2R1QP2/4KBq1 w - -,e3d4
1r1r2k1/5pp1/7p/2QP4/2pP4/3b2P1/1q3PBP/2R1R1K1 w - -,d5d6
r2q1rk1/pb1nbppp/1p2pn2/2pp4/2P5/PP1P1NP1/1BQNPPBP/R4RK1 b - -,d5d4
r1b1k1r1/pp3p2/3p4/2p1p2p/2P3pq/2QPPn2/PP1BNPB1/1RR2K2 w q -,b2b4
8/4bpkp/4p1p1/p1q1P1P1/2pPBP1P/8/P2Q4/7K b - -,c5a3
8/p7/3k1p2/1p1P2P1/4nNP1/r7/7K/3R4 b - -,a3a2
r2r2k1/pp3pp1/7p/3N3b/P3P3/3q2P1/QP4nP/2R1R2K w - -,h1g2
r2r4/1q3pk1/p5p1/4P3/P2p1bP1/3Q1P2/P2R2P1/1B1R3K w - -,g2g3
2r2rk1/pp2ppbp/q2p2p1/3P1b2/8/1NP1BP2/PP3QPP/3R1RK1 b - -,a6a2
1rr3k1/2b1qpp1/pp1p1n1p/2pPpN2/P1N1P3/7Q/1PP2PPP/R4RK1 b - -,e7f8
r5k1/p4ppp/3N1n2/3n4/b1P1p3/R5B1/1r2BPPP/2R2K2 b - -,d5b6
2kr3r/1p1q4/pn1b1p1p/2pPp1p1/2P3P1/2NP1N2/PP3PP1/R1BQR1K1 w - -,c3e4
3q1rk1/pb3pp1/1p2pn1p/4N3/3P4/P5P1/1P2NPP1/3QR1K1 w - -,d1a4
3rr1k1/p1q2ppp/1p1b4/n1p1p3/4P3/P1PPB1PP/Q3BP2/1R3RK1 b - -,c7c6
r4rk1/4qpp1/1bnNb1p1/3p4/p4B2/1N6/PPPQ1PPP/2KR3R w - -,b3a1
8/1p6/p3k3/1b4B1/6p1/P4pP1/1P1R1K1P/7r w - -,f2e3
8/4kp2/p1b4p/R1p5/2P2PP1/1r2p2P/8/4KN2 w - -,e1e2
6k1/p6p/1p2ppp1/5q2/8/1PB3P1/P3PP1P/2R3K1 b - -,e6e5
8/8/2k5/6N1/2PK3p/3R2bP/8/3r4 b - -,d1h1
r2q1rk1/pp2ppbp/1nn3p1/1Q4B1/3P4/2N2N2/PP3PPP/3R1RK1 b - -,h7h6
1r2r1k1/1p3pb1/p6p/N1PRPPp1/1P6/2B5/1P2p2P/5K2 w - -,f1e1
r1b2rk1/1pq1ppbp/p1np1np1/8/P3P3/2N3PP/1PP1NPB1/R1BQ1RK1 b - -,c6b4
5rk1/p5p1/6n1/1ppPp1N1/2P5/6Pq/PP2QP2/4R1K1 b - -,h3h6
r3kb1r/pp3ppp/2n1pn2/2pq3b/8/2PP1N1P/PP2BPP1/RNBQ1RK1 w kq -,c1f4
8/4ppk1/2Pp1npp/1p6/1Pq1P3/6P1/2rQ1PBP/1R4K1 w - -,d2d1
6k1/p2q3p/1p1Bppp1/3n4/3P1P2/P5P1/1P2QK1P/8 w - -,d6b8
8/pp2r1pk/2p5/2Q2p1q/P4Pp1/2bP2R1/1P4P1/5NK1 w - -,b2c3
2r5/8/1P2p3/1K2p3/2P1n3/6pB/5k2/R7 w - -,h3e6
2bR4/2r2p2/p1p1pNk1/1p2P1pp/1P4P1/8/P1P4P/2K5 w - -,d8g8
8/4k3/4p1p1/4P3/p2R3P/P1K3P1/5r2/8 b - -,f2f3
rn1qkb1r/1b3ppp/p2p1n2/1p2p3/4P1P1/2N4P/PPP1NPB1/R1BQK2R b KQkq -,b5b4
r1b2rk1/pp2qppp/4p3/2p1P3/3nQ3/8/PPP2PPP/2KR1BNR w - -,c2c3
1r2r2k/5p1n/1q1p3P/3P3Q/p1Pp1P2/1P4R1/6BP/1R5K b - -,b6b4
r1rb2k1/8/1p1n2pp/pP1Pp3/NpP1PpP1/1P3P1P/R3N3/2R3K1 b - -,d6b7
rnb1nrk1/2q1bp1p/p2p2p1/1ppP4/4PBP1/P1N3NP/1PP3B1/R2Q1RK1 b - -,a8a7
8/8/R7/5P1p/4K3/1r4P1/pk6/8 b - -,b3a3
r4rk1/pp1nqp1p/2p3p1/3p4/3Pn3/2NQP3/PP1N1PPP/4RRK1 b - -,f7f5
r4rk1/1ppb1pp1/7p/p2Pp3/1qP1n3/1P3N2/2Q3PP/1KB2B1R w - -,c2e4
b4qk1/2p3p1/2n2p1p/3rp3/1pQ1N3/2BP4/1PP2PPP/4R1K1 b - -,f8f7
3r1rk1/1pqb1ppp/1bn1p1n1/p2pP3/P6P/1NBB1N2/1PP2PP1/R2QR1K1 w - -,h4h5
r5k1/1p3pp1/1q2p1p1/1Nb3Pn/4Pn1P/pP2B3/P4P2/1K1Q1B1R b - -,c5e3
2r1r3/6kp/3p2P1/p2P4/1pPqP1n1/3B4/P2Q2P1/2R2R1K b - -,h7g6
q5k1/2n4p/4p1p1/P3P3/1p2N3/6P1/1P2Q2P/7K w - -,e2c4
r2qr1k1/5ppp/2p1bn2/2Np4/1p6/P3P1PP/1PQ2PB1/R1R3K1 b - -,b4a3
8/5p2/6k1/6P1/1pPp4/1P3BP1/2b2K2/8 w - -,f3d5
2R5/p3rbkp/6p1/2N1pp2/8/qP1Q1BP1/3b1PP1/6K1 b - -,a3a1
r4rk1/p5pp/2p1p3/4Pb2/1q2N3/5Q2/PPP2PPP/R3R1K1 w - -,b2b3
r1bq1rk1/pp1nbppp/2p1pn2/2Pp4/3P1B2/2N1P3/PP3PPP/2RQKBNR w K -,f1d3
r2qkbnr/ppp1pppp/2n5/3p1b2/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq -,g7g6:d8d7:c6b4:e7e6
6k1/ppq1bpp1/2b1p2p/4P3/8/4QN2/PPP2PPP/1K1N4 b - -,c7a5
8/4N3/8/1R6/3K2pk/5r2/PP5b/8 w - -,e7g6
r2q1rk1/ppp2ppp/1n1p1b2/8/2PB2b1/P1NB1N2/1P3PPP/R2Q1RK1 b - -,f6d4
1r4k1/p1r1qpp1/4p2p/R2nP3/2N5/1P1Q3P/5PP1/R5K1 b - -,c7b7
1qrrbbk1/5ppp/8/5N2/ppp5/1P3P2/P2N1QPP/1R2R2K w - -,d2c4
8/8/1p2r1p1/8/kP1K2R1/8/8/8 w - -,d4c3
r3r1k1/1bq1bp1p/p2p1np1/1pnPp1B1/P1p1P3/2P3NP/RPBQ1PPN/5RK1 w - -,a2a1
6k1/2p1rp1p/1p1p2p1/3q4/PR6/2Q4P/2P2PPK/8 b - a3,d5e5
2r1r3/1pp1qpbk/3p1npp/pb6/2PBP3/1PN2P1P/P4QP1/3RR1K1 w - -,c4b5
1rbr1bk1/p4p1p/2p3p1/1q1np3/NPRp4/P2P2P1/1BQ1PPBP/5RK1 w - -,e2e3
r3r1k1/1p3pqp/2pp2p1/p1n5/2PN2P1/1P1Q4/P3B1RP/R6K w - -,d3d1
1rbqk2r/4bpp1/2nppn1p/1pp5/4P3/3P1NPP/1PP1NPB1/R1BQ1RK1 w k -,c2c3
8/4qpk1/1p2r1pp/r1p1p3/p1PbP1P1/P1N3QP/1P1R1P2/3R2K1 w - -,c3d5
3r3k/7p/1nR1B1p1/3pbp2/1P6/6P1/3BPP1P/6K1 b - -,b6c4
8/p2r1p1p/1p1ppk2/1P3p2/2PP4/4PKPP/5P2/R7 b - -,e6e5
7R/8/pB6/8/P2Kp1k1/3bP2r/7P/8 w - -,h8g8
