6k1/4R3/6P1/6P1/6K1/8/8/5r2 w - -,g6g7
r4rk1/p2q1p1p/1pn2bp1/3p1b2/2pP4/1NP2NP1/PP3PBP/R2QR1K1 w - -,b3d2
r1bqk1nr/pp2ppbp/2np2p1/8/3NP3/3BB3/PPP2PPP/RN1QK2R w KQkq -,c2c3
r4rk1/3b1pb1/pp1p1qp1/2pP1n1p/1PP1BN1P/P2P2P1/3Q1B2/1RK4R b - -,f5d4
r2q1k2/1p2p2p/5p2/p2P1p2/Pn6/8/1Q2BPPP/5RK1 w - -,f1d1
rn3rk1/pp2pp1p/3p2p1/q1pPn3/2P1P3/2P2QPP/P4PB1/R1BR2K1 w - -,f3e2
2r2bk1/1p3pp1/p6p/P2r1P2/5RP1/4p3/1P1nB2P/3RB2K b - -,c8c2
rnb1kb1r/1p3ppp/p3pn2/2P5/2B5/2N1PN2/PP3PPP/R1BK3R b kq -,f8c5
r3k2r/pp2qpb1/2p1n2p/4P1p1/2B5/4PRBP/PPQ3P1/R5K1 w kq -,a1f1
8/1k3p2/4p1pp/1pPpP3/pP4PP/P1K1P3/8/8 b - b3,b7c6
1r3rk1/1p2nqpp/p1p2p2/2Pn4/3N4/1Q6/PP1BRPPP/R5K1 w - -,a1e1
2b3k1/p6B/1p2p2p/4Q3/2P3KP/1P4P1/P3rr2/8 b - -,g8h7
r1r3k1/pp3p1p/1q3np1/2b1p1B1/2p1P3/2P1NP2/PP2Q1PP/R2R3K b - -,c5e3
4rr1k/pp2n2p/3pPp2/2pP1p1q/2P2PbP/PPQ2NR1/4NR2/5K2 b - -,e7g6
r2qk2r/pp3ppp/2n2b2/2Pp3b/5P2/2NBP3/PPQ3PP/R3K1NR w KQkq -,h2h3
3b4/3k4/3P2p1/p3K3/P4PP1/8/8/8 b - -,d8h4
3r2k1/5p2/1p2p1p1/1B4q1/P2b2Q1/3P3P/5PK1/4R3 b - -,g5g4
3r3k/2r3pp/pq1nQ1n1/1p1P4/8/P6B/1B4PP/3R1R1K b - -,c7e7
r2rnbk1/1pq2pp1/2p4p/p3pP1P/P3P2Q/BPNP2R1/5P2/R5K1 w - -,a3f8
8/5pk1/5np1/4q2p/4P2P/5BP1/5P2/4Q1K1 b - -,g7g8
4r1k1/5pp1/2pB1n2/3n4/3qpP2/6PP/2Q3BK/4R3 w - -,d6e5
r1b2k1r/p1q2p2/1p2p2p/2p1P3/2P3n1/3B1R2/PP1Q1PPP/R5K1 w - -,d3e4
1rbq1rk1/p4pbp/3p2p1/2p1p2n/4PP2/2PPB1PP/P3Q1BK/R2N1R2 b - -,e5f4
1r1r2k1/p4p1p/1p1p2p1/2p4n/q1P1P3/2PR2PP/3Q1PB1/3R2K1 w - -,e4e5
r4rk1/1ppbqpp1/5n1p/p1nPp3/2P1P3/P4N2/1PQB2PP/2K1RB1R w - -,b2b3
r6r/pppk2p1/3P3p/8/1PB1npnB/2P1bN2/PK4PP/4R2R w - -,h2h3
r3r1k1/1ppqb1pp/1B1p1p2/p2P1P1b/P4R2/1N1Q2P1/1PP3BP/R5K1 b - -,c7b6
5R2/8/5k2/4p3/7p/3NK1bP/8/r7 b - -,f6e7
r2q1rb1/pp2n1kp/2n2p2/3p4/3P2B1/2N1NR2/PP3QPP/3R2K1 b - -,e7g6
2rb2k1/pp4pp/6p1/2P1r3/R7/8/1P3PPP/2B2RK1 w - -,c1e3
r1bq1rk1/pp3pbp/4p1p1/nP1n4/Q1p5/B1N2NP1/3PPPBP/1R2K2R w K -,c3e4
2rr2k1/4b1p1/qp2bp1p/n1p1p3/p7/P1RPBNP1/1P2PPBP/1Q2R1K1 w - -,c3c1
1rb2rk1/1pqn2bp/p1np2p1/2p2p2/P1P2PP1/2NP3P/1P2N1B1/R1BQ1RK1 w - -,g2d5
2k3r1/ppp2p2/5r2/4n2p/1P1p3N/P5P1/2P2P2/R4RK1 b - b3,f6c6
4b3/p5p1/1p3k1p/3p1p1P/1P1P1P2/P3K1P1/4B3/8 w - -,e3d2
8/4p3/2kpr3/2p3R1/8/5K2/4P1R1/8 w - -,g5g7
rnbq1rk1/ppp3bp/3pp1p1/5p2/2PPn3/2N2NP1/PP2PPBP/R1BQR1K1 w - -,d1c2:d1d3
2kr3r/pp2pp1p/q4npb/n1Pp1b2/3P4/1QN3PP/P3NPBK/R3B2R w - -,b3a4
r1b1k2r/1pq1bpp1/p2ppn1p/2n5/3NP3/1BN1B3/PPP1QPPP/R4R1K w kq -,f2f4
8/2p1k2p/1p1p2p1/p7/PbP1QP1q/1P2B2P/4K1P1/8 b - -,e7d7
2r3k1/pp3p1p/1n1P1qp1/2r2p2/8/1QPR1N1P/P4PP1/5RK1 w - -,f1d1
r2r2k1/4bppp/q1bppn2/p7/4PB2/1RN3P1/1PPQ1PBP/3R2K1 w - -,d2e3
6k1/6p1/1p1p4/3P4/pP6/P1R3PQ/7P/4q2K w - -,h1g2
r1b1q2k/p3pp1p/2p5/5PB1/2P5/1P5P/P2Q3K/3R4 b - -,f7f6
q1r2rk1/1b1nbp1p/pp1pp1p1/6Pn/1PP1PPQ1/P1NBB2P/3N4/2R2RK1 b - -,h5g7
1R6/1p3ppk/pB1p3p/Pr1P4/8/2b4P/4KPP1/8 b - -,f7f6
8/1p1b4/1npk1p2/p3pPp1/P3P1Pp/1PKB3P/2P5/3N4 b - -,d7e8
r1b1r3/1p1nqpbk/5npp/pPpBp3/2P1P3/5N2/PBQ2PPP/2RR1NK1 w - -,f1g3
6R1/8/4p3/4k1p1/7r/5P2/5K2/8 b - -,e5f6
3r1rk1/ppq2p1p/2p2bp1/4Nb2/3P1P2/1B2Q3/PP4PP/R4RK1 w - -,h2h3
5rk1/1rq1bppp/3p1n2/pp6/3B1P2/P2B2Q1/1PP3PP/3RR2K w - -,e1e3
3rr1k1/1bq1bppp/p2ppn2/1p6/3BPP2/P1N3Q1/1PP1B1PP/3R1R1K w - -,e2f3
2r3k1/1b1qpp1p/3p2p1/1p6/1R6/p2P1NP1/2rQ1PBP/3R2K1 w - -,d2e3
5b2/5k2/5p1p/2pp4/2P5/R5P1/6P1/6K1 b - -,d5c4
2n2R2/p1kr4/2q2p2/4pP1p/4N3/1QP3PP/3p3K/8 w - -,e4f6
6q1/4Q1pk/8/3pB1pP/p2P2P1/5P1K/8/8 w - -,f3f4
8/8/8/8/K5Q1/8/5p2/6k1 b - -,g1h1
5rk1/5qpp/1r2p3/2bpP3/4p3/4P3/1BQ2PPP/1RR3K1 b - -,h7h5
r1bq1rk1/p3b2p/2p2np1/3p1p2/N7/3BPP2/PP1B2PP/R2Q1RK1 w - -,a1c1
r1b1k1nr/3nqpb1/3pp1p1/Ppp3Np/3PP2P/2N1B3/1PPQ1PP1/R3K2R w KQkq -,c3b5
r1b2rk1/pp3pbp/3p1np1/q1nPp1B1/4P2P/2N2P2/PP1QB1P1/1R2K1NR b K -,a5c7
7b/2nr1k1p/3pn1pP/2p2pP1/1p3P2/1P1PNNK1/2PBR3/8 b - -,c7b5
R3n1k1/4qp1p/3p2pB/4p3/1p2P3/1Pr2P2/3Q2PP/6K1 w - -,h2h3
1qr3k1/2rn1pp1/pp1ppbn1/8/bPP1P2p/PN2BP1N/1Q2B1PP/2R1R2K w - -,b3d4
r3bn1k/r3n2p/3p1qp1/p1pPp1N1/2P1P2P/1P1BB1R1/3Q1P1K/R7 w - -,g3f3
2r3k1/4b1p1/1pr1n3/p3P3/2P3R1/5N2/P1PB1PK1/1R6 w - -,d2e3
8/5k1p/6p1/2P1Kp2/8/3r4/p4PPP/B7 b - -,d3d1
7k/2p2bp1/p1qp4/2pNbP1p/2P4P/1P1QB1P1/P4K2/8 w - -,e3g5
3r2k1/1pq2pb1/1Np2npp/2P1n3/4P1P1/2Q2PBP/R5K1/5B2 b - -,f6d7
1r6/3p2k1/1R1P3p/p1pN1p2/2B1nPb1/4P3/P4K1P/8 w - -,f2e1
4k1r1/3b1p1p/2q5/4p3/1B2P3/1P1Q4/1KP4P/3R4 w - -,d3e3
r2q1rk1/pp1bbppp/2pp1n2/P7/3NPP2/2NP3P/1P1B2PK/R2Q1R2 b - -,b7b5
r1bq1rk1/1pp2pp1/3p3p/p2Pp3/3b4/P2PP1P1/1P1B1PBP/R2Q1RK1 b - -,d4b6
rr4k1/3nppbp/3p2p1/2pP4/2q1PP2/2N5/PPQB2PP/R3R2K b - -,c4a6
rnb2rk1/pp2ppbp/1qpp1np1/8/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 b - -,e7e5
8/3nbqk1/2p1p3/p1p1P1p1/2P5/4B3/3N1PK1/Q7 b - -,e7d8
2B5/8/1p5p/1P4p1/4k3/6P1/2n2K1P/8 w - -,c8d7
2q2k1r/5ppp/p3p3/2p1P3/1nP3Q1/8/P4PPP/R4RK1 w - -,a1b1
6r1/p1rn1B1k/2p1b3/N1PpP3/1P2p3/P5pP/7K/3R1R2 w - -,h2g2
r2q1rk1/pp3pb1/1n1p2p1/2nPpb1p/2P5/1P4PP/PB1NNPB1/R2Q1RK1 b - -,a8c8
r1b2rk1/ppp1qppp/2np1n2/3Pp3/2P5/P1Q2NP1/1P2PPBP/R1B1K2R b KQ -,c6b8
2r5/7P/1pp1Rp2/p7/P4P2/1P1p1K2/2k5/8 b - -,c6c5
8/8/8/6p1/1R3pk1/4r1P1/6K1/8 w - -,g3f4
6k1/5pp1/2n1p1p1/3pP1P1/3P1QP1/1rB2R2/7P/1q5K w - -,f3f1
8/5k2/5pp1/p7/P3K1PP/8/8/8 w - -,e4d5
