8/8/7K/4p1pP/5kP1/8/8/8 b - -,e5e4
r4r1k/1q1bbppp/1N1ppn2/4n3/pp2P3/PB2BP2/1PP1NQPP/R2R2K1 w - -,b6a8
r1bq1rk1/p1p2pb1/1p1p1npp/3Pp3/2P1P3/2NBB2P/PP3PP1/R2Q1RK1 w - -,d1d2
r3r1k1/1p3pp1/1pp1bn1p/6q1/4N3/2P2Q1P/PPB2PP1/R3R1K1 b - -,f6e4
8/1rk2p1p/Qp2p3/2pp1p2/1q6/6P1/P3PP1P/5BK1 w - -,a6a8
2rqnrk1/pp1n1pbp/3p2p1/2pP4/4P3/2NB2BP/PP2QPP1/R4RK1 b - -,d8a5
2r2nR1/R1r1k3/4p1B1/8/p2K1P2/8/P7/8 w - -,g8g7
r1bqr1k1/pp2bppp/2n5/1BPp4/6n1/1NP1B3/PP2QPPP/R3K1NR w KQ -,e1c1
5b2/7p/p2kp3/N1pp4/2P5/3P1K2/P4P1P/8 b - -,d6e5
5b2/2N2kp1/7p/5p2/pp6/1P2P1P1/P4PKP/8 b - -,a4a3
r4k1r/pb4p1/1ppbq2p/5B2/1n1P4/1P4PQ/PBP2P1P/R4RK1 b - -,e6f7
2rr2k1/4bpp1/pq2pn1p/1p1b4/1P1N4/P2BPPN1/5QPP/2RR2K1 w - -,d3f1
8/2p5/p4kp1/1p6/3P1p2/1P6/P5PP/6K1 w - -,g1f2
3rr3/1b3kpp/p3p3/2p1bp2/2P2P2/4RP2/PP5P/1B2R1K1 w - -,e3e5
r4r2/ppqb2k1/2pb1np1/5p2/2BP3p/2N2P2/PPQ1R1PP/1R3NK1 b - -,a8e8
r4rk1/p2qn1bp/1pn1pPp1/3p4/3P4/4BNP1/PP3P1P/RN1Q1RK1 b - -,g7f6
r4rk1/ppqbbpp1/2nppn1p/8/2B1P2B/P1N2N2/1P2QPPP/R2R2K1 w - -,c4a2
1rbq1rk1/ppNp1ppp/2nQpn2/8/4P3/2N5/PPP1BPPP/R3K2R b KQ -,b7b5
r1b2rk1/pp2p1bp/3p1np1/5p2/2P5/1Qn2NP1/P4PBP/1R1R1K2 b - -,c3b1
2r2k1r/npR1np2/4pNp1/1p1pP3/1P1P3p/P4N1P/5PP1/2R3K1 w - -,c7c8
4k3/1p2pbQ1/p1p1rpp1/2BP3q/2P2P2/1P6/PK1R4/8 b - -,c6d5
4n1k1/2p5/1p6/1P1P4/2Pp1r2/3R3B/6KP/8 b - -,e8d6
8/2R1brk1/3p3p/pp1Pp3/6p1/4B1P1/PP4KP/8 w - -,c7a7
r2qbrk1/1p2bpp1/4p2p/p2nN3/Pn1P2Q1/1BN5/1P3PPP/R1BR2K1 b - -,g8h7
1rbq1rk1/4ppbp/p1np1np1/1Pp5/4P3/P1NP2P1/1P2NPBP/1RBQ1RK1 b - -,a6b5
5bk1/3np2p/q1Np1pp1/2nP4/1R2P3/2B3PP/r2N1PK1/1Q6 b - -,f8h6
5R2/1kp4p/1p6/p7/8/8/PP4PP/3r2BK b - -,d1a1
8/p1p5/N7/3K4/1k6/8/8/8 b - -,b4b5
r7/2kp4/3q4/p1r2p1B/Pp2bQ2/1P4P1/2P4P/2R2RK1 w - -,f4f2
r2qr1k1/3n1pbp/p2Qb1p1/1pp5/4PB2/2P2P2/PP2B1PP/R3K1NR w KQ -,a1d1
4r3/3RP2k/1p5P/pP3p2/P7/3ppP2/6P1/5K2 b - -,h7h6
5r1k/6b1/p3R2p/2p2p2/3p1P1P/1P4P1/P5QK/2q5 b - -,d4d3
2q3k1/1p3pp1/1Bn4p/P1pBP1bP/2P1Qn2/P7/6PN/6K1 b - -,c6d4
r1bb1rkn/1p3qpp/p1n1p3/3pPp1P/1P1N4/PN1B4/1BP2PPQ/R3R1K1 b - -,f7e8
8/8/k7/6p1/6P1/1K4P1/p5r1/2R5 b - -,a6b5
r1b3k1/pp2p1qp/3p2p1/2pP4/2Pr1N2/1P4P1/P4P1P/1RQ1R1K1 b - -,c8f5
2q3k1/p2rbppp/bpn1pn2/2p5/2P5/1PN1PNP1/PB3PBP/3RQ1K1 b - -,a6b7
3n1rk1/pp2q2p/3p2pb/2p1p3/2P1P2n/1P2P3/P1B1Q1PP/R1B1N1K1 b - -,d8e6
4r1nk/3b3p/p3p1p1/1p2P3/5P2/P3R2q/1P3P2/2RQ2K1 b - -,h3h4
2r5/p5kp/1b2npp1/P3p3/4P3/2PN4/1P1PKPPP/2B2N2 b - -,b6a5
8/1pp5/3p4/3Pk1pp/p1P1rp2/P6P/1PR3P1/6K1 w - -,g1f2
8/5R2/P5p1/4r1k1/8/1K5p/6PP/8 w - -,g2h3
6k1/6p1/2p5/2Pb3p/1r6/4B3/p4PP1/R4K2 w - -,f1e2
2r3k1/2q3pp/1p2p3/pb1pNp2/3P4/1Pn1PBP1/PQ3PKP/2R5 w - a6,b2a3
2rqrnk1/pp2bppp/2p1bn2/3p2B1/3P4/2NBPN1P/PPQ2PP1/1K1R3R w - -,g2g4
5rk1/6p1/p3R3/1p1p1p1Q/5P1P/P1P3P1/1P3q1K/8 w - -,h2h3
r2r2k1/p2q1ppp/1np1pb1B/8/3PN1Q1/8/PP3PPP/R2R2K1 b - -,d7e7
1r6/4Rpk1/2pr1qp1/7p/3PR2P/2Q3P1/5P2/6K1 w - -,e7c7
r2q1rk1/pbpn1ppp/1p6/3pP3/8/2NBPQ2/PP3PPP/R4RK1 w - -,f3h3
3rr1k1/1ppq2p1/p1n1bp1p/4p3/8/2PPNNPn/PPB2PKP/R2QR3 b - -,c6e7
8/8/7r/2Bp4/P3k3/1P4p1/4Kp2/3R4 b - -,h6e6
8/r3p1k1/p1RpBnpp/1p6/6PP/1P3P2/P3P3/6K1 b - -,a6a5
8/1B1Q4/P1K3pk/2p5/2Pb4/q6P/8/8 w - -,c6b6
rnbqk2r/ppp1n1b1/3p3p/3PpPpP/2P5/2N2N2/PP2BPP1/R1BQK2R b KQkq -,c8f5
6k1/p7/1p4p1/8/7B/3K3P/P5P1/b3r3 b - -,e1g1
8/5N2/p1b5/P5kp/8/4K3/8/8 b - -,g5f5
8/5k2/1n6/3p2Pp/1B1NnP1P/P1p1K3/8/8 b - -,b6c4
r1b2rk1/1pp1n1pp/p1n3q1/3pp3/3P1P2/4B1N1/PP1Q2PP/R3KB1R w KQ -,f4e5
1rb2rk1/p3ppbp/2p3p1/q7/4B3/2P1B2P/PPQ2PP1/R4RK1 b - -,c8f5
8/5p2/4p1kp/1prbP1p1/5P2/P2N2P1/1R3K1P/8 b - -,c5c3
2nr4/4bpk1/1pqp3r/p3pPp1/2P1P1P1/1PNQ1N2/P2R2K1/3R4 w - -,d3e3
r4rk1/1p2qpbp/4b1p1/1Qp5/p2p1B2/3P2P1/PP2PRBP/2R3K1 w - -,a2a3
8/2p3bk/7r/1PPQnp2/P5p1/6P1/3N1PBq/3R1K2 b - -,f5f4
6k1/p3Qp2/6p1/4p3/8/2P3P1/3PPP2/q1r2RK1 w - -,e7d8
8/1p4pk/p1p2r1p/3q4/4Q3/PP1P2P1/2P4P/4R1K1 b - -,h7h8
1rb1nk2/pp3ppp/8/2p5/2Pp4/3P2P1/PP1N1PBP/4R1K1 w - -,d2e4
r2q2k1/1pp2ppp/3p1n2/p1b1rQ2/2P5/1PN3P1/P2BPPKP/R4R2 w - -,f5f3
4r3/pbp2pk1/3p4/2p4p/2P2PpP/1PKB1nP1/P7/3R1N2 b - -,a7a5
8/3k3p/5Kp1/8/6PP/8/4n2B/8 b - -,e2d4
rnbqk1nr/pp2ppbp/2pp2p1/8/2BPP3/2P2N2/PP3PPP/RNBQK2R b KQkq d3,g8f6
8/6p1/5p1p/pkp5/8/2K1P2P/1P3PP1/8 w - -,e3e4
r3r1k1/ppb2p1p/1np2ppB/5N2/3P2P1/2P4P/qP1Q1P2/2KR2R1 w - -,g4g5
2kr3r/pp3p2/2p4p/3n1p2/3P3p/1P3P2/P3NKPP/R2R4 b - -,h8e8
8/8/p6p/6p1/2k1p1P1/P1p1P2P/1r6/2KR4 b - -,b2d2
8/6B1/3nk2P/2p3p1/5P2/8/2K5/8 w - -,f4g5
4r1k1/3r3p/1p2pb2/p1p2p2/2P2P2/3PN3/P3K2P/1R3R2 b - -,d7d6
k2b2r1/1pp5/p2p1n1p/1P1P1r2/P1PB4/3p2P1/3N1PK1/R3R3 w - -,b5a6
2r1bk2/1qbr1pn1/p1n1pNp1/1pPpP2P/1P1B1P1Q/P2B3P/4N3/2R3RK b - -,g7h5
r2qr1k1/pppn1ppp/2bp4/8/3bP3/1PN2PP1/P1PQ2BP/R2R2K1 w - -,d2d4
2bq1r2/3p1ppk/3Pn3/pr2P1b1/N7/6P1/PP3B1P/1R1Q1RK1 w - -,d1d3
3r1bk1/5p1p/p5p1/4p3/1Pb1P3/4P3/3r2PP/R1R2BK1 w - -,c1c4
