8/8/6p1/1p1k1pB1/1P3P2/3K2nP/8/8 w - -,g5e7
5rk1/pr5p/1p3pp1/4p3/2Pb4/3N4/PP3PPP/3RR1K1 w - -,b2b3
r2qk2r/1ppn1ppp/5n2/p1bPp1B1/N1P1P1b1/P4N2/1PQ3PP/R3KB1R b KQkq -,h7h6
8/8/4p3/5br1/1pR4R/1k6/3K4/8 b - -,g5g2
8/8/3bk1p1/5p1p/7P/p2PBnP1/N4P2/5K2 w - -,f1e2
8/p2r4/2Rn1Bp1/1P1k2P1/P7/8/1K6/8 w - -,b2b3
r1bq3r/p1n2kb1/1p3n2/2pPp3/2P1Ppp1/P1N5/4BPP1/1RBQKN1R w K -,h1g1
r1q1k1br/1p2p1b1/1np2pp1/p1NnN3/P2P1PQ1/4P3/1P4PP/R1B2RK1 w kq -,g4g6
1r3r1k/1p1q2bp/2np2p1/4p3/1PPp1P2/1Q1P2Pb/3BN1BP/1R2R1K1 w - -,g2h1
8/1p1r4/p1pp1p1k/2P5/1P1pP1PP/Pb1P1BK1/8/2R5 b - -,b3a4
r4rk1/2nnppb1/1q1p2pp/2pP2B1/4P3/2N2NPP/PP2RPK1/R2Q4 w - -,g5f4
3r2k1/p2b1pq1/4p1p1/4b1P1/3n3R/3Q4/P4PP1/2R1KB2 w - -,c1d1
8/8/8/p3p2K/P2k4/2q5/1Q6/8 w - -,b2b6
r2qk1nr/pppnppbp/3p2p1/8/3P1B2/2N1Pb1P/PPP2PP1/R2QKB1R w KQkq -,d1f3
8/k7/1p6/3R4/p3R3/P5P1/2r2P1P/1n4K1 b - -,b1c3
2rr2k1/pp1bqpbp/2n1pnp1/2p5/2P5/2N1PNP1/PB1PQPBP/1R1R2K1 w - -,b2a3
2r3k1/1p1rbpp1/p4n2/3P3p/2PB1q2/3Q2RP/P2N1P2/4R1K1 w - -,d4e5
1r2n1k1/1r3ppp/2R1p3/q2p4/p2P4/1P1Q4/N4PPP/2R3K1 w - -,c6a6
r1b2r1k/1p1nQB1p/p2B1np1/6N1/8/2q4P/P1P2PP1/3R1RK1 w - -,e7e2
3rr1k1/pR3bqp/2p2p2/6p1/P2pN2Q/2P2P2/6PP/4R1K1 w - -,h4f2
r4rk1/p2nq2p/npp1p1p1/3pPp2/3P1PPB/5N1Q/PPP4P/2KR1R2 b - -,e7g7
8/1b2k3/p2np2p/2p2pb1/1PP2N2/3B1R2/P6r/3KR3 w - -,e1e6
2kr3r/ppq1n2p/6p1/nbp1ppB1/4P3/2P2Q2/PPB1NPPP/R2R2K1 b - -,f5f4
1rb2rk1/pp1nppbp/2pp1np1/q7/2PPP3/1P3NP1/PBQ2PBP/RN3RK1 b - e3,e7e5
r1b4k/pn3rn1/1p1p1q2/1NpP1p2/1PPbp3/P6P/2Q1BPPN/1RB3RK w - -,b5d4
rnbq1rk1/ppp2ppp/4pn2/8/2pP4/P4NP1/P3PPBP/R1BQ1RK1 b - -,c8d7
5r2/5pk1/2p3pp/8/2N1n3/6P1/4PP1P/1R4K1 w - -,b1b7
r6r/pppk2p1/2Pb2q1/1B3N2/3Pn3/6Pp/PP5P/R1BQ1RK1 b - -,b7c6
8/6pk/7p/p1RK4/2p5/2P4P/8/r7 w - -,d5c4
1rbq1rk1/p3bppp/2B2n2/8/2Pp1N2/P4P2/4KP1P/R1BQ3R w - -,h1g1
8/6k1/4K3/8/p7/8/1Bp5/1bRr4 b - -,g7f8
r2r1qk1/2Rn1ppn/pp2p1p1/3p2P1/3P1P2/1P1BPQ2/P2N3P/2R3K1 b - -,d8c8
8/1Q4p1/5nk1/4p3/7P/3P3K/6B1/4q3 w - -,b7f3
1R5Q/pp1r1q1p/2p3pk/8/5P2/7P/P5PK/8 w - -,h8e5
r1br4/pp4kp/q5p1/3Bp3/3NP2P/2R5/P2Q1PP1/5K1R w - -,f1g1
6k1/1qrn1p1p/3n4/3Pp1p1/N1B2bP1/1PQ4P/1B4K1/5R2 w - -,h3h4
2k1r3/ppqn1rp1/4p2p/P1ppp2P/3P1PP1/1PP1Q1K1/4N3/R6R w - -,d4e5
4k2r/4pp1p/1pqp1np1/8/r1P1PP2/P2Q1N2/2P3PP/R3K2R w KQk -,f3d2
r1b2rk1/3nqpp1/pp2p2p/2ppP3/5P2/2PBP3/PP1N2PP/R2Q1RK1 w - -,d2f3
r4rk1/5p1p/p3pPp1/1p1b2q1/4B3/2N4Q/PPP3PP/4RR1K w - -,e4d5
6r1/1p2kpr1/pq1b1p2/4pPP1/1P1pQ2P/P2B4/2P1KP2/6RR b - -,b6c6
2kr3r/1ppnb2p/8/1QP1p3/4P1q1/B4N2/2P2P1P/R4R1K w - -,b5e2
r1bq1rk1/pp3ppp/2nbp3/3p4/3Pn3/PP1B1N2/1BP2PPP/RN1Q1RK1 w - -,d1e2:b1d2
7b/p4r1k/3pR1pp/2pQ3N/q5p1/1PP4P/P2B4/6K1 b - -,a4a6
1r3r1k/2R4p/p2p2pN/3Pb1Pn/4P3/3bB2P/6B1/2R4K b - -,h5g3
8/4ppk1/5bpp/3p4/1Rb2PPP/r7/5B2/2R3K1 b - -,f6c3
6k1/5pp1/3qn2p/4pQ2/1p2P2P/1B4P1/P4P2/6K1 b - -,g8f8
3rrbk1/6p1/pB1p1n1p/P3pP2/1Pp5/2P2qNP/3Q1P2/3RR1K1 b - -,d8d7
2r2rk1/pp2qppp/4pn2/3n1b2/1P6/PQ2PN2/1B2BPPP/R4RK1 w - -,a1c1
r5k1/2B3bp/p5p1/3N1p2/Q3p1q1/3p2P1/PP2nP1P/2R2R1K w - -,f2f3
r1bqrbk1/pp1n1ppp/2pp1n2/3Pp1B1/2P1P3/2NB2N1/PP3PPP/R2Q1RK1 b - -,d7c5
1rr3k1/1p2ppbp/p4np1/2p5/2P2P2/1P1RP1PP/P1N3B1/2R3K1 b - -,b7b5
8/5p2/4b1pp/3k4/1p5P/1Pb2NP1/2B1KP2/8 w - -,e2e3
rnbqkb1r/p1p2ppp/4pn2/1p6/P1pP4/5NP1/1P2PPBP/RNBQK2R b KQkq a3,c7c6
2qr3k/5pp1/1p1Pb2p/p1p4P/P4B1Q/2P3P1/1P1R1P1K/8 b - -,d8d7
rn3rk1/p1p2ppp/1p2pn2/7q/1b1PP3/2N2N2/PP2QPPP/R1B2RK1 b - -,c7c5
rnb1qrk1/ppp1b1pp/3ppn2/5p2/2PP4/1P2PN2/PB2BPPP/RN1Q1RK1 b - c3,a7a5
4r3/1pp3bk/7p/1p2r3/4NpP1/8/PP5P/R1B2R1K w - -,e4f2
8/2p2r1r/1n1p2pk/pPpPpp2/P3P2p/1P2KB1P/R4PP1/2R5 w - -,c1c2
r1b2rk1/p5pp/1pnbpq2/3p4/3Pn3/1Q2BNP1/PP2NPBP/R4RK1 b - -,c8a6
r4rk1/pppq1pb1/b5pp/8/2nPPB2/1Q3NP1/P4PBP/R3R1K1 b - -,g6g5
7r/8/1R6/p4p2/k4P1P/4P1P1/8/6K1 b - -,a4a3
4k3/7R/p3rp2/2r5/5p2/2P4P/5PP1/1R3K2 b - -,c5b5
4b1rk/4r2p/2p1p3/ppPpPp2/3R3R/PP2PB1P/5KP1/8 b - -,g8g5
r2qr1k1/pp3pbp/3p1np1/4pb2/2PP4/1P6/PBN1BPPP/R2Q1RK1 b - -,f5c2
3Q4/kp6/p1b2N2/3p4/5K2/q7/8/8 b - -,a3c5
r1bn2k1/ppr5/4pq2/8/2pPB3/4B3/PP3PPP/2RQ1RK1 w - -,d1h5
3r2k1/pRq2pbp/8/6Q1/8/2Pp4/1P2n1PP/3K3R b - -,c7d6
8/2Q3pk/1pp3r1/p1b2p1q/2P1p3/1PBnP2P/P3RPB1/5K2 w - -,e2d2
4r3/2p4p/1q4pk/1p2r3/1P2P3/2Q2PP1/5RKP/2R5 b - -,e8e7
5k2/8/7p/p3pP2/2p1N3/7P/1Pb2K2/8 w - -,e4d6
2kr4/pppqnrb1/3p3p/3Pp1pP/2P1N1P1/4BP2/PP6/R2Q1RK1 b - -,d8f8
8/5pbk/6p1/2pq4/5P1p/2P2QP1/P3rK1P/4B3 w - -,f3e2
r2r2k1/pbq2ppp/2n1p1n1/1pb1P1Q1/2N5/P4N2/1P1B1PPP/R3RBK1 w - -,c4d6
8/p4k2/b3p1p1/p2p1pP1/P2P1P2/1P2RN1r/2P2K2/8 b - -,f7e7
5k2/8/p4p2/1pn1p2p/4P2P/P1PK1P2/1P4N1/8 w - -,d3c2
r3q1k1/p5bp/1p3r2/2p1P1p1/5P2/2P1Q1N1/P5PP/R2R2K1 w - -,f4f5
3r2k1/2B1b1p1/1p3n2/1PpP4/P7/8/2B3KP/5R2 b - -,d8c8
8/3nk3/pr3np1/1ppBp3/4P1P1/1P2NP2/P3K3/7R b - -,b6b8
r1b4r/ppk1ppbp/2p3pn/4P3/5P2/2P2NP1/PP2K1BP/RNR5 w - -,b1d2
r3rnk1/1p3pp1/2pbbn1p/p2p4/P2P4/2NB1N1P/1PPBRPP1/R5K1 w - -,a1e1
r3nrk1/ppBq1ppb/2p1p2p/3n4/3P4/NQ2P2P/PP1NBPP1/2RR2K1 b - -,e8c7
1k1r3r/ppp2B1p/2nq1b2/8/4p2Q/2PbB3/PP1N1PPP/R3K2R w KQ -,h4f4
8/5p2/5k1p/1p4pP/1Pr3P1/4KP2/1R2P3/8 w - -,e3d3
rn2kb1r/p1p2ppp/1p2pB2/8/3P4/3B4/PPPQ1P1P/R3K2b w Qkq -,f6e5
r3k2r/p5p1/2p2p2/1pn2P2/2bqPBP1/8/2Q1B1K1/1R1R4 b kq -,d4e4
