8/4k3/1K6/1R2r3/P1R5/1P4r1/8/8 b - -,e5e3
1r1r2k1/1R1b1p1p/3b2p1/8/3N4/1P2P1PP/5PB1/2R3K1 b - -,b8b7
5k2/7r/3N1p1P/2nPp2K/p1P1P3/8/2P5/6R1 b - -,h7d7
8/p7/4Q3/kp1pP3/3P3K/8/8/6r1 b - -,a5b4
rnbqkb1r/5ppp/p3pn2/1pp5/2BP4/2N1PN2/PP3PPP/R1BQK2R w KQkq b6,c4d3
8/pbq3bk/4Qrpp/2p1N3/3p3r/1P1P1PN1/P1P2P1P/R3R2K w - -,e6d7
r4r1k/5p1p/p2p2p1/1ppnp1q1/P3P3/2PP1Q2/1P3PPP/R4RK1 w - -,e4d5
R3br1k/pp2n1pp/1q2p3/8/1b1PR3/3B1N2/PP3PPP/3Q2K1 b - -,e7f5
r1bN4/6k1/4p1p1/1np5/p3P3/P1b1R1PK/5P2/1R6 b - -,e6e5
3rr1k1/pp1q1pp1/5n1p/2Pp4/1P4b1/P4pN1/2BQ2PP/2R1R1K1 w - -,e1e8
6k1/5pb1/3n2pp/1Np1p3/8/2P4P/P2N1PP1/3b1BK1 b - -,d6b7
8/1p2qpkp/6p1/p1bQ4/4p3/P6P/1P3PP1/5BK1 w - -,f1c4
r1b2rk1/pp1nqpp1/2p2N1p/8/2BN4/4P3/PP3PPP/2RQ1RK1 b - -,d7f6
8/1p1k2pp/2p2p2/pbP1p3/2B1P3/P1K1P2P/1P4P1/8 w - -,c3b3
2r5/5pk1/3R2p1/P3R3/KP1NP1b1/8/7r/8 b - -,g4h3
rr4k1/p1n1q2p/1p1p1bp1/PPpPp2n/1P2Pp2/R4P2/2NQ1BPP/1R3B1K w - -,b4c5
r4rk1/pp1b1pbp/1qn1p2p/3pP3/1P1P4/P1N2N2/R4PPP/3QKB1R w K -,c3a4
r2qnrk1/3nppbp/B2p2p1/2pP4/4P3/N1N2P2/PP4PP/R1BQK2R b KQ -,a8a6
r1b2rk1/1p3pbp/p3p1p1/n5B1/2PP4/1B3N2/P4PPP/3R1RK1 b - -,b7b5
1Q6/p3r1kp/3p1q2/3P2p1/P1P2p2/4n2P/6BK/5R2 w - -,f1f2
r3r1k1/1b1nqppp/2pb1n2/1p6/1P1P4/2N2N1P/2QBBPP1/1R2R1K1 b - -,e7f8
2r5/1r1k1p2/1p2p3/3p1p1p/Rp1P4/2PK2P1/1P3P1P/R7 w - -,a4b4
1r3rk1/p3bppp/2n1p3/q2pP3/1p3P2/2Pp1B1P/P1PB2P1/R3QRK1 w - -,c2d3
6k1/1p3p2/2p1pQp1/p1P1P1RP/4q3/P4P1K/1P1r4/8 b - -,e4b1
8/2k5/3b4/1P1p1p2/p2B4/2K2P2/P7/8 b - -,c7b7
r2q1rk1/1b1nppbp/p1pn2p1/1p6/2PP1B2/2N2N1P/PP1QBPP1/R4RK1 w - -,c4c5
2bqr1k1/1p3pb1/4rn1p/2p3p1/pPPp2P1/P2P1B1P/2NBPQ2/1R3RK1 b - -,b7b6
r5k1/2p3pp/bpp5/4Nr2/2P1p2q/4B3/PP4PP/R2Q2KR w - -,d1g4
8/8/4k1p1/PR5p/7P/r3KPP1/8/8 w - -,e3f4
4r1k1/3q1pb1/3pp1p1/1r6/2NnP3/R1NP4/1P1Q2PP/5R1K b - -,b5h5
r1b2rk1/pp1n1pbp/2p1p1p1/6B1/1q1P4/1Bn1PN2/PPQ2PPP/2R2RK1 w - -,b2c3
8/8/5pp1/1k1p3p/1p1Pb2P/4K1P1/1rBR4/8 w - -,c2d3
6k1/p6p/1p4p1/8/4p3/1P5P/P3q1P1/1BR4K w - -,h1h2
3q4/4ppk1/pr1pb1p1/Q6p/7P/1P4P1/P3PPB1/2R3K1 b - -,d8b8
3br2k/2nr4/p3q1p1/Pp1pPp1p/1Pp2P1P/2P1BQP1/2BR2K1/3R4 b - -,h8g7
1q2r1k1/1p3p2/7p/2PP1bp1/4p2n/1Bb1B2P/3r1PP1/1R1R1QK1 w - -,e3d2
2bk4/pp3p2/4p3/3pn3/r7/P5N1/4BPPP/2R3K1 w - -,c1c3
r5k1/pp1qn1b1/5r1p/2pPpp1Q/3n3N/P2P2P1/5PBP/1RB2RK1 w - -,d5d6
2n5/p2k2p1/1p2pp1p/1P1p4/1N1P4/4P3/1P3PPP/6K1 w - -,b4a2
r2q1rk1/pp1bppbp/2np1np1/1B6/4P3/P2Q1N1P/1PP2PP1/RNB2RK1 w - -,b1c3
1rb1r1kb/2qn1p1p/3p1Pp1/1P1P4/2pBBQ2/2N2R1P/1P4P1/5R1K b - -,d7f8
4r1k1/1b1n1pb1/3N2pp/1PppP3/5q2/3B1N1P/1PQ2PP1/r3R1K1 w - -,e1a1
3r1rk1/1pp3p1/3bb2p/p1p1p3/P3P3/2PN2N1/1P1R1PPP/R5K1 w - -,d3e1
3r1rk1/p1p3pp/1p4q1/2bp4/4P3/1P1Q2P1/PB3PKP/3R1R2 w - -,e4e5
5k2/1p3pp1/p1b1n3/6pP/8/1P2NPP1/P1Rr4/4NK2 b - -,d2d7
1rbq1rk1/p2nppbp/2p3p1/3pP3/5P2/2N1B3/PPPQB1PP/1R2K2R b K -,f7f6
r2qr1k1/pp2bppb/2p1pN1p/2n5/5B2/P2P1NPB/1PP2P1P/R1Q1R1K1 b - -,e7f6
r2q1r1k/5p2/3p2pp/p1pPn1bn/PpB1P3/1P3PP1/2R2B1P/3Q1RNK b - -,g5f6
2qrr1k1/p2n2bp/1p4p1/2p1Np2/2P2P2/7P/PPQ1R1PB/5RK1 b - -,d7e5
1R3b1r/1b4pk/p2p1nnp/2pP1Q2/4qN2/2P3P1/P1P4P/2B2RK1 w - -,f5e4
r3rb2/p2n1p1k/2p3pp/4p3/2N1P1P1/2N2Q1P/2q2P2/RR4K1 b - -,d7c5
1rb1k3/1pR2p1p/p2p2p1/3P2P1/8/1P5P/P4PB1/6K1 w - -,b3b4
2k5/p7/7p/B2p1pp1/6q1/3P1N2/PP3PPP/1K2R3 w - -,e1c1
3r2k1/p4ppp/8/5r2/3N4/4P1P1/P2K1PP1/2R4R w - -,d2e2
8/5pk1/4p1p1/1R2P3/1r2P3/3nBK1P/5PP1/8 w - -,b5b4
r1nb2k1/pr6/R2p2p1/1P1Pp3/4Pp1p/2N2P1P/4KBP1/R7 b - -,g8f7
2r5/1p5p/p7/2P1kp2/PP1Pp3/6pP/4K1P1/2R5 b - -,e5d4
r1b1k2r/4q3/p3p1pp/1p1pbp2/2pP1PP1/2P1P2Q/PPB4P/R4RK1 w kq -,f4e5
8/5pk1/1P4p1/5n1p/4Qb2/2P2r1P/KP6/8 b - -,f3f2
8/8/p7/1p1k1r1p/2p2P2/3PK3/PPP4R/8 w - -,d3c4
8/8/6p1/2Q3Bp/k3P2P/6P1/4q2K/8 w - -,h2g1
R7/1pp2k1B/p3rB1b/8/8/1PN2P2/P7/1K6 b - -,e6f6
4r1k1/pp3p1p/1np2Qp1/1q6/4P3/1P3N1P/P4PP1/3R2K1 b - -,b5e2
1r1q1rk1/7p/2b3p1/1p1Pp3/8/P2Q3P/NP4P1/R3R1K1 b - -,d8d5
r3k2r/1b3ppp/p1n1pn2/1pb5/8/1PN1PN2/P3BPPP/R1BR2K1 w kq -,c1b2
1Qb5/3q2bk/2Np1npp/2pPp3/1p2P2P/4BPP1/1P4BK/8 w - -,g2f1
5k1r/p4p1p/1q2pnp1/8/3RP1P1/3R1N2/5PKP/8 b - -,h7h6
5k2/3q4/1n4p1/Q1b2p1p/1p1p1P2/3P1BPP/2P2BK1/8 b - -,d7e7
k3r2r/1p3p2/p1bR1P2/q7/4PQP1/8/PPP2N1p/3R3K w - -,g4g5
8/p2B4/1b2p1k1/3pPp1p/8/2r2P2/P1R2K2/8 w - -,f2g3
5k2/5p2/p1b3p1/3R2P1/4P1P1/1K3PN1/8/1n6 w - -,d5d4
r2qkb1r/pb1p1ppp/1pn1pn2/8/2PNP3/2N5/PP2BPPP/R1BQ1RK1 b kq -,c6d4
r2q1rk1/1pp1npb1/3p1np1/p4p1p/2PP4/PP3NPP/2Q1PPB1/R1BR2K1 b - -,f6e4
8/2p1knp1/1pB4p/r2Pp3/pRP1P3/P2K2PP/3N4/3b4 w - -,d2b1
r1r1b1k1/pp2bppp/n2qpn2/8/2B5/1PN2N2/PBP1QPPP/R4RK1 b - -,a6c5
3q1rk1/p4pp1/2pr1b1p/1p5N/3P4/1QP3P1/P1P2R1P/5RK1 b - -,f8e8
7r/5pk1/p2R1Np1/2n5/4p1P1/2P5/P7/1K6 b - -,e4e3
8/1p4b1/6rp/5R2/P6k/2P1Bp1P/1P3P2/7K w - -,f5f3
5rk1/p5p1/1p2p2p/3bN1q1/5p2/2Q2P1P/P5P1/2R3K1 w - -,h3h4
r4rk1/1q1bbp1p/p1p1p1p1/PpPpP3/1P1P4/3Q4/2BN1PPP/R4RK1 b - b3,b7c8
4rrk1/pppn1ppp/5q2/2bP4/4PP2/2PB1QP1/P6P/1RB1K2R w K -,c1d2
4rrk1/pp2q1p1/2p2n1p/3p4/3Bb2Q/2PBR2P/PPP3P1/2KR4 b - -,c6c5
1nrqr1k1/4bpp1/p2p3p/1p1RpP2/4P2P/1NP1Q1P1/PP2B3/1K5R b - -,b8d7
8/1r3Rp1/1k3pP1/2p1pP2/2P1P3/8/1K6/8 w - -,b2c2
