8/8/8/4R3/8/6KP/8/3rqk2 w - -,e5e1
r3kb1r/pb1n1p1p/1p2P3/4n3/3p2pN/6P1/PP1N1PBP/R1B1K2R b KQkq -,d7c5
2RR4/r5k1/3p3p/3Pn2B/7P/3pb1PK/8/8 b - -,e5f7
5b2/2r2pk1/R1b3np/1p1pp3/4P3/2P1B1P1/1PBN1P1K/8 w - -,e3b6
8/4kppp/2p5/4P3/1p2PPB1/1bN1b1P1/1P1r3P/1K5R w - -,c3a2
2r2rk1/4bppp/p1qpbn2/np2p3/4P3/2P2NNP/PPB2PP1/R1BQR1K1 w - -,f3g5
r4rk1/qb2ppbp/1n1p1np1/2pP4/7N/1PN3P1/P2BPPBP/1R1Q1RK1 w - -,d2g5:e2e4
2r3k1/6p1/7p/5p2/1p2b3/4N3/1PPR1KPP/8 w - f6,g2g3
4r1k1/4r2p/1p1p2p1/p1nPP3/2P1N3/1P2q2P/2Q3B1/1R5K b - -,e8f8
8/2Q5/6kp/2Pp1pp1/3P4/3QKn1P/6q1/8 w - -,c7d6
r1bqkb1r/1p1n1ppp/p1p1pn2/3p4/2PP4/P1N1PN2/1PQ2PPP/R1B1KB1R b KQkq -,d8c7
6k1/1b1r2pp/p4p2/3n4/RbNP4/7P/3N1PP1/2B2K2 b - -,g8f7
2r3k1/7p/3p2pb/1B1Ppb2/8/r1N4P/P1R2BP1/1R4K1 w - -,c2b2
r2qk2r/1bp2pbp/pp3np1/4p1B1/P3P3/2NB3P/1PP1QPP1/R4RK1 b kq -,h7h6
3r2k1/1pb3p1/7p/pPPpn3/3Np1qP/P5P1/2P1N1Q1/5RK1 w - -,g1h2
1r6/2k3p1/5p2/2p1nP1b/2PpP2p/B4P1P/K7/1R4N1 b - -,b8b1
1r3rk1/2qbppbp/pp1p1np1/2pP4/P1P1PP2/2N2B2/1P1BQP1P/R3R1K1 w - -,g1h1
2Q5/k7/1r6/5p2/8/3K4/8/1n6 w - -,c8f5
7k/5p1p/5Pq1/pp6/7R/P5PP/3Q2BK/8 b - -,h8g8
5r1k/2q5/1p2pn1p/p3p1pP/PbNpPrP1/3P1P2/1P2Q1B1/R4RK1 w - -,a1c1
2kr4/pb3p2/1pn5/4Pp2/P2p1P2/2p4P/2P3B1/1RBK4 w - -,c1a3
5rk1/2pbq2n/1p1p3p/3Pppb1/rPP3P1/3N2B1/2Q1BP1P/1R3RK1 w - -,f2f4
2b1rr1k/4R2p/3Q1n1b/1PP2q2/2P1pN2/4PnPN/1B3PB1/5R1K b - -,e8e7
8/8/1b2k3/2q2pp1/8/5QPP/5P2/6K1 b - -,c5c1
8/8/3KR3/5k2/8/3n4/8/8 w - -,e6e8
1n1r2k1/pbqRbppp/1p2p3/2p1P3/2P2B1P/1P3NP1/P3QPB1/R5K1 b - -,c7d7
3r1rk1/5pp1/1p5p/2p5/P1N5/1PBn1BP1/4bP1P/RR4K1 b - -,e2f3
2kr3r/pp1bnp1p/3pp1p1/2p5/3nP2P/3P2P1/PPPKNPB1/2R3NR b - -,d7c6
rq3rk1/1p1nbp1p/pBbpp1p1/P7/4PP2/1NNQ4/1PP3PP/4RRK1 w - -,f4f5
r2r2k1/4npp1/p4n2/Pp2N3/1P2bPP1/1B2N3/8/R2R2K1 w - -,e5f7
r1bqk2r/pp1n1pbp/3p1np1/8/Q7/2N2N2/PP1PBPPP/R1B1K2R b KQkq -,e8g8
6k1/5ppb/4p2p/N1Pp3P/P7/4K3/1r6/R7 w - -,a1c1
2r5/p4k1p/1p4p1/2p1b3/6P1/1P6/P1R2B1P/5K2 w - -,h2h3
r2qk2r/pp3ppb/1nn1p2p/2b1P3/8/3B1N2/PP3PPP/R1BQRNK1 w kq -,d3h7
r1bqnrk1/1pp3b1/3p3p/p1nPppp1/2P1P3/2N3B1/PPQNBPPP/R4RK1 w - f6,e4f5
Q4bk1/5p1p/2p3p1/8/P7/7P/4qPP1/5RK1 b - -,e2e4
8/p4pk1/2pR4/4n1pP/4r3/1P6/P3BKP1/8 w - -,g2g3
r2b3r/3P2k1/2NR4/p4R2/5P2/5K2/P7/8 w - -,c6e5
1rb1k2r/1pq1bppp/p1nppn2/8/4PP2/1NNBBQ2/PPP3PP/R3K2R w KQk -,e1g1
5k2/1p6/2p3p1/4P3/2PKPbbp/1P6/6B1/R7 w - -,a1a7
8/1p5p/4k1p1/3pPp2/3K1P2/1P1R2P1/r6P/8 w - -,h2h4
r1bqk2r/pp1nbppp/3p1n2/1BpP4/8/2N2N2/PPP2PPP/R1BQK2R w KQkq -,a2a4
5r2/pp3Pkp/3p4/2pPp1q1/2b5/4R1P1/1P1Q1RK1/8 w - -,e3e4
2rr1bk1/1p6/n3q1pp/1RPbpp2/3pN3/3P2P1/1Q1NPPBP/2R3K1 w - f6,e4d6
r3kb1r/1p1n1ppp/2p5/p2pP3/5P1q/P1N1P2P/1P2Q1P1/R1B1K2R w KQkq -,e2f2
6k1/3b2rp/4p1n1/1q2Pp2/p2R4/1P4R1/3Q1PP1/1B4K1 w - -,d4a4
8/p4rk1/4r3/2P1p2p/4Q1pP/8/P5PK/8 w - -,a2a4
8/1R2k1pp/P2rb3/r2p1p2/2p2P2/5B1P/6P1/3R3K b - -,e7f6
8/1kp4p/5Rp1/4P3/K4P2/4r2P/6P1/8 b - -,e3g3
r1bq1rk1/pp1nbppp/4pn2/2P5/2B5/P1NNP3/1P3PPP/R1BQK2R b KQ -,d7c5
r1q1k2r/pp2pp2/2bp1bp1/2p5/2Pn4/P2P1NP1/1P2P1BP/1RBQR1K1 b kq -,c8g4
5rk1/1p1b3p/p1nqp1p1/3p2Qn/3P4/3B1P2/PP2NP1P/R5RK b - -,h5f4
2rq1rk1/1b1n1ppp/ppp1pn2/3pN3/Q1PP1P2/8/PP1NPPBP/R4RK1 w - -,c4d5
8/3B3p/1p4p1/1P2p1P1/3k3P/8/4K2n/8 b - -,e5e4
5rk1/pq2n1bp/1p1p2p1/2p2pP1/3n1P2/2NP2K1/PPP2B1P/R2QR3 b - -,e7c6
r3r1k1/p2n2p1/bpnqN3/2pp3p/7P/2PP1Q2/PP3PBN/R3R1K1 b - -,d7f6
r1b1k2r/1pqp1ppp/p3p3/6P1/3Qn3/2b1BN2/PPP4P/R3KB1R w KQkq -,b2c3
3b4/8/1prpk2p/p2Nppp1/P7/5P1P/3RK1P1/6B1 b - -,h6h5
2r1qr1k/pp3pbp/n1pp1np1/6B1/2PNP3/7P/PP2BPP1/R2QR1K1 b - -,a6c5
3r2k1/5pqp/p1p1p3/Pn5Q/2Br4/3R2P1/1P3PK1/3R4 w - -,h5h4
r1rq2k1/1p2bppp/2npbn2/4p3/p3P3/P1N1B3/NPPQBPPP/R2R2K1 b - -,f6g4
5rk1/2qr1pb1/p1p1p1pp/1p2P3/2pP3P/2P1BRP1/PP6/1KQ2R2 b - -,c6c5
r2q1rk1/3b2bp/B2p4/3Pp3/pP2Pn2/5P2/6P1/1RR1BQNK b - -,a8a6
q3rb2/1bQ2ppk/5n1p/1pn2N2/3pp2N/2P5/1PB2PPP/2B1R1K1 b - -,b7d5
2r2rk1/1p1bnppp/3qpn2/pP1p4/3P4/P1N1PN2/4BPPP/2RQ1RK1 w - -,d1b3
r2qr1k1/1p2b2p/3p1np1/p1pPpb1n/P1P1N3/1P4PP/1B1NQPB1/4RRK1 b - -,d8d7
4k3/8/2b5/B7/P5p1/1P6/2P5/2K5 w - -,a5e1
8/2r4p/2PRk1p1/2Ppp3/8/6P1/3K3P/8 b - -,e6f5
3rq1k1/5pb1/4p3/1pr1P1pP/2n1Q3/2PR1NB1/6P1/4R1K1 w - -,f3g5
r3r1k1/pp3ppp/5n2/3p3q/6b1/1P2PNP1/P1Q2PBP/R4RK1 w - -,f3d4
R1n5/5k2/2BpR3/3Pbp1p/7P/6P1/1r5K/8 w - -,h2h1
6r1/2n1b2p/p1k2pp1/2Pp1P2/PPbBp1P1/4P3/1R4RP/6K1 b - -,c7e8
r1bq1rk1/p2nppbp/1p3np1/2pp2B1/P2P4/2P1PN2/1P1NBPPP/R2Q1RK1 b - a3,c8b7:a7a6:a7a5
r1b3k1/3r1p1p/p3pp2/2pp3P/8/5P2/PPPK2P1/4RB1R b - -,h7h6
r1bq1rk1/ppp2ppp/5n2/3Pp3/1n6/3P2P1/PP2PPBP/R1BQK1NR b KQ -,b4d5
4rrk1/1p3pbp/p1bB2p1/P7/2qpP3/6P1/3Q1PBP/R4RK1 w - -,d6f8
8/pkr4p/Q7/1P6/p1r2PK1/7P/7P/8 b - -,b7b8
r5k1/qp3pp1/2p1n2p/1p2n3/rP2P3/P3R1PP/3B1P2/R1Q2BK1 w - -,g1g2
1k5r/2p2p2/2Q1p2q/5b2/PP1P2p1/2P3P1/7P/2R1R1K1 w - -,c6g2
8/8/8/1k2p2p/3p3P/PK4p1/2R2rP1/8 w - -,a3a4
2r5/1p1k3p/p2PN1r1/5p2/4pPn1/2Bb2PP/PP1Q1b2/K2RR3 b - -,f2e1
3r1rk1/3p1pp1/ppq1p2p/4P3/2PQNP2/1P4P1/P7/3RK3 w - -,e1f2
