k3r3/P5R1/1P6/1K4p1/8/3p4/8/8 b - -,e8e1
6rr/pp1bkp1p/2n1pp2/5q2/3N3Q/2P1P3/P3BPPP/2R2RK1 b - -,f5g5
1r1q2k1/R4pp1/3bp2p/8/RpBPP3/1P4P1/3B1P1P/6K1 b - -,d6e5
r1bq4/pp3rkp/4ppp1/7P/3PB3/2P3Q1/P4PP1/R4RK1 b - -,f6f5
8/8/p5rp/kp6/4RKP1/P7/5P2/8 b - -,g6c6
7k/1p1r3p/3P4/3R4/p4pP1/2r1q3/PQ4K1/3B4 b - -,e3h3
5rk1/p1q2ppn/3p1b1p/3Q4/8/1B5P/1PP2PP1/R1B1R1K1 w - -,c1e3
r5k1/2qnbpp1/r3p2p/p1p1P3/RnP4P/1PB3P1/3NQP2/R3N1K1 w - -,a4a3
r4kn1/pb2r3/1p1q1b2/3pp3/2P1Qp2/3B1N2/PP3P1B/4R1RK w - -,c4d5
r5k1/p2n1p1p/4r3/1Np1B3/6Pp/1P5P/P1P3K1/R3R3 b - -,e6e5
8/pp5R/2k5/4pN1p/P1P2b2/3P1P2/2P1KP2/7r b - -,h1a1
6k1/1N3ppp/1np1n3/p3p3/B3P3/2P4P/1P3PP1/6K1 w - -,b2b3
r2q1rk1/3nbppp/p1pp4/1p1N4/3pP3/PB1P1Q1P/1PP2PP1/R4RK1 w - -,d5f4
8/pp2p1k1/2pr1bpp/8/3PQP2/1PBR2qP/P5P1/7K b - -,d6e6
R7/6pk/5p1p/2n2P2/1p1bp3/1P6/3N3P/5K2 w - -,a8e8
rnbqr1k1/pp3pp1/2pb1n1p/3pp3/2P1P3/3P1NP1/PPQN1PBP/R1B2RK1 b - e3,d5e4
2k4r/pp3pp1/3Q4/P1pP4/1n1q4/R3NKP1/1P6/8 w - -,a3c3
r1b1rnk1/5ppp/p1pq4/1p1p4/P2P4/2PBPN1P/2Q2PP1/R4RK1 b - -,c8d7
1br1r2k/4npp1/p2q3p/1p1p4/1P1P1PQ1/2PB3P/3B2P1/4RRK1 w - -,e1e3
b7/6pk/2p1p2b/2Pp1q2/3Pn1NP/1P2P3/1B3PQP/6K1 w - -,f2f3
r1qnr3/p1p2pbk/1p3Npp/2p1P2n/4PB2/5NPb/PP1QBP1P/3RR1K1 b - -,h5f6
2r5/5ppk/p3p2p/1p1n4/1b1P3P/1N2B1P1/PRr2PK1/3R4 w - -,d1b1
2rq1rk1/p3ppbp/1p4p1/2n1N3/2PB4/4Q1P1/P4PKP/R2R4 b - -,d8c7
2r2rk1/1b1n1qp1/pp1pp2p/4npB1/PPP1PP2/1N6/3Q2PP/R1R2BK1 w - -,f4e5
B7/4p1kp/4p1p1/P1pN4/2b5/8/6PP/6K1 b - -,e6d5
6k1/1p4pp/pbq1p3/3pPp2/4n3/1P1BP1P1/PB3PKP/2Q5 b - -,c6c1
2Q2q1k/7p/7b/8/3P2B1/2P3KP/4N3/5r2 b - -,f1f3
r1bqk2r/pp3ppp/1bpp1n2/4p3/B2PP3/N1P5/PP3PPP/R1BQR1K1 b kq -,h7h6
6r1/1p2kpr1/pq3p2/2b1pPP1/1P1pQ2P/P2B4/2P1KP2/1R5R b - b3,c5d6
r1bb1rk1/6p1/1p1p2q1/p2P1p1p/2PB1P2/Q5PP/2B1R2K/4R3 b - -,a8a7
r1b2rk1/ppp2p1p/3p2p1/7P/2PPp1n1/8/PP2PPP1/2KR1BNR w - -,g1h3
8/bk6/5K1p/5Pp1/B5P1/8/8/8 w - -,f6g6
8/8/2pk4/8/2PP4/7R/2K5/1r6 b - -,b1g1
1r1q1r1k/R1pbb1pp/1p1n1p2/3Pp3/1P6/1QN1PNP1/5PBP/R5K1 b - -,b8c8
5rk1/1p3pp1/7p/8/2bR4/Pr4P1/4PPBP/5RK1 b - -,c4e2
5k1r/1p3b2/2P2p1p/p4Np1/P3Pn1P/8/1PP2K2/3N3R b - -,b7c6
6k1/pp2b1p1/2p5/3p4/P2Pr3/1P1QPq2/2K1R2P/4B3 b - -,e7d6
2r1r1k1/q2N1pbp/bp2p1p1/p7/P1PpQ3/1P4P1/1B3PBP/3RR1K1 b - -,a7d7
r2q1rk1/p1pnbppp/1pN1pn2/8/Q1pP4/2N3P1/PP2PPKP/R1B2R2 b - -,d8e8
rr1q2k1/5pb1/3p2p1/1NpP3p/P3PP2/6PP/1P2Q1K1/R2R4 w - -,d1d2
2kr3r/pp1b1p1p/2p1nqp1/2p1p3/1P2P3/P2P1N1P/2PQNPP1/R3K2R b KQ -,e6d4
3q1k2/r1p2pb1/p2p4/Pp1Ppr2/1Q3p1p/5P2/1PP1NKPP/3R1R2 b - -,h4h3
8/8/3p4/2pPp1kp/P1P5/5KP1/4BP2/4b3 w - -,f3e4
rnbqr1k1/5pbp/p1p2np1/1p1p4/3PPN2/2NBBP2/PP4PP/R2QK2R w KQ -,e4e5
3qk2r/1r3pb1/p2pp1p1/3pP2p/2pP1P1P/P4Q1R/1PP3P1/1KBR4 b k -,g7f8
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2N1B3/PP2BPPP/R2QK1NR w KQ e6,d4d5
2r5/r2pk1p1/1RnRp2p/2P1Pp2/p4P2/Pp3K2/1B4PP/8 w - -,b2c3
1rbq1r2/p4pbk/1p1pp1pp/2p5/P2nPP2/2NPB1P1/1PPQ1RBP/6RK b - -,f7f5
r4r2/1p2p1kp/p2qB1p1/3P4/2PQ4/6P1/PP3P1K/R7 b - -,f8f6
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3P4/2N2NP1/PPQ1PPBP/R1B2RK1 b kq -,a8c8
b1r3k1/5pp1/1q1ppbnp/1p6/3PP3/N2B1N2/1P2QPPP/3R2K1 w - -,d3b5
8/3N1k2/3p2p1/6bp/4P3/2K2P2/6PP/8 w - -,c3d3
8/8/r4p2/3Kp3/4Pn2/4k3/8/7Q w - -,d5c5
4rrk1/6pp/p7/1pbP3P/5qB1/3R4/1PP3Q1/1K5R w - -,h5h6
rnbq1rk1/pp1nbppp/8/1BPpP3/8/5N2/PP1N1PPP/R1BQ1RK1 w - -,b2b4
8/5pk1/4p3/4P3/5q1p/4bP2/1P1Q2P1/4BK2 w - -,d2e2
rnbqkbnr/1p1ppppp/p7/2p5/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq -,g8f6
1r6/1NR2p2/1p3kp1/3Pp2r/4B3/5N2/6K1/8 w - -,d5d6
8/8/8/2K3nP/8/8/5k2/8 w - -,c5d6
1k1r4/pP6/1q3p1p/6p1/8/3r2P1/5PP1/1RR1Q1K1 b - -,b6d6
6k1/2p2qpp/8/4Q3/2P3PP/p5B1/r4P1K/8 b - -,h7h6
8/2R1Rb2/1r4kp/6p1/r1p2p2/2N5/5PPP/6K1 w - -,g2g4
2r4k/5pp1/pq1p1n1p/2pPn2P/1p2PQ2/R5N1/1PP3P1/2KR4 w - -,a3e3
r1r3k1/1b3p1p/1q1ppQp1/1p1P4/3pR3/1B1P4/PP3PPP/4R1K1 b - -,b7d5
rnbq1rk1/pp3ppp/2pb4/3pN3/2PPn3/3B4/PP3PPP/RNBQ1RK1 w - -,b1c3
1r1q1rb1/pp2n1bk/6pp/P1pPpp2/2N5/Q1PP2P1/1P1B2BP/R3R1K1 b - -,g8d5
6k1/5pp1/4p3/p3q2p/Pp2P3/1P1Q2P1/6BP/5K2 w - -,g2f3
6k1/6p1/2p2p2/P1p1bP2/2Pp3r/8/R2B1K2/8 b - -,e5b8
8/4Rpk1/1p3r1p/p2q2p1/3p2N1/P5PQ/5rPK/8 b - -,d5d6
r1bqkb1r/pppn1pp1/3p1n1p/4p3/2BPP3/5N2/PPP2PPP/RNBQR1K1 b kq -,f8e7
4b3/4P1kp/3P4/1B2Kp2/7r/P1N5/8/8 b - -,e8b5
r1b1kbnr/pp3ppp/1qn1p3/3pP3/3p4/P1P2N2/1P3PPP/RNBQKB1R w KQkq -,c3d4
1r2r1k1/1pq2p2/1p1pb3/P1p1pP1p/2P1PRp1/2NP2b1/4Q1BN/3R2K1 b - -,g3h2
2b2rk1/1ppp1ppp/r4q2/p1b5/2P3n1/PP2PN2/R3BPPP/2BQ1RK1 b - -,g4e5
r1bqk2r/p1p2ppp/2p2n2/2bp4/4P3/2NB4/PPP2PPP/R1BQK2R w KQkq d6,e1g1:e4d5
r1b1kb1r/pp1n1pp1/1qn1p2p/2ppP3/3P3P/2PB1N2/PP1N1PP1/R1BQK2R w KQkq -,e1g1
r1b4r/pp3kp1/2nb3p/5p2/3ppP2/3P2PN/PP1BP1BP/R4RK1 w - -,d3e4
r2q1rk1/pbp2pbp/1p4p1/2n5/3N4/2QB3P/PP1N1PPB/R4RK1 w - -,d3c2
8/7p/8/P6p/6k1/8/5Kb1/8 b - -,g2a8
1k1nr3/p2q1p2/3P3p/2P5/5R2/1Q3PP1/4PK1P/8 b - -,b8a8
8/4r1k1/p5pp/2p2q2/P2pp1Q1/1P5P/2P2PP1/4R1K1 w - -,g4e2
