2R4r/BR2bk2/7p/8/4n3/8/1PP2P1P/2K5 b - -,h8c8
2r2bk1/p5p1/1pq1p2p/3p4/2PP4/1P5P/PB1Q2P1/4R2K w - -,d2e3
2Q5/8/p4bk1/P1Bp3p/3P3P/5qP1/7K/8 w - -,c8a6
3r1rk1/ppq1pp1p/4bbpP/2pP4/5nP1/2P1NB2/PP3P2/R1BQK2R b KQ -,f4d5
2r1k2r/2q1ppb1/p2p2p1/1p1n2Bp/2nN4/1B3P2/PPP1Q1PP/1K1RR3 w k -,d4e6
8/p2r1pk1/1p4p1/7p/4PK2/P5P1/1PR2P1P/8 w - -,f4e3
2r1r3/2n1q1pk/1p1p1p1p/p1pPp3/2P1PPQN/1P4P1/P6P/3RR1K1 w - -,g4g6
r1bq1rk1/pp2ppbp/B2p1np1/8/3QPP2/2N2N2/PPP3PP/R1B2RK1 b - -,b7a6
rr4k1/p3bpp1/2p4p/1qP3P1/3PpP2/8/3BP2P/2RQ1RK1 b - -,b5b3
rnbqkb1r/ppp1pp1p/6p1/8/8/1Qn2N2/PP1PPPPP/R1B1KB1R w KQkq -,b3c3
8/1p1R3p/4rk2/5p2/p7/Pn3N2/5PPP/5K2 b - -,e6e7
8/3P3p/1p4k1/1p3NP1/1Pb2K2/8/8/q7 w - -,f5h4
r3r1k1/5p1p/p1q3p1/3p1PQ1/3B4/1PN3KR/1Pn4P/R7 b - -,c2d4
r3k2r/pp1bbppp/1qn1p3/2ppP3/3P1P2/1PP2N2/P3B1PP/RN1QK2R w KQkq -,e1g1
8/pp1b1kbp/2n1p3/3p1p2/3P4/4P1P1/PP1BNKBP/8 b - -,g7f8
1r4k1/1rqb1pbp/p2p1np1/n1pPp2P/2p1P1P1/2N1BP2/PP1QB2R/1RN3K1 b - -,b7b4
4b2k/r6p/1p2p2p/1PbpN3/3n4/P2B2NP/5PP1/4RK2 w - -,e5c6
2r2r2/p2qnpbk/1p1p2pp/2p1p3/bP2P3/NnPPBNP1/4QPBP/1R2R1K1 b - -,c5b4
1r4k1/8/6qp/p1Np4/2nP2b1/P1Q2p2/5BP1/4R1K1 w - -,c5d3
1kr5/5R2/p1b5/7p/1p1R4/1P6/1PP3PP/7K b - -,a6a5
1r1q1rk1/n1p1bpp1/p4n1p/P2bN3/1p1P4/5N2/1PB2PPP/R1BQ1RK1 b - -,c7c5
r3k1nr/ppp2ppp/2nq4/3p3b/3P4/3B1P2/PPP1N1PP/RN1QK2R w KQkq -,c2c3
r1b1rbk1/1pqn1p1p/2p2np1/p3p3/4P3/PP3NPP/1BPNQPB1/R3R1K1 b - -,b7b6
5r2/p7/2pk4/2Nb2p1/1P1P1pP1/P2K4/5R2/8 w - -,c5e4
1r6/3bppk1/3p1np1/2pP3p/1q5P/RP2NBP1/4PP2/Q5K1 w - h6,g1g2
r2q1rk1/1bpp1ppp/np2pn2/8/1pPP4/5NP1/PP1NPPBP/R2Q1RK1 w - -,a2a3
r1r3k1/p2n1pbp/1p2p1p1/4P3/2qPQ2P/B4N2/P4PP1/R2R2K1 b - -,b6b5
2r2rk1/p1qnbppp/bpp1p3/8/2PPQ3/1P3NP1/PB3PBP/R4RK1 w - -,e4e2:a1d1
4r1k1/ppr1bppp/4bn2/3N4/8/4N1PP/PP3PB1/2R1R1K1 b - -,f6d5
6k1/P3R2p/6p1/4nr2/8/6KP/4p1P1/8 b - -,e2e1q
8/5ppk/7p/3q4/4p3/1p2P1P1/1PQ2PP1/6K1 w - -,c2c8
8/3n2k1/3p1p1p/3Pp1pP/1Pp3P1/2P2P2/4rb2/1BBR3K w - -,h1g2
1k1r3r/pp1b1pp1/1qn4p/3pPp2/3P4/7N/PP1QNPPP/R1R3K1 b - -,d7e6
8/1pn2pk1/2p2p2/7R/P7/P3rBPP/5K2/8 b - -,e3a3
r2qkb1r/1b1n1p1p/p3pp2/1pP5/2Q5/5NP1/PP2PPBP/RN3RK1 w kq -,c4h4
r1q2rk1/pp1bb1pp/n3p3/3p4/P1PNp3/1P2P1B1/4BPPP/2RQ1RK1 b - -,e7a3
2r4k/p4p1p/1p1n1N1B/4p1p1/2n1P3/2P2PP1/P5KP/1R6 w - -,h6g5
3qrr2/kpnnb2p/p1p2pp1/P1Ppp3/1R1P2P1/1N1BP1BP/1P1K1P2/Q6R b - -,f8f7
r3qr2/1b4k1/p2pp1np/1p4pQ/2PRP3/2N3PP/PP3P2/1B4RK b - -,f8f2
2k5/2p5/1p4p1/p2bN3/P7/2B5/1KP2Pr1/R7 w - -,c3d4
6k1/2q2p2/b1p3pb/pP2p2p/4P3/1BPQ1P2/1P3NPP/6K1 b - -,c6b5
r1b2rk1/p4ppp/2p2n2/2Ppq3/8/1P1B4/P1PN1PP1/R2Q1R1K w - -,b3b4
8/3b4/5k2/1p1p4/1P3PPP/4P1K1/8/8 b - -,d7e8
r2qkbnr/1ppBnppp/p2p4/3Pp3/4P3/5N2/PPP2PPP/RNBQK2R b KQkq -,d8d7
8/6pp/2k2p2/r1p5/4P3/1K4R1/5PPP/8 b - -,a5a7
1rb1qrk1/p4pp1/1p2p2p/2b1P3/4BB2/3R2P1/P1Q1PP1P/5RK1 b - -,c8a6
2b1r3/2p3k1/p5p1/1pNqP3/5p2/1PP2P2/P4QPP/R5K1 b - -,e8e5
rnq1k1nr/1p1bppb1/2pp2p1/p6p/P2PP3/2N1B1PP/1PP1NPB1/R2QK2R b KQkq -,b8a6
r2q1rk1/1pp3pp/p1p1bp2/8/1P1PP3/1N3P2/PR4PP/R2Q2K1 b - -,d8d6
r3kb1r/pb1np3/4Nqpp/3p1p2/Ppp2B2/5QN1/1P3PPP/3RR1K1 w - -,g3h5
2rqr1k1/pp2bp2/1np1n1p1/6Pp/3PPBbP/2NB4/PPQRN3/1K5R w - -,f4e5
2rqkb1r/pp1nnppb/2p1p2p/3pP3/P2P4/1N3N2/1PPBBPPP/R2Q1RK1 b k -,e7f5
8/r4pk1/6p1/7p/4n2P/4N1P1/2R2PK1/8 b - -,f7f5
8/5k1p/p3r1p1/R1p2p2/2P5/7P/P4PP1/5K2 b - -,e6c6
r4rk1/5pp1/1q2p3/1N2Q3/P1R2P1p/3R2nP/6PK/8 w - -,e5d4
2b5/2r5/5pk1/4p2p/4P2P/4BP2/1R3K2/8 b - -,c8e6
r2qk2r/1bp2ppp/pp1p2nn/3P3P/4PP2/2N2N2/PP1Q2P1/2KR1B1R b kq -,g6e7
4b1nR/1kq2rr1/1p1p2p1/p1pP1pP1/P1P1pP1R/1PN1P3/3K2B1/7Q b - -,e8d7
5k1b/7P/4Q3/3Kn3/8/8/8/8 w - -,e6g8
q7/2b2b2/5pk1/1pNp2pp/1PnPp3/2Q1P1PN/4BPP1/5K2 w - -,e2c4
3r4/5kpp/P2p4/2p1p3/1P1p1b2/5P2/5BPP/R5K1 w - -,a6a7
rnbqkb1r/ppp1p2p/5np1/3p1p2/3P4/2N2NP1/PPP1PPBP/R1BQK2R b KQkq -,f8g7
r1b2rk1/1pqnbppp/p2ppn2/8/2PNP3/2N1BP2/PP2B1PP/R2Q1RK1 w - -,d1d2
8/5pk1/3Q2p1/5q2/7P/5P2/5PK1/8 w - -,d6e7
5rk1/p5b1/b1R2n1p/P2q4/7n/1P2Q3/3BBPPP/4R1K1 w - -,e3e6
r1b1k2r/2qn1p1p/p2b1npB/1p1Pp3/2p1P3/5NN1/PPB2PPP/R2Q1RK1 b kq -,f6g4
2kr1b2/pp1q1p1b/7p/3p4/3N4/2BP3P/PPP5/2KR1Q2 b - -,d8e8
8/8/4k3/8/4PK1p/7P/5N2/5b2 b - -,f1g2
6k1/pp3pp1/7p/n2Pr3/q1P3QN/7P/6P1/2R3K1 w - -,h4f5
rn1q1rk1/pb3ppp/1p2pn2/2pp4/1PP5/P1Q1PN2/3PBPPP/R1B2RK1 b - b3,b8d7
r6k/7p/P1Rp4/2b2p2/8/8/3B1PPP/5K2 b - -,h8g7
2r5/4r1bk/p4npp/q1B2n2/1R6/3N1P2/5QPP/1R3B1K b - -,e7d7
8/4R3/4P1p1/p2bn1kp/8/1P6/P1P1B3/1K6 b - -,g5f6
2r5/1R4p1/1p3p2/1PB2k1p/4p2P/5KP1/4PP2/8 w - -,f3e3
r4rk1/p4p1p/p1b2p2/8/8/P5P1/4PP1P/R1R3K1 w - -,c1c6
2kr1b2/3n1p2/p3qP2/2p1PQp1/1p1p4/3P2P1/PPPB3P/R4RK1 b - -,e6c6
r1b2rk1/ppq1bppp/2nppn2/8/4PPP1/1NN5/PPP1B2P/R1BQ1RK1 b - g3,a7a6
r7/r5k1/2pq2p1/3p1p2/1PpP3P/2Q1P1P1/4RK2/4R3 w - -,e1b1
1k1rr3/p2b2pp/Bp1Pnp2/2p5/8/3RBP2/P4KPP/5R2 b - -,f6f5
r2qk2r/pp2bpp1/2p1pn1p/7P/3P1B2/5N2/PPP1QPP1/2KR3R b kq -,d8d5
