3R1bk1/5p2/6pp/4Nb2/8/8/5PKP/8 w - -,e5d7
8/b7/P1k5/2p2pp1/2Bp1P2/3K2P1/4P3/8 b - -,g5f4
r1b1k2r/pp1p1ppp/1qn1pb2/2p5/3P4/2P2NP1/PP2PPBP/RN1QK2R w KQkq -,d1b3
3r2k1/p4pnp/1p2b1p1/4B3/P1prP1P1/2P2P2/7P/3R1B1K w - -,c3d4
b7/3r1kp1/1p5p/p6P/2p2N2/2B3K1/6P1/8 w - -,g3g4
1r1qr1k1/1bb2pp1/p3nn1p/3pN3/Q1pP3P/2N1PBB1/1P3PP1/3RR1K1 b - -,c7d6
8/4k1N1/p4p2/1p1n1P2/1P4r1/P1p5/2R1K3/8 w - -,g7e6
6k1/8/p3pr1p/1b6/1P2B3/P5P1/2R3PK/8 w - -,g3g4
6k1/1q1b2p1/pp2p2p/4p1b1/2P1P3/1BN3P1/PP2Q2P/5r1K w - -,e2f1
6k1/4npp1/R3p3/3n3p/3r1P1P/6P1/1PR5/6K1 b - -,e7f5
8/pp2kp1p/1bp1nnp1/8/2P5/3BPP2/PB1NK1PP/8 w - -,g2g3
8/5p2/R3pk1p/p7/3P1KPP/4P3/8/r7 w - -,g4g5
1Rb3k1/4Brp1/r7/p3R3/3p1p1p/3P1K1P/PPP3P1/8 b - -,a6c6
rnb1k1nr/pp2ppbp/1q1p2p1/2p3B1/3PP3/1QP2N2/PP3PPP/RN2KB1R b KQkq -,b6b3
6k1/pb1qr1pp/4p3/PP1pPp2/2rP4/2p1PR2/2P1B1PP/R2Q2K1 w - -,a5a6
3rB3/p6Q/4kpn1/q7/3p4/6PP/1P2PP2/5RK1 b - -,g6e5
5n2/5rkp/3p4/p1pPp3/PpP3B1/1P6/1B2K1N1/8 w - -,g2e3
8/8/pr2kp2/4p2p/PP5R/3K2P1/7P/8 b - -,e6d5
8/p4pkp/1p1p2p1/1PrP4/P4P2/6PK/3R3P/2rB4 w - -,h3g4
5r2/1p5p/3p1kp1/2P1qp2/4n3/3nP3/5PPP/QR3RK1 w - -,b1b7
r4rk1/pbq1bppp/1pnppn2/2p5/2PP4/1P1BPN2/PB1NQPPP/R4RK1 w - -,f1d1
r1r4k/pp1nqp1p/3p4/2pPp3/1PP1P2p/P2B2Pb/2Q2P1P/R1RN2K1 b - -,c8g8
8/8/5p2/3n2k1/7p/P2NK2P/8/8 w - -,e3f3
3r2k1/pp1rpp1p/5b2/2pP1Kp1/8/5PPN/P6P/3R3R w - -,f5e4
3r1rk1/1p1nbppp/p1p1p3/2Pp3n/1P1P4/2N1BBPP/1P2PP2/R4RK1 b - -,h5f6
3rn1k1/pb3ppp/1p2p3/6P1/1q1PP3/2Q2N1P/P4P2/1BR3K1 b - -,b4a4
2r2rk1/6p1/3R1p2/4pPbp/1pN5/1P4P1/P6P/1K1R4 b - -,e5e4
2r2rk1/ppqnbpp1/2p1bn1p/3p4/3P3B/2NBPN1P/PPQ2PP1/1R3RK1 b - -,c6c5
r2qk2r/pbpnbp1p/1p2pp2/8/3PN3/3B1N2/PPP1QPPP/R3K2R w KQkq -,e1c1
8/7k/6Rp/3K1p1P/5P2/4r1P1/8/8 w - -,d5d4
6k1/p5p1/1p4Qp/3p4/3P3N/P3q2P/5RPK/2r5 b - -,e3f2
2R5/8/3k4/p3nK1B/5B2/1P4P1/1b3r2/8 w - -,f5e4
rnbq1r1k/ppp3b1/3p1n1p/4pp2/3P2pP/1QPBP1B1/PP1NNPP1/R3K2R w KQ -,f2f3
r3r1k1/1p1qppbp/n1p1b1p1/3p4/p1PP4/BP2PNP1/P2Q1PBP/R1R3K1 w - -,f3e1
3r1rk1/pb1qbppp/1pn1pn2/2p1P3/P7/2P2NP1/1PQNBP1P/R1B2RK1 b - -,f6d5
r3q1k1/2pb1pbn/1p1p2pp/3Pp3/rQP1P3/R5N1/1B1N1PPP/R5K1 w - -,a3a4
2rq1rk1/pb3ppp/np2pb2/2p5/3PPB2/2PQ1NP1/P4PBP/R3R1K1 w - -,e4e5
1r4k1/ppp1rp1p/1q4p1/4b3/4B3/1PP1R1Pb/PBQ2P1P/R5K1 w - -,a1e1
r1r2bk1/5pp1/1pp1p2p/3pB3/P1P3QP/qP1PR3/5PP1/1R4K1 b - -,g8h7
r1r2bk1/5ppp/1pp1p3/3pB3/P1P3QP/qP1P4/5PP1/1R2R1K1 b - -,h7h6
2r2r1k/p5pp/P7/2p5/2P1p3/3q3n/1Q2RPPP/4R2K b - -,c8b8
r1b4r/pp2k3/2p1np1b/N3p1pP/N3P1p1/6B1/PPP2PP1/1K1R3R b - -,e6f4
6k1/p4pp1/P2n2p1/3P4/r1p5/6PP/2R1BPK1/8 w - -,g3g4
6k1/5qb1/2p1b3/p1B1p3/N1P1Ppp1/1P3P2/P5P1/2KQ4 w - -,a4b2
r1bq1rk1/pppn2bp/3p4/4np2/2P2N2/2N1BP2/PP1Q2PP/2KR1B1R b - -,d7f6
4r3/5p2/8/5Pkp/Q4R2/Pn1p2PK/1P2q2P/8 w - -,a4b3
r1bqk2r/pp2nppp/2n1p3/3pP2P/2pP1BP1/P1P2P2/2PQ4/R3KBNR b KQkq -,d8a5
8/p5bk/4p3/3pP1pP/6K1/1R1N3P/r4P2/8 b - -,h7h6
r3k2r/ppq2pp1/2nbpnp1/3p4/3P4/2P1NN1P/PP3PP1/R1BQR1K1 b kq -,e8g8
8/1p4R1/pkp3p1/8/1P1Kp1r1/2P5/1P6/8 b - -,g6g5
3r2r1/5k2/p6p/1n2P3/p3QP2/2P3R1/1P4PP/R1B3K1 w - -,e4h7
q4rk1/5pb1/3p2p1/5b2/pp6/5P2/PPPQN1P1/R3K2R w KQ -,a1d1
r3q1k1/1p2rpb1/2pRn1pB/2P2b1p/1PB5/p4N1P/P2Q1PP1/3R2K1 w - -,h6g7
8/5k2/pp3p1p/3p2pP/1P1N1PP1/P5K1/2b5/8 b - -,c2e4
5k2/1p3p1p/5np1/p1r5/P2p4/1P1B1PPP/2PK4/1R6 w - -,b3b4
r3r1k1/pppqbppp/8/1b1pP3/5P2/2Q1B2P/PPP3P1/3RRBK1 w - -,c3b3
r1k4r/p1pb1pp1/1pp5/4Pn1p/1b3N2/1P3N1P/PBP2PP1/3R1RK1 b - -,b4e7
3rqrk1/pbp3pp/np1bpn2/5p2/2P5/3NPNB1/PPQ1BPPP/2KR3R b - -,f6e4
4r1kn/p1pqn1pp/1p2b3/3pP3/N2P4/4B3/PPBQ2PP/2R3K1 w - -,b2b3
2r3k1/p3qp2/1p4p1/5p1p/1PBQ4/P6P/6P1/3R2K1 b - -,h5h4
5rk1/1p3ppp/pq2bn2/1p1p4/4p3/6PP/2NQPPB1/R4RK1 w - -,c2d4
8/4p1k1/6p1/p1pP4/PpP1P1R1/1Pq1Qr1K/8/5N2 w - -,g4g3
2kr2r1/ppp1pp1p/2n1b1pb/4P3/5P2/2BB1NP1/PPP2K1P/3R3R b - -,e6d5
5nk1/p5b1/np2p2p/3pPp1p/1P1P1N1B/PN2Q1P1/2q2P2/6K1 w - -,b3d2
r1bqr1k1/1pp2pp1/3p1nnp/p7/N1P5/PP2N1P1/4PPBP/R2Q1RK1 b - -,f6g4
2r2rk1/4bppp/pnbpp3/8/1n2P3/1NP2P2/1P2BBPP/1K1R3R w - -,f2b6
r1bq2k1/ppp2rb1/3p4/2PP1p1n/5Ppn/3N2N1/PP3BBP/R2Q1RK1 b - -,h5g3
r2qr1k1/bp1b1ppp/p1N5/8/4p3/1P2P2P/PB2NPP1/2RQ1RK1 b - -,d7c6
3n4/1p3k1p/1R2rpp1/P7/6P1/2BK3P/5P2/8 w - -,b6b5
7k/1B4pp/2P5/3P4/2R2P2/5Q1P/3r1PK1/1q5r w - -,g2g3
3r1k2/2Q2pp1/p3pn2/1q6/1p6/1BB3P1/PP3P2/6K1 b - -,d8e8
r4rk1/pp3ppp/1qp2n2/4Q3/1b2P1b1/1P4P1/P1PN1PBP/R1B2RK1 b - -,f8e8
r2qrnk1/3nbppp/1p1p4/1PpPp3/1P2P3/4BP2/3NB1PP/R2Q1RK1 w - -,d2c4
2q3k1/1p1bp1bp/p2p2p1/3P1p2/P2NP3/1P1KBP1P/3Q2P1/8 b - -,f5e4
r3q1r1/ppp1bk1p/3Bbpp1/8/2P5/2P1QB2/P4PPP/3RK2R w K -,d6e7
r1bqnrk1/1pp3pp/3p4/p2Ppp2/2P1P3/PPNB4/5PPP/1RQ2RK1 w - f6,e4f5
2r2k1r/1bqnbpp1/p2p4/1p1Pp2p/5P2/1N2B1PP/PPP1Q1B1/2KR3R w - -,c1b1
6k1/pp3p1p/2p3p1/6B1/P1BR1Pq1/1P2r2b/2P2RPK/8 w - -,g5f6
3r4/5pk1/4b1p1/8/2Pr3R/3B4/P1P5/1K5R w - -,h4h7
8/p1r5/5p2/4K1pp/8/2p3Pk/P1R2P2/8 w - -,e5f6
5rk1/2r2ppp/1qbnpn2/ppNp4/3P1P2/2NBP3/PPR1Q1PP/2R3K1 b - -,f8c8
8/8/8/R2PK3/1k2P3/7P/p5r1/8 w - -,a5a8
8/1br2p1k/1p1q2pp/3pR3/3P4/5B1P/P2Q1PP1/6K1 w - -,d2b2
r3kbnr/pp3ppp/2n1p3/3pPb2/3p4/2N1BN2/PqP1BPPP/R3QRK1 w kq -,e3d4
8/3k4/4n1p1/2P5/p3ppP1/P3B2p/5K1P/8 w - -,e3c1
2bqnrk1/r2n1ppp/pp1b4/2pNp3/2P1P3/3QBNPB/PP3P1P/R3R1K1 b - -,a7b7
r1b1kb1r/pp3ppp/1q1ppn2/1N2n3/2P1P3/2N2P2/PP4PP/R1BQKB1R w KQkq -,d1d4
r7/8/kP2p3/P3R3/8/4K3/5P2/8 b - -,a8f8
r2r1bk1/pbq4p/2p2p2/2Pnp3/7N/6P1/PPQB1PB1/R2R2K1 w - -,g2e4
